supplier_obj_id,BCK1_2_467,BY4741_462_303,BY4743_304_295,CLN2_427_330,FMP48__435,HOG1_2_463,IRE1_416_292,KSP1_222_391,MKK1__392,nnk1_49_263,NPR1_4_482,pdryCG196_267_526,pdryCG200_187_593,RIO1__388,RIO2_65_355,SLT2_360_387,TOR1_142_398,TOR2_349_269
AW 00178,-1.12401,-18.0168,-3.1928799999999997,-18.0383,-1.76435,-4.7948699999999995,-6.74995,-3.92332,-0.765899,-1.80545,-4.22922,-21.2435,-25.0161,-0.6722090000000001,-0.748292,-16.5157,-3.90328,-2.4704099999999998
AW 00227,-1.00209,-19.3549,-7.177289999999999,-18.7663,-5.16213,-4.97755,-13.472999999999999,-8.095419999999999,-1.2698,-4.42558,-7.97697,-31.9279,-32.6666,-1.2336,-1.62953,-21.8227,-6.06445,-4.88164
AW 00264,-0.102843,-15.7183,-1.02591,-16.3465,-0.364536,-4.286580000000001,-0.447125,-0.720014,-0.121656,-0.135774,-0.523857,-17.3256,-1.4248299999999998,-0.3302,-0.445481,-8.12246,-1.0835299999999999,-2.07081
AW 00294,-0.338229,-15.2883,-2.84337,-15.3029,-0.78615,-4.0525199999999995,-3.3591300000000004,-1.1926,-0.377546,-1.04651,-1.51344,-31.7417,-32.2674,-0.61354,-0.582152,-11.2416,-2.11794,-2.68393
AW 00751,-0.05719830000000001,-14.4218,-0.152139,-15.4178,-0.325108,-4.16266,-0.728679,-0.8198549999999999,-0.24048899999999998,-0.423879,-0.75568,-12.8031,-0.343085,-0.124043,-0.134634,-8.170819999999999,-0.9382790000000001,-0.284043
AW 00786,0.28933000000000003,-13.1083,0.5468810000000001,-13.9742,0.114325,-3.6207300000000004,0.785801,0.19409200000000001,0.0855293,-0.0494089,0.258396,-10.845999999999998,1.82676,0.0186872,0.040700599999999997,-6.31286,0.08073889999999999,0.526325
AW 00837,0.122925,-12.8917,0.0226159,-13.662,0.059577099999999994,-3.82577,-0.197419,0.189225,0.0281377,-0.10998499999999999,0.0986944,-11.2606,0.609456,-0.011450299999999998,0.0173451,-7.1321,0.352854,0.139395
AW 00846,-0.8649959999999999,-13.7468,-1.2356200000000002,-16.4101,-0.6922560000000001,-4.104430000000001,-4.77115,-1.85234,-0.660172,-0.419108,-3.49726,-31.8154,-32.3923,-0.372764,-0.44087200000000004,-23.2301,-2.55503,-1.15019
AW 01237,0.0565956,-11.2193,-1.09582,-10.5407,-0.29176799999999997,-2.43286,-0.840949,-0.5638310000000001,-0.0507653,-0.13053900000000002,-0.304026,-13.0887,-3.5207900000000003,-0.42904799999999993,-0.31953200000000004,-6.648110000000001,-1.10788,-1.1679700000000002
BR 00076,-5.9152,-26.083000000000002,-29.4411,-25.6071,-7.719710000000001,-6.7302100000000005,-29.8585,-20.6505,-6.23463,-16.9327,-13.9712,-32.0183,-32.1745,-7.428039999999999,-10.8639,-28.7797,-20.8791,-36.3457
