supplier_obj_id,Alg12,arp6,BY4741,cin2-2nd,cin2,cin8,cla4,CNB1,ctf4,dep1,dun1,esc1,Gas1,gim3,gim5,hoc1,kre1,lge1,mrc1,MT1181-W303mata,MT2481-pdr1pdr3-2nd,MT2481-pdr1pdr3,num1,pac10,pol32,PPH21,ric1,rot2,sap30,shm2,slt2,Smi1,swe1,TEP1,TOP1,YHR087W,ypt6
AW 00215,-5.57639,-8.89612,-8.25314,-5.41651,-4.06947,-11.1191,-5.51791,-14.6669,-6.38662,-7.13316,-0.542388,-5.096769999999999,-7.95706,-3.11358,-6.14159,-5.20706,-3.4709,-5.60889,-5.02312,0.930466,-1.8273599999999999,-12.6884,-0.41483100000000006,-3.8103,-2.14701,-5.82902,-10.8824,-5.42775,-4.00336,-6.43388,-10.5915,-4.59123,-5.92729,-3.63838,-7.68878,-6.31635,-12.3062
AW 00436,-10.8242,-10.7393,-7.45832,-5.3019099999999995,-8.204939999999999,-7.0894699999999995,-7.2491,-17.4795,-7.442310000000001,-4.9133,-0.495217,-5.85195,-7.6045300000000005,-0.882575,-4.070790000000001,-10.9108,-6.00066,-5.289630000000001,-4.74092,-0.138998,0.08661010000000001,-16.9696,-1.3390600000000001,-6.51282,-1.32931,-7.78176,-13.9653,-7.01887,-3.24245,-8.82991,-10.7109,-2.17823,-6.32048,-3.3979800000000004,-4.85568,-11.395,-15.8575
AW 00625,-33.0286,-16.9725,-43.8892,-26.5212,-40.6387,-41.4431,-23.0158,-54.5703,-9.484760000000001,0.249102,1.12652,0.910377,-10.993,0.200152,-28.3747,0.20495300000000002,2.35031,-0.37448400000000004,-0.138855,-4.5529,-35.2264,-28.1481,-1.0087899999999999,1.3373899999999999,0.914351,-49.4806,-18.1348,-3.2826199999999996,0.628084,-0.0888429,-11.9621,-61.1227,-0.30343000000000003,-43.6631,-13.7834,-2.13099,-20.5337
AW 00698,-1.34338,-1.09102,-0.6187560000000001,0.824218,0.667617,-0.103744,-1.00169,-0.43889799999999995,-1.07545,-1.98068,-0.558896,-0.8358389999999999,-2.45224,-0.773034,-1.11099,-1.0018200000000002,-1.3481,-1.6335,-0.9867889999999999,-0.247741,-0.025759699999999996,-0.179809,-0.922818,-0.230382,-0.0132363,-0.465372,-1.3210899999999999,-0.831791,-3.07634,-0.784905,-1.6570099999999999,0.227381,-1.7919200000000002,0.792495,-0.55485,-0.8172,-1.56922
AW 00801,-7.0768,-8.28995,-2.0849900000000003,-3.8199099999999997,-4.3223,-3.8408300000000004,-4.3011099999999995,-6.03266,-7.4950600000000005,-1.9836,-2.31301,-1.3086799999999998,-6.83368,-1.048,-2.06323,-2.36409,-1.3967,-1.6489599999999998,-1.9933,-0.389308,-0.793034,-23.9409,-2.06275,-2.12629,-0.795437,-1.09342,-7.2050600000000005,-2.27113,-4.005719999999999,-2.49969,-7.4183699999999995,-0.687696,-2.1493599999999997,-0.931797,-2.49211,-4.18565,-6.875939999999999
AW 00819,0.544798,0.257687,-0.31198000000000004,1.62941,2.11395,0.663571,-0.488041,0.129545,-0.385137,0.61239,0.523205,0.43076000000000003,-0.172257,1.0231700000000001,-0.252639,0.034435,0.592599,0.253332,0.473386,-0.990928,-0.170316,0.147661,-1.19054,-0.00402401,0.523379,-0.11105899999999999,-0.10884100000000001,1.24492,-2.84638,1.0488600000000001,-0.5521010000000001,1.31481,0.164192,1.15164,0.360005,0.300773,0.142145
AW 00844,-3.8398199999999996,-8.52925,-3.44945,-2.83042,-3.3774300000000004,-2.37874,-4.63,-2.78137,-5.25875,-3.5237199999999995,-3.4142099999999997,-0.341181,-3.53364,-2.36954,-3.44924,-1.3278,-0.383182,-2.6673,-3.3347,-0.39253499999999997,-0.791399,-2.62317,-0.348615,-1.46669,-1.8489,-1.96102,-5.21088,-2.0899099999999997,-2.23833,-1.13277,-6.967569999999999,-1.77855,-1.14507,-2.18181,-5.30861,0.256374,-4.47273
AW 00891,-0.467158,-0.0176479,-1.0945,0.0193781,-0.332744,0.277107,-0.8953049999999999,-0.909293,-0.666838,0.305169,-0.589674,-0.23720300000000002,2.29575,0.51941,0.149857,-1.1347200000000002,-0.5105689999999999,0.687772,-1.02177,-0.629425,-1.40086,0.294714,0.8766870000000001,-0.9652229999999999,-0.07255210000000001,-1.8019,-1.21315,-0.49181199999999997,0.213684,-1.54865,-0.07423969999999999,-0.821837,-0.312029,-0.486749,-0.918384,1.2068,-0.597111
AW 00925,0.480404,0.7677149999999999,-1.78568,0.453801,0.877819,-1.79004,-0.060183600000000004,-1.8101,0.749417,-0.10475799999999999,2.26112,0.449664,0.584068,1.08178,0.604009,1.16951,-0.876158,0.65293,0.41305299999999995,0.739741,-1.55685,-0.5200520000000001,0.572248,1.12832,1.43296,-0.956625,0.045255500000000004,-0.187137,1.0875,-0.26340399999999997,0.634892,-1.46031,-0.0455819,0.0305205,1.09245,-0.340148,0.13537000000000002
AW 00962,0.08696720000000001,0.494447,-0.404557,1.1372200000000001,0.8983469999999999,0.0110179,-0.168192,0.021302500000000002,0.17568599999999998,-0.0385405,1.51522,-0.29241300000000003,-0.285984,0.701924,-0.236134,0.390232,-0.573793,-0.301004,0.00183931,1.4722600000000001,-0.522913,0.25499,0.92311,0.626703,0.642007,-0.33520900000000003,0.41762200000000005,0.31952600000000003,0.890868,-1.02631,0.333708,0.529301,-0.162113,0.8807159999999999,0.807994,-1.0487,0.170849
AW 01018,0.587679,0.49570699999999995,0.20646799999999998,1.32249,0.966733,-0.24829,1.04706,0.416973,0.40975100000000003,0.667841,1.38276,0.649317,0.177459,0.658011,0.499517,0.7495729999999999,0.647324,0.23845100000000002,1.08461,0.099139,0.5369,0.136594,0.905709,0.599803,0.886467,0.572056,0.960809,1.20336,1.44773,0.251705,0.366075,0.711145,0.0279195,0.949258,0.23289899999999997,-0.624266,0.45069499999999996
AW 01055,0.355072,0.021759999999999998,0.160912,0.773087,0.5578029999999999,0.363153,0.6208600000000001,0.292041,0.160247,-0.457826,-0.515048,-1.17489,0.587097,-0.343986,-0.272561,-0.44496099999999994,-0.06725199999999999,-0.29920399999999997,-0.13961400000000002,-0.074539,0.515687,0.16274,0.5802470000000001,0.269754,0.200667,0.574756,0.774519,-0.551044,0.410562,-0.607843,0.134717,0.5558960000000001,-0.7024090000000001,0.331468,0.0980568,-0.23053800000000002,-0.360829
AW 01109,0.349798,0.835024,0.5480470000000001,1.30475,0.9245969999999999,-0.237671,0.785461,0.963117,-0.07977619999999999,1.16574,0.048196800000000005,0.620103,-0.574583,0.216779,0.499429,0.597286,0.654787,-1.32293,0.338858,0.325617,0.9553,0.74557,-1.12056,0.378905,0.504687,0.519048,0.521016,0.09237689999999998,1.4005,0.9025799999999999,0.5499109999999999,0.265858,1.33994,0.67913,-0.040439499999999996,1.05482,0.375449
AW 01159,0.367676,0.11531,0.177233,0.32891,0.532832,1.09199,0.48398,0.431501,-0.865714,-1.7067599999999998,-0.831766,0.965016,-0.16514700000000002,-0.0701945,0.393034,-0.10896199999999999,0.596581,0.40349,-0.286089,-0.360344,-0.149456,-1.73363,-1.07075,0.144819,-1.13622,0.238911,-1.20323,0.149343,-1.07674,0.671004,-0.734017,0.504049,0.29726199999999997,0.563759,0.293689,0.42812799999999995,-0.822435
AW 01219,-0.334362,0.33311999999999997,-0.5539609999999999,0.0981331,-0.10673800000000001,1.54748,-0.848576,-0.38809899999999997,-0.8417979999999999,-0.405614,-1.92203,-0.291823,0.595858,-0.30185300000000004,0.38359499999999996,0.354275,-0.0770096,-0.950263,-0.0320475,-1.34038,-1.3218,0.868483,-1.3754,-0.9468260000000001,-0.396067,-0.45497600000000005,-0.16492,0.35386300000000004,-2.01425,0.782594,0.44013,-0.627178,0.556959,-0.666896,0.30593899999999996,0.9950030000000001,0.0398301
AW 01274,-1.9859099999999998,-0.348078,-0.897675,-0.762262,-0.8802559999999999,-0.324772,-1.49711,-0.610083,-1.2115,-0.309209,-0.43666000000000005,-0.218293,1.63914,-0.557685,-0.23128400000000002,-0.5130170000000001,-1.28103,0.687764,-1.1307200000000002,-0.555559,-1.8290799999999998,0.37396599999999997,-0.1106,-1.2438,-0.46506899999999995,-1.38616,-0.39978600000000003,-0.722198,-2.39102,-1.14258,-0.5933510000000001,-1.27322,0.177953,-1.43499,-0.8681549999999999,1.28492,-0.645654
BR 00009,-1.48773,-1.03955,-3.7278300000000004,-1.00501,-0.531646,-4.30386,-0.754103,-4.02514,0.835527,-2.0281,0.49921800000000005,-3.59954,-2.69635,-4.23813,-0.597298,-0.669258,-3.7048300000000003,-1.26737,-3.01016,0.0111337,-3.12739,-0.992966,0.10638299999999999,-2.21552,-1.90029,-3.3277400000000004,-3.0465299999999997,-3.33544,0.933967,-3.6059900000000003,0.0848451,-4.53941,-2.9763599999999997,-1.7640900000000002,-3.0202400000000003,-2.71418,-3.9396400000000003
BTB 00027,-0.507257,-2.1088,-0.18001199999999998,-0.8404510000000001,-0.181766,-0.900432,0.329163,-0.530197,-0.49133000000000004,-1.26073,1.3372899999999999,-0.537758,-1.06491,0.013803,-1.12804,0.00203269,-0.459396,-0.550461,0.47654799999999997,0.46904799999999996,-0.12171199999999999,-1.6255600000000001,0.66298,0.647606,0.620279,-0.177782,-0.45273900000000006,-0.58487,1.31974,-1.00642,-1.54809,0.017175799999999998,-0.9510120000000001,-0.0162067,-0.344281,-1.0203200000000001,-0.654084
BTB 00084,0.365523,0.421138,0.24822399999999997,0.6635979999999999,0.846456,-0.976092,-0.0126228,0.240998,0.722791,0.5027119999999999,0.9640569999999999,0.34513699999999997,-0.493383,0.372201,-0.08102100000000001,-0.78823,0.48569300000000004,-0.789329,0.7168899999999999,0.80911,0.359107,0.192734,-0.8214600000000001,0.914949,0.398619,0.58002,0.5811850000000001,0.759354,2.3710299999999997,0.824839,0.215619,0.32808400000000004,0.551167,0.8817780000000001,-0.04727990000000001,-1.7349700000000001,0.154973
BTB 00241,-0.980924,-0.0136297,-1.06298,-0.654215,-0.42089,-0.390243,-0.5796979999999999,-0.140167,-1.58202,-0.44973100000000005,-0.374415,-1.72587,-2.6137799999999998,0.30932600000000005,-0.6756770000000001,-1.2249299999999999,-1.07465,-1.08218,-0.318368,0.394048,0.23441599999999999,-1.35897,-0.8824639999999999,-0.28383800000000003,-2.1905,0.418182,-3.0458,-0.559122,-1.41526,-0.7387020000000001,-1.55985,-0.24724000000000002,-1.30656,-0.6671239999999999,-2.67792,-1.3936600000000001,-4.09578
BTB 00333,-1.54826,-2.06872,-0.44922399999999996,-0.8076409999999999,-1.1271799999999998,0.515763,-0.520524,-0.0438332,-1.2078200000000001,0.16664600000000002,-0.8681690000000001,-0.060167200000000004,-0.393421,-1.10814,-1.07684,-0.6571239999999999,-0.41688400000000003,-1.9120700000000002,-1.09991,-0.127771,0.00393573,-0.0798712,-0.550608,-1.62109,-0.0520373,-0.0251905,0.587233,0.18626500000000001,-1.8445799999999999,-0.22043000000000001,-0.7833180000000001,-0.026023599999999997,-0.940608,-0.038781699999999995,-2.90588,-0.348551,0.5244449999999999
BTB 00374,0.292838,-0.5421590000000001,0.420918,-0.119495,-0.29942399999999997,1.20556,0.00257619,0.442766,0.016477900000000004,0.9747540000000001,-1.18377,0.203012,0.7188829999999999,0.224719,0.0760197,-0.368354,0.0938172,-1.53793,-0.14182,0.143331,0.574134,0.69739,-1.20545,-0.012770100000000001,-0.232204,0.43555299999999997,0.6069,0.246364,-2.00475,0.9156790000000001,-0.156198,0.391479,-0.214785,0.338955,0.48288400000000004,0.36706700000000003,0.282433
BTB 00441,-0.766591,0.488816,-0.563786,0.251298,0.0519665,0.8898299999999999,-0.62385,-0.460109,-0.610635,-0.368525,-1.29231,0.402129,-3.16905,-0.759224,0.336499,-0.808457,0.20002999999999999,0.0921502,-0.33423400000000003,-0.342995,-0.00233387,-0.43402299999999994,-1.7751700000000001,-1.15377,-0.884666,-0.133955,-0.902307,-0.365194,-1.94187,-0.0009530710000000001,-0.604056,-0.6083529999999999,0.464366,-0.7904100000000001,0.516146,0.29854,-0.8535709999999999
BTB 00496,-0.985065,-1.28908,-0.7388170000000001,-0.744438,-0.766293,0.160724,-1.4321,-0.999893,-0.9435180000000001,-1.18307,-0.607572,-0.474261,1.95764,-1.1968299999999998,-0.671473,0.0479497,-0.645472,-0.027032099999999996,-1.00577,-0.2973,-1.94797,0.402806,0.138408,-1.28593,-1.27646,-1.42315,-0.0743654,-1.0278200000000002,0.953131,-0.654455,-0.493149,-1.25644,-0.727154,-0.818696,0.058276,1.6456,-0.11476300000000002
BTB 00554,-9.30387,-2.1749099999999997,-1.75803,-16.8594,-22.2959,-3.28084,-3.09127,-1.08184,-0.545901,-2.1983099999999998,2.17922,0.201237,-4.07165,0.866167,-3.56578,2.454,0.33417800000000003,-1.1207,1.01977,0.508085,-0.839052,-0.588593,0.6793939999999999,0.9196610000000001,0.581429,-0.765284,-4.81159,0.42176400000000003,-0.42079099999999997,0.06249009999999999,-3.4821400000000002,-1.76535,-0.485983,-0.25067,-2.10918,0.490415,-4.18658
BTB 00596,-14.995999999999999,-15.6396,-18.5027,-14.5401,-20.4717,-20.4469,-14.5493,-44.2157,-8.31821,-16.0067,-11.074000000000002,-14.212,-9.55363,-10.7004,-10.324000000000002,-10.7485,-4.00945,-10.3791,-11.3339,-0.187711,-0.270649,-26.6291,-2.60909,-9.41703,-7.1760600000000005,-18.9922,-16.151,-16.5922,-9.258560000000001,-5.3495800000000004,-11.3987,-5.50789,-19.3272,-8.926219999999999,-12.2922,-13.888,-17.7674
BTB 00667,0.6068020000000001,0.47546099999999997,0.493482,0.546367,1.46706,-0.370637,1.26872,0.979259,0.357739,0.8168529999999999,1.8238299999999998,0.510266,0.45379899999999995,1.18963,0.5482640000000001,0.22125,0.065108,-0.165037,0.7862779999999999,1.28373,0.018052900000000004,0.616578,-1.1065200000000002,1.48876,0.9611360000000001,0.500038,0.568603,0.49567100000000003,1.96763,-0.161193,0.11153699999999998,0.5835229999999999,0.658077,0.7350909999999999,0.131293,-0.983992,0.0626881
BTB 00694,-8.43188,-12.1002,-14.6415,-9.50442,-8.906369999999999,-16.605999999999998,-8.53466,-27.5916,-7.16633,-7.69353,-4.487080000000001,-5.78723,-7.9492,-4.21378,-10.4677,-10.4828,-1.17054,-3.97134,-6.13629,0.0440365,0.110632,-15.1562,-1.47169,-8.371039999999999,-2.30849,-12.1475,-14.6303,-8.97798,-5.47325,-2.4288,-10.2963,1.8516,-9.25341,-7.87706,-11.3915,-9.40718,-16.8491
BTB 00730,0.440683,0.7158140000000001,0.36936399999999997,0.55308,0.5333600000000001,1.60676,0.20013699999999998,0.707725,-0.307743,0.780942,-0.660583,-0.61887,0.585017,-0.624855,0.654712,-0.616152,0.00832995,-0.07564169999999999,0.0826588,-0.063711,-0.136626,0.9013969999999999,-1.60396,-0.34331100000000003,0.052909000000000005,0.254414,-0.569763,0.492687,-2.2543,0.21716,-0.23560100000000003,0.46469499999999997,0.015202799999999999,0.5275449999999999,-0.00495313,-0.465088,-0.23894899999999997
BTB 00778,0.153488,1.0180200000000001,0.898552,0.314168,0.519439,1.79075,0.756506,0.990785,0.539776,0.644583,-0.0890055,1.27701,1.6515900000000001,0.00695343,0.440065,0.750175,0.9916870000000001,0.00749344,-0.397986,-0.411963,0.5045,0.8422860000000001,-1.16756,0.515953,0.340518,1.05534,0.623196,-0.58623,-2.04478,0.648683,0.646357,1.13235,0.597494,0.942716,1.18551,0.312118,0.044825699999999996
BTB 00828,-3.3191300000000004,-1.0665200000000001,-1.40821,-0.6887270000000001,-1.26482,-0.524461,-1.79292,-0.8822559999999999,-1.69956,-0.708477,-1.46191,-0.45964700000000003,-2.2249,-2.01488,-1.5108,-2.25847,-0.81662,-0.655096,-0.722218,-1.19729,-1.18759,-4.54622,-0.717723,-1.36524,-1.30336,-5.88851,-0.140096,-1.41244,-0.70578,-0.0194857,-0.627607,-1.48822,-0.44323,-1.14533,-1.64115,-0.708639,-1.1333
BTB 00881,-1.19211,-0.8297100000000001,-0.34178600000000003,-0.934312,-0.9046190000000001,0.44738900000000004,-1.06405,-0.459232,-1.0883399999999999,-0.757152,-1.25718,-1.03094,2.34711,-0.896451,0.06030069999999999,-1.23001,-1.54645,-0.14948399999999998,-1.0362,-1.82582,-1.96334,0.8380290000000001,-0.51349,-2.38643,-1.05114,-1.08525,-1.0508,-0.361755,-0.206965,-0.6949029999999999,0.22910500000000003,-0.8703870000000001,-0.41658199999999995,-0.505266,0.123305,0.817534,0.015312200000000002
