,BCK1_113_72,BY4741-2nd_86_53,BY4741-3rd_85_51,BY4741_88_75,BY4743_164_44,CLN2_86_74,HOG1_128_74,IRE1_98_73,MKK1_98_72,NPR1_92_60,pdr_yCG196_166_91,SLT2_92_78,TOR1_93_65
SPE01503968,-8.40157,2.09731,1.92072,-8.8132,6.08889,-7.10163,-9.254719999999999,-7.716130000000001,-8.6408,-5.44006,-17.4875,-8.26016,-6.38494
SPE01505706,-3.50676,-1.20156,-1.65267,-1.99518,-5.58793,-2.05721,-4.64743,-2.23053,-2.75821,-2.06535,-9.62348,-2.90452,-1.2177200000000001
SPE00330001,-1.12363,-1.5278399999999999,-1.32336,-1.5340200000000002,-1.14786,-1.7371599999999998,-0.6209640000000001,-1.50004,-1.28724,-0.656274,-13.474,-0.5700930000000001,-0.430608
SPE01503009,0.0872939,0.593168,0.539042,-0.324511,1.21984,0.0742099,-0.217352,0.21119899999999997,0.342521,0.8751530000000001,0.589192,0.35538800000000004,0.825886
SPE01501203,0.18205,-1.4858,-0.15539,0.0751535,-1.3353,0.896848,0.0628141,1.18321,-0.36123,-0.5765239999999999,0.15832000000000002,-0.0203053,-0.503416
SPE01500223,0.26072399999999996,-0.743517,-1.06287,0.295566,-2.39628,-0.308558,0.126159,-0.27139,0.387693,0.45875299999999997,-5.9040300000000006,-0.165473,-0.08330219999999999
SPE01500801,1.1467399999999999,0.035970800000000004,0.420264,0.0223732,-0.0509976,0.632811,1.08961,0.455665,0.843357,0.675588,1.31877,0.9608770000000001,0.8502120000000001
SPE01500131,1.5453700000000001,-0.165507,0.377639,0.795506,-0.9244450000000001,0.544575,1.03259,1.43298,1.0951600000000001,1.3784399999999999,0.0805188,1.33453,1.14531
SPE01503977,-1.38436,0.473462,0.5874119999999999,0.0562898,-1.23589,0.578263,0.17443499999999998,-0.22615100000000002,-0.492339,-0.561988,-1.88073,-1.01291,-1.2486
SPE01505482,-0.94906,-0.912451,-0.866568,-0.708158,-0.218007,-0.853592,-1.33883,0.639091,-0.396627,-0.65752,-0.718507,-0.816646,-0.280235
SPE01503134,-0.512211,-1.08009,-0.428505,-0.59958,-0.282769,-0.341401,-0.717155,-0.256168,-0.0915658,-0.43190500000000004,-0.325766,-0.584329,-0.41915399999999997
SPE01300043,-0.013595300000000001,-1.75898,-0.749323,-0.27750199999999997,-0.954742,-0.83435,-1.1336600000000001,-0.140665,-0.25706,-0.49773900000000004,-0.00688572,-0.704773,-0.629021
SPE01505430,0.159184,-0.734243,-0.917291,-0.317822,-0.225798,-1.21765,-0.102845,-1.07887,-0.226831,-0.257713,0.141531,-0.042244699999999996,-0.544654
SPE01500807,0.642479,-0.987725,-0.640887,-0.00383451,-0.31590100000000004,1.32558,1.16403,0.583149,0.31045500000000004,0.42558100000000004,-0.120913,0.488336,0.276002
SPE01500134,1.3166799999999999,-0.8599950000000001,-1.05255,0.0111635,-0.32648499999999997,0.383272,1.28034,1.35358,0.936883,0.601477,-0.395895,0.500741,0.387967
SPE01500224,1.77564,0.705811,1.33125,0.9264190000000001,-2.48278,2.17273,3.78245,1.35471,1.12775,1.20541,-0.8753209999999999,1.29425,-0.20504499999999998
