Supplier ID,Name,Canonical SMILES
LOPAC 00228,N-Phenylanthranilic acid,OC(=O)c1ccccc1Nc1ccccc1
LOPAC 00362,5-Fluoroindole-2-carboxylic acid,OC(=O)c1nc2ccc(F)cc2c1
LOPAC 00557,Tryptamine hydrochloride,Cl.NCCc1cnc2ccccc12
LOPAC 00565,5-Aminovaleric acid hydrochloride,Cl.NCCCCC(O)=O
LOPAC 00574,S(-)-p-Bromotetramisole oxalate,OC(=O)C(O)=O.Brc1ccc(cc1)C1CN2CCSC2=N1
LOPAC 00581,DL-alpha-Methyl-p-tyrosine,CC(N)(Cc1ccc(O)cc1)C(O)=O
LOPAC 00592,(±)-Nipecotic acid,OC(=O)C1CCCNC1
LOPAC 00662,Azelaic acid,OC(=O)CCCCCCCC(O)=O
LOPAC 00001,Atropine methyl nitrate,[O-][N+]([O-])=O.C[N+]1(C)C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1
LOPAC 00057,S-(4-Nitrobenzyl)-6-thioguanosine,[O-][N+](=O)c1ccc(CSc2nc(N)nc3n(cnc23)C2OC(CO)C(O)C2O)cc1
LOPAC 00164,Atropine sulfate,CN1C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1.CN1C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1.OS(O)(=O)=O
LOPAC 00167,4-Aminopyridine,Nc1ccncc1
LOPAC 00235,TMB-8 hydrochloride,Cl.CCN(CC)CCCCCCCCOC(=O)c1cc(OC)c(OC)c(OC)c1
LOPAC 00332,Arcaine sulfate,NC(=N)NCCCCNC(N)=N.OS(O)(=O)=O
LOPAC 00612,"6-Methoxy-1,2,3,4-tetrahydro-9H-pyrido[3,4b] indole",COc1ccc2nc3CNCCc3c2c1
LOPAC 00644,1-Aminocyclopropanecarboxylic acid hydrochloride,Cl.NC1(CC1)C(O)=O
LOPAC 00023,"4-Amino-1,8-naphthalimide",Nc1ccc2C(=O)NC(=O)c3cccc1c32
LOPAC 00087,p-Aminoclonidine hydrochloride,Cl.Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1
LOPAC 00645,N-(4-Aminobutyl)-5-chloro-2-naphthalenesulfonamide hydrochloride,Cl.NCCCCNS(=O)(=O)c1cccc2c(Cl)cccc21
LOPAC 00646,L-azetidine-2-carboxylic acid,OC(=O)C1CCN1
LOPAC 00647,3-aminobenzamide,NC(=O)c1cccc(N)c1
LOPAC 00648,(±)-Norepinephrine (+)bitartrate,NCC(O)c1ccc(O)c(O)c1.OC(C(O)C(O)=O)C(O)=O
LOPAC 00649,Reserpine,COC1C(CC2CN3CCc4c(nc5cc(OC)ccc54)C3CC2C1C(=O)OC)OC(=O)c1cc(OC)c(OC)c(OC)c1
LOPAC 00663,Acetamide,CC(N)=O
LOPAC 00018,Aminophylline ethylenediamine,CN1C(=O)N(C)c2ncnc2C1=O.CN1C(=O)N(C)c2ncnc2C1=O.NCCN
LOPAC 00243,Amantadine hydrochloride,Cl.NC12CC3CC(CC(C3)C1)C2
LOPAC 00324,(±)-2-Amino-4-phosphonobutyric acid,NC(CCP(O)(O)=O)C(O)=O
LOPAC 00621,Aminopterin,Nc1nc(N)c2nc(CNc3ccc(cc3)C(=O)NC(CCC(O)=O)C(O)=O)cnc2n1
LOPAC 00650,N-Acetyl-5-hydroxytryptamine,CC(=O)NCCc1cnc2ccc(O)cc12
LOPAC 00651,Aurintricarboxylic acid,OC(=O)c1cc(ccc1O)C(c1ccc(O)c(c1)C(O)=O)=c1ccc(=O)c(c1)C(O)=O
LOPAC 00664,S-(p-Azidophenacyl)glutathione,NC(CCC(=O)NC(CSCC(=O)c1ccc(cc1)N=[N+]=[N-])C(=O)NCC(O)=O)C(O)=O
LOPAC 01302,N-arachidonylglycine,CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCC(O)=O
LOPAC 00171,Acetyl-beta-methylcholine chloride,[ClH-].CC(C[N+](C)(C)C)OC(C)=O
LOPAC 00568,3`-Azido-3`-deoxythymidine,CC1=CN(C2CC(N=[N+]=[N-])C(CO)O2)C(=O)NC1=O
LOPAC 00598,GABA,NCCCC(O)=O
LOPAC 00652,5-azacytidine,NC1N=CN(C2OC(CO)C(O)C2O)C(=O)N=1
LOPAC 00653,Apigenin,Oc1ccc(cc1)C1Oc2cc(O)cc(O)c2C(=O)C=1
