Supplier ID,Name,Canonical SMILES
AW 00215,ethyl 2-amino-4-(4-fluorophenyl)thiophene-3-carboxylate,CCOC(=O)c1c(N)scc1c1ccc(F)cc1
AW 00436,"2-phenyl-4-(2-thienyl)-1,3-thiazole",s1cccc1c1csc(n1)c1ccccc1
AW 00625,"1-[4-(6-chloro-1,3-benzothiazol-2-yl)piperazino]-3-{4-[3-chloro-5-(trifluoromethyl)-2-pyridyl]-1,4-diazepan-1-yl}-2-propanol",OC(CN1CCCN(CC1)c1ncc(cc1Cl)C(F)(F)F)CN1CCN(CC1)c1sc2cc(Cl)ccc2n1
AW 00698,N-{2-[4-methyl-3-(trifluoromethyl)-1H-pyrazol-1-yl]-5-nitrophenyl}acetamide,[O-][N+](=O)c1ccc(n2cc(C)c(n2)C(F)(F)F)c(NC(C)=O)c1
AW 00801,"N-(2,4-dichlorophenyl)-4-(5-nitropyridin-2-yl)-1,4-diazepane-1-carbothioamide",[O-][N+](=O)c1ccc(nc1)N1CCCN(CC1)C(=S)Nc1ccc(Cl)cc1Cl
AW 00819,"4-chloro-2,5-dimethyl-N-(2-{[4-(trifluoromethyl)pyrimidin-2-yl]amino}ethyl)benzenesulfonamide",Cc1cc(c(C)cc1Cl)S(=O)(=O)NCCNc1nccc(n1)C(F)(F)F
AW 00844,2-[3-(2-thienyl)-1H-pyrazol-1-yl]-4-(trifluoromethyl)pyrimidine,FC(F)(F)c1ccnc(n1)n1ccc(n1)c1sccc1
AW 00891,"2-(2-{[4-(trifluoromethyl)pyrimidin-2-yl]amino}ethyl)-2-azaspiro[4.4]nonane-1,3-dione",FC(F)(F)c1ccnc(NCCN2C(=O)CC3(CCCC3)C2=O)n1
AW 00925,"4-(5-propylpyrimidin-2-yl)-N-pyridin-3-yl-1,4-diazepane-1-carbothioamide",CCCc1cnc(nc1)N1CCCN(CC1)C(=S)Nc1cccnc1
AW 00962,"4-[4-(2-methoxyphenyl)piperidino]-5-phenylthieno[2,3-d]pyrimidine",COc1ccccc1C1CCN(CC1)c1ncnc2scc(c3ccccc3)c21
AW 01018,"N-(2-methoxyphenyl)-4-(2-thienylcarbonyl)-1,4-diazepane-1-carboxamide",COc1ccccc1NC(=O)N1CCCN(CC1)C(=O)c1sccc1
AW 01055,tert-butyl4-[(2-ethyl-6-methylanilino)carbonyl]tetrahydropyrazine-1(2H)-carboxylate,CCc1cccc(C)c1NC(=O)N1CCN(CC1)C(=O)OC(C)(C)C
AW 01109,"4-(4-{[5-(2-methyl-1,3-thiazol-4-yl)-2-thienyl]sulfonyl}piperazino)-5-phenylthieno[2,3-d]pyrimidine",Cc1scc(n1)c1sc(cc1)S(=O)(=O)N1CCN(CC1)c1ncnc2scc(c3ccccc3)c21
