Supplier ID,Name,Canonical SMILES
SPE01500763,CALCEIN,OC(=O)CN(CC(O)=O)Cc1cc2c(Oc3cc(=O)c(CN(CC(O)=O)CC(O)=O)cc3=C2c2ccccc2C(O)=O)cc1O
SPE01500764,KINETIN,C(Nc1ncnc2ncnc12)c1occc1
SPE01500779,SUPROFEN METHYL ESTER,COC(=O)C(C)c1ccc(cc1)C(=O)c1sccc1
SPE01500833,CANAVANINE,NC(CCONC(N)=N)C(O)=O
SPE01500867,HARMINE,COc1ccc2c(nc3c(C)nccc32)c1
SPE01500872,PALMATINE CHLORIDE,[ClH-].COc1ccc2cc3c4cc(OC)c(OC)cc4CC[n+]3cc2c1OC
SPE01500901,AESCULIN,OCC1OC(Oc2cc3C=CC(=O)Oc3cc2O)C(O)C(O)C1O
SPE01500906,LITHOCHOLIC ACID,CC(CCC(O)=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
SPE01500525,RACEPHEDRINE HYDROCHLORIDE,Cl.CNC(C)C(O)c1ccccc1
SPE01500984,GINKGOLIDE A,CC1C(=O)OC2C(O)C34C5OC(=O)C3(OC3OC(=O)C(O)C34C(C5O)C(C)(C)C)C12O
SPE01501017,FERULIC ACID,COc1cc(C=CC(O)=O)ccc1O
SPE01501126,5-AMINOPENTANOIC ACID HYDROCHLORIDE,Cl.NCCCCC(O)=O
SPE01501130,FAMPRIDINE,Nc1ccncc1
SPE01501172,AZOBENZENE,c1ccc(cc1)N=Nc1ccccc1
SPE01501181,ESTRONE ACETATE,CC(=O)Oc1ccc2C3CCC4(C)C(CCC4=O)C3CCc2c1
SPE01501204,LAPACHOL,CC(C)=CCc1c(O)c(=O)c2ccccc2c1=O
SPE01502103,ANTHRAQUINONE,O=c1c2ccccc2c(=O)c2ccccc12
SPE01502128,CYCLOLEUCINE,NC1(CCCC1)C(O)=O
SPE01502155,N (g)-NITRO-L-ARGININE,[O-][N+](=O)NC(=N)NCCCC(N)C(O)=O
SPE01502237,HARMOL HYDROCHLORIDE,Cl.Cc1nccc2c1nc1cc(O)ccc12
SPE01502252,MONOCROTALINE,CC1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C1(C)O)C23
SPE01503044,CHROMOCARB,OC(=O)C1Oc2ccccc2C(=O)C=1
SPE01503073,ADIPHENINE HYDROCHLORIDE,Cl.CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1
SPE01505299,AMITRAZ,CN(C=Nc1ccc(C)cc1C)C=Nc1ccc(C)cc1C
SPE01503253,METHYLBENZETHONIUM CHLORIDE,[ClH-].Cc1cc(ccc1OCCOCC[N+](C)(C)Cc1ccccc1)C(C)(C)CC(C)(C)C
SPE01503341,CHLOROACETOXYQUINOLINE,CC(=O)Oc1ccc(Cl)c2cccnc12
SPE01503626,OXOTREMORINE SESQUIFUMARATE,OC(=O)C=CC(O)=O.O=C1CCCN1CC#CCN1CCCC1
SPE01503636,N-METHYL-D-ASPARTIC ACID (NMDA),CNC(CC(O)=O)C(O)=O
SPE01503722,ATORVASTATIN CALCIUM,[Ca+2].[O-]C(=O)CC(O)CC(O)CCn1c(C(C)C)c(C(=O)c2ccccc2)c(c2ccccc2)c1c1ccc(F)cc1
SPE01503821,CYSTAMINE DIHYDROCHLORIDE,Cl.Cl.NCCSSCCN
SPE01503904,PATULIN,OC1OCC=c2oc(=O)cc12
SPE01503922,TRYPTAMINE,NCCc1cnc2ccccc12
SPE01500699,ACETYLTRYPTOPHANAMIDE,CC(=O)NC(Cc1cnc2ccccc12)C(N)=O
SPE01502234,"ABSCISIC ACID (cis,trans; +/-)",CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(O)=O
SPE01503982,AGMATINE SULFATE,NCCCCNC(N)=N.OS(O)(=O)=O
SPE01504002,BAICALEIN,Oc1cc2OC(=CC(=O)c2c(O)c1O)c1ccccc1
SPE01504025,SALSOLINE,COc1cc2C(C)NCCc2cc1O
SPE01504142,ACETRIAZOIC ACID,CC(=O)Nc1c(I)cc(I)c(C(O)=O)c1I
SPE01504187,TELENZEPINE HYDROCHLORIDE,Cl.CN1CCN(CC1)CC(=O)N1c2ccccc2NC(=O)c2csc(C)c12
SPE01505265,TELITHROMYCIN,CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(OC)C2(CCCn3cnc(c3)c3cccnc3)CC(C)C(=O)C(C)C3N(C2)C(=O)OC13C
SPE01504269,LITHIUM CITRATE,[Li+].[Li+].[Li+].[O-]C(=O)CC(O)(CC([O-])=O)C([O-])=O
SPE01504272,GATIFLOXACIN,COc1c(N2CCNC(C)C2)c(F)cc2C(=O)C(=CN(C3CC3)c12)C(O)=O
SPE01504410,PICROPODOPHYLLOTOXIN,COc1cc(cc(OC)c1OC)C1C2C(COC2=O)C(O)c2cc3OCOc3cc12
SPE01504604,GENTIOPICROSIDE,OCC1OC(OC2OC=C3C(=O)OCC=C3C2C=C)C(O)C(O)C1O
SPE01505200,BENAZEPRIL HYDROCHLORIDE,Cl.CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(O)=O)C1=O
SPE01505201,FAMCICLOVIR,CC(=O)OCC(CCn1cnc2cnc(N)nc12)COC(C)=O
SPE01505203,EZETIMIBE,OC(CCC1C(N(C1=O)c1ccc(F)cc1)c1ccc(O)cc1)c1ccc(F)cc1
SPE01505205,OLMESARTAN MEDOXOMIL,CCCc1nc(c(n1Cc1ccc(cc1)c1ccccc1c1nnnn1)C(=O)OCC1OC(=O)OC=1C)C(C)(C)O
SPE01505209,VALSARTAN,CCCCC(=O)N(Cc1ccc(cc1)c1ccccc1c1nnnn1)C(C(C)C)C(O)=O
SPE01505210,SIBUTRAMINE HYDROCHLORIDE,Cl.CC(C)CC(N(C)C)C1(CCC1)c1ccc(Cl)cc1
SPE01505212,PERINDOPRIL ERBUMINE,CCCC(NC(C)C(=O)N1C2CCCCC2CC1C(O)=O)C(=O)OCC.CC(C)(C)N
SPE01505213,ROSUVASTATIN,CC(C)c1nc(nc(c2ccc(F)cc2)c1C=CC(O)CC(O)CC(O)=O)N(C)S(C)(=O)=O
SPE01505222,DERACOXIB,COc1ccc(cc1F)c1cc(nn1c1ccc(cc1)S(N)(=O)=O)C(F)F
SPE01505230,CILOSTAZOL,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1
SPE01505244,CITICOLINE,[O-]P(=O)(OCC[N+](C)(C)C)OP(O)(=O)OCC1OC(C(O)C1O)N1C=CC(N)=NC1=O
SPE01505245,TROXERUTIN,CC1OC(OCC2OC(OC3C(=O)c4c(O)cc(OCCO)cc4OC=3c3ccc(OCCO)c(OCCO)c3)C(O)C(O)C2O)C(O)C(O)C1O
SPE01505248,CANRENONE,CC12CCC(=O)C=C1C=CC1C2CCC2(C)C1CCC12CCC(=O)O1
SPE01505249,APRAMYCIN,CNC1C(O)C2OC(OC3C(N)CC(N)C(O)C3O)C(N)CC2OC1OC1OC(CO)C(N)C(O)C1O
SPE01505256,SILIBININ,COc1cc(ccc1O)C1Oc2cc(ccc2OC1CO)C1Oc2cc(O)cc(O)c2C(=O)C1O
SPE01505261,TELMISARTAN,CCCc1nc2c(C)cc(cc2n1Cc1ccc(cc1)c1ccccc1C(O)=O)c1nc2ccccc2n1C
SPE01505262,SERTRALINE HYDROCHLORIDE,Cl.CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc12
SPE01505263,ALFLUZOCIN,COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C1CCCO1
SPE01505264,TRANDOLAPRIL,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C2CCCCC2CC1C(O)=O
SPE01505314,SARAFLOXACIN HYDROCHLORIDE,Cl.OC(=O)C1=CN(c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2C1=O
SPE01500663,YOHIMBINE HYDROCHLORIDE,Cl.COC(=O)C1C(O)CCC2CN3CCc4c(nc5ccccc54)C3CC21
SPE01505215,TEGASEROD MALEATE,CCCCCNC(=N)NN=Cc1cnc2ccc(OC)cc21.OC(=O)C=CC(O)=O
SPE01505267,OXAPROZIN,OC(=O)CCc1oc(c2ccccc2)c(n1)c1ccccc1
SPE01505270,PROPRANOLOL HYDROCHLORIDE (+/-),Cl.CC(C)NCC(O)COc1cccc2ccccc12
SPE01505271,CROTAMITON,CCN(C(=O)C=CC)c1ccccc1C
SPE01505281,ZOLMITRIPTAN,CN(C)CCc1cnc2ccc(CC3COC(=O)N3)cc12
SPE01505294,CARBADOX,[O-][n+]1cc(C=NNC(=O)OC)[n+]([O-])c2ccccc21
SPE01505296,OXFENDAZOLE,COC(=O)Nc1nc2cc(ccc2n1)S(=O)c1ccccc1
SPE01500523,QUINIDINE GLUCONATE,COc1ccc2nccc(C(O)C3CC4CCN3CC4C=C)c2c1.OCC(O)C(O)C(O)C(O)C(O)=O
SPE01505304,SECNIDAZOLE,[O-][N+](=O)c1cnc(C)n1CC(C)O
SPE01505305,PEFLOXACINE MESYLATE,CCN1C=C(C(O)=O)C(=O)c2cc(F)c(cc12)N1CCN(C)CC1.CS(O)(=O)=O
SPE01505306,ASPARTAME,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(O)=O
SPE01505308,CHLOROPHYLLIDE Cu COMPLEX Na SALT,[Na+].[Na+].[O-]C(=O)CCc1c(C)c2=Cc3n4c(C=c5n6c(=Cc7n8c9C(C(C([O-])=O)C(=O)c9c7C)=c1n2[Cu]648)c(CC)c5C)c(C=C)c3C
SPE01505309,BIFONAZOLE,c1ccc(cc1)C(n1ccnc1)c1ccc(cc1)c1ccccc1
SPE01505310,REBAMIPIDE,OC(=O)C(CC1=CC(=O)Nc2ccccc12)NC(=O)c1ccc(Cl)cc1
SPE01505312,TYLOSIN TARTRATE,CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C(C2O)N(C)C)C(CC=O)CC(C)C(=O)C=CC(C)=CC1COC1OC(C)C(O)C(OC)C1OC
SPE01500101,ACETAMINOPHEN,CC(=O)Nc1ccc(O)cc1
SPE01500391,METHACHOLINE CHLORIDE,[ClH-].COC(=O)C(C)C[N+](C)(C)C
SPE01500408,METHYLTHIOURACIL,CC1NC(=S)NC(=O)C=1
SPE01500497,PREDNISOLONE ACETATE,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C
SPE01500532,SALICYLAMIDE,NC(=O)c1ccccc1O
SPE01500556,SULINDAC,CC1=C(CC(O)=O)c2cc(F)ccc2C1=Cc1ccc(cc1)S(C)=O
SPE01503242,ISOXICAM,CN1C(C(=O)Nc2cc(C)on2)=C(O)c2ccccc2S1(=O)=O
SPE01504184,AMINOLEVULINIC ACID HYDROCHLORIDE,Cl.NCC(=O)CCC(O)=O
SPE01500322,GUANABENZ ACETATE,CC(O)=O.NC(=N)NN=Cc1c(Cl)cccc1Cl
SPE01500395,METHICILLIN SODIUM,[Na+].[O-]C(=O)C1N2C(SC1(C)C)C(NC(=O)c1c(OC)cccc1OC)C2=O
SPE01500434,NITROFURAZONE,[O-][N+](=O)c1oc(cc1)C=NNC(N)=O
SPE01500450,OXIDOPAMINE HYDROCHLORIDE,Cl.NCCc1cc(O)c(O)cc1O
SPE01500536,SISOMICIN SULFATE,CNC1C(O)C(OCC1(C)O)OC1C(N)CC(N)C(OC2OC(CN)=CCC2N)C1O.OS(O)(=O)=O
SPE01502013,ISOTRETINON,CC1CCCC(C)(C)C=1C=CC(C)=CC=CC(C)=CC(O)=O
SPE01503223,PARAROSANILINE PAMOATE,Nc1cccc(c1)C(=c1ccc(=N)cc1)c1cccc(N)c1.OC(=O)c1cc2ccccc2c(Cc2c(O)c(cc3ccccc32)C(O)=O)c1O
SPE01503816,AMCINONIDE,CC(=O)OCC(=O)C12OC3(CCCC3)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C
SPE00330082,MITOTANE,ClC(Cl)C(c1ccc(Cl)cc1)c1ccccc1Cl
SPE01500102,ACETAZOLAMIDE,CC(=O)Nc1sc(nn1)S(N)(=O)=O
SPE01500168,CEPHRADINE,CC1CSC2C(NC(=O)C(N)C3CC=CCC=3)C(=O)N2C=1C(O)=O
SPE01500399,METHOXAMINE HYDROCHLORIDE,Cl.COc1ccc(OC)c(c1)C(O)C(C)N
SPE01500467,PENICILLIN V POTASSIUM,[K+].[O-]C(=O)C1N2C(SC1(C)C)C(NC(=O)COc1ccccc1)C2=O
SPE01500538,SPECTINOMYCIN HYDROCHLORIDE,Cl.Cl.CNC1C(O)C(NC)C2OC3(O)C(OC(C)CC3=O)OC2C1O
SPE01500548,SULFAMETHAZINE,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
SPE01500566,TETRACYCLINE HYDROCHLORIDE,Cl.CN(C)C1C2CC3C(=C(O)C2(O)C(=O)C(C(N)=O)=C1O)C(=O)c1c(O)cccc1C3(C)O
SPE00330002,MITOMYCIN C,COC12C(COC(N)=O)c3c(=O)c(N)c(C)c(=O)c3N1CC1NC12
SPE01500135,BACLOFEN,NCC(CC(O)=O)c1ccc(Cl)cc1
SPE01500404,METHYLERGONOVINE MALEATE,CCC(CO)NC(=O)C1CN(C)C2Cc3cnc4cccc(C2=C1)c34.OC(=O)C=CC(O)=O
SPE01500502,PROBENECID,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(O)=O
SPE01500504,PROCAINE HYDROCHLORIDE,Cl.CCN(CC)CCOC(=O)c1ccc(N)cc1
SPE01500551,SULFAPYRIDINE,Nc1ccc(cc1)S(=O)(=O)Nc1ccccn1
SPE01500578,TIMOLOL MALEATE,CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1.OC(=O)C=CC(O)=O
SPE01500592,TRIHEXYPHENIDYL HYDROCHLORIDE,Cl.OC(CCN1CCCCC1)(C1CCCCC1)c1ccccc1
SPE01500264,DOXEPIN HYDROCHLORIDE,Cl.CN(C)CCC=C1c2ccccc2COc2ccccc21
SPE01500300,FLUMETHAZONE PIVALATE,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(=O)C(C)(C)C
SPE01500381,MEGESTROL ACETATE,CC(=O)OC1(CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C)C(C)=O
SPE01500503,PROCAINAMIDE HYDROCHLORIDE,Cl.CCN(CC)CCNC(=O)c1ccc(N)cc1
SPE01500539,SPIRONOLACTONE,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC43CCC(=O)O4)C12
SPE01500553,SULFATHIAZOLE,Nc1ccc(cc1)S(=O)(=O)Nc1sccn1
SPE01501188,EBSELEN,O=C1N([Se]c2ccccc12)c1ccccc1
SPE01503923,IOPANIC ACID,CCC(Cc1c(I)cc(I)c(N)c1I)C(O)=O
SPE01500115,AMINOGLUTETHIMIDE,CCC1(CCC(=O)NC1=O)c1ccc(N)cc1
SPE01500284,ESTRADIOL VALERATE,CCCCC(=O)OC1CCC2C3CCc4cc(O)ccc4C3CCC12C
SPE01500354,IPRATROPIUM BROMIDE,[BrH-].CC(C)[N+]1(C)C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1
SPE01500483,PHENYLEPHRINE HYDROCHLORIDE,Cl.CNCC(O)c1cccc(O)c1
SPE01500507,PROCYCLIDINE HYDROCHLORIDE,Cl.OC(CCN1CCCC1)(C1CCCCC1)c1ccccc1
SPE01500668,KETOTIFEN FUMARATE,CN1CCC(CC1)=C1c2ccccc2CC(=O)c2sccc21.OC(=O)C=CC(O)=O
SPE01502113,AZASERINE,NC(COC(=O)C=[N+]=[N-])C(O)=O
SPE01503422,SEMUSTINE,CC1CCC(CC1)NC(=O)N(CCCl)N=O
SPE01500137,BENSERAZIDE HYDROCHLORIDE,Cl.NC(CO)C(=O)NNCc1ccc(O)c(O)c1O
SPE01500216,CYPROTERONE ACETATE,CC(=O)OC1(CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C)C(C)=O
SPE01500267,DOXYLAMINE SUCCINATE,CN(C)CCOC(C)(c1ccccc1)c1ccccn1.OC(=O)CCC(O)=O
SPE01500364,LEUCOVORIN CALCIUM,[Ca+2].[O-]C(=O)CCC(NC(=O)c1ccc(NCC2CNC3NC(N)=NC(=O)C=3N2C=O)cc1)C([O-])=O
SPE01500518,PYRAZINAMIDE,NC(=O)c1cnccn1
SPE01500521,PYRVINIUM PAMOATE,[O-]C(=O)c1cc2ccccc2c(Cc2c(O)c(cc3ccccc32)C(O)=O)c1O.CN(C)c1ccc2c(ccc(C=Cc3cc(C)n(c3C)c3ccccc3)[n+]2C)c1
SPE01500541,STREPTOMYCIN SULFATE,CNC1C(O)C(O)C(CO)OC1OC1C(OC(C)C1(O)C=O)OC1C(O)C(O)C(NC(N)=N)C(O)C1NC(N)=N.OS(O)(=O)=O
SPE02300241,LOPERAMIDE HYDROCHLORIDE,Cl.CN(C)C(=O)C(CCN1CCC(O)(CC1)c1ccc(Cl)cc1)(c1ccccc1)c1ccccc1
SPE01500110,AMANTADINE HYDROCHLORIDE,Cl.NC12CC3CC(CC(C3)C1)C2
SPE01500244,DIETHYLSTILBESTROL,CCC(c1ccc(O)cc1)=C(CC)c1ccc(O)cc1
SPE01500276,ERGOCALCIFEROL,CC(C)C(C)C=CC(C)C1CCC2C(CCCC12C)=CC=C1CC(O)CCC1=C
SPE01500489,PIPERACILLIN SODIUM,[Na+].[O-]C(=O)C1N2C(SC1(C)C)C(NC(=O)C(NC(=O)N1CCN(CC)C(=O)C1=O)c1ccccc1)C2=O
SPE01500499,PREDNISONE,CC12CC(=O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO
SPE01500510,PROMETHAZINE HYDROCHLORIDE,Cl.CC(CN1c2ccccc2Sc2ccccc12)N(C)C
SPE01500605,URSODIOL,CC(CCC(O)=O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C
SPE01501118,MECLOCYCLINE SULFOSALICYLATE,CN(C)C1C2C(O)C3C(=C)c4c(Cl)ccc(O)c4C(=O)C3=C(O)C2(O)C(=O)C(C(N)=O)=C1O.OC(=O)c1cc(ccc1O)S(O)(=O)=O
SPE01500240,DICYCLOMINE HYDROCHLORIDE,Cl.CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1
SPE01500246,DIGITOXIN,CC1OC(CC(O)C1O)OC1C(O)CC(OC1C)OC1C(O)CC(OC1C)OC1CCC2(C)C(CCC3C2CCC2(C)C(CCC32O)C2COC(=O)C=2)C1
