Supplier ID,Name,Canonical SMILES
SPE00100002,11alpha-ACETOXYKHIVORIN,CC(=O)OC1CC2(C)C(OC(=O)C3OC32C2(C)C(CC3C(C)(C)C(CC(OC(C)=O)C3(C)C12)OC(C)=O)OC(C)=O)c1cocc1
SPE00100016,DEOXYANDIROBIN,COC(=O)CC1C(C)(C)C(=O)C=CC1(C)C1CCC2(C)C(OC(=O)C=C2C1=C)c1cocc1
SPE00100058,6-HYDROXYANGOLENSIC ACID METHYL ESTER,COC(=O)C(O)C1C(C)(C)C(=O)CC2OC34CC(=O)OC(c5cocc5)C3(C)CCC(C4=C)C21C
SPE00100094,SWIETENOLIDE-3-ACETATE,COC(=O)C(O)C1C(C)(C)C(OC(C)=O)C2CC3C(CCC4(C)C(OC(=O)CC=34)c3cocc3)C1(C)C2=O
SPE00100126,"3-CHLORO-8beta-HYDROXYCARAPIN, 3,8-HEMIACETAL",COC(=O)CC1C(C)(C)C2(Cl)OC34CC2C(=O)C1(C)C3CCC1(C)C(OC(=O)C=C14)c1cocc1
SPE00100194,DEOXYANDIROBIN LACTONE,CC1(C)C(O)C=CC2(C)C3CCC4(C)C(OC(=O)C=C4C3(C)OC(=O)CC12)c1cocc1
SPE00100271,TOTARALOLAL,CC(C)c1c(O)ccc2c1CCC1C(C)(CCCC12C)C=O
SPE00100305,3beta-HYDROXYISOALLOSPIROST-9(11)-ENE,CC1CCC2(OC1)OC1CC3C4CCC5CC(O)CCC5(C)C4=CCC3(C)C1C2C
SPE00100003,ANDIROBIN,COC(=O)CC1C(C)(C)C(=O)C=CC1(C)C1CCC2(C)C(OC(=O)C3OC32C1=C)c1cocc1
SPE00100024,DIHYDROGEDUNIN,CC(=O)OC1CC2C(C)(C)C(=O)CCC2(C)C2CCC3(C)C(OC(=O)C4OC43C12C)c1cocc1
SPE00100060,MEXICANOLIDE,COC(=O)CC1C(C)(C)C(=O)C2CC3C(CCC4(C)C(OC(=O)CC=34)c3cocc3)C1(C)C2=O
SPE00100096,3-DEOXY-3beta-HYDROXYANGOLENSIC ACID METHYL ESTER,COC(=O)CC1C(C)(C)C(O)CC2OC34CC(=O)OC(c5cocc5)C3(C)CCC(C4=C)C21C
SPE00100129,8-HYDROXYCARAPINIC ACID,CC1(C)C(CC(O)=O)C2(C)C3CCC4(C)C(OC(=O)C=C4C3(O)CC(C1=O)C2=O)c1cocc1
SPE00100195,ISOGEDUNIN,CC(=O)OC1CC2C(C)(C)C=CC(=O)C2(C)C2CCC3(C)C(OC(=O)C4OC43C12C)c1cocc1
SPE00100279,LYCORINE,OC1C=C2CCN3Cc4cc5OCOc5cc4C(C1O)C32
SPE00100310,HECOGENIN ACETATE,CC1CCC2(OC1)OC1CC3C4CCC5CC(CCC5(C)C4CC(=O)C3(C)C1C2C)OC(C)=O
SPE00100005,ANTHOTHECOL,CC(=O)OC1CC2(C)C(CC3OC32C2(C)C1C1(C)C=CC(=O)C(C)(C)C1=C(O)C2=O)c1cocc1
SPE00100031,FISSINOLIDE,COC(=O)CC1C(C)(C)C(OC(C)=O)C2CC3C(CCC4(C)C(OC(=O)CC=34)c3cocc3)C1(C)C2=O
SPE00100066,OBACUNOL,CC1(C)OC(=O)C=CC2(C)C3CCC4(C)C(OC(=O)C5OC54C3(C)C(O)CC12)c1cocc1
SPE00100098,TRICHILENONE,CC1(C)C2CC(O)C3C(CCC4(C)C(CC5OC534)c3cocc3)C2(C)C=CC1=O
SPE00100139,DEOXYKHIVORIN,CC(=O)OC1CC(OC(C)=O)C2(C)C3CCC4(C)C(OC(=O)C=C4C3(C)C(CC2C1(C)C)OC(C)=O)c1cocc1
SPE00100201,3-DEOXO-3beta-ACETOXYDEOXYDIHYDROGEDUNIN,CC(=O)OC1CCC2(C)C3CCC4(C)C(OC(=O)C=C4C3(C)C(CC2C1(C)C)OC(C)=O)c1cocc1
SPE00100280,19-HYDROXYTOTAROL,CC(C)c1c(O)ccc2c1CCC1C(C)(CO)CCCC12C
SPE00100315,TIGOGENIN,CC1CCC2(OC1)OC1CC3C4CCC5CC(O)CCC5(C)C4CCC3(C)C1C2C
SPE00100006,BUSSEIN,COC(=O)CC1C2(C)CC34OC5(C)OC6(C(OC(C)=O)C3(O)C2OC(=O)C(C)C)C2C(=C(O)C(C)C)C(=O)OC(c3cocc3)C2(C)C(OC(C)=O)C(OC(C)=O)C6(O5)C14C
SPE00100034,HAVANENSIN TRIACETATE,CC(=O)OC1CC(OC(C)=O)C2(C)C3CCC4(C)C(CC5OC54C3(C)C(CC2C1(C)C)OC(C)=O)c1cocc1
SPE00100068,PRIEURIANIN,CCC(C)C(O)C(=O)OC1C(OC=O)C(C(=C)C2(O)C(=O)CC(c3cocc3)C12C)C1(C)C(CC(=O)OC(C)(COC(C)=O)C1CC(=O)OC)OC(C)=O
SPE00100099,HAVANENSIN,CC1(C)C(O)CC(O)C2(C)C3CCC4(C)C(CC5OC54C3(C)C(O)CC12)c1cocc1
SPE00100140,7-DEACETOXY-7-OXODEOXYGEDUNIN,CC1(C)C2CC(=O)C3(C)C(CCC4(C)C(OC(=O)C=C43)c3cocc3)C2(C)C=CC1=O
SPE00100205,3alpha-ACETOXYDIHYDRODEOXYGEDUNIN,CC(=O)OC1CCC2(C)C3CCC4(C)C(OC(=O)C=C4C3(C)C(CC2C1(C)C)OC(C)=O)c1cocc1
SPE00100287,TOTAROL,CC(C)c1c(O)ccc2c1CCC1C(C)(C)CCCC12C
SPE00100318,DIOSGENIN,CC1CCC2(OC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2C
SPE00100008,CARAPIN,COC(=O)CC1C(C)(C)C(=O)C2CC3C(CCC4(C)C(OC(=O)C=C34)c3cocc3)C1(C)C2=O
SPE00100047,DEACETOXY-7-OXOGEDUNIN,CC1(C)C2CC(=O)C3(C)C(CCC4(C)C(OC(=O)C5OC543)c3cocc3)C2(C)C=CC1=O
SPE00100069,PRIEURANIN ACETATE,CCC(C)C(OC(C)=O)C(=O)OC1C(OC=O)C(C(=C)C2(O)C(=O)CC(c3cocc3)C12C)C1(C)C(CC(=O)OC(C)(COC(C)=O)C1CC(=O)OC)OC(C)=O
SPE00100101,PRENYLETIN,CC(C)=CCOc1cc2OC(=O)C=Cc2cc1O
SPE00100146,"7-DESACETOXY-6,7-DEHYDROGEDUNIN",CC1(C)C2C=CC3(C)C(CCC4(C)C(OC(=O)C5OC543)c3cocc3)C2(C)C=CC1=O
SPE00100218,DEOXODEOXYDIHYDROGEDUNIN,CC(=O)OC1CC2C(C)(C)CCCC2(C)C2CCC3(C)C(OC(=O)C=C3C12C)c1cocc1
SPE00100290,"2,3-DIHYDROISOGEDUNIN",CC(=O)OC1CC2C(C)(C)CCC(=O)C2(C)C2CCC3(C)C(OC(=O)C4OC43C12C)c1cocc1
SPE00100325,DIGITONIN,CC1CCC2(OC1)OC1C(O)C3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(O)C(OC8OC(CO)C(O)C(O)C8O)C7O)C(O)C6O)C(O)CC5(C)C4CCC3(C)C1C2C
SPE00100009,CEDRELONE,CC1(C)C(=O)C=CC2(C)C3CCC4(C)C(CC5OC54C3(C)C(=O)C(O)=C12)c1cocc1
SPE00100048,7-DEACETOXY-7-OXOKHIVORIN,CC(=O)OC1CC(OC(C)=O)C2(C)C3CCC4(C)C(OC(=O)C5OC54C3(C)C(=O)CC2C1(C)C)c1cocc1
SPE00100076,SWIETENINE,COC(=O)C(O)C1C(C)(C)C(OC(=O)C(C)=CC)C2C=C3C(CCC4(C)C3CC(=O)OC4c3cocc3)C1(C)C2=O
SPE00100102,CARAPIN-8(9)-ENE,COC(=O)CC1C(C)(C)C(=O)C2CC3=C(CCC4(C)C(OC(=O)C=C34)c3cocc3)C1(C)C2=O
