supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.984286,0.362095,0,0.723712,0.984286,1.19
AW 00421,0.986267,0.460032,0,0.65925,0.986267,1.02
AW 00430,0.94316,-1.70329,0,0.088515,0.94316,5.86
AW 00475,0.867236,-5.52265,0,4.54152e-08,0.867236,14.33
AW 00480,0.946041,-1.55791,0,0.119277,0.946041,5.63
AW 00519,0.973133,-0.199248,0,0.837068,0.973133,2.67
AW 00564,0.981779,0.228698,0,0.624234,0.981779,1.76
AW 00594,0.983711,0.337372,0,0.736198,0.983711,1.59
AW 00603,0.986663,0.481755,0,0.638354,0.986663,1.31
AW 00637,0.989561,0.627328,0,0.54178,0.989561,1.02
AW 00845,0.952316,-1.23925,0,0.218318,0.952316,5.17
BR 00082,0.959167,-0.895828,0,0.371038,0.959167,4.44
BTB 00693,0.957164,-0.999207,0,0.318192,0.957164,4.66
BTB 00803,0.97331,-0.186524,0,0.852294,0.97331,2.84
BTB 01259,0.979099,0.0913123,0,0.549734,0.979099,2.16
BTB 01345,0.969484,-0.399158,0,0.432498,0.969484,3.18
BTB 01397,0.992744,0.790423,0,0.432802,0.992744,0.57
BTB 01431,0.954432,-1.13821,0,0.257484,0.954432,4.78
BTB 01473,0.95811,-0.956358,0,0.351952,0.95811,4.32
BTB 01480,0.987326,0.516282,0,0.611252,0.987326,1.02
BTB 01594,0.92482,-2.62187,0,0.01001,0.92482,7.9
BTB 02800,0.979067,0.106178,0,0.915552,0.979067,1.82
BTB 02837,0.984231,0.34656,0,0.494642,0.984231,1.19
BTB 03305,0.98348,0.312377,0,0.578968,0.98348,1.25
BTB 03433,0.98546,0.418922,0,0.689634,0.98546,1.02
BTB 03574,0.970157,-0.346763,0,0.730528,0.970157,2.73
BTB 03608,0.976385,-0.0340331,0,0.879052,0.976385,2.05
BTB 03925,0.965296,-0.592705,0,0.558622,0.965296,3.3
BTB 04194,0.98348,0.324422,0,0.746954,0.98348,1.31
BTB 04231,0.975172,-0.0920401,0,0.9267,0.975172,2.27
BTB 04275,0.964847,-0.62831,0,0.576336,0.964847,3.47
BTB 04463,0.534114,-22.553,0,1.56342e-36,0.534114,51.23
BTB 04719,0.950387,-1.38729,0,0.305024,0.950387,5.17
BTB 04953,0.968537,-0.426265,0,0.6701,0.968537,3.24
BTB 05020,0.90342,-3.69142,0,0.000750128,0.90342,10.52
BTB 05066,0.975204,-0.0790175,0,0.675094,0.975204,2.62
BTB 05122,0.978138,0.0595831,0,0.952572,0.978138,2.33
BTB 05144,0.973362,-0.18461,0,0.854066,0.973362,2.9
BTB 05336,0.979335,0.105693,0,0.617738,0.979335,2.27
BTB 05340,0.957991,-0.991994,0,0.346866,0.957991,4.66
BTB 05419,0.981654,0.217145,0,0.486524,0.981654,2.1
BTB 05486,0.360677,-30.8479,0,0,0.360677,70.92
BTB 05499,0.886956,-4.5238,0,1.74757e-05,0.886956,12.68
BTB 05661,0.60425,-18.3536,1,0.0277444,0.60425,44.25
BTB 05727,0.985318,0.406489,0,0.63248,0.985318,1.93
BTB 06084,0.960742,-0.809231,0,0.445188,0.960742,4.72
BTB 06237,0.977516,0.0267358,0,0.97867,0.977516,2.9
BTB 06387,0.972339,-0.233153,0,0.815728,0.972339,3.47
BTB 06428,0.958196,-1.00014,0,0.128416,0.958196,4.95
BTB 06691,0.936735,-2.01569,0,0.0644474,0.936735,7.28
