supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.918782,-0.306908,0,0.60523,0.918782,8.67
AW 00421,0.898138,-0.704526,0,0.481188,0.898138,10.97
AW 00430,0.88382,-0.940734,0,0.358076,0.88382,12.58
AW 00475,0.655414,-4.96386,0,7.09182e-07,0.655414,38.12
AW 00480,0.889271,-0.848488,0,0.40246,0.889271,11.97
AW 00519,1.00052,1.09983,0,0.274474,1.00052,-0.48
AW 00564,0.966154,0.496749,0,0.621472,0.966154,3.37
AW 00594,0.908743,-0.489998,0,0.655044,0.908743,9.79
AW 00603,0.971958,0.602969,0,0.55296,0.971958,2.72
AW 00637,0.941641,0.0585894,0,0.953288,0.941641,6.11
AW 00845,0.860931,-1.35094,0,0.178068,0.860931,15.13
BR 00082,0.480116,-7.96184,0,5.62164e-12,0.480116,57.74
BTB 00693,0.451957,-8.53694,0,2.058e-17,0.451957,60.87
BTB 00803,0.933438,-0.0790812,0,0.937164,0.933438,7.03
BTB 01259,0.789626,-2.58437,0,0.0145049,0.789626,23.11
BTB 01345,0.174822,-13.421,0,1.17889e-38,0.174822,91.86
BTB 01397,0.983352,0.797942,0,0.427314,0.983352,1.44
BTB 01431,0.763021,-3.10707,0,0.00515226,0.763021,26.07
BTB 01473,0.170091,-13.5084,0,9.30278e-39,0.170091,92.39
BTB 01480,0.898293,-0.685664,0,0.504792,0.898293,10.96
BTB 01594,0.197724,-13.0339,0,3.04742e-35,0.197724,89.29
BTB 02800,0.913599,-0.428493,0,0.668794,0.913599,9.24
BTB 02837,0.896613,-0.71222,0,0.493546,0.896613,11.15
BTB 03305,0.821848,-2.01902,0,0.0569172,0.821848,19.51
BTB 03433,0.963683,0.444341,0,0.656976,0.963683,3.64
BTB 03574,0.910874,-0.474616,0,0.636232,0.910874,9.55
BTB 03608,0.68881,-4.31397,0,0.000410156,0.68881,34.4
BTB 03925,0.903362,-0.606693,0,0.54529,0.903362,10.39
BTB 04194,0.817668,-2.09729,0,0.04318,0.817668,19.98
BTB 04231,0.966733,0.505136,0,0.61465,0.966733,3.3
BTB 04275,0.836646,-1.74928,0,0.120574,0.836646,17.86
BTB 04463,0.110151,-14.5915,0,3.9965e-42,0.110151,99.08
BTB 04719,0.836828,-1.77652,0,0.0758268,0.836828,17.83
BTB 04953,0.89184,-0.821228,0,0.414762,0.89184,11.67
BTB 05020,0.761779,-3.12175,0,0.0036457,0.761779,26.22
BTB 05066,0.95747,0.325544,0,0.749112,0.95747,4.33
BTB 05122,0.901597,-0.631154,0,0.53466,0.901597,10.59
BTB 05144,0.91689,-0.35093,0,0.727518,0.91689,8.88
BTB 05336,0.939538,0.0425088,0,0.75701,0.939538,6.35
BTB 05340,0.195691,-13.0744,0,4.7812e-35,0.195691,89.52
BTB 05419,0.893407,-0.791878,0,0.430242,0.893407,11.5
BTB 05486,0.104757,-14.6852,0,8.99634e-43,0.104757,99.68
BTB 05499,0.809745,-2.28735,0,0.041869,0.809745,20.85
BTB 05661,0.512746,-7.42932,0,2.84088e-12,0.512746,54.08
BTB 05727,0.337791,-10.6858,0,7.16788e-17,0.337791,73.6
BTB 06084,0.965857,0.481379,0,0.63069,0.965857,3.4
BTB 06237,0.923682,-0.223747,0,0.627392,0.923682,8.12
BTB 06387,0.980627,0.751819,0,0.45589,0.980627,1.75
BTB 06428,0.836998,-1.78071,0,0.0758474,0.836998,17.81
BTB 06691,0.94222,0.0669759,0,0.94666,0.94222,6.04
BTB 06791,0.573615,-6.41461,0,4.83812e-10,0.573615,47.26
BTB 07002,0.107284,-14.6342,0,4.25995e-43,0.107284,99.4
BTB 07082,0.449768,-8.59633,0,1.77739e-16,0.449768,61.11
BTB 07328,0.971138,0.577815,0,0.563406,0.971138,2.81
BTB 07385,0.119117,-14.4273,0,8.38817e-42,0.119117,98.08
BTB 07880,0.763277,-3.06795,0,0.002158,0.763277,26.05
BTB 08239,0.624009,-5.54946,0,3.62052e-07,0.624009,41.62
BTB 08317,0.913797,-0.433381,0,0.66563,0.913797,9.22
BTB 08363,0.946612,0.162708,0,0.806512,0.946612,5.55
BTB 08370,0.904464,-0.588523,0,0.556896,0.904464,10.27
BTB 08512,1.01792,1.39614,0,0.16282,1.01792,-2.42
BTB 08537,1.00562,1.17811,0,0.23968,1.00562,-1.05
BTB 08545,0.990342,0.920237,0,0.359718,0.990342,0.66
BTB 08601,0.91374,-0.431985,0,0.665974,0.91374,9.23
BTB 09041,0.904308,-0.607386,0,0.551182,0.904308,10.28
BTB 10282,0.732889,-3.63329,0,0.00086873,0.732889,29.44
BTB 10320,0.243346,-12.2323,0,3.66306e-31,0.243346,84.19
BTB 10323,0.610312,-5.80103,0,2.4825e-07,0.610312,43.15
BTB 10396,0.985724,0.830092,0,0.407014,0.985724,1.18
BTB 10539,0.895623,-0.778591,0,0.489404,0.895623,11.25
BTB 10705,0.0970757,-14.8131,0,3.36312e-44,0.0970757,100.55
