supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.987272,0.633998,0,0.528326,0.987272,0
AW 00421,0.973341,0.0721667,0,0.92692,0.973341,1.76
AW 00430,0.927723,-1.77935,0,0.084195,0.927723,7.07
AW 00475,0.860736,-4.51091,0,6.63616e-06,0.860736,14.75
AW 00480,0.936375,-1.43243,0,0.152405,0.936375,6.48
AW 00519,0.996331,1.00256,0,0.318404,0.996331,0
AW 00564,0.982198,0.432485,0,0.66688,0.982198,1.76
AW 00594,0.98922,0.723437,0,0.491742,0.98922,1.17
AW 00603,0.985375,0.551234,0,0.602388,0.985375,1.78
AW 00637,0.986855,0.611384,0,0.56354,0.986855,1.78
AW 00845,0.924186,-1.92882,0,0.0537808,0.924186,8.85
BR 00082,0.930749,-1.65649,0,0.107228,0.930749,8.25
BTB 00693,0.958589,-0.528686,0,0.597602,0.958589,5.3
BTB 00803,0.96431,-0.301314,0,0.766252,0.96431,4.72
BTB 01259,0.953757,-0.731042,0,0.472524,0.953757,5.9
BTB 01345,0.953759,-0.720679,0,0.483762,0.953759,5.89
BTB 01397,0.990857,0.783767,0,0.434032,0.990857,1.76
BTB 01431,0.963256,-0.344916,0,0.735016,0.963256,4.72
BTB 01473,0.945928,-1.04493,0,0.296056,0.945928,6.48
BTB 01480,0.986839,0.620048,0,0.535702,0.986839,1.76
BTB 01594,0.904825,-2.72302,0,0.00843166,0.904825,10.62
BTB 02800,0.987868,0.667088,0,0.519324,0.987868,1.17
BTB 02837,0.964711,-0.27543,0,0.788706,0.964711,3.53
BTB 03305,0.968453,-0.12834,0,0.897904,0.968453,2.94
BTB 03433,0.993687,0.893492,0,0.377822,0.993687,0
BTB 03574,0.971615,-0.00461351,0,0.856022,0.971615,2.36
BTB 03608,0.970846,-0.0356198,0,0.86522,0.970846,2.36
BTB 03925,0.970201,-0.0614708,0,0.877666,0.970201,2.36
BTB 04194,0.980372,0.36326,0,0.728816,0.980372,1.17
BTB 04231,0.985474,0.56619,0,0.573914,0.985474,0.58
BTB 04275,0.975242,0.15025,0,0.881486,0.975242,1.76
BTB 04463,0.100206,-35.4644,0,0,0.100206,99.71
BTB 04719,0.898104,-2.99371,0,0.0030918,0.898104,10.62
BTB 04953,0.968404,-0.137213,0,0.79321,0.968404,2.96
BTB 05020,0.896067,-3.07088,0,0.0022034,0.896067,11.21
BTB 05066,0.982536,0.438477,0,0.668988,0.982536,1.78
BTB 05122,0.994638,0.93128,0,0.361176,0.994638,0.6
BTB 05144,0.990611,0.772812,0,0.439744,0.990611,1.18
BTB 05336,0.986453,0.609057,0,0.554306,0.986453,1.76
BTB 05340,0.923281,-1.97248,0,0.0568278,0.923281,8.86
BTB 05419,0.966805,-0.200777,0,0.84207,0.966805,4.14
BTB 05486,0.956779,-0.608873,0,0.55208,0.956779,5.32
BTB 05499,0.90399,-2.74724,0,0.0064883,0.90399,11.21
BTB 05661,0.942011,-1.20511,0,0.22846,0.942011,7.08
BTB 05727,0.996315,1.00495,0,0.3151,0.996315,1.18
BTB 06084,0.964945,-0.272272,0,0.785516,0.964945,4.72
BTB 06237,1.00309,1.28514,0,0.209924,1.00309,0.58
BTB 06387,0.992409,0.850073,0,0.404062,0.992409,1.76
BTB 06428,0.911375,-2.4433,0,0.0187064,0.911375,10.61
BTB 06691,0.94746,-0.990673,0,0.34838,0.94746,6.5
BTB 06791,0.97244,0.0309154,0,0.921394,0.97244,3.54
BTB 07002,0.0959837,-35.6312,0,0,0.0959837,100.29
BTB 07082,0.963299,-0.326062,0,0.624738,0.963299,4.11
BTB 07328,0.961455,-0.422137,0,0.692244,0.961455,4.14
BTB 07385,0.949499,-0.898417,0,0.369664,0.949499,5.3
BTB 07880,0.953669,-0.723487,0,0.485912,0.953669,4.71
BTB 08239,0.947278,-0.988745,0,0.323504,0.947278,5.3
BTB 08317,0.999149,1.12252,0,0.265344,0.999149,-0.6
BTB 08363,0.998137,1.08148,0,0.28345,0.998137,-0.6
BTB 08370,0.986624,0.613013,0,0.542696,0.986624,0.58
BTB 08512,1.00157,1.21625,0,0.225122,1.00157,-1.18
BTB 08537,0.979752,0.328356,0,0.743774,0.979752,1.18
BTB 08545,0.96322,-0.339167,0,0.735874,0.96322,2.94
BTB 08601,0.946648,-1.0083,0,0.335512,0.946648,4.71
