supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.985398,0.479258,0,0.633444,0.985398,-0.31
AW 00421,0.979086,0.211309,0,0.832658,0.979086,0.49
AW 00430,0.953104,-0.887937,0,0.389534,0.953104,3.49
AW 00475,0.872051,-4.28359,0,2.5204e-05,0.872051,12.68
AW 00480,0.947374,-1.12494,0,0.267262,0.947374,4.28
AW 00519,0.979355,0.215961,0,0.831206,0.979355,0.76
AW 00564,0.962835,-0.475744,0,0.637562,0.962835,2.69
AW 00594,0.967522,-0.280528,0,0.782296,0.967522,2.24
AW 00603,0.993932,0.82892,0,0.410168,0.993932,-0.65
AW 00637,0.988974,0.600582,0,0.58541,0.988974,-0.05
AW 00845,0.951953,-0.954995,0,0.461382,0.951953,4.15
BR 00082,0.951138,-0.942174,0,0.401192,0.951138,4.3
BTB 00693,0.961488,-0.533726,0,0.599452,0.961488,3.15
BTB 00803,0.977253,0.124428,0,0.80257,0.977253,1.33
BTB 01259,0.955402,-0.793239,0,0.447382,0.955402,3.71
BTB 01345,0.923292,-2.09789,0,0.0979638,0.923292,7.27
BTB 01397,0.987052,0.542975,0,0.58758,0.987052,0.03
BTB 01431,0.96213,-0.506927,0,0.618086,0.96213,2.75
BTB 01473,0.950229,-1.0006,0,0.317504,0.950229,4
BTB 01480,0.988319,0.583818,0,0.585486,0.988319,-0.38
BTB 01594,0.908906,-2.76919,0,0.0381716,0.908906,8.46
BTB 02800,0.980585,0.259706,0,0.722774,0.980585,0.31
BTB 02837,0.978985,0.185624,0,0.587552,0.978985,0.41
BTB 03305,0.977543,0.143848,0,0.885836,0.977543,0.54
BTB 03433,0.98,0.24877,0,0.80355,0.98,0.26
BTB 03574,0.966585,-0.309156,0,0.758516,0.966585,1.8
BTB 03608,0.977102,0.123749,0,0.902034,0.977102,0.66
BTB 03925,0.973316,-0.0619346,0,0.418268,0.973316,1.15
BTB 04194,0.987036,0.541239,0,0.589416,0.987036,-0.31
BTB 04231,0.976858,0.12547,0,0.834706,0.976858,0.95
BTB 04275,0.952876,-0.895407,0,0.379796,0.952876,3.78
BTB 04463,0.0961775,-36.8672,0,0,0.0961775,100
BTB 04719,0.920026,-2.30537,0,0.106598,0.920026,7.78
BTB 04953,0.966226,-0.337161,0,0.742872,0.966226,2.81
BTB 05020,0.89837,-3.18744,0,0.00268704,0.89837,10.58
BTB 05066,0.979436,0.21466,0,0.77991,0.979436,1.73
BTB 05122,0.983382,0.382555,0,0.708842,0.983382,1.45
BTB 05144,0.981478,0.297721,0,0.736246,0.981478,1.78
BTB 05336,0.969073,-0.229309,0,0.60224,0.969073,3.25
BTB 05340,0.899894,-3.10937,0,0.00187559,0.899894,10.99
BTB 05419,0.964597,-0.391708,0,0.697614,0.964597,3.84
BTB 05486,0.124149,-35.7439,0,0,0.124149,97.01
BTB 05499,0.893758,-3.34096,0,0.0037537,0.893758,11.69
BTB 05661,0.923139,-2.15909,0,0.0674266,0.923139,8.42
BTB 05727,0.929368,-1.8034,1,0.486312,0.929368,7.75
BTB 06084,0.958935,-0.627086,0,0.537176,0.958935,4.47
BTB 06237,1.00085,1.13523,0,0.27999,1.00085,-0.18
BTB 06387,0.978602,0.176238,0,0.710752,0.978602,2.24
BTB 06428,0.92762,-1.95853,0,0.061319,0.92762,7.8
BTB 06691,0.973832,-0.0343065,0,0.513758,0.973832,2.51
BTB 06791,0.976068,0.072891,0,0.764342,0.976068,2.07
BTB 07002,0.0894781,-37.14,0,0,0.0894781,100.8
BTB 07082,0.978375,0.186268,0,0.853588,0.978375,1.4
BTB 07328,0.960175,-0.5931,0,0.569856,0.960175,3.26
BTB 07385,0.542193,-18.7347,1,0.0140026,0.542193,49.81
BTB 07880,0.968007,-0.279899,0,0.506954,0.968007,2.17
BTB 08239,0.921828,-2.15507,0,0.106541,0.921828,7.33
BTB 08317,0.990551,0.687157,0,0.494806,0.990551,-0.42
BTB 08363,0.996401,0.940533,0,0.349352,0.996401,-1.1
BTB 08370,0.989111,0.637576,0,0.529634,0.989111,-0.3
BTB 08512,1.00458,1.28393,0,0.202292,1.00458,-2.06
BTB 08537,0.973998,0.00198845,0,0.907792,0.973998,1.34
BTB 08545,0.952958,-0.894959,0,0.388628,0.952958,3.66
BTB 08601,0.916108,-2.43681,0,0.0167724,0.916108,7.75
BTB 09041,0.965611,-0.361708,0,0.723008,0.965611,2.13
BTB 10282,0.865955,-4.54193,0,1.02607e-05,0.865955,13.31
BTB 10320,0.603027,-15.0611,1,0.0171888,0.603027,43.01
BTB 10323,0.97799,0.162622,0,0.87105,0.97799,0.66
BTB 10396,0.949891,-1.00362,0,0.330256,0.949891,3.73
BTB 10539,1.01442,1.63348,0,0.465144,1.01442,-3.65
BTB 10705,0.0890128,-37.1685,0,0,0.0890128,100.74
XBX 00150,0.57934,-16.5142,0,0,0.57934,45.36
BTB 11052,0.980138,0.250862,0,0.80304,0.980138,-0.03
BTB 11704,1.00281,1.20822,0,0.228338,1.00281,-2.69
BTB 11781,0.976809,0.11734,0,0.90671,0.976809,0.15
BTB 11850,0.947331,-1.12361,0,0.262918,0.947331,3.38
BTB 12055,0.98187,0.323943,0,0.747096,0.98187,-0.65
BTB 12761,0.986832,0.534097,0,0.593556,0.986832,-1.33
BTB 12931,0.0833325,-37.4034,0,0,0.0833325,101.31
BTB 13088,0.962379,-0.505203,0,0.642276,0.962379,1.21
BTB 13588,0.975346,0.0465855,0,0.844386,0.975346,-2.21
BTB 13702,0.931937,-1.77475,0,0.084188,0.931937,3.08
BTB 13761,0.980074,0.246749,0,0.80711,0.980074,-2.21
BTB 13763,0.988195,0.57844,0,0.589558,0.988195,-2.9
BTB 13765,1.0329,2.40623,1,0.206116,1.0329,-7.84
BTB 13845,0.984268,0.422309,0,0.676326,0.984268,-1.93
BTB 14058,0.977937,0.151039,0,0.762128,0.977937,-0.98
BTB 14154,0.639288,-14.0656,0,2.5097e-40,0.639288,37.87
BTB 14688,0.514366,-19.1035,0,0,0.514366,52.55
BTB 14851,0.910043,-2.68332,0,0.00729076,0.910043,7.42
BTB 14852,0.909334,-2.72815,0,0.0105937,0.909334,7.69
BTB 14910,0.975561,0.0698113,0,0.860316,0.975561,0.44
BTBG 00025,0.685492,-11.679,1,0.241316,0.685492,34.08
CD 00707,0.989565,0.635062,0,0.556774,0.989565,-0.76
CD 00752,0.982156,0.331348,0,0.74615,0.982156,0.2
CD 00756,0.879107,-3.98405,0,7.28056e-05,0.879107,11.87
CD 00758,0.963923,-0.437969,0,0.67984,0.963923,2.28
CD 00759,0.949832,-1.02244,0,0.314464,0.949832,3.81
CD 00823,0.472274,-20.815,0,0,0.472274,57.95
CD 00995,0.961036,-0.540674,0,0.59215,0.961036,2.36
CD 01737,1,1.08589,0,0.27802,1,-2.16
CD 01803,0.931953,-1.765,0,0.0775636,0.931953,5.45
CD 01912,0.986427,0.522916,0,0.603344,0.986427,-0.8
CD 02044,0.9398,-1.43419,0,0.152024,0.9398,4.38
CD 02158,0.937804,-1.52818,0,0.13565,0.937804,4.49
CD 02448,0.993894,0.840131,0,0.412418,0.993894,-1.97
CD 02452,0.992774,0.77825,0,0.442956,0.992774,-1.99
CD 02506,0.982022,0.337322,0,0.73686,0.982022,-0.85
CD 02717,0.928898,-1.90341,0,0.0660526,0.928898,5.11
CD 02744,0.957641,-0.700769,0,0.506866,0.957641,1.78
CD 02745,0.962801,-0.466246,0,0.644598,0.962801,1.18
CD 02761,0.978389,0.189442,0,0.84033,0.978389,-0.62
CD 02830,0.986659,0.535469,0,0.598756,0.986659,-1.58
CD 02841,0.988614,0.607589,0,0.54449,0.988614,-1.81
CD 02860,0.936468,-1.57771,0,0.115102,0.936468,4.16
CD 02966,0.973566,-0.02838,0,0.837096,0.973566,-0.01
CD 03254,0.783941,-7.85691,1,5.08724e-07,0.783941,21.79
CD 03308,0.962229,-0.489425,0,0.629382,0.962229,1.47
CD 03678,0.953098,-0.873255,0,0.387226,0.953098,2.59
CD 04032,0.972808,-0.0635765,0,0.768242,0.972808,0.44
CD 04236,0.986281,0.500904,0,0.632436,0.986281,-0.97
CD 04254,0.975638,0.0790744,0,0.738738,0.975638,0.4
CD 04583,0.949676,-1.02337,0,0.30642,0.949676,3.49
CD 04975,0.467354,-20.9594,0,4.45613e-42,0.467354,58.41
CD 05071,0.983304,0.398598,0,0.701974,0.983304,0.12
CD 05259,0.724003,-10.1978,1,0.00326718,0.724003,29.79
CD 05404,0.957572,-0.68305,0,0.504042,0.957572,3.55
CD 05753,0.988797,0.628702,0,0.54564,0.988797,0.35
CD 06082,1.0052,1.30467,0,0.192195,1.0052,-1.24
CD 06608,0.93114,-1.78369,0,0.0982704,0.93114,7.22
CD 06678,0.314735,-27.5838,0,0,0.314735,75.93
CD 06681,0.982877,0.366714,0,0.714728,0.982877,1.74
CD 06828,0.883842,-3.82266,0,0.00293864,0.883842,12.8
CD 06834,0.942084,-1.3423,0,0.180078,0.942084,6.47
CD 06872,0.923407,-2.13279,0,0.038397,0.923407,8.61
CD 06919,0.940578,-1.40932,0,0.16362,0.940578,6.75
CD 07342,0.952247,-0.91844,0,0.361238,0.952247,5.46
CD 08368,0.973135,-0.0461528,0,0.843238,0.973135,3.09
CD 08396,0.969623,-0.192582,0,0.849622,0.969623,3.37
CD 08635,0.991399,0.728289,0,0.466676,0.991399,0.79
CD 09291,0.991674,0.734122,0,0.465912,0.991674,0.5
CD 09658,0.941985,-1.34494,0,0.178677,0.941985,5.74
CD 09661,0.9216,-2.19553,0,0.0288124,0.9216,7.72
CD 09821,0.950097,-1.01399,0,0.32573,0.950097,4.21
CD 10699,0.978832,0.18706,0,0.734308,0.978832,0.72
CD 10742,0.977052,0.156423,0,0.424036,0.977052,0.76
CD 10788,0.999851,1.08881,0,0.285282,0.999851,-1.96
CD 11359,0.987731,0.568711,0,0.5723,0.987731,-0.68
DFP 00056,0.918534,-2.32747,0,0.0199412,0.918534,7.21
DFP 00315,0.981726,0.326904,0,0.746186,0.981726,0.18
DP 00330,0.978032,0.157419,0,0.81066,0.978032,0.67
DP 00453,0.995299,0.895091,0,0.374106,0.995299,-1.17
DP 00477,1.00468,1.26964,0,0.235016,1.00468,-2.15
DP 00750,0.954869,-0.795571,0,0.438506,0.954869,3.56
DP 00881,0.0973359,-36.8098,0,0,0.0973359,99.88
DP 01415,0.888524,-3.59307,0,0.000413758,0.888524,11.21
