supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.977228,0.0436672,0,0.710316,0.977228,0.45
AW 00421,0.982453,0.298377,0,0.768352,0.982453,-0.12
AW 00430,0.945687,-1.63699,0,0.134943,0.945687,4.06
AW 00475,0.865299,-5.7116,0,1.08295e-07,0.865299,13.24
AW 00480,0.9364,-2.0651,0,0.047244,0.9364,5.19
AW 00519,0.98042,0.189508,0,0.850452,0.98042,0.22
AW 00564,0.982182,0.248132,0,0.721134,0.982182,0.03
AW 00594,0.98606,0.419401,0,0.47242,0.98606,-0.4
AW 00603,0.979054,0.156226,0,0.5261,0.979054,0.47
AW 00637,0.982219,0.292696,0,0.776872,0.982219,0.11
AW 00845,0.948882,-1.41785,0,0.181811,0.948882,3.9
BR 00082,0.964904,-0.60089,0,0.558422,0.964904,2.07
BTB 00693,0.949942,-1.40518,0,0.173887,0.949942,3.73
BTB 00803,0.976631,-0.0412247,0,0.676272,0.976631,0.62
BTB 01259,0.959351,-0.906471,0,0.365394,0.959351,2.51
BTB 01345,0.965402,-0.683578,0,0.273734,0.965402,1.67
BTB 01397,0.992275,0.813453,0,0.43579,0.992275,-1.42
BTB 01431,0.948981,-1.40829,0,0.19486,0.948981,3.41
BTB 01473,0.950948,-1.29363,0,0.276212,0.950948,3.09
BTB 01480,0.968256,-0.418236,0,0.696724,0.968256,0.99
BTB 01594,0.905626,-3.66202,0,0.000276838,0.905626,8.02
BTB 02800,0.98518,0.418491,0,0.67841,0.98518,-1.16
BTB 02837,0.976651,-0.0406019,0,0.672344,0.976651,-0.27
BTB 03305,0.990625,0.68285,0,0.523556,0.990625,-1.91
BTB 03433,0.991215,0.744578,0,0.458176,0.991215,-1.97
BTB 03574,0.967342,-0.450085,0,0.588466,0.967342,0.78
BTB 03608,0.970164,-0.299452,0,0.518588,0.970164,0.49
BTB 03925,0.975293,-0.0649757,0,0.809468,0.975293,-0.07
BTB 04194,0.973846,-0.128544,0,0.690882,0.973846,0.16
BTB 04231,0.982764,0.301321,0,0.76327,0.982764,-0.79
BTB 04275,0.956324,-1.0583,0,0.289928,0.956324,2.34
BTB 04463,0.10708,-45.0343,0,0,0.10708,99.08
BTB 04719,0.918138,-3.04916,0,0.0037282,0.918138,6.97
BTB 04953,0.964514,-0.641483,0,0.52218,0.964514,1.86
BTB 05020,0.896759,-4.09579,0,0.000139368,0.896759,9.71
BTB 05066,0.975844,-0.0460996,0,0.918298,0.975844,0.86
BTB 05122,0.987485,0.538441,0,0.592852,0.987485,-0.35
BTB 05144,0.989756,0.626769,0,0.58631,0.989756,-0.53
BTB 05336,0.95803,-0.97564,0,0.330444,0.95803,3.17
BTB 05340,0.903049,-3.79818,0,0.000151464,0.903049,9.46
BTB 05419,0.971126,-0.275602,0,0.772416,0.971126,1.86
BTB 05486,0.142253,-43.3849,0,0,0.142253,95.15
BTB 05499,0.901648,-3.74396,0,0.033732,0.901648,9.88
BTB 05661,0.577653,-19.3374,1,0.0770722,0.577653,47
BTB 05727,0.987409,0.569585,0,0.597776,0.987409,0.31
BTB 06084,0.96749,-0.513468,0,0.64053,0.96749,2.59
BTB 06237,0.977267,0.0998087,0,0.24765,0.977267,1.6
BTB 06387,1.01437,1.85537,0,0.230642,1.01437,-2.61
BTB 06428,0.921706,-2.8246,0,0.00611072,0.921706,7.83
BTB 06691,0.951405,-1.27992,0,0.248924,0.951405,4.44
BTB 06791,0.968339,-0.41329,0,0.70117,0.968339,2.45
BTB 07002,0.474513,-24.7273,0,1.0601e-15,0.474513,58.42
BTB 07082,0.966882,-0.503101,0,0.620012,0.966882,2.4
BTB 07328,0.967831,-0.497239,0,0.65397,0.967831,2.18
BTB 07385,0.323803,-33.7333,0,0,0.323803,74.77
BTB 07880,0.986758,0.434701,0,0.322094,0.986758,-0.15
BTB 08239,0.929321,-2.40122,0,0.0460828,0.929321,6.31
BTB 08317,0.971407,-0.190667,0,0.192073,0.971407,1.49
BTB 08363,0.984306,0.378882,0,0.705234,0.984306,-0.08
BTB 08370,0.985815,0.481953,0,0.646188,0.985815,-0.3
BTB 08512,0.994478,0.90477,0,0.365788,0.994478,-1.34
BTB 08537,0.98289,0.30466,0,0.76129,0.98289,-0.08
BTB 08545,0.959276,-0.907803,0,0.364058,0.959276,2.56
BTB 08601,0.93086,-2.33761,0,0.0339742,0.93086,5.75
BTB 09041,0.9691,-0.378107,0,0.720024,0.9691,1.38
BTB 10282,0.864139,-5.74094,0,9.21226e-07,0.864139,13.29
BTB 10320,0.657836,-16.1855,0,2.05482e-36,0.657836,36.76
BTB 10323,0.976511,-0.032591,0,0.840122,0.976511,0.49
BTB 10396,0.940401,-1.90431,0,0.0739422,0.940401,4.53
BTB 10539,1.01578,1.95687,0,0.106731,1.01578,-4.1
BTB 10705,0.0976456,-45.5583,0,0,0.0976456,100.16
XBX 00150,0.524968,-23.1579,0,0,0.524968,51.66
BTB 11052,0.97642,0.000609416,0,0.725252,0.97642,0.19
BTB 11704,0.997639,1.12866,0,0.417908,0.997639,-2.3
BTB 11781,0.961913,-0.720566,0,0.568462,0.961913,1.69
BTB 11850,0.946778,-1.52364,0,0.156416,0.946778,3.32
BTB 12055,0.977781,0.0577735,0,0.871134,0.977781,-0.32
BTB 12761,0.984077,0.387496,0,0.706572,0.984077,-1.13
BTB 12931,0.0944162,-45.7297,0,0,0.0944162,100.45
BTB 13088,0.983722,0.287515,0,0.361486,0.983722,-1.31
BTB 13588,0.960263,-0.866616,0,0.392066,0.960263,1.6
BTB 13702,0.933714,-2.22472,0,0.0261262,0.933714,4.76
BTB 13761,0.971145,-0.28836,0,0.774158,0.971145,0.71
BTB 13763,0.994259,0.870252,0,0.41553,0.994259,-1.72
BTB 13765,1.04792,3.62481,0,0.000948392,1.04792,-7.57
BTB 13845,0.978905,0.0917716,0,0.852906,0.978905,0.31
BTB 14058,0.972556,-0.216244,0,0.829496,0.972556,1.16
BTB 14154,0.704472,-14.1244,0,1.00338e-37,0.704472,31.19
BTB 14688,0.52906,-22.3263,0,6.78044e-31,0.52906,50.91
BTB 14851,0.900216,-3.93374,0,0.000119405,0.900216,9.6
BTB 14852,0.903342,-3.782,0,0.000164666,0.903342,9.37
BTB 14910,0.961641,-0.735426,0,0.566558,0.961641,3.03
BTBG 00025,0.378285,-30.5459,0,0,0.378285,67.91
CD 00707,0.970993,-0.280535,0,0.752404,0.970993,2.29
CD 00752,0.964763,-0.623728,0,0.532808,0.964763,3.06
CD 00756,0.873601,-5.33112,0,1.3677e-07,0.873601,13.18
CD 00758,0.960195,-0.857321,0,0.391462,0.960195,3.57
CD 00759,0.947826,-1.50563,0,0.135622,0.947826,4.86
CD 00823,0.639202,-17.4986,0,0,0.639202,38.94
CD 00995,0.96847,-0.437894,0,0.66227,0.96847,2.33
CD 01737,1.00018,1.19473,0,0.233894,1.00018,-1.33
CD 01803,0.924842,-2.72786,0,0.0211716,0.924842,6.92
CD 01912,0.983324,0.334386,0,0.73822,0.983324,0.31
CD 02044,0.936454,-2.07301,0,0.0399228,0.936454,5.43
CD 02158,0.940572,-1.8557,0,0.0693648,0.940572,4.87
CD 02448,0.987518,0.550298,0,0.582284,0.987518,-0.48
CD 02452,1.00276,1.33245,0,0.182777,1.00276,-2.28
CD 02506,0.981951,0.26695,0,0.79017,0.981951,-0.03
CD 02717,0.929281,-2.48587,0,0.0247924,0.929281,5.8
CD 02744,0.95949,-0.910185,0,0.373542,0.95949,2.38
CD 02745,0.96159,-0.781677,0,0.435998,0.96159,2.11
CD 02761,0.983313,0.320931,0,0.751216,0.983313,-0.37
CD 02830,0.965367,-0.58436,0,0.56196,0.965367,1.6
CD 02841,0.980656,0.194032,0,0.84616,0.980656,-0.14
CD 02860,0.932444,-2.29684,0,0.0225264,0.932444,5.25
CD 02966,0.976622,-0.018887,0,0.93221,0.976622,0.3
CD 03254,0.788886,-10.0161,0,1.15063e-07,0.788886,21.3
CD 03308,0.957332,-1.01633,0,0.314162,0.957332,2.49
CD 03678,0.953853,-1.18814,0,0.235008,0.953853,2.89
CD 04032,0.9675,-0.488173,0,0.626432,0.9675,1.37
CD 04236,0.982268,0.287498,0,0.77592,0.982268,-0.25
CD 04254,0.980244,0.187375,0,0.842554,0.980244,0.03
CD 04583,0.950371,-1.35683,0,0.178173,0.950371,3.46
CD 04975,0.426734,-27.6341,0,0,0.426734,62.25
CD 05071,0.979606,0.127219,0,0.845836,0.979606,0.47
CD 05259,0.83639,-7.15818,0,9.32768e-10,0.83639,16.65
CD 05404,0.957182,-1.01313,0,0.311092,0.957182,3.4
CD 05753,0.992122,0.784333,0,0.432904,0.992122,-0.25
CD 06082,0.996428,1.01558,0,0.313414,0.996428,-0.53
CD 06608,0.930235,-2.37744,0,0.0252336,0.930235,6.95
CD 06678,0.402411,-29.918,0,0,0.402411,65.33
CD 06681,0.982055,0.28366,0,0.783122,0.982055,1.5
CD 06828,0.903654,-3.78912,0,0.000228046,0.903654,10.25
CD 06834,0.946903,-1.55324,0,0.123748,0.946903,5.59
CD 06872,0.93625,-2.07448,0,0.0449326,0.93625,6.84
CD 06919,0.934001,-2.20989,0,0.0271382,0.934001,7.11
CD 07342,0.95564,-1.08054,0,0.288996,0.95564,4.7
CD 08368,0.974184,-0.138328,0,0.889982,0.974184,2.55
CD 08396,0.969191,-0.418815,0,0.69207,0.969191,2.94
CD 08635,0.994059,0.881825,0,0.378446,0.994059,-0.03
CD 09291,0.972607,-0.210117,0,0.835226,0.972607,2.05
CD 09658,0.930241,-2.38625,0,0.0200844,0.930241,6.44
CD 09661,0.916403,-3.12285,0,0.00191162,0.916403,7.67
CD 09821,0.949119,-1.47613,0,0.227334,0.949119,3.71
CD 10699,0.982447,0.293001,0,0.770376,0.982447,-0.26
CD 10742,0.985251,0.439875,0,0.662434,0.985251,-0.76
CD 10788,0.998594,1.11403,0,0.266414,0.998594,-2.4
CD 11359,0.989276,0.644041,0,0.520756,0.989276,-1.44
DFP 00056,0.932699,-2.28712,0,0.0240488,0.932699,4.97
DFP 00315,0.982144,0.249416,0,0.755984,0.982144,-0.55
DP 00330,0.980556,0.17422,0,0.82523,0.980556,-0.32
DP 00453,0.991026,0.715787,0,0.48222,0.991026,-1.44
DP 00477,0.545015,-20.7452,1,0.123854,0.545015,49.06
DP 00750,0.963054,-0.703228,0,0.485478,0.963054,1.83
DP 00881,0.0942954,-45.7017,0,0,0.0942954,99.21
DP 01415,0.919308,-2.92762,0,0.00902394,0.919308,6.9
DP 01417,0.95994,-0.870273,0,0.384378,0.95994,2.44
DP 01887,0.967482,-0.482091,0,0.62986,0.967482,1.71
DP 01888,0.97918,0.106879,0,0.863436,0.97918,0.52
DP 02004,0.942087,-1.8265,0,0.102654,0.942087,4.79
DSHS 00540,0.977769,0.0463458,0,0.963034,0.977769,1.99
EN 00070,0.979256,0.106281,0,0.812604,0.979256,1.76
EN 00220,0.968026,-0.457588,0,0.64735,0.968026,2.94
FM 00211,1.07856,5.26599,0,6.0037e-07,1.07856,-9.42
FM 00217,0.955088,-1.10177,0,0.291902,0.955088,4.24
FM 00281,1.00573,1.47972,0,0.140943,1.00573,-1.49
GK 00584,0.95176,-1.30773,0,0.200088,0.95176,4.45
GK 00860,0.976143,-0.0561487,0,0.788454,0.976143,1.64
GK 00898,0.967344,-0.4926,0,0.622388,0.967344,2.55
GK 01359,0.956634,-1.0599,0,0.304194,0.956634,3.66
GK 01594,0.954946,-1.14632,0,0.265494,0.954946,3.77
GK 02006,0.981768,0.258199,0,0.797052,0.981768,0.7
GK 02221,0.956102,-1.08294,0,0.28718,0.956102,3.49
GK 02386,0.977928,0.0698561,0,0.819754,0.977928,0.99
GK 02445,0.979292,0.130323,0,0.896684,0.979292,0.76
GK 02598,0.982187,0.243375,0,0.668476,0.982187,0.34
GK 02688,0.979532,0.113534,0,0.735474,0.979532,0.57
GK 02714,1.00326,1.36835,0,0.174829,1.00326,-2.16
GK 02719,0.997214,1.03275,0,0.313172,0.997214,-1.55
