supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.977142,0.00465668,0,0.936856,0.977142,1.04
AW 00421,0.980844,0.181128,0,0.634688,0.980844,0.77
AW 00430,0.953301,-1.15832,0,0.254398,0.953301,3.96
AW 00475,0.876549,-4.89556,0,9.97714e-07,0.876549,12.64
AW 00480,0.948794,-1.37716,0,0.170065,0.948794,4.7
AW 00519,0.98681,0.473869,0,0.640286,0.98681,0.59
AW 00564,0.975563,-0.0738716,0,0.874128,0.975563,1.96
AW 00594,0.974529,-0.122128,0,0.87959,0.974529,2.18
AW 00603,0.990434,0.653157,0,0.525988,0.990434,0.53
AW 00637,0.990332,0.646217,0,0.518584,0.990332,0.65
AW 00845,0.949918,-1.32455,0,0.219684,0.949918,5.23
BR 00082,0.95941,-0.862333,0,0.427294,0.95941,4.26
BTB 00693,0.952817,-1.17964,0,0.243486,0.952817,5.04
BTB 00803,0.976524,-0.0258205,0,0.979408,0.976524,2.42
BTB 01259,0.95408,-1.11904,0,0.263172,0.95408,4.87
BTB 01345,0.947537,-1.43826,0,0.151173,0.947537,5.56
BTB 01397,0.990409,0.646433,0,0.581018,0.990409,0.78
BTB 01431,0.96097,-0.783497,0,0.433346,0.96097,3.96
BTB 01473,0.958687,-0.894318,0,0.372154,0.958687,4.13
BTB 01480,0.988185,0.542533,0,0.58887,0.988185,0.76
BTB 01594,0.928078,-2.38621,0,0.0174794,0.928078,7.34
BTB 02800,0.993492,0.800443,0,0.423454,0.993492,-0.03
BTB 02837,0.980971,0.191918,0,0.847828,0.980971,1.28
BTB 03305,0.98156,0.220468,0,0.828056,0.98156,1.17
BTB 03433,0.991586,0.703903,0,0.543064,0.991586,0.04
BTB 03574,0.968105,-0.439046,0,0.686288,0.968105,2.67
BTB 03608,0.978669,0.0766346,0,0.783432,0.978669,1.52
BTB 03925,0.974926,-0.108692,0,0.472484,0.974926,1.99
BTB 04194,0.975638,-0.0702778,0,0.864766,0.975638,1.98
BTB 04231,0.979132,0.102068,0,0.877264,0.979132,1.68
BTB 04275,0.964789,-0.598958,0,0.557982,0.964789,3.4
BTB 04463,0.100583,-42.6901,0,0,0.100583,99.29
BTB 04719,0.931838,-2.20313,0,0.028333,0.931838,7.4
BTB 04953,0.972488,-0.22292,0,0.82386,0.972488,3.11
BTB 05020,0.913649,-3.08994,0,0.00257722,0.913649,9.8
BTB 05066,0.982232,0.254942,0,0.6759,0.982232,2.42
BTB 05122,0.994802,0.862336,0,0.407212,0.994802,1.18
BTB 05144,0.991595,0.709825,0,0.49254,0.991595,1.62
BTB 05336,0.979187,0.1059,0,0.749904,0.979187,3.05
BTB 05340,0.928978,-2.34137,0,0.0194102,0.928978,8.59
BTB 05419,0.959296,-0.868392,0,0.43858,0.959296,5.29
BTB 05486,0.118974,-41.7866,0,0,0.118974,97.37
BTB 05499,0.929101,-2.33745,0,0.0232522,0.929101,8.6
BTB 05661,0.93741,-1.93408,0,0.077261,0.93741,7.69
BTB 05727,0.86468,-5.43331,1,0.309942,0.86468,15.58
BTB 06084,0.970799,-0.306025,0,0.763128,0.970799,4.03
BTB 06237,0.997168,0.978947,0,0.329286,0.997168,1.11
BTB 06387,0.99033,0.645844,0,0.520016,0.99033,1.8
BTB 06428,0.923729,-2.59658,0,0.00995776,0.923729,8.99
BTB 06691,0.965867,-0.545448,0,0.586048,0.965867,4.2
BTB 06791,0.967704,-0.45646,0,0.650954,0.967704,3.8
BTB 07002,0.0957034,-42.9302,0,0,0.0957034,99.87
BTB 07082,0.971151,-0.286995,0,0.775208,0.971151,3.05
BTB 07328,0.964229,-0.623947,0,0.535976,0.964229,3.68
BTB 07385,0.403051,-27.9285,0,0,0.403051,65.71
BTB 07880,0.974944,-0.102569,0,0.918416,0.974944,2.31
BTB 08239,0.944006,-1.61308,0,0.147382,0.944006,5.69
BTB 08317,0.994117,0.830263,0,0.408308,0.994117,0.09
BTB 08363,0.988104,0.536622,0,0.599592,0.988104,0.72
BTB 08370,0.98933,0.596527,0,0.556958,0.98933,0.55
BTB 08512,0.998825,1.05993,0,0.289576,0.998825,-0.54
BTB 08537,0.970734,-0.309424,0,0.762132,0.970734,2.55
BTB 08545,0.95951,-0.856316,0,0.406094,0.95951,3.75
BTB 08601,0.946638,-1.48473,0,0.179228,0.946638,5.12
BTB 09041,0.975939,-0.0555309,0,0.877316,0.975939,1.8
BTB 10282,0.892913,-4.09893,0,4.47602e-05,0.892913,10.99
BTB 10320,0.820624,-7.59777,1,4.77586e-06,0.820624,18.96
BTB 10323,0.969035,-0.390593,0,0.696192,0.969035,2.42
BTB 10396,0.93931,-1.84094,0,0.0829486,0.93931,5.63
BTB 10539,1.01769,1.97656,0,0.062285,1.01769,-3.22
BTB 10705,0.0909571,-43.1599,0,0,0.0909571,100.26
XBX 00150,0.636585,-16.579,0,0,0.636585,39.19
BTB 11052,0.978541,0.0715095,0,0.915468,0.978541,0.83
BTB 11704,1.00959,1.58506,0,0.113694,1.00959,-2.78
BTB 11781,0.971817,-0.255042,0,0.798766,0.971817,1.34
BTB 11850,0.952872,-1.18013,0,0.261736,0.952872,3.34
BTB 12055,0.978628,0.0748032,0,0.801414,0.978628,0.31
BTB 12761,0.999744,1.10651,0,0.28143,0.999744,-2.21
BTB 12931,0.0896262,-43.224,0,0,0.0896262,100.32
BTB 13088,0.968388,-0.423489,0,0.677058,0.968388,1.05
BTB 13588,0.965525,-0.561973,0,0.57441,0.965525,0.15
BTB 13702,0.936995,-1.95196,0,0.0521318,0.936995,3.64
BTB 13761,0.9787,0.0811865,0,0.862046,0.9787,-0.82
BTB 13763,0.998531,1.04494,0,0.300804,0.998531,-2.78
BTB 13765,1.06152,4.11589,0,8.35966e-05,1.06152,-9.61
BTB 13845,0.991461,0.703641,0,0.503026,0.991461,-1.5
BTB 14058,0.992559,0.754815,0,0.450546,0.992559,-1.38
BTB 14154,0.728011,-12.128,0,1.15821e-32,0.728011,28.35
BTB 14688,0.92725,-2.42139,0,0.040518,0.92725,6.32
BTB 14851,0.913893,-3.07633,0,0.00210002,0.913893,8.03
