supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.985304,0.472407,0,0.642312,0.985304,0.2
AW 00421,0.980568,0.247292,0,0.80584,0.980568,0.83
AW 00430,0.951596,-1.1511,0,0.323772,0.951596,4.23
AW 00475,0.880762,-4.55265,0,7.96478e-06,0.880762,12.33
AW 00480,0.959152,-0.783884,0,0.435524,0.959152,3.58
AW 00519,0.996834,1.02659,0,0.31299,0.996834,-0.56
AW 00564,0.979189,0.180301,0,0.856964,0.979189,1.54
AW 00594,0.979616,0.199527,0,0.8431,0.979616,1.6
AW 00603,0.99506,0.941676,0,0.351578,0.99506,-0.03
AW 00637,0.994923,0.937413,0,0.352162,0.994923,0.08
AW 00845,0.951551,-1.14969,0,0.256126,0.951551,5.04
BR 00082,0.961599,-0.669939,0,0.559918,0.961599,4
BTB 00693,0.966961,-0.411386,0,0.68931,0.966961,3.48
BTB 00803,0.988176,0.611546,0,0.541574,0.988176,1.13
BTB 01259,0.973821,-0.0780647,0,0.937782,0.973821,2.77
BTB 01345,0.957255,-0.874397,0,0.382052,0.957255,4.63
BTB 01397,0.990528,0.72245,0,0.491006,0.990528,0.91
BTB 01431,0.949199,-1.26245,0,0.210288,0.949199,5.51
BTB 01473,0.965439,-0.482398,0,0.63523,0.965439,3.64
BTB 01480,0.990373,0.716651,0,0.476636,0.990373,0.78
BTB 01594,0.93253,-2.06409,0,0.0420666,0.93253,7.2
BTB 02800,0.995274,0.951797,0,0.347928,0.995274,0.08
BTB 02837,0.977574,0.0996709,0,0.747662,0.977574,2.01
BTB 03305,0.975669,0.0129001,0,0.815686,0.975669,2.17
BTB 03433,0.993568,0.870001,0,0.389176,0.993568,0.14
BTB 03574,0.976743,0.0624202,0,0.95023,0.976743,2
BTB 03608,0.985822,0.500101,0,0.620384,0.985822,0.95
BTB 03925,0.974684,-0.0355799,0,0.91785,0.974684,2.17
BTB 04194,0.988016,0.604824,0,0.545916,0.988016,0.66
BTB 04231,0.979763,0.209793,0,0.807476,0.979763,1.59
BTB 04275,0.960843,-0.703703,0,0.49342,0.960843,3.76
BTB 04463,0.104291,-41.8715,0,0,0.104291,100.13
BTB 04719,0.914863,-2.91109,0,0.00371156,0.914863,9.06
BTB 04953,0.971325,-0.198818,0,0.843268,0.971325,2.82
BTB 05020,0.908293,-3.22496,0,0.00194018,0.908293,9.99
BTB 05066,0.988196,0.613026,0,0.53986,0.988196,1.13
BTB 05122,0.991923,0.791774,0,0.428912,0.991923,0.78
BTB 05144,0.994337,0.908699,0,0.364384,0.994337,0.54
BTB 05336,0.980898,0.263946,0,0.795904,0.980898,2.06
BTB 05340,0.922487,-2.5435,0,0.0128261,0.922487,8.59
BTB 05419,0.96252,-0.618158,0,0.560094,0.96252,4.09
BTB 05486,0.148573,-39.7227,0,0,0.148573,95.17
BTB 05499,0.910411,-3.12419,0,0.00210136,0.910411,9.93
BTB 05661,0.938264,-1.78527,0,0.0798876,0.938264,6.84
BTB 05727,0.9913,0.762812,0,0.446804,0.9913,0.95
BTB 06084,0.968791,-0.31888,0,0.750966,0.968791,3.51
BTB 06237,0.995729,0.977794,0,0.352294,0.995729,0.53
BTB 06387,0.990001,0.702987,0,0.512458,0.990001,1.17
BTB 06428,0.959378,-0.791883,1,0.066175,0.959378,4.62
BTB 06691,0.968326,-0.341898,0,0.732458,0.968326,3.46
BTB 06791,0.97079,-0.22127,0,0.789626,0.97079,3.04
BTB 07002,0.0972485,-42.2187,0,0,0.0972485,100.98
BTB 07082,0.964332,-0.535449,0,0.597402,0.964332,3.52
BTB 07328,0.964951,-0.503046,0,0.61858,0.964951,3.34
BTB 07385,0.200121,-37.2708,0,0,0.200121,89.35
BTB 07880,0.955379,-0.959858,0,0.400396,0.955379,4.26
BTB 08239,0.970161,-0.266665,0,0.149147,0.970161,2.62
BTB 08317,0.985742,0.496549,0,0.62474,0.985742,0.77
BTB 08363,0.998886,1.12701,0,0.259834,0.998886,-0.75
BTB 08370,0.992833,0.83577,0,0.40334,0.992833,-0.1
BTB 08512,0.998039,1.08957,0,0.313616,0.998039,-0.76
BTB 08537,0.980902,0.264981,0,0.774392,0.980902,1.11
BTB 08545,0.964615,-0.519579,0,0.605102,0.964615,2.87
BTB 08601,0.964812,-0.523642,0,0.191477,0.964812,2.79
BTB 09041,0.9678,-0.367596,0,0.71331,0.9678,2.29
BTB 10282,0.899005,-3.68702,0,0.0150517,0.899005,10.03
BTB 10320,0.885315,-4.34343,0,0.00130084,0.885315,11.48
BTB 10323,0.967212,-0.392481,0,0.713416,0.967212,2.05
BTB 10396,0.949272,-1.2558,0,0.222404,0.949272,3.92
BTB 10539,0.980117,0.22816,0,0.692228,0.980117,0.24
BTB 10705,0.0859443,-42.7571,0,0,0.0859443,102.07
XBX 00150,0.840755,-6.53321,1,0.346714,0.840755,16
BTB 11052,0.9842,0.417497,0,0.699988,0.9842,-0.73
BTB 11704,1.00596,1.46882,0,0.15254,1.00596,-3.43
BTB 11781,0.986405,0.529734,0,0.615858,0.986405,-1.39
BTB 11850,0.960217,-0.735482,0,0.501788,0.960217,1.43
BTB 12055,0.978709,0.157894,0,0.875214,0.978709,-0.92
BTB 12761,0.983436,0.386925,0,0.712542,0.983436,-1.68
BTB 12931,0.537352,-21.2445,1,0.268416,0.537352,49.99
BTB 13088,0.974554,-0.0435806,0,0.917768,0.974554,-1.08
BTB 13588,0.962742,-0.608506,0,0.553292,0.962742,0.79
BTB 13702,0.91532,-2.88946,0,0.00388382,0.91532,6.38
BTB 13761,0.976929,0.0708512,0,0.943648,0.976929,-0.4
BTB 13763,0.974779,-0.0322316,0,0.9687,0.974779,0.05
BTB 13765,1.00012,1.18545,0,0.23732,1.00012,-2.6
BTB 13845,0.979354,0.186945,0,0.85281,0.979354,-0.06
BTB 14058,0.976034,0.0264248,0,0.812832,0.976034,0.5
