supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.982101,0.150306,0,0.88078,0.982101,1.12
AW 00421,0.984139,0.258241,0,0.796866,0.984139,0.95
AW 00430,0.941631,-1.99426,0,0.064821,0.941631,5.71
AW 00475,0.881756,-5.16617,0,3.21974e-07,0.881756,12.36
AW 00480,0.951355,-1.47855,0,0.139363,0.951355,4.74
AW 00519,0.982122,0.152005,0,0.69114,0.982122,1.4
AW 00564,0.966158,-0.69435,0,0.487632,0.966158,3.21
AW 00594,0.972306,-0.36829,0,0.719892,0.972306,2.59
AW 00603,0.992732,0.713749,0,0.478356,0.992732,0.39
AW 00637,0.995645,0.867758,0,0.388742,0.995645,0.11
AW 00845,0.95537,-1.26614,0,0.21529,0.95537,4.57
BR 00082,0.966807,-0.660444,0,0.543422,0.966807,3.34
BTB 00693,0.950923,-1.50188,0,0.153588,0.950923,5.09
BTB 00803,0.974639,-0.244828,0,0.807674,0.974639,2.42
BTB 01259,0.961669,-0.93197,0,0.354264,0.961669,3.78
BTB 01345,0.939845,-2.08864,0,0.0403002,0.939845,6.1
BTB 01397,0.996422,0.909382,0,0.3748,0.996422,-0.23
BTB 01431,0.95952,-1.04605,0,0.296796,0.95952,3.72
BTB 01473,0.958275,-1.11249,0,0.303942,0.958275,3.73
BTB 01480,0.985664,0.339472,0,0.742224,0.985664,0.55
BTB 01594,0.927192,-2.75882,0,0.0058937,0.927192,6.89
BTB 02800,0.982489,0.171028,0,0.864786,0.982489,0.61
BTB 02837,0.97175,-0.398157,0,0.692202,0.97175,1.69
BTB 03305,0.982219,0.156336,0,0.834096,0.982219,0.45
BTB 03433,0.991073,0.62586,0,0.534118,0.991073,-0.57
BTB 03574,0.973811,-0.288425,0,0.758544,0.973811,1.34
BTB 03608,0.98563,0.337391,0,0.735918,0.98563,0.05
BTB 03925,0.972292,-0.369411,0,0.712408,0.972292,1.58
BTB 04194,0.990197,0.579277,0,0.562418,0.990197,-0.34
BTB 04231,0.984975,0.302921,0,0.766424,0.984975,0.33
BTB 04275,0.953426,-1.36911,0,0.179522,0.953426,3.95
BTB 04463,0.0999674,-46.5856,0,0,0.0999674,98.56
BTB 04719,0.920682,-3.10373,0,0.00194539,0.920682,7.9
BTB 04953,0.971545,-0.408943,0,0.682744,0.971545,2.48
BTB 05020,0.918921,-3.19715,0,0.00160531,0.918921,8.47
BTB 05066,0.985104,0.309775,0,0.763798,0.985104,1.34
BTB 05122,0.983091,0.202879,0,0.839282,0.983091,1.69
BTB 05144,0.980756,0.0791975,0,0.937046,0.980756,2.03
BTB 05336,0.96837,-0.576825,0,0.571508,0.96837,3.43
BTB 05340,0.926318,-2.80532,0,0.0060378,0.926318,8.07
BTB 05419,0.974784,-0.237392,0,0.813056,0.974784,2.76
BTB 05486,0.258693,-38.1743,0,0,0.258693,81.25
BTB 05499,0.932465,-2.47899,0,0.0165136,0.932465,7.38
BTB 05661,0.946845,-1.71757,0,0.0863422,0.946845,5.81
BTB 05727,1.00199,1.20362,0,0.235154,1.00199,-0.23
BTB 06084,0.975836,-0.181155,0,0.778956,0.975836,2.64
BTB 06237,0.998832,1.03677,0,0.299848,0.998832,0.11
BTB 06387,0.987593,0.441696,0,0.671608,0.987593,1.29
BTB 06428,0.928567,-2.68583,0,0.00735862,0.928567,7.67
BTB 06691,0.958156,-1.11839,0,0.265334,0.958156,4.29
BTB 06791,0.968454,-0.573157,0,0.59487,0.968454,3
BTB 07002,0.127518,-45.1254,0,0,0.127518,95.56
BTB 07082,0.966159,-0.694347,0,0.489362,0.966159,2.93
BTB 07328,0.957342,-1.1611,0,0.255064,0.957342,3.77
BTB 07385,0.541137,-23.2071,0,0,0.541137,49.69
BTB 07880,0.965186,-0.74577,0,0.455858,0.965186,2.7
BTB 08239,0.953777,-1.35042,0,0.180294,0.953777,3.89
BTB 08317,0.995436,0.856968,0,0.392934,0.995436,-0.8
BTB 08363,0.996353,0.905351,0,0.366098,0.996353,-0.96
BTB 08370,0.987158,0.418217,0,0.67601,0.987158,-0.01
BTB 08512,0.999876,1.09198,0,0.276714,0.999876,-1.47
BTB 08537,0.979094,-0.00909575,0,0.922314,0.979094,0.79
BTB 08545,0.955729,-1.24695,0,0.213902,0.955729,3.33
BTB 08601,0.949645,-1.56851,0,0.158596,0.949645,3.93
BTB 09041,0.9795,0.0126283,0,0.950348,0.9795,0.56
BTB 10282,0.889879,-4.73578,0,2.6834e-06,0.889879,10.5
BTB 10320,0.902963,-4.04075,0,0.00271856,0.902963,8.99
BTB 10323,0.969037,-0.541528,0,0.59456,0.969037,1.63
BTB 10396,0.937454,-2.21499,0,0.0268836,0.937454,5.07
BTB 10539,0.99462,0.814018,0,0.433816,0.99462,-1.37
BTB 10705,0.087478,-47.2472,0,0,0.087478,99.86
XBX 00150,0.63621,-18.1751,0,0,0.63621,38.55
BTB 11052,0.978708,-0.029359,0,0.976582,0.978708,0.22
BTB 11704,1.01639,1.96707,0,0.0493366,1.01639,-4.07
BTB 11781,0.982817,0.188033,0,0.833734,0.982817,-0.4
BTB 11850,0.952839,-1.39989,0,0.16195,0.952839,2.87
BTB 12055,0.977736,-0.080638,0,0.848568,0.977736,-0.01
BTB 12761,0.995436,0.856471,0,0.413166,0.995436,-2.09
BTB 12931,0.082426,-47.5149,0,0,0.082426,100.37
BTB 13088,0.964064,-0.805549,0,0.432554,0.964064,1.24
BTB 13588,0.961687,-0.93096,0,0.358148,0.961687,0.36
BTB 13702,0.931982,-2.50497,0,0.0122474,0.931982,3.98
BTB 13761,0.973658,-0.297049,0,0.766962,0.973658,-0.47
BTB 13763,0.981917,0.140754,0,0.888838,0.981917,-1.14
BTB 13765,1.04117,3.27993,0,0.00103928,1.04117,-7.55
BTB 13845,0.9775,-0.0931811,0,0.865446,0.9775,-0.14
BTB 14058,0.974163,-0.270093,0,0.787512,0.974163,0.47
BTB 14154,0.722314,-13.6134,0,8.98513e-42,0.722314,28.82
BTB 14688,0.972307,-0.368377,0,0.71446,0.972307,1.14
BTB 14851,0.914255,-3.44371,0,0.000983694,0.914255,7.82
BTB 14852,0.914646,-3.42327,0,0.000666128,0.914646,7.99
BTB 14910,0.977061,-0.11661,0,0.907182,0.977061,1.31
BTBG 00025,0.963438,-0.838214,0,0.406588,0.963438,3.09
CD 00707,0.984315,0.268036,0,0.783854,0.984315,0.97
CD 00752,0.970378,-0.470566,0,0.64081,0.970378,2.65
CD 00756,0.892526,-4.59523,0,4.94458e-06,0.892526,11.28
CD 00758,0.962934,-0.864447,0,0.448486,0.962934,3.53
CD 00759,0.944629,-1.83462,0,0.0729376,0.944629,5.49
CD 00823,0.716961,-13.8821,1,0.00356504,0.716961,30.57
CD 00995,0.968606,-0.564757,0,0.574654,0.968606,2.65
CD 01737,1.00703,1.47104,0,0.144423,1.00703,-1.7
CD 01803,0.926279,-2.80715,0,0.00504796,0.926279,7.11
CD 01912,0.989216,0.527603,0,0.6071,0.989216,0.03
CD 02044,0.941234,-2.01436,0,0.0544072,0.941234,5.21
CD 02158,0.952412,-1.42234,0,0.161004,0.952412,3.82
CD 02448,0.990095,0.57397,0,0.566996,0.990095,-0.53
CD 02452,0.999264,1.05963,0,0.289432,0.999264,-1.7
CD 02506,0.985731,0.342717,0,0.73191,0.985731,-0.3
CD 02717,0.923089,-2.9758,0,0.00371794,0.923089,6.6
CD 02744,0.951059,-1.49397,0,0.143328,0.951059,3.42
CD 02745,0.96606,-0.69929,0,0.490664,0.96606,1.7
CD 02761,0.976591,-0.140796,0,0.561328,0.976591,0.46
CD 02830,0.985902,0.35174,0,0.725034,0.985902,-0.64
CD 02841,0.986854,0.402054,0,0.688718,0.986854,-0.8
CD 02860,0.926259,-2.80834,0,0.00545684,0.926259,5.94
CD 02966,0.97758,-0.0892866,0,0.924424,0.97758,0.2
CD 03254,0.889074,-4.77841,0,2.18906e-06,0.889074,10.11
CD 03308,0.958656,-1.09149,0,0.283916,0.958656,2.36
CD 03678,0.957909,-1.13112,0,0.263148,0.957909,2.48
CD 04032,0.975261,-0.211192,0,0.530462,0.975261,0.57
CD 04236,0.988544,0.491688,0,0.623094,0.988544,-0.86
CD 04254,0.992162,0.683468,0,0.494532,0.992162,-1.2
CD 04583,0.960982,-0.96841,0,0.3341,0.960982,2.37
CD 04975,0.616328,-19.2246,0,0,0.616328,40.86
CD 05071,0.981841,0.136592,0,0.89136,0.981841,0.31
CD 05259,0.921321,-3.07014,0,0.00309238,0.921321,7.22
CD 05404,0.958012,-1.12596,0,0.261684,0.958012,3.37
CD 05753,0.986394,0.378178,0,0.714466,0.986394,0.47
CD 06082,1.0014,1.17272,0,0.247074,1.0014,-0.97
CD 06608,0.945913,-1.76695,0,0.0778182,0.945913,5.32
CD 06678,0.695236,-15.0387,0,3.87622e-16,0.695236,33.04
CD 06681,0.989989,0.568522,0,0.575092,0.989989,0.75
CD 06828,0.894999,-4.46473,0,1.63366e-05,0.894999,11.29
CD 06834,0.942043,-1.97211,0,0.0509188,0.942043,6.21
CD 06872,0.935594,-2.31318,0,0.02782,0.935594,6.99
CD 06919,0.93535,-2.32606,0,0.027913,0.93535,7.04
CD 07342,0.961582,-0.93659,0,0.351108,0.961582,4.15
CD 08368,0.973221,-0.319617,0,0.725248,0.973221,2.81
CD 08396,0.981712,0.129594,0,0.894304,0.981712,1.76
CD 08635,0.992776,0.716214,0,0.485044,0.992776,0.36
CD 09291,0.973761,-0.291424,0,0.770846,0.973761,2.2
CD 09658,0.93535,-2.32614,0,0.0260014,0.93535,6.15
CD 09661,0.920605,-3.10746,0,0.00226266,0.920605,7.49
CD 09821,0.936675,-2.25624,0,0.0243706,0.936675,5.43
CD 10699,0.979134,-0.00675845,0,0.95103,0.979134,0.47
CD 10742,0.988552,0.492175,0,0.622618,0.988552,-0.75
CD 10788,0.997947,0.989651,0,0.329326,0.997947,-1.92
CD 11359,0.993295,0.743505,0,0.457476,0.993295,-1.48
DFP 00056,0.938193,-2.17622,0,0.0340972,0.938193,4.71
DFP 00315,0.977971,-0.0682956,0,0.902018,0.977971,0.31
DP 00330,0.981755,0.132115,0,0.894974,0.981755,-0.08
DP 00453,0.992068,0.678491,0,0.49775,0.992068,-1.2
DP 00477,0.984623,0.285408,0,0.298372,0.984623,-0.33
DP 00750,0.96091,-0.9725,0,0.333378,0.96091,2.37
DP 00881,0.0919933,-47.0081,0,0,0.0919933,99.22
DP 01415,0.92758,-2.73819,0,0.00617906,0.92758,6.21
DP 01417,0.964356,-0.789672,0,0.430378,0.964356,2.2
DP 01887,0.963203,-0.850744,0,0.397076,0.963203,2.42
DP 01888,0.980172,0.0481787,0,0.961578,0.980172,0.64
DP 02004,0.94558,-1.78428,0,0.0802188,0.94558,4.59
DSHS 00540,0.980686,0.0760174,0,0.641686,0.980686,1.32
EN 00070,0.981396,0.112947,0,0.910238,0.981396,1.21
EN 00220,0.975555,-0.196382,0,0.844372,0.975555,1.83
FM 00211,1.07586,5.11723,0,1.15101e-06,1.07586,-9.33
FM 00217,0.921168,-3.07692,0,0.00928814,0.921168,7.81
FM 00281,1.02586,2.46882,0,0.0136399,1.02586,-3.86
GK 00584,0.958962,-1.07533,0,0.289358,0.958962,3.52
GK 00860,0.980414,0.0613092,0,0.822904,0.980414,1.1
GK 00898,0.97294,-0.334548,0,0.74857,0.97294,1.89
GK 01359,0.953753,-1.35137,0,0.178574,0.953753,3.97
GK 01594,0.962553,-0.88521,0,0.376856,0.962553,2.96
GK 02006,0.976979,-0.120939,0,0.903858,0.976979,1.32
GK 02221,0.970063,-0.48752,0,0.627086,0.970063,2.05
GK 02386,0.984821,0.294728,0,0.77261,0.984821,0.36
GK 02445,0.983594,0.229491,0,0.818512,0.983594,0.42
GK 02598,0.984851,0.296397,0,0.773292,0.984851,0.2
GK 02688,0.992159,0.684025,0,0.559552,0.992159,-0.71
GK 02714,0.981504,0.117803,0,0.489014,0.981504,0.36
GK 02719,0.999655,1.08027,0,0.281546,0.999655,-1.72
GK 03380,0.960935,-0.970544,0,0.36208,0.960935,2.56
HAN 00069,0.958548,-1.0974,0,0.27356,0.958548,2.79
HAN 00102,0.943728,-1.88263,0,0.0597654,0.943728,4.42
HAN 00332,0.993584,0.758893,0,0.450342,0.993584,-1.16
HAN 00369,0.926094,-2.81639,0,0.00798038,0.926094,6.4
HAN 00373,0.992033,0.676135,0,0.520468,0.992033,-0.99
HAN 00388,0.98903,0.517293,0,0.607382,0.98903,-0.65
HR 00030,0.968772,-0.555698,0,0.579546,0.968772,1.6
HTS 00002,0.927662,-2.73421,0,0.00870988,0.927662,6.17
HTS 00332,0.96739,-0.627545,0,0.350584,0.96739,1.72
HTS 00945,0.981951,0.142421,0,0.886748,0.981951,0.03
HTS 01021,0.954031,-1.33618,0,0.231138,0.954031,3.13
HTS 01155,0.994079,0.784763,0,0.437498,0.994079,-1.38
HTS 01365,0.989141,0.523267,0,0.601286,0.989141,-0.82
HTS 01522,0.965094,-0.750914,0,0.459966,0.965094,1.89
HTS 01570,0.977706,-0.0828337,0,0.79558,0.977706,0.48
HTS 01707,0.982176,0.154578,0,0.847556,0.982176,-0.03
HTS 01770,0.877138,-5.41163,0,1.63055e-06,0.877138,11.69
HTS 01796,0.991363,0.641608,0,0.552662,0.991363,-1.1
HTS 01884,0.949067,-1.59931,0,0.135505,0.949067,3.63
HTS 01888,0.970372,-0.47066,0,0.651664,0.970372,1.27
HTS 02290,0.998341,1.01066,0,0.314492,0.998341,-1.83
HTS 02696,0.953417,-1.36965,0,0.182085,0.953417,3.24
HTS 03200,0.930616,-2.57771,0,0.0133597,0.930616,5.83
HTS 03395,0.985381,0.324441,0,0.750656,0.985381,-0.25
HTS 03520,0.998502,1.01907,0,0.31469,0.998502,-1.72
HTS 03640,0.979287,0.00119147,0,0.948136,0.979287,0.42
HTS 03642,0.979199,-0.00322673,0,0.92072,0.979199,0.42
HTS 03649,0.914602,-3.42536,0,0.000956934,0.914602,7.64
HTS 03656,0.950733,-1.51129,0,0.135364,0.950733,3.58
HTS 03658,0.97024,-0.478338,0,0.64086,0.97024,1.38
HTS 03826,0.923841,-2.937,0,0.00890396,0.923841,6.56
HTS 03843,0.983499,0.224335,0,0.823194,0.983499,-0.09
HTS 03872,0.927808,-2.72612,0,0.00643576,0.927808,6.17
HTS 03942,0.990643,0.603442,0,0.574256,0.990643,-0.82
HTS 04041,0.990321,0.585697,0,0.561224,0.990321,-0.76
HTS 04228,0.981951,0.142451,0,0.886724,0.981951,0.19
HTS 04271,0.972522,-0.356556,0,0.67347,0.972522,1.27
HTS 04496,0.936186,-2.28201,0,0.024228,0.936186,5.32
HTS 04857,0.979515,0.0127771,0,0.64571,0.979515,0.47
HTS 05029,0.987332,0.427802,0,0.675598,0.987332,-0.37
HTS 05109,0.973908,-0.283887,0,0.778848,0.973908,1.15
HTS 05340,0.979857,0.0318107,0,0.799126,0.979857,0.53
HTS 05483,0.964435,-0.785533,0,0.432922,0.964435,2.28
HTS 05532,0.966562,-0.67238,0,0.53153,0.966562,2.06
HTS 05534,0.986985,0.409214,0,0.682746,0.986985,-0.26
HTS 05535,0.974335,-0.261096,0,0.794018,0.974335,1.1
HTS 05583,0.974045,-0.276029,0,0.771252,0.974045,1.04
HTS 05647,0.949748,-1.56346,0,0.124742,0.949748,3.63
HTS 05668,0.968232,-0.583916,0,0.586136,0.968232,1.38
HTS 05759,0.982138,0.152617,0,0.839416,0.982138,-0.37
HTS 06154,0.972485,-0.359045,0,0.719848,0.972485,0.53
HTS 06155,0.94857,-1.62477,0,0.276376,0.94857,3.07
HTS 06168,0.972767,-0.344237,0,0.731354,0.972767,0.14
HTS 06170,0.978661,-0.0316306,0,0.860336,0.978661,-0.71
HTS 06460,0.988851,0.507662,0,0.621138,0.988851,-2.06
HTS 06578,0.969224,-0.53226,0,0.609508,0.969224,-0.03
HTS 06803,0.979919,0.0345953,0,0.88869,0.979919,-1.44
HTS 07134,0.984686,0.28786,0,0.684774,0.984686,-2.17
HTS 07278,0.987287,0.425515,0,0.684304,0.987287,-2.68
HTS 07280,0.964235,-0.795744,0,0.449508,0.964235,-0.26
HTS 07401,0.968205,-0.585414,0,0.580652,0.968205,-0.5
HTS 07682,0.981112,0.098098,0,0.912234,0.981112,-1.88
HTS 07814,0.982938,0.194335,0,0.780746,0.982938,-1.98
HTS 07816,0.992334,0.692294,0,0.49503,0.992334,-2.96
HTS 08734,0.969467,-0.519024,0,0.60378,0.969467,-0.26
HTS 09993,0.98536,0.32272,0,0.754292,0.98536,-1.98
JA 00093,0.957349,-1.16138,0,0.267944,0.957349,1.3
JA 00122,0.970255,-0.477315,0,0.633858,0.970255,-0.09
JA 00123,0.983671,0.233631,0,0.815468,0.983671,-1.53
JFD 00022,0.683053,-15.676,1,0.00586064,0.683053,32.76
JFD 00150,0.987767,0.45078,0,0.657208,0.987767,-1.82
JFD 00422,0.986515,0.384404,0,0.70361,0.986515,-1.58
JFD 00597,0.974087,-0.274022,0,0.78654,0.974087,-0.09
JFD 00950,0.911665,-3.57896,1,0.0407554,0.911665,7.03
JFD 00972,0.960549,-0.991375,0,0.322132,0.960549,1.47
