supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.916891,-0.251783,0,0.717894,0.916891,10.27
AW 00421,0.840152,-1.39169,0,0.208898,0.840152,18.82
AW 00430,0.858657,-1.07193,0,0.39819,0.858657,16.79
AW 00475,0.643847,-4.4077,0,1.13962e-05,0.643847,40.62
AW 00480,0.88724,-0.659371,0,0.582284,0.88724,13.6
AW 00519,1.01321,1.1869,0,0.256726,1.01321,-0.46
AW 00564,0.960808,0.423432,0,0.674562,0.960808,5.39
AW 00594,0.869788,-0.949425,0,0.38806,0.869788,15.52
AW 00603,0.963457,0.457681,0,0.675642,0.963457,5.09
AW 00637,0.951828,0.250975,0,0.806978,0.951828,6.36
AW 00845,0.826936,-1.62428,0,0.116071,0.826936,20.26
BR 00082,0.633242,-4.51535,0,2.06862e-05,0.633242,41.84
BTB 00693,0.440666,-7.53409,0,2.73486e-13,0.440666,63.17
BTB 00803,0.953394,0.324869,0,0.609342,0.953394,6.23
BTB 01259,0.808955,-1.92118,0,0.0559406,0.808955,22.24
BTB 01345,0.192558,-11.4694,0,1.59511e-23,0.192558,90.62
BTB 01397,0.973001,0.55697,0,0.582048,0.973001,4
BTB 01431,0.712078,-3.29737,0,0.00355822,0.712078,33.09
BTB 01473,0.195729,-11.4123,0,1.59511e-23,0.195729,90.28
BTB 01480,0.873478,-0.858802,0,0.484646,0.873478,15.13
BTB 01594,0.196788,-11.396,0,1.82977e-23,0.196788,90.16
BTB 02800,0.922702,-0.139095,0,0.60194,0.922702,9.64
BTB 02837,0.907363,-0.388414,0,0.700706,0.907363,11.33
BTB 03305,0.805221,-1.90778,0,0.0908862,0.805221,22.71
BTB 03433,0.923804,-0.22675,0,0.821662,0.923804,9.44
BTB 03574,0.925903,-0.154008,0,0.87882,0.925903,9.24
BTB 03608,0.602544,-4.96598,0,3.6698e-06,0.602544,45.26
BTB 03925,0.909513,-0.435697,0,0.66386,0.909513,11.03
BTB 04194,0.898948,-0.639373,0,0.546496,0.898948,12.17
BTB 04231,0.983062,0.692449,0,0.489356,0.983062,2.86
BTB 04275,0.868756,-1.02714,0,0.305324,0.868756,15.58
BTB 04463,0.114812,-12.7484,0,2.73478e-26,0.114812,99.19
BTB 04719,0.808407,-1.88535,0,0.0768542,0.808407,22.34
BTB 04953,0.899981,-0.564327,0,0.572602,0.899981,12.1
BTB 05020,0.79203,-2.19905,0,0.0279996,0.79203,24.11
BTB 05066,0.972477,0.536784,0,0.592578,0.972477,4.05
BTB 05122,0.862446,-1.21869,0,0.284662,0.862446,16.21
BTB 05144,0.943381,0.0746991,0,0.94059,0.943381,7.26
BTB 05336,0.938062,0.0595468,0,0.743322,0.938062,7.91
BTB 05340,0.204741,-11.3145,0,4.08382e-22,0.204741,89.25
BTB 05419,0.879345,-0.879475,0,0.37916,0.879345,14.4
BTB 05486,0.0957578,-13.027,0,7.85046e-28,0.0957578,101.32
BTB 05499,0.734915,-3.14953,0,0.0053807,0.734915,30.39
BTB 05661,0.369334,-8.86955,0,1.77783e-12,0.369334,70.91
BTB 05727,0.334262,-9.04958,0,4.73062e-19,0.334262,75.08
BTB 06084,0.944445,0.0777296,0,0.883516,0.944445,7.14
BTB 06237,0.966647,0.469439,0,0.645646,0.966647,4.71
BTB 06387,0.972994,0.572974,0,0.578846,0.972994,4.01
BTB 06428,0.817453,-1.8676,0,0.0780762,0.817453,21.24
BTB 06691,0.934395,-0.0844217,0,0.831752,0.934395,8.25
BTB 06791,0.681455,-3.9267,0,0.000238028,0.681455,36.36
BTB 07002,0.101583,-12.949,0,3.49192e-27,0.101583,100.66
BTB 07082,0.42962,-7.86197,0,2.75388e-11,0.42962,64.28
BTB 07328,0.962432,0.361297,0,0.718518,0.962432,5.14
BTB 07385,0.168224,-11.8565,0,1.13482e-24,0.168224,93.32
BTB 07880,0.602565,-5.01666,0,7.3465e-07,0.602565,45.22
BTB 08239,0.663956,-4.10473,0,4.37896e-05,0.663956,38.38
BTB 08317,0.952391,0.177808,0,0.7934,0.952391,6.24
BTB 08363,0.982556,0.629588,0,0.544852,0.982556,2.88
BTB 08370,0.971435,0.480409,0,0.63578,0.971435,4.13
BTB 08512,1.01059,1.07531,0,0.286658,1.01059,-0.22
BTB 08537,0.995244,0.849993,0,0.397724,0.995244,1.49
BTB 08545,0.974602,0.54818,0,0.583974,0.974602,3.79
BTB 08601,0.929623,-0.1354,0,0.892692,0.929623,8.79
BTB 09041,0.906362,-0.540809,0,0.620682,0.906362,11.34
BTB 10282,0.767735,-2.67951,0,0.0265148,0.767735,26.72
BTB 10320,0.181476,-11.7093,0,1.22577e-22,0.181476,91.8
BTB 10323,0.689865,-3.66241,0,0.000604144,0.689865,35.54
BTB 10396,0.995242,0.855327,0,0.393464,0.995242,1.49
BTB 10539,0.880346,-0.72708,0,0.519174,0.880346,14.39
BTB 10705,0.0894175,-13.1465,0,1.05968e-27,0.0894175,102
XBX 00150,0.185709,-11.6465,0,2.39652e-22,0.185709,91.33
BTB 11052,0.966141,0.406578,0,0.686956,0.966141,4.72
BTB 11704,1.01906,1.20891,0,0.228928,1.01906,-1.16
BTB 11781,0.952908,0.213997,0,0.831268,0.952908,6.2
BTB 11850,0.923792,-0.197411,0,0.843896,0.923792,9.46
BTB 12055,0.9492,0.168717,0,0.866074,0.9492,6.62
BTB 12761,0.865047,-1.07242,0,0.287444,0.865047,16.01
BTB 12931,0.0989324,-12.9779,0,1.23082e-27,0.0989324,100.97
BTB 13088,1.00264,0.985897,0,0.32476,1.00264,0.68
BTB 13588,0.939127,0.0107074,0,0.946204,0.939127,1.12
BTB 13702,0.821802,-1.79467,0,0.086208,0.821802,15.4
BTB 13761,0.935374,-0.0162069,0,0.910172,0.935374,2.78
BTB 13763,0.96304,0.38399,0,0.701012,0.96304,0.2
BTB 13765,0.971407,0.527251,0,0.600612,0.971407,-0.15
BTB 13845,0.957601,0.309873,0,0.757096,0.957601,2.03
BTB 14058,0.992621,0.830972,0,0.406124,0.992621,-1.35
BTB 14154,0.140915,-12.3144,0,1.89914e-25,0.140915,95.24
BTB 14688,0.135468,-12.3727,0,2.22748e-26,0.135468,95.92
BTB 14851,0.866726,-1.10978,0,0.282406,0.866726,14.42
BTB 14852,0.849472,-1.36419,0,0.183024,0.849472,16.83
BTB 14910,0.968326,0.464488,0,0.64236,0.968326,4.21
BTBG 00025,0.460257,-8.20661,1,0.0234306,0.460257,60.82
CD 00707,0.985578,0.716569,0,0.473802,0.985578,3.3
CD 00752,0.990917,0.820848,0,0.41502,0.990917,2.95
CD 00756,0.861286,-1.15508,0,0.248288,0.861286,17.17
CD 00758,0.86655,-1.10256,0,0.279186,0.86655,16.55
CD 00759,0.853317,-1.25693,0,0.210208,0.853317,17.8
CD 00823,0.243652,-10.5925,0,1.40535e-22,0.243652,84.39
CD 00995,0.959243,0.33704,0,0.736818,0.959243,5.53
CD 01737,0.844134,-1.42988,0,0.156348,0.844134,17.81
CD 01803,0.493371,-6.75897,0,1.248e-10,0.493371,56.34
CD 01912,0.994822,0.864577,0,0.387444,0.994822,0.09
CD 02044,0.94815,0.139479,0,0.889742,0.94815,4.73
CD 02158,0.866805,-1.07601,0,0.282666,0.866805,13.33
CD 02448,0.975331,0.556003,0,0.579024,0.975331,0.49
CD 02452,0.971877,0.509085,0,0.610906,0.971877,0.37
CD 02506,0.947203,0.194789,0,0.758276,0.947203,2.84
CD 02717,0.348817,-8.9989,0,1.44633e-16,0.348817,71.2
CD 02744,0.950507,0.209657,0,0.834768,0.950507,2.04
CD 02745,0.973979,0.540922,0,0.58877,0.973979,-0.77
CD 02761,0.985966,0.744764,0,0.459094,0.985966,-2.21
CD 02830,0.938049,0.0317526,0,0.873142,0.938049,3.3
CD 02841,0.950448,0.212493,0,0.832988,0.950448,1.92
CD 02860,0.537808,-6.14986,0,4.30454e-08,0.537808,49.41
CD 02966,0.78787,-2.26982,0,0.023774,0.78787,20.85
CD 03254,0.114253,-12.7945,0,1.89613e-25,0.114253,98.05
CD 03308,0.959864,0.334994,0,0.737636,0.959864,1.63
CD 03678,0.91932,-0.260236,0,0.795652,0.91932,6.57
CD 04032,0.980203,0.64748,0,0.517744,0.980203,-0.03
CD 04236,0.936693,0.0144121,0,0.858374,0.936693,5.25
CD 04254,0.953384,0.255663,0,0.79957,0.953384,3.7
CD 04583,0.944764,0.127904,0,0.89763,0.944764,5.02
CD 04975,0.229662,-10.939,0,1.42462e-20,0.229662,85.43
CD 05071,0.908557,-0.436007,0,0.662866,0.908557,9.89
CD 05259,0.343677,-9.14503,0,1.34487e-15,0.343677,73.04
CD 05404,0.995701,0.86091,0,0.390662,0.995701,1.46
CD 05753,0.885562,-0.877022,0,0.451904,0.885562,14.26
CD 06082,1.02344,1.28077,0,0.201138,1.02344,-0.09
CD 06608,0.883897,-0.839057,0,0.408984,0.883897,15.63
CD 06678,0.157253,-12.075,0,3.38408e-24,0.157253,94.21
CD 06681,1.00644,1.02397,0,0.30694,1.00644,3.3
CD 06828,0.842102,-1.41821,0,0.159375,0.842102,21.01
CD 06834,0.748981,-3.09067,0,0.0587632,0.748981,31.24
CD 06872,0.693288,-3.94254,0,0.00977948,0.693288,37.2
CD 06919,0.889514,-0.836194,0,0.502052,0.889514,16.15
CD 07342,0.744286,-2.86648,0,0.00559208,0.744286,31.39
CD 08368,0.956292,0.277712,0,0.781258,0.956292,8.63
CD 08396,0.732272,-3.14631,0,0.00268956,0.732272,32.37
CD 08635,0.915254,-0.325489,0,0.74548,0.915254,12.3
CD 09291,0.987633,0.738074,0,0.46207,0.987633,3.93
CD 09658,0.874484,-0.953794,0,0.340244,0.874484,15.51
CD 09661,0.966415,0.41135,0,0.683324,0.966415,4.62
CD 09821,0.984287,0.685617,0,0.494998,0.984287,1.69
CD 10699,0.871926,-0.989281,0,0.322528,0.871926,13.39
CD 10742,0.98651,0.748523,0,0.455668,0.98651,-0.2
CD 10788,0.934544,-0.0135777,0,0.837496,0.934544,5.13
CD 11359,0.983432,0.690892,0,0.489672,0.983432,-0.83
DFP 00056,0.882299,-0.825208,0,0.409874,0.882299,10.75
DFP 00315,0.986437,0.739807,0,0.459704,0.986437,-1
DP 00330,0.990498,0.802019,0,0.422958,0.990498,-1.35
DP 00453,1.0149,1.19212,0,0.240864,1.0149,-3.99
DP 00477,0.969545,0.48386,0,0.628598,0.969545,1.29
DP 00750,0.617806,-5.0414,0,0.000125381,0.617806,41.22
DP 00881,0.158082,-12.0222,0,4.6628e-25,0.158082,93.29
DP 01415,0.89595,-0.617169,0,0.538038,0.89595,10.12
DP 01417,0.989982,0.805398,0,0.42341,0.989982,-0.26
DP 01887,0.490591,-6.89138,0,1.73295e-09,0.490591,56.06
DP 01888,0.921621,-0.213036,0,0.833826,0.921621,7.94
DP 02004,0.870286,-0.997473,0,0.321138,0.870286,13.96
DSHS 00540,0.977757,0.621468,0,0.536798,0.977757,0.68
EN 00070,0.797667,-2.00775,0,0.0853906,0.797667,20.89
EN 00220,0.900317,-0.583084,0,0.562936,0.900317,9.47
FM 00211,0.96508,0.415033,0,0.678156,0.96508,2.27
FM 00217,0.902253,-0.569801,0,0.578284,0.902253,9.36
FM 00281,0.977614,0.598078,0,0.549858,0.977614,0.97
GK 00584,0.963118,0.39313,0,0.694786,0.963118,2.61
GK 00860,0.726337,-3.16002,0,0.00172384,0.726337,29.05
GK 00898,0.954792,0.278205,0,0.782536,0.954792,3.58
GK 01359,0.842308,-1.46447,0,0.149228,0.842308,16.17
GK 01594,0.898488,-0.56587,0,0.575612,0.898488,9.88
GK 02006,0.713923,-3.29805,0,0.00214902,0.713923,30.42
GK 02221,0.973402,0.544545,0,0.58639,0.973402,1.59
GK 02386,0.898466,-0.617048,0,0.542586,0.898466,9.99
GK 02445,0.91235,-0.271543,0,0.518834,0.91235,8.35
GK 02598,0.970467,0.512474,0,0.610702,0.970467,1.99
GK 02688,0.963796,0.382483,0,0.7027,0.963796,2.73
GK 02714,0.863865,-1.14026,0,0.261624,0.863865,13.79
GK 02719,0.940343,0.00552792,0,0.833092,0.940343,5.16
GK 03380,0.915507,-0.317364,0,0.752172,0.915507,7.78
HAN 00069,0.929696,-0.145376,0,0.879202,0.929696,6.13
HAN 00102,0.908064,-0.463709,0,0.64483,0.908064,8.46
HAN 00332,1.0051,1.03186,0,0.304734,1.0051,-2.49
HAN 00369,0.567512,-5.6205,0,5.18828e-08,0.567512,46.52
HAN 00373,0.855698,-1.22511,0,0.221224,0.855698,14.19
HAN 00388,0.936272,-0.0313885,0,0.95051,0.936272,5.16
HR 00030,0.943082,0.0902286,0,0.928212,0.943082,4.37
HTS 00002,0.413538,-7.89093,0,3.00272e-15,0.413538,63.72
HTS 00332,0.937804,-0.00203904,0,0.980982,0.937804,4.94
HTS 00945,0.771566,-2.55098,0,0.0145647,0.771566,23.6
HTS 01021,0.978957,0.620602,0,0.534866,0.978957,0.34
HTS 01155,1.00666,1.0244,0,0.307386,1.00666,-2.67
HTS 01365,0.873563,-0.998407,0,0.327958,0.873563,12.37
HTS 01522,0.468831,-7.13103,0,1.1683e-11,0.468831,57.75
HTS 01570,0.898509,-0.602909,0,0.54788,0.898509,9.82
HTS 01707,0.9564,0.247903,0,0.808262,0.9564,3.52
HTS 01770,0.589424,-5.41822,0,6.9403e-06,0.589424,44.64
HTS 01796,0.990586,0.768809,0,0.44843,0.990586,0.17
HTS 01884,0.795086,-2.14012,0,0.0324748,0.795086,22.07
HTS 01888,0.988263,0.736055,0,0.467032,0.988263,1.02
HTS 02290,0.950233,0.168507,0,0.867212,0.950233,5.5
HTS 02696,0.814788,-1.83057,0,0.0690684,0.814788,20.6
HTS 03200,0.868793,-1.07105,0,0.294476,0.868793,14.92
HTS 03395,0.976356,0.533604,0,0.609502,0.976356,3.29
HTS 03520,0.977066,0.539734,0,0.608466,0.977066,3.23
HTS 03640,0.91693,-0.237516,0,0.657282,0.91693,9.6
HTS 03642,0.894057,-0.575455,0,0.61017,0.894057,11.92
HTS 03649,0.875625,-0.933517,0,0.350556,0.875625,13.79
HTS 03656,0.866144,-0.982561,0,0.401438,0.866144,14.48
HTS 03658,0.946474,0.114573,0,0.909318,0.946474,5.45
HTS 03826,0.865709,-1.09373,0,0.275026,0.865709,14.13
HTS 03843,0.952067,0.174587,0,0.80094,0.952067,4.37
HTS 03872,0.868023,-1.07587,0,0.288632,0.868023,13.5
HTS 03942,1.00875,1.04438,0,0.30212,1.00875,-2.33
HTS 04041,0.997504,0.906776,0,0.364872,0.997504,-1.25
HTS 04228,1.00298,0.99773,0,0.320384,1.00298,-2.04
HTS 04271,0.955158,0.252083,0,0.801416,0.955158,3.12
HTS 04496,0.298939,-9.59926,0,1.17707e-21,0.298939,76.6
HTS 04857,0.914106,-0.379881,0,0.707298,0.914106,7.43
HTS 05029,0.884243,-0.761553,0,0.461632,0.884243,10.73
HTS 05109,0.929096,-0.145336,0,0.884998,0.929096,5.79
HTS 05340,0.894897,-0.701443,0,0.50917,0.894897,9.81
HTS 05483,0.963858,0.406376,0,0.685306,0.963858,2.27
HTS 05532,0.588715,-4.66651,1,0.137805,0.588715,44.07
HTS 05534,0.847161,-1.26013,0,0.29231,0.847161,15.67
HTS 05535,0.962987,0.374141,0,0.708538,0.962987,2.95
HTS 05583,0.963125,0.347227,0,0.734564,0.963125,2.95
HTS 05647,0.39891,-7.93181,0,3.84258e-12,0.39891,65.55
HTS 05668,0.829942,-1.50485,0,0.227538,0.829942,17.14
HTS 05759,0.99002,0.730727,0,0.491386,0.99002,-1.19
HTS 06154,0.822134,-1.55211,0,0.344252,0.822134,17.09
HTS 06155,0.557111,-5.08768,1,0.11926,0.557111,46.46
HTS 06168,0.874337,-0.978467,0,0.333424,0.874337,10.38
HTS 06170,0.92699,-0.162631,0,0.870816,0.92699,3.86
HTS 06460,0.907595,-0.419848,0,0.68076,0.907595,5.57
HTS 06578,0.921228,-0.272029,0,0.787896,0.921228,3.52
HTS 06803,0.590065,-5.29301,0,4.29036e-07,0.590065,41.53
HTS 07134,0.966487,0.403961,0,0.691064,0.966487,-2.84
HTS 07278,0.973352,0.538104,0,0.590514,0.973352,-4.25
HTS 07280,0.948269,0.188768,0,0.852628,0.948269,-1.92
HTS 07401,0.929001,-0.15627,0,0.877316,0.929001,0.85
HTS 07682,0.934678,-0.0477054,0,0.961956,0.934678,1.04
HTS 07814,0.952044,0.197699,0,0.844264,0.952044,-0.13
HTS 07816,0.964508,0.387334,0,0.699958,0.964508,-0.71
HTS 08734,0.94152,0.0237675,0,0.835634,0.94152,2.8
HTS 09993,0.957925,0.286965,0,0.775428,0.957925,1.77
JA 00093,0.104802,-12.8885,0,3.04202e-27,0.104802,99
JA 00122,0.887786,-0.720585,0,0.47877,0.887786,11.33
JA 00123,0.902551,-0.555264,0,0.583626,0.902551,10.47
JFD 00022,0.090377,-13.1489,0,3.14692e-27,0.090377,100.87
JFD 00150,0.960561,0.315595,0,0.755986,0.960561,5.73
JFD 00422,0.952414,0.205969,0,0.837562,0.952414,7.47
JFD 00597,0.954769,0.247791,0,0.804614,0.954769,8.05
JFD 00950,0.519286,-6.08361,1,8.96296e-07,0.519286,55.23
JFD 00972,0.827025,-1.64436,0,0.102979,0.827025,22.57
JFD 01192,0.971142,0.505603,0,0.613158,0.971142,7.37
JFD 01208,0.149787,-12.2223,0,6.574e-24,0.149787,94.89
JFD 01516,0.803313,-2.03407,0,0.0424426,0.803313,25.31
JFD 01755,0.86059,-1.22875,0,0.258274,0.86059,19.2
JFD 01898,0.707959,-3.49354,0,0.000628266,0.707959,35.45
JFD 01986,0.907821,-0.527069,0,0.637102,0.907821,14.17
JFD 02062,0.874106,-0.972664,0,0.332926,0.874106,17.75
JFD 02125,0.958542,0.276972,0,0.787166,0.958542,8.67
JFD 02170,1.00137,0.956048,0,0.339114,1.00137,3.9
JFD 02331,0.552896,-5.95742,0,3.71196e-07,0.552896,51.63
JFD 02393,0.979227,0.642042,0,0.522986,0.979227,5.66
JFD 02584,0.970508,0.497415,0,0.618966,0.970508,6.28
JFD 02882,0.907337,-0.479614,0,0.634798,0.907337,12.84
JFD 03027,0.567219,-5.58469,0,2.43358e-08,0.567219,49.46
JFD 03028,0.222441,-11.0419,0,3.87722e-21,0.222441,86.76
JFD 03033,0.173728,-11.7982,0,9.44052e-24,0.173728,92.06
JFD 03155,0.840186,-1.63898,0,0.279938,0.840186,20.29
JFD 03196,0.967848,0.454997,0,0.649116,0.967848,6.86
JFD 03398,0.615712,-4.8784,0,1.59865e-06,0.615712,44.94
JFD 03446,0.974541,0.513534,0,0.61882,0.974541,7.06
JFD 03520,0.243561,-10.711,0,4.07654e-20,0.243561,84.99
JFD 03916,0.0970116,-13.0452,0,7.49666e-27,0.0970116,100.58
JP 00319,0.857363,-1.24368,0,0.223788,0.857363,20.34
JP 00336,0.97268,0.51981,0,0.60353,0.97268,8.3
JP 00414,0.84311,-1.43491,0,0.152289,0.84311,21.97
JP 00451,0.888183,-0.733377,0,0.464466,0.888183,17.2
JP 00512,0.970419,0.479591,0,0.632626,0.970419,8.46
JP 00697,0.815098,-1.8872,0,0.0674618,0.815098,24.72
KM 00261,0.871774,-1.0179,0,0.314692,0.871774,18.56
KM 00313,1.00463,1.01699,0,0.309904,1.00463,4.21
KM 00369,0.809651,-1.9321,0,0.0534522,0.809651,24.58
KM 00512,0.992643,0.815777,0,0.415792,0.992643,4.66
KM 00593,1.00896,1.09644,0,0.277768,1.00896,2.37
