supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.978259,0.148065,0,0.883266,0.978259,1.57
AW 00421,0.978738,0.171612,0,0.863978,0.978738,1.63
AW 00430,0.953307,-1.09915,0,0.4955,0.953307,4.6
AW 00475,0.884253,-4.53204,0,1.06061e-05,0.884253,12.43
AW 00480,0.954284,-1.04536,0,0.306442,0.954284,4.7
AW 00519,0.992224,0.842229,0,0.405558,0.992224,0.58
AW 00564,0.971946,-0.16563,0,0.776232,0.971946,2.96
AW 00594,0.98339,0.40467,0,0.707948,0.98339,1.8
AW 00603,0.991678,0.815917,0,0.415292,0.991678,0.99
AW 00637,0.991073,0.787626,0,0.487628,0.991073,1.16
AW 00845,0.948041,-1.35629,0,0.1831,0.948041,6.04
BR 00082,0.968152,-0.356257,0,0.723886,0.968152,3.89
BTB 00693,0.960501,-0.73846,0,0.501116,0.960501,4.83
BTB 00803,0.982238,0.34726,0,0.710304,0.982238,2.44
BTB 01259,0.967608,-0.38221,0,0.70512,0.967608,4.07
BTB 01345,0.949713,-1.2745,0,0.208962,0.949713,6.05
BTB 01397,0.990384,0.749567,0,0.490984,0.990384,1.52
BTB 01431,0.951462,-1.18554,0,0.25601,0.951462,5.81
BTB 01473,0.95525,-1.00057,0,0.39985,0.95525,5.35
BTB 01480,0.983077,0.387466,0,0.69843,0.983077,2.21
BTB 01594,0.92087,-2.71111,0,0.00907878,0.92087,9.07
BTB 02800,0.994575,0.960015,0,0.337142,0.994575,0.81
BTB 02837,0.981632,0.315651,0,0.752534,0.981632,2.21
BTB 03305,0.983996,0.432993,0,0.665382,0.983996,1.92
BTB 03433,0.987533,0.609567,0,0.5431,0.987533,1.51
BTB 03574,0.971308,-0.197636,0,0.817804,0.971308,3.31
BTB 03608,0.984861,0.477138,0,0.64177,0.984861,1.8
BTB 03925,0.971337,-0.19502,0,0.608216,0.971337,3.31
BTB 04194,0.974676,-0.0294435,0,0.72132,0.974676,2.96
BTB 04231,0.981885,0.329572,0,0.72196,0.981885,2.2
BTB 04275,0.956434,-0.940664,0,0.377828,0.956434,5.12
BTB 04463,0.127621,-42.2039,0,0,0.127621,97.26
BTB 04719,0.938457,-1.83405,0,0.0670582,0.938457,7.32
BTB 04953,0.972587,-0.135583,0,0.870196,0.972587,3.66
BTB 05020,0.91325,-3.08863,0,0.0023442,0.91325,10.34
BTB 05066,0.983312,0.399116,0,0.689814,0.983312,2.67
BTB 05122,0.993739,0.918221,0,0.358582,0.993739,1.57
BTB 05144,0.994437,0.954176,0,0.358624,0.994437,1.51
BTB 05336,0.973923,-0.0658515,0,0.535328,0.973923,3.77
BTB 05340,0.928577,-2.32479,0,0.027919,0.928577,8.77
BTB 05419,0.964099,-0.555881,0,0.608696,0.964099,4.82
BTB 05486,0.192782,-38.9518,0,0,0.192782,90.09
BTB 05499,0.921741,-2.66542,0,0.0102265,0.921741,9.47
BTB 05661,0.935909,-1.95923,0,0.075517,0.935909,7.9
BTB 05727,0.991653,0.815514,0,0.431322,0.991653,1.74
BTB 06084,0.972837,-0.120735,0,0.67531,0.972837,3.83
BTB 06237,0.994839,0.974779,0,0.372688,0.994839,1.39
BTB 06387,0.983956,0.431638,0,0.668062,0.983956,2.55
BTB 06428,0.927013,-2.40356,0,0.0171406,0.927013,8.77
BTB 06691,0.967809,-0.372867,0,0.709306,0.967809,4.12
BTB 06791,0.974821,-0.023747,0,0.979652,0.974821,3.19
BTB 07002,0.096146,-43.7736,0,0,0.096146,100.75
BTB 07082,0.965026,-0.513024,0,0.637128,0.965026,4.01
BTB 07328,0.967703,-0.377758,0,0.70635,0.967703,3.6
BTB 07385,0.43648,-26.8105,0,0,0.43648,62.71
BTB 07880,0.974069,-0.0614221,0,0.938666,0.974069,2.73
BTB 08239,0.942737,-1.61889,0,0.158186,0.942737,6.15
BTB 08317,0.989486,0.706966,0,0.48189,0.989486,0.87
BTB 08363,0.992493,0.856681,0,0.394582,0.992493,0.46
BTB 08370,0.9877,0.618015,0,0.538458,0.9877,0.93
BTB 08512,0.991265,0.795469,0,0.427986,0.991265,0.46
BTB 08537,0.969409,-0.291677,0,0.732376,0.969409,2.84
BTB 08545,0.957387,-0.891339,0,0.374546,0.957387,4.12
BTB 08601,0.943149,-1.59616,0,0.315288,0.943149,5.62
BTB 09041,0.973127,-0.10933,0,0.747166,0.973127,2.21
BTB 10282,0.87422,-5.03362,0,8.59178e-07,0.87422,13.25
BTB 10320,0.900636,-3.7211,0,0.00246726,0.900636,10.23
BTB 10323,0.974479,-0.0412542,0,0.886656,0.974479,1.86
BTB 10396,0.943542,-1.58082,0,0.114615,0.943542,5.23
BTB 10539,1.00609,1.53412,0,0.135968,1.00609,-1.92
BTB 10705,0.0901794,-44.0721,0,0,0.0901794,101.28
XBX 00150,0.721625,-12.6288,0,1.45013e-34,0.721625,29.98
BTB 11052,0.978095,0.1392,0,0.889378,0.978095,0.93
BTB 11704,1.01411,1.93215,0,0.0543202,1.01411,-3.26
BTB 11781,0.983266,0.397487,0,0.694968,0.983266,0.11
BTB 11850,0.95095,-1.21208,0,0.225798,0.95095,3.66
