supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.922593,-0.0328999,0,0.899818,0.922593,13.9
AW 00421,0.855872,-1.1241,0,0.261048,0.855872,21.04
AW 00430,0.855814,-1.12471,0,0.262004,0.855814,21.1
AW 00475,0.604245,-5.24002,0,3.04562e-07,0.604245,47.89
AW 00480,0.889639,-0.571527,0,0.56767,0.889639,17.68
AW 00519,1,1.23354,0,0.221618,1,6.09
AW 00564,0.972486,0.783776,0,0.43341,0.972486,9.09
AW 00594,0.971913,0.77367,0,0.45033,0.971913,9.27
AW 00603,0.991999,1.10215,0,0.286366,0.991999,7.23
AW 00637,0.927108,0.0407567,0,0.856166,0.927108,14.14
AW 00845,0.870462,-0.885615,0,0.377146,0.870462,20.14
BR 00082,0.546906,-6.18275,0,8.35846e-08,0.546906,54.52
BTB 00693,0.428303,-8.11758,0,1.40987e-14,0.428303,66.8
BTB 00803,0.942928,0.299798,0,0.766282,0.942928,12.57
BTB 01259,0.727329,-3.22417,0,0.00711188,0.727329,35.2
BTB 01345,0.198311,-11.8821,0,2.79304e-32,0.198311,91.19
BTB 01397,0.978065,0.873658,0,0.418408,0.978065,9.27
BTB 01431,0.795109,-2.1206,0,0.0702722,0.795109,28.74
BTB 01473,0.203235,-11.8027,0,1.83978e-31,0.203235,90.84
BTB 01480,0.926236,0.0257066,0,0.70043,0.926236,15.04
BTB 01594,0.320114,-9.89005,0,7.14516e-23,0.320114,78.52
BTB 02800,0.930617,0.0982385,0,0.868744,0.930617,14.26
BTB 02837,0.922068,-0.0412371,0,0.949812,0.922068,14.97
BTB 03305,0.909344,-0.248199,0,0.806034,0.909344,16.17
BTB 03433,0.94084,0.265344,0,0.795024,0.94084,12.94
BTB 03574,0.924878,0.00420164,0,0.841888,0.924878,14.68
BTB 03608,0.71399,-3.44417,0,0.000967672,0.71399,36.89
BTB 03925,0.916878,-0.128215,0,0.555016,0.916878,15.89
BTB 04194,0.857878,-1.08931,0,0.332368,0.857878,21.99
BTB 04231,0.979456,0.896748,0,0.392314,0.979456,9.57
BTB 04275,0.941041,0.2684,0,0.795436,0.941041,13.72
BTB 04463,0.130317,-12.9954,0,3.5636e-38,0.130317,98.53
BTB 04719,0.825192,-1.62709,0,0.117216,0.825192,26.09
BTB 04953,0.889249,-0.579564,0,0.594906,0.889249,19.66
