supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.936709,0.259638,0,0.795986,0.936709,8.98
AW 00421,0.912919,0.0407188,0,0.951088,0.912919,11.61
AW 00430,0.876772,-0.303005,0,0.762234,0.876772,15.55
AW 00475,0.568073,-3.20446,0,0.00135633,0.568073,49.39
AW 00480,0.864307,-0.417324,0,0.676656,0.864307,16.93
AW 00519,1.00621,0.916926,0,0.359256,1.00621,1.38
AW 00564,0.89996,-0.085862,0,0.931828,0.89996,13.01
AW 00594,0.722445,-1.75589,0,0.0803676,0.722445,32.46
AW 00603,0.963802,0.519127,0,0.6042,0.963802,6.03
AW 00637,0.96042,0.486267,0,0.626856,0.96042,6.39
AW 00845,0.753502,-1.45992,0,0.144476,0.753502,29.07
BR 00082,0.220725,-6.44781,0,7.1266e-09,0.220725,87.57
BTB 00693,0.221577,-6.47008,0,1.6885e-10,0.221577,87.34
BTB 00803,0.935002,0.24475,0,0.806936,0.935002,9.17
BTB 01259,0.370946,-5.07759,0,3.29934e-06,0.370946,70.92
BTB 01345,0.134531,-7.29067,0,8.6019e-13,0.134531,96.87
BTB 01397,0.989229,0.759719,0,0.449608,0.989229,3.25
BTB 01431,0.598249,-2.94319,0,0.0122577,0.598249,45.99
BTB 01473,0.137324,-7.26082,0,5.37638e-13,0.137324,96.58
BTB 01480,0.85988,-0.469156,0,0.652148,0.85988,17.37
BTB 01594,0.123212,-7.39589,0,3.07392e-13,0.123212,98.12
BTB 02800,0.888721,-0.198788,0,0.759314,0.888721,14.21
BTB 02837,0.825373,-0.791516,0,0.43899,0.825373,21.16
BTB 03305,0.192735,-6.74045,0,2.41642e-11,0.192735,90.51
BTB 03433,1,0.857916,0,0.390938,1,2.05
BTB 03574,0.941808,0.306461,0,0.761148,0.941808,8.41
BTB 03608,0.571377,-3.22396,1,0.0490792,0.571377,48.81
BTB 03925,0.82307,-0.808797,0,0.419936,0.82307,21.43
BTB 04194,0.830962,-0.732123,0,0.464094,0.830962,20.58
BTB 04231,0.951493,0.389696,0,0.716386,0.951493,7.32
BTB 04275,0.715559,-1.80989,0,0.0788932,0.715559,33.26
BTB 04463,0.11419,-7.48321,0,2.7431e-13,0.11419,99.1
BTB 04719,0.702712,-1.94727,0,0.0602224,0.702712,34.6
BTB 04953,0.932751,0.222535,0,0.82456,0.932751,9.41
