supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.991323,0.735627,0,0.464918,0.991323,-48.35
AW 00421,0.993234,0.854715,0,0.394166,0.993234,-42.36
AW 00430,0.956012,-1.37981,0,0.167855,0.956012,-124.79
AW 00475,0.866283,-6.80161,0,2.6263e-11,0.866283,-337.48
AW 00480,0.960785,-1.07533,0,0.285824,0.960785,-106.75
AW 00519,0.985288,0.414937,0,0.688558,0.985288,-44.52
AW 00564,0.974809,-0.231578,0,0.81818,0.974809,-74.28
AW 00594,0.965423,-0.787655,0,0.439972,0.965423,-91.8
AW 00603,0.977102,-0.125389,0,0.872022,0.977102,-80.75
AW 00637,0.988607,0.597997,0,0.552476,0.988607,-41.82
AW 00845,0.959377,-1.21293,0,0.25304,0.959377,-128.29
BR 00082,0.978252,-0.00486173,0,0.767652,0.978252,-56.17
BTB 00693,0.964422,-0.826367,0,0.443344,0.964422,-82.5
BTB 00803,0.970215,-0.516704,0,0.605706,0.970215,-83.24
BTB 01259,0.96656,-0.72652,0,0.47151,0.96656,-86
BTB 01345,0.945733,-1.82674,0,0.371964,0.945733,-71.34
BTB 01397,0.996209,1.09472,0,0.323872,0.996209,0.2
BTB 01431,0.987056,0.514519,0,0.614228,0.987056,-29.83
BTB 01473,0.968419,-0.603052,0,0.557632,0.968419,-68.09
BTB 01480,0.989187,0.622159,0,0.533912,0.989187,-27.27
BTB 01594,0.962044,-1.08005,0,0.360856,0.962044,-114.08
BTB 02800,0.978796,-0.00814397,0,0.979576,0.978796,-48.02
BTB 02837,0.969363,-0.577268,0,0.564056,0.969363,-68.69
BTB 03305,0.607195,-25.0944,1,0.224668,0.607195,-999.99
BTB 03433,0.980295,0.144125,0,0.601412,0.980295,-17.38
BTB 03574,0.984056,0.333475,0,0.743678,0.984056,-23.97
BTB 03608,0.98858,0.573095,0,0.568244,0.98858,-27.54
BTB 03925,0.992658,0.773688,0,0.491928,0.992658,-37.23
BTB 04194,0.989049,0.636468,0,0.53449,0.989049,-15.08
BTB 04231,0.992466,0.863612,0,0.427032,0.992466,0.07
BTB 04275,0.967072,-0.694454,0,0.491978,0.967072,-71.25
BTB 04463,0.164928,-49.3785,0,0,0.164928,-999.99
BTB 04719,0.959854,-1.18743,0,0.26782,0.959854,-113.61
BTB 04953,0.96931,-0.577936,0,0.56336,0.96931,-77.45
BTB 05020,0.91451,-3.87477,0,0.000106818,0.91451,-204.2
