supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.944805,-0.300595,0,0.763794,0.944805,2.1
AW 00421,0.95673,0.00892258,0,0.863408,0.95673,0.89
AW 00430,0.919302,-0.967247,0,0.33875,0.919302,5.49
AW 00475,0.785376,-4.46644,0,6.7974e-05,0.785376,21.5
AW 00480,0.937309,-0.495169,0,0.621266,0.937309,3.76
AW 00519,0.980855,0.638157,0,0.530414,0.980855,-1.12
AW 00564,0.961223,0.127455,0,0.898696,0.961223,1.39
AW 00594,0.97046,0.366718,0,0.719786,0.97046,0.54
AW 00603,0.983983,0.724133,0,0.480164,0.983983,-0.85
AW 00637,0.981415,0.658321,0,0.53359,0.981415,-0.35
AW 00845,0.913679,-1.11385,0,0.270118,0.913679,7.74
BR 00082,0.649516,-7.97547,0,5.06062e-08,0.649516,38.44
BTB 00693,0.721929,-6.096,0,6.9293e-06,0.721929,30.22
BTB 00803,0.956884,0.0157237,0,0.93012,0.956884,3.27
BTB 01259,0.872952,-2.16781,0,0.0677168,0.872952,13.16
BTB 01345,0.405026,-14.3561,0,4.11e-33,0.405026,67.23
BTB 01397,0.990323,0.887294,0,0.374986,0.990323,0.18
BTB 01431,0.884901,-1.87534,0,0.234294,0.884901,12.55
BTB 01473,0.335833,-16.1741,0,0,0.335833,75.5
BTB 01480,0.947102,-0.244837,0,0.687798,0.947102,5.75
BTB 01594,0.422243,-13.9194,0,4.61994e-37,0.422243,65.72
BTB 02800,0.984515,0.737813,0,0.470168,0.984515,1.54
BTB 02837,0.937976,-0.47186,0,0.577294,0.937976,6.84
BTB 03305,0.699447,-6.72693,1,7.90186e-06,0.699447,34.06
BTB 03433,0.991651,0.919279,0,0.371072,0.991651,0.71
BTB 03574,0.953314,-0.0783242,0,0.93757,0.953314,5.08
BTB 03608,0.8878,-1.78635,0,0.0756678,0.8878,12.56
BTB 03925,0.972956,0.427615,0,0.581024,0.972956,2.82
BTB 04194,0.904773,-1.34143,0,0.199787,0.904773,10.61
BTB 04231,1.0028,1.21399,0,0.229094,1.0028,-0.6
BTB 04275,0.945518,-0.279973,0,0.782414,0.945518,5.94
BTB 04463,0.129111,-21.5829,0,0,0.129111,99.19
BTB 04719,0.943568,-0.332705,0,0.73937,0.943568,6.17
BTB 04953,0.962818,0.166809,0,0.797412,0.962818,3.96
BTB 05020,0.887747,-1.78994,0,0.0749652,0.887747,12.51
BTB 05066,0.985885,0.770671,0,0.44181,0.985885,1.21
BTB 05122,0.949438,-0.187235,0,0.47521,0.949438,5.21
BTB 05144,0.969968,0.358073,0,0.724774,0.969968,2.71
BTB 05336,0.952648,-0.0961237,0,0.923478,0.952648,4.52
BTB 05340,0.308736,-16.8924,0,0,0.308736,78.45
BTB 05419,0.925341,-0.806469,0,0.425418,0.925341,7.46
BTB 05486,0.118875,-21.848,0,0,0.118875,100.25
BTB 05499,0.771604,-4.82026,0,1.77282e-06,0.771604,25.1
BTB 05661,0.623076,-8.66164,0,7.04036e-09,0.623076,42.32
BTB 05727,0.781402,-4.52156,1,0.265896,0.781402,24.15
BTB 06084,1.00609,1.29669,0,0.201314,1.00609,-1.8
BTB 06237,0.98692,0.800377,0,0.431804,0.98692,0.48
BTB 06387,0.993155,0.95879,0,0.348022,0.993155,-0.22
BTB 06428,0.877774,-2.05158,0,0.0459054,0.877774,13.02
BTB 06691,0.950508,-0.150877,0,0.880316,0.950508,4.58
BTB 06791,0.753335,-5.2786,0,0.000104812,0.753335,27.23
BTB 07002,0.144758,-21.1748,0,0,0.144758,97.24
BTB 07082,0.411088,-14.2308,0,2.6933e-42,0.411088,66.48
BTB 07328,0.96483,0.218076,0,0.715082,0.96483,2.45
BTB 07385,0.167916,-20.5609,0,0,0.167916,94.53
BTB 07880,0.785957,-4.46004,0,0.00139588,0.785957,22.8
BTB 08239,0.842601,-2.9622,0,0.0057737,0.842601,16.14
BTB 08317,0.964281,0.208658,0,0.835292,0.964281,1.85
BTB 08363,0.972288,0.41819,0,0.679032,0.972288,0.77
BTB 08370,0.953449,-0.0788932,0,0.704878,0.953449,2.81
BTB 08512,0.994529,0.99993,0,0.337132,0.994529,-2.04
BTB 08537,0.984645,0.73448,0,0.50131,0.984645,-1
BTB 08545,0.939024,-0.453458,0,0.657804,0.939024,4.24
BTB 08601,0.979143,0.592691,0,0.566702,0.979143,-0.57
BTB 09041,0.985616,0.765691,0,0.447548,0.985616,-1.46
BTB 10282,0.71012,-6.42311,0,1.36365e-10,0.71012,30.7
BTB 10320,0.290568,-17.3639,0,0,0.290568,79.87
BTB 10323,0.899043,-1.49538,0,0.137272,0.899043,8.48
BTB 10396,0.883174,-1.91217,0,0.0732712,0.883174,10.36
BTB 10539,0.984852,0.741461,0,0.47521,0.984852,-1.51
BTB 10705,0.111126,-22.052,0,0,0.111126,100.91
XBX 00150,0.263555,-18.0733,0,0,0.263555,83.06
BTB 11052,0.986347,0.781521,0,0.441526,0.986347,-1.6
BTB 11704,1.00634,1.30913,0,0.223426,1.00634,-3.93
BTB 11781,0.957823,0.045717,0,0.546022,0.957823,1.74
BTB 11850,0.972512,0.418661,0,0.694472,0.972512,-0.01
BTB 12055,0.921482,-0.908219,0,0.364412,0.921482,5.94
BTB 12761,0.783106,-4.51835,0,6.30462e-06,0.783106,22.12
BTB 12931,0.119762,-21.8225,0,0,0.119762,99.88
