supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.890572,-1.36055,0,0.177247,0.890572,14.01
AW 00421,0.934443,-0.349575,0,0.73233,0.934443,9.3
AW 00430,0.923371,-0.602984,0,0.556252,0.923371,10.54
AW 00475,0.810333,-3.19244,0,0.00175913,0.810333,22.81
AW 00480,0.975963,0.597456,0,0.550248,0.975963,4.96
AW 00519,0.998452,1.11029,0,0.271712,0.998452,2.59
AW 00564,0.996341,1.06449,0,0.287106,0.996341,2.87
AW 00594,1.00517,1.26815,0,0.206388,1.00517,1.98
AW 00603,0.957022,0.167843,0,0.82697,0.957022,7.22
AW 00637,0.935499,-0.325817,0,0.748758,0.935499,9.58
AW 00845,0.945261,-0.101907,0,0.840502,0.945261,8.57
BR 00082,0.61165,-7.72269,0,1.02802e-10,0.61165,44.53
BTB 00693,0.500841,-10.2649,0,3.4878e-20,0.500841,56.51
BTB 00803,0.970319,0.465359,0,0.64658,0.970319,6.14
BTB 01259,0.877058,-1.67144,0,0.101492,0.877058,16.27
BTB 01345,0.152708,-18.2664,0,0,0.152708,94.04
BTB 01397,0.9449,-0.112586,0,0.910568,0.9449,9.19
BTB 01431,0.877589,-1.65143,0,0.107851,0.877589,16.46
BTB 01473,0.341646,-13.9342,0,1.28919e-43,0.341646,73.85
BTB 01480,0.960916,0.256729,0,0.801514,0.960916,7.56
BTB 01594,0.597843,-8.07328,0,2.64608e-14,0.597843,46.42
BTB 02800,0.983825,0.77945,0,0.437654,0.983825,5.03
BTB 02837,0.976574,0.61332,0,0.541284,0.976574,5.76
BTB 03305,0.960987,0.257901,0,0.799676,0.960987,7.39
BTB 03433,0.92716,-0.516025,0,0.615328,0.92716,11
BTB 03574,0.944315,-0.121915,0,0.769972,0.944315,9.14
BTB 03608,0.752619,-4.52381,0,1.35046e-05,0.752619,29.71
BTB 03925,0.959207,0.218273,0,0.812024,0.959207,7.56
BTB 04194,0.940643,-0.207941,0,0.838116,0.940643,9.59
BTB 04231,0.986843,0.846945,0,0.397026,0.986843,4.68
BTB 04275,0.991932,0.963566,0,0.335268,0.991932,4.18
BTB 04463,0.107279,-19.309,0,0,0.107279,98.93
BTB 04719,0.863592,-1.97828,0,0.0493476,0.863592,17.96
BTB 04953,0.935956,-0.315125,0,0.757342,0.935956,10.21
BTB 05020,0.893045,-1.30364,0,0.195241,0.893045,14.81
BTB 05066,0.968501,0.427401,0,0.669272,0.968501,6.71
BTB 05122,0.945828,-0.0967907,0,0.81388,0.945828,9.12
BTB 05144,0.9104,-0.898663,0,0.39007,0.9104,12.86
BTB 05336,0.974303,0.558817,0,0.57674,0.974303,5.97
BTB 05340,0.280538,-15.3335,0,0,0.280538,80.32
BTB 05419,0.978512,0.651404,0,0.52899,0.978512,5.4
BTB 05486,0.112247,-19.1973,0,0,0.112247,98.36
BTB 05499,0.583458,-8.3732,0,1.76175e-13,0.583458,47.67
BTB 05661,0.633051,-7.37821,1,0.268744,0.633051,42.42
BTB 05727,0.299956,-14.9186,0,9.29139e-40,0.299956,78.16
BTB 06084,0.974904,0.574881,0,0.566606,0.974904,5.53
BTB 06237,0.963982,0.320202,0,0.752364,0.963982,6.75
BTB 06387,0.994565,1.02199,0,0.309318,0.994565,3.55
BTB 06428,0.895338,-1.24991,0,0.211842,0.895338,14.3
BTB 06691,0.965668,0.368339,0,0.72974,0.965668,6.84
BTB 06791,0.572138,-8.66612,0,1.49919e-15,0.572138,49.11
BTB 07002,0.101521,-19.4437,0,0,0.101521,99.54
BTB 07082,0.647314,-6.93333,0,7.38232e-12,0.647314,41.03
BTB 07328,0.980298,0.695417,0,0.488518,0.980298,5.3
BTB 07385,0.261767,-15.7818,0,0,0.261767,82.36
BTB 07880,0.855355,-2.16533,0,0.0304076,0.855355,18.64
BTB 08239,0.545715,-9.32352,0,8.51762e-09,0.545715,51.96
BTB 08317,0.91082,-0.886665,0,0.418484,0.91082,12.69
BTB 08363,0.921053,-0.658963,0,0.510696,0.921053,11.61
BTB 08370,0.935595,-0.324079,0,0.748976,0.935595,10.04
BTB 08512,0.999593,1.13895,0,0.254726,0.999593,3.16
BTB 08537,1.01212,1.42348,0,0.158774,1.01212,1.8
BTB 08545,0.980997,0.706898,0,0.504628,0.980997,5.12
BTB 08601,0.955629,0.133082,0,0.894342,0.955629,7.78
BTB 09041,0.971266,0.492181,0,0.624854,0.971266,6.04
BTB 10282,0.8396,-2.5173,0,0.0218656,0.8396,20.12
BTB 10320,0.21719,-16.7755,0,0,0.21719,87.04
BTB 10323,0.870135,-1.82043,0,0.0838668,0.870135,16.79
BTB 10396,0.996171,1.06023,0,0.289136,0.996171,3.27
BTB 10539,0.938104,-0.265512,0,0.795564,0.938104,9.53
BTB 10705,0.100989,-19.451,0,0,0.100989,99.55
XBX 00150,0.207781,-17.0047,0,0,0.207781,88.07
BTB 11052,0.953407,0.0856303,0,0.798896,0.953407,7.9
BTB 11704,0.992695,0.983297,0,0.32948,0.992695,3.67
BTB 11781,0.931779,-0.408687,0,0.697426,0.931779,10.21
BTB 11850,0.954205,0.103588,0,0.813058,0.954205,7.79
BTB 12055,0.968161,0.423583,0,0.68177,0.968161,6.27
BTB 12761,0.887279,-1.4423,0,0.19548,0.887279,14.96
BTB 12931,0.0952475,-19.5857,0,0,0.0952475,100.17
BTB 13088,1.00269,1.20782,0,0.230428,1.00269,2.48
BTB 13588,0.955112,0.119174,0,0.905264,0.955112,3.46
BTB 13702,0.864011,-1.96331,0,0.0535404,0.864011,13.93
BTB 13761,0.950102,0.00400545,0,0.940284,0.950102,4.88
BTB 13763,0.972084,0.50628,0,0.616314,0.972084,2.91
BTB 13765,0.97148,0.492239,0,0.626754,0.97148,3.4
BTB 13845,0.968156,0.41775,0,0.676754,0.968156,4.17
BTB 14058,0.993207,0.989897,0,0.328138,0.993207,1.86
