supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.945861,0.118859,0,0.905436,0.945861,6.64
AW 00421,0.931201,-0.133184,0,0.894062,0.931201,8.25
AW 00430,0.893184,-0.79089,0,0.43237,0.893184,12.41
AW 00475,0.76366,-3.0223,0,0.00275918,0.76366,26.61
AW 00480,0.944861,0.102104,0,0.918684,0.944861,6.75
AW 00519,1.01423,1.29951,0,0.195067,1.01423,-0.86
AW 00564,0.980705,0.716493,0,0.476932,0.980705,2.81
AW 00594,0.897037,-0.732281,0,0.498152,0.897037,11.98
AW 00603,0.950898,0.204731,0,0.838104,0.950898,6.08
AW 00637,0.924455,-0.256099,0,0.804156,0.924455,8.98
AW 00845,0.840484,-1.70204,0,0.0982836,0.840484,18.19
BR 00082,0.47732,-7.93394,0,9.41168e-14,0.47732,58.05
BTB 00693,0.458246,-8.31681,0,1.79017e-12,0.458246,60.06
BTB 00803,0.960971,0.376476,0,0.708786,0.960971,4.98
BTB 01259,0.773209,-2.86033,0,0.00526538,0.773209,25.56
BTB 01345,0.181467,-13.0658,0,2.5075e-35,0.181467,90.44
BTB 01397,0.961508,0.386955,0,0.699758,0.961508,4.92
BTB 01431,0.794479,-2.49308,0,0.0144235,0.794479,23.23
BTB 01473,0.162332,-13.3918,0,8.19548e-38,0.162332,92.55
BTB 01480,0.935541,-0.0668989,0,0.750762,0.935541,7.76
BTB 01594,0.271766,-11.5208,0,8.34126e-26,0.271766,80.52
BTB 02800,0.962861,0.403679,0,0.701006,0.962861,4.76
BTB 02837,0.915381,-0.41109,0,0.687596,0.915381,9.97
BTB 03305,0.92493,-0.249123,0,0.771528,0.92493,8.92
BTB 03433,0.960434,0.365997,0,0.718298,0.960434,5.03
BTB 03574,0.934127,-0.0871258,0,0.864708,0.934127,7.92
BTB 03608,0.783127,-2.67734,0,0.00867554,0.783127,24.49
BTB 03925,0.911381,-0.478106,0,0.636046,0.911381,10.41
BTB 04194,0.87834,-1.05344,0,0.323898,0.87834,14.03
BTB 04231,0.980316,0.714422,0,0.475396,0.980316,2.86
BTB 04275,0.935992,-0.0613244,0,0.692254,0.935992,7.7
BTB 04463,0.090168,-14.6276,0,0,0.090168,100.47
BTB 04719,0.827496,-1.91914,0,0.0549766,0.827496,19.62
BTB 04953,0.889623,-0.853033,0,0.398904,0.889623,12.8
BTB 05020,0.683213,-4.4082,0,1.29789e-05,0.683213,35.44
BTB 05066,0.957459,0.317136,0,0.75201,0.957459,5.36
BTB 05122,0.86916,-1.19439,0,0.24638,0.86916,15.06
BTB 05144,0.889463,-0.862141,0,0.421334,0.889463,12.81
BTB 05336,0.958447,0.33319,0,0.740774,0.958447,5.25
BTB 05340,0.21041,-12.5631,0,1.86845e-33,0.21041,87.27
BTB 05419,0.899221,-0.688264,0,0.49744,0.899221,11.75
BTB 05486,0.0956926,-14.534,0,0,0.0956926,99.86
BTB 05499,0.787979,-2.60198,0,0.00954788,0.787979,23.95
BTB 05661,0.638266,-5.13898,1,9.05606e-05,0.638266,40.43
BTB 05727,0.372111,-9.70503,0,8.90324e-15,0.372111,69.64
BTB 06084,0.940725,0.0273811,0,0.888468,0.940725,7.2
BTB 06237,0.925824,-0.218326,0,0.806646,0.925824,8.85
BTB 06387,1,1.05164,0,0.29307,1,0.7
BTB 06428,0.795578,-2.47072,0,0.0137466,0.795578,23.12
BTB 06691,0.908832,-0.522794,0,0.606408,0.908832,10.69
BTB 06791,0.467471,-8.13307,0,9.55696e-15,0.467471,59.08
BTB 07002,0.199037,-12.7887,0,3.26814e-29,0.199037,88.48
BTB 07082,0.470025,-8.06803,0,3.31728e-15,0.470025,58.83
BTB 07328,0.96002,0.362525,0,0.717174,0.96002,5.08
BTB 07385,0.345648,-10.3279,0,7.77178e-11,0.345648,72.31
BTB 07880,0.807299,-2.26544,0,0.0236362,0.807299,21.84
BTB 08239,0.485266,-7.82305,0,3.95798e-14,0.485266,57.14
BTB 08317,0.923029,-0.277026,0,0.783452,0.923029,9.14
BTB 08363,0.937422,-0.0200484,0,0.843374,0.937422,7.57
BTB 08370,0.919566,-0.333564,0,0.738738,0.919566,9.52
BTB 08512,1.02005,1.38952,0,0.181819,1.02005,-1.51
BTB 08537,0.981229,0.726272,0,0.46967,0.981229,2.76
BTB 08545,0.984389,0.785642,0,0.433616,0.984389,2.42
BTB 08601,0.86434,-1.288,0,0.20165,0.86434,15.57
BTB 09041,0.863803,-1.29848,0,0.201012,0.863803,15.63
BTB 10282,0.748475,-3.28412,0,0.00116138,0.748475,28.28
BTB 10320,0.173504,-13.1977,0,4.56328e-37,0.173504,91.32
BTB 10323,0.732738,-3.57747,0,0.00426896,0.732738,29.97
BTB 10396,0.978717,0.683686,0,0.495242,0.978717,3.03
BTB 10539,0.967045,0.481205,0,0.63291,0.967045,4.31
BTB 10705,0.0896803,-14.6353,0,0,0.0896803,100.52
XBX 00150,0.176164,-13.1467,0,8.19632e-38,0.176164,91.04
BTB 11052,0.918053,-0.359396,0,0.719308,0.918053,9.69
BTB 11704,0.993865,0.943405,0,0.348506,0.993865,1.37
BTB 11781,0.895758,-0.744801,0,0.45715,0.895758,12.13
BTB 11850,0.882111,-0.97939,0,0.3278,0.882111,13.63
BTB 12055,0.945311,0.107679,0,0.914622,0.945311,6.69
BTB 12761,0.839947,-1.71252,0,0.0999204,0.839947,18.24
BTB 12931,0.0897172,-14.6332,0,0,0.0897172,100.52
BTB 13088,1.00868,1.20456,0,0.230636,1.00868,-0.25
BTB 13588,0.915034,-0.419497,0,0.688106,0.915034,1.05
BTB 13702,0.831996,-1.8519,0,0.0829184,0.831996,11.6
BTB 13761,0.905913,-0.572885,0,0.571958,0.905913,3.7
BTB 13763,0.954514,0.266947,0,0.789956,0.954514,-1.14
BTB 13765,0.962469,0.401641,0,0.691192,0.962469,-1.24
BTB 13845,0.957099,0.308858,0,0.760386,0.957099,0.17
BTB 14058,0.978431,0.679221,0,0.497612,0.978431,-1.47
BTB 14154,0.317626,-10.7374,0,2.24528e-21,0.317626,73.64
BTB 14688,0.14932,-13.5929,0,4.91604e-41,0.14932,92.63
BTB 14851,0.849138,-1.551,0,0.126482,0.849138,15.17
BTB 14852,0.835358,-1.79352,0,0.091354,0.835358,17.36
BTB 14910,0.936118,-0.0555866,0,0.788224,0.936118,7.03
BTBG 00025,0.504833,-7.3037,1,0.126402,0.504833,54.37
CD 00707,0.97635,0.637683,0,0.53721,0.97635,4.04
CD 00752,0.984831,0.788646,0,0.43188,0.984831,3.53
CD 00756,0.830388,-1.86489,0,0.0651148,0.830388,20.31
CD 00758,0.796168,-2.45674,0,0.0142004,0.796168,24.01
CD 00759,0.819066,-2.07001,0,0.0428116,0.819066,21.48
CD 00823,0.23871,-12.1021,0,1.66124e-26,0.23871,83.7
CD 00995,0.946355,0.127429,0,0.898648,0.946355,7.33
CD 01737,0.883595,-0.962977,0,0.367582,0.883595,13.77
CD 01803,0.503278,-7.53257,0,4.67478e-11,0.503278,54.7
CD 01912,0.989025,0.857156,0,0.402236,0.989025,1.42
CD 02044,0.885076,-0.936664,0,0.376168,0.885076,12.25
CD 02158,0.819963,-2.05538,0,0.0456472,0.819963,18.87
CD 02448,0.961106,0.375969,0,0.71406,0.961106,2.73
CD 02452,0.93586,-0.0570119,0,0.87182,0.93586,5.06
CD 02506,0.926617,-0.220723,0,0.752622,0.926617,5.78
CD 02717,0.664156,-4.75159,0,2.48594e-05,0.664156,35
CD 02744,0.917596,-0.373068,0,0.715418,0.917596,6.53
CD 02745,0.964767,0.443225,0,0.65855,0.964767,1.19
CD 02761,0.974042,0.600928,0,0.552372,0.974042,0.11
CD 02830,0.924775,-0.252752,0,0.746726,0.924775,5.62
CD 02841,0.930725,-0.149059,0,0.774056,0.930725,4.96
CD 02860,0.630131,-5.32352,0,1.60356e-07,0.630131,38.7
CD 02966,0.778916,-2.77395,0,0.0173634,0.778916,22.16
CD 03254,0.127811,-14.0047,0,1.39833e-37,0.127811,95.1
CD 03308,0.931693,-0.12783,0,0.8991,0.931693,5.54
CD 03678,0.863005,-1.31469,0,0.203922,0.863005,13.49
CD 04032,0.969881,0.530703,0,0.597414,0.969881,1.95
CD 04236,0.927103,-0.2064,0,0.837458,0.927103,7.01
CD 04254,0.923081,-0.271791,0,0.785866,0.923081,7.76
CD 04583,0.919913,-0.32951,0,0.742654,0.919913,8.42
CD 04975,0.172061,-13.2198,0,9.82546e-38,0.172061,90.52
CD 05071,0.90713,-0.548296,0,0.583718,0.90713,10.59
CD 05259,0.180525,-13.0705,0,1.29734e-37,0.180525,89.8
CD 05404,1.00702,1.17626,0,0.242464,1.00702,1.29
CD 05753,0.909151,-0.53072,0,0.571238,0.909151,12.72
