supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.958322,0.0489193,0,0.412572,0.958322,24.22
AW 00421,0.927841,-0.431255,0,0.666354,0.927841,27.8
AW 00430,0.865521,-1.00164,0,0.409362,0.865521,35.22
AW 00475,0.638344,-3.69341,0,0.000620076,0.638344,62.14
AW 00480,0.929123,-0.383918,0,0.706874,0.929123,27.66
AW 00519,1.08976,1.37684,0,0.176853,1.08976,8.59
AW 00564,1.0379,0.809721,0,0.428006,1.0379,14.75
AW 00594,0.975047,0.160997,0,0.671618,0.975047,22.22
AW 00603,1.04049,0.836323,0,0.41203,1.04049,14.44
AW 00637,1.02175,0.606836,0,0.544826,1.02175,16.66
AW 00845,0.932941,-0.340914,0,0.738752,0.932941,27.2
BR 00082,0.502062,-5.089,0,3.96666e-07,0.502062,78.33
BTB 00693,0.626918,-3.55633,0,0.00501452,0.626918,63.55
BTB 00803,1.00573,0.465824,0,0.65209,1.00573,18.57
BTB 01259,0.76836,-2.03946,0,0.108599,0.76836,46.76
BTB 01345,0.257388,-7.92785,0,3.94812e-13,0.257388,107.33
BTB 01397,1.02345,0.670642,0,0.523008,1.02345,16.47
BTB 01431,0.845791,-1.32387,0,0.186364,0.845791,37.54
BTB 01473,0.218539,-8.39702,0,7.01568e-14,0.218539,111.94
BTB 01480,0.966179,0.025585,0,0.825588,0.966179,23.26
BTB 01594,0.363246,-6.64734,0,3.83472e-11,0.363246,94.8
BTB 02800,0.98578,0.252938,0,0.78006,0.98578,20.94
BTB 02837,0.959936,0.0157835,0,0.587958,0.959936,24.01
BTB 03305,0.624596,-3.86142,0,0.000470162,0.624596,63.77
BTB 03433,0.985219,0.242671,0,0.796356,0.985219,21
BTB 03574,0.983846,0.23247,0,0.77596,0.983846,21.17
BTB 03608,0.685298,-2.92374,0,0.023652,0.685298,56.62
BTB 03925,0.883469,-0.873161,0,0.399228,0.883469,33.08
BTB 04194,0.900223,-0.662076,0,0.54332,0.900223,31.1
BTB 04231,0.999939,0.437421,0,0.683574,0.999939,19.26
BTB 04275,0.938041,-0.250573,0,0.699572,0.938041,26.61
BTB 04463,0.126902,-9.6292,0,7.69376e-14,0.126902,122.76
BTB 04719,0.810819,-1.7191,0,0.0855972,0.810819,41.69
BTB 04953,0.937561,-0.330979,0,0.740682,0.937561,26.65
BTB 05020,0.658625,-3.39392,0,0.00069394,0.658625,59.75
BTB 05066,1.01097,0.516962,0,0.613906,1.01097,17.94
BTB 05122,0.923531,-0.420588,0,0.691196,0.923531,28.33
BTB 05144,0.932179,-0.342914,0,0.739264,0.932179,27.3
BTB 05336,1.00151,0.439355,0,0.680886,1.00151,19.07
BTB 05340,0.255246,-8.14013,0,1.14136e-10,0.255246,107.55
BTB 05419,0.893991,-0.805955,0,0.42027,0.893991,31.82
BTB 05486,0.112091,-9.78681,0,1.89826e-14,0.112091,124.52
BTB 05499,0.735054,-2.63698,0,0.0163916,0.735054,50.66
BTB 05661,0.123695,-9.664,0,5.83096e-14,0.123695,123.14
BTB 05727,0.204622,-8.79192,0,5.10928e-11,0.204622,113.53
BTB 06084,1.00216,0.412486,0,0.684734,1.00216,18.99
BTB 06237,1.01017,0.550031,0,0.618878,1.01017,18.05
BTB 06387,1.03205,0.750382,0,0.465226,1.03205,15.44
BTB 06428,0.816891,-1.60203,0,0.122364,0.816891,40.98
BTB 06691,0.988375,0.279541,0,0.78797,0.988375,20.63
BTB 06791,0.538465,-4.48555,0,0.00051852,0.538465,74.06
BTB 07002,0.143606,-9.41604,0,1.11115e-13,0.143606,120.78
BTB 07082,0.499979,-5.27035,0,3.58584e-06,0.499979,78.54
BTB 07328,1.00074,0.404352,0,0.692998,1.00074,19.16
BTB 07385,0.305366,-7.30059,0,7.02922e-13,0.305366,101.66
BTB 07880,0.76266,-2.27208,0,0.02441,0.76266,47.4
BTB 08239,0.449341,-5.4539,0,1.34188e-05,0.449341,84.64
BTB 08317,0.929273,-0.390118,0,0.700142,0.929273,27.64
BTB 08363,0.972612,0.161196,0,0.569064,0.972612,22.51
BTB 08370,0.939013,-0.223838,0,0.63532,0.939013,26.5
BTB 08512,1.01331,0.520896,0,0.604336,1.01331,17.66
BTB 08537,1.00354,0.422687,0,0.676038,1.00354,18.82
BTB 08545,0.991582,0.314344,0,0.762194,0.991582,20.25
BTB 08601,0.902047,-0.670477,0,0.516838,0.902047,30.87
BTB 09041,0.93268,-0.363583,0,0.717556,0.93268,27.23
BTB 10282,0.706294,-2.95434,0,0.00714862,0.706294,54.07
BTB 10320,0.211585,-8.57797,0,1.24855e-12,0.211585,112.74
BTB 10323,0.745323,-2.39236,0,0.0200264,0.745323,49.47
BTB 10396,0.923712,-0.49486,0,0.621792,0.923712,28.29
BTB 10539,0.988155,0.221803,0,0.824522,0.988155,20.64
BTB 10705,0.110768,-9.79908,0,1.57118e-14,0.110768,124.68
XBX 00150,0.234633,-8.35915,0,2.0749e-11,0.234633,109.99
BTB 11052,0.972884,0.0497876,0,0.96034,0.972884,22.45
BTB 11704,1.09068,1.37264,0,0.172929,1.09068,8.48
BTB 11781,0.920014,-0.475993,0,0.644228,0.920014,28.74
BTB 11850,0.873989,-1.01677,0,0.309844,0.873989,34.19
BTB 12055,0.959045,-0.0810909,0,0.935504,0.959045,24.1
BTB 12761,0.877406,-0.957235,0,0.345392,0.877406,33.79
BTB 12931,0.113364,-9.77248,0,2.08606e-14,0.113364,124.37
BTB 13088,1.00059,0.410552,0,0.691562,1.00059,19.18
BTB 13588,0.943072,-0.239601,0,0.812888,0.943072,7.99
BTB 13702,0.759354,-2.33046,0,0.0239994,0.759354,33.2
BTB 13761,0.897191,-0.734483,0,0.471668,0.897191,16.24
BTB 13763,0.95806,-0.0731788,0,0.86757,0.95806,9.4
BTB 13765,0.979858,0.191873,0,0.76118,0.979858,7.78
BTB 13845,0.948552,-0.173654,0,0.853042,0.948552,12.86
BTB 14058,1.01453,0.529834,0,0.597334,1.01453,5.62
BTB 14154,0.381797,-6.63885,0,2.37144e-08,0.381797,85.35
BTB 14688,0.131728,-9.57561,0,1.11864e-13,0.131728,116.43
BTB 14851,0.884969,-0.873516,0,0.389562,0.884969,24.9
BTB 14852,0.856097,-1.23781,0,0.217516,0.856097,29.34
BTB 14910,0.961748,-0.015911,0,0.795378,0.961748,17.68
BTBG 00025,0.813928,-1.5101,0,0.296308,0.813928,36.4
CD 00707,1.01962,0.605546,0,0.551798,1.01962,12.9
CD 00752,1.01626,0.559833,0,0.579234,1.01626,13.99
CD 00756,0.836151,-1.45107,0,0.147409,0.836151,35.33
CD 00758,0.807114,-1.69734,0,0.108008,0.807114,38.73
CD 00759,0.779214,-2.15998,0,0.0541274,0.779214,41.88
CD 00823,0.126023,-9.59703,0,1.71956e-14,0.126023,117.93
CD 00995,0.9813,0.206356,0,0.767316,0.9813,17.46
CD 01737,0.750136,-2.35487,0,0.0200408,0.750136,44.09
CD 01803,0.604854,-3.84674,0,0.000874568,0.604854,60.76
CD 01912,1.03169,0.752172,0,0.467558,1.03169,9.15
CD 02044,0.920588,-0.446656,0,0.676806,0.920588,21.59
CD 02158,0.842765,-1.4006,0,0.167924,0.842765,30.14
CD 02448,0.98132,0.160994,0,0.872274,0.98132,12.35
CD 02452,0.959348,-0.0664757,0,0.89953,0.959348,14.22
CD 02506,0.953772,-0.108434,0,0.817816,0.953772,14.27
CD 02717,0.552104,-4.5879,0,6.05224e-06,0.552104,63.97
CD 02744,0.941607,-0.268456,0,0.78911,0.941607,15.15
CD 02745,1.00174,0.411638,0,0.68651,1.00174,7.57
CD 02761,1.03135,0.683793,0,0.495828,1.03135,3.83
CD 02830,0.963646,-0.0205923,0,0.90478,0.963646,12.44
CD 02841,0.954955,-0.11113,0,0.884742,0.954955,13.69
CD 02860,0.194784,-8.78172,0,6.21756e-13,0.194784,108.47
CD 02966,0.567188,-4.56402,0,0.000150996,0.567188,62.27
CD 03254,0.13182,-9.50068,0,9.02636e-15,0.13182,116.39
CD 03308,0.910865,-0.576679,0,0.575648,0.910865,20.54
CD 03678,0.710322,-2.74588,0,0.0105513,0.710322,45.78
CD 04032,1.0163,0.51991,0,0.604362,1.0163,8.72
CD 04236,0.94519,-0.223724,0,0.824134,0.94519,18.05
CD 04254,0.933364,-0.375095,0,0.70759,0.933364,20.05
CD 04583,0.93308,-0.371474,0,0.710444,0.93308,20.65
CD 04975,0.20426,-8.78405,0,3.49808e-11,0.20426,108.2
CD 05071,0.951651,-0.0938529,0,0.662026,0.951651,19.58
CD 05259,0.204769,-8.58067,0,6.76116e-14,0.204769,108.53
CD 05404,1.01794,0.547997,0,0.58384,1.01794,12.99
CD 05753,0.640801,-3.37671,0,0.0123711,0.640801,58.02
