supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.932566,-0.189219,0,0.852242,0.932566,6.24
AW 00421,0.883322,-1.04791,0,0.39871,0.883322,12.27
AW 00430,0.866675,-1.37889,0,0.175147,0.866675,14.51
AW 00475,0.791924,-2.71801,0,0.00957744,0.791924,23.26
AW 00480,0.936026,-0.136641,0,0.891478,0.936026,7.74
AW 00519,1.00412,1.07815,0,0.281664,1.00412,0.72
AW 00564,0.993383,0.886525,0,0.37607,0.993383,2.4
AW 00594,0.94094,-0.0892519,0,0.282182,0.94094,8.59
AW 00603,0.968671,0.445099,0,0.657054,0.968671,6
AW 00637,0.930162,-0.238224,0,0.811752,0.930162,10.57
AW 00845,0.84635,-1.74875,0,0.101023,0.84635,19.97
BR 00082,0.552819,-7.00473,0,4.26738e-10,0.552819,51.86
BTB 00693,0.624741,-5.71846,0,4.08922e-07,0.624741,44.36
BTB 00803,0.98074,0.660521,0,0.50988,0.98074,6.19
BTB 01259,0.787762,-2.78776,0,0.00636596,0.787762,26.87
BTB 01345,0.343679,-10.745,0,2.82748e-22,0.343679,74.52
BTB 01397,0.977335,0.604826,0,0.546036,0.977335,6.79
BTB 01431,0.76536,-3.16057,0,0.00369674,0.76536,29.55
BTB 01473,0.269089,-12.0613,0,5.39414e-30,0.269089,82.58
BTB 01480,0.945199,0.017927,0,0.775114,0.945199,10.19
BTB 01594,0.36509,-10.3523,0,9.05082e-22,0.36509,72.13
BTB 02800,0.974077,0.542145,0,0.588282,0.974077,6.36
BTB 02837,0.948919,0.0823757,0,0.73887,0.948919,8.68
BTB 03305,0.961249,0.312101,0,0.75584,0.961249,7.08
BTB 03433,0.969128,0.463138,0,0.648658,0.969128,6.07
BTB 03574,0.897508,-0.826152,0,0.411836,0.897508,13.79
BTB 03608,0.83947,-1.86038,0,0.0638286,0.83947,20.15
BTB 03925,0.87923,-1.12361,0,0.345758,0.87923,15.99
BTB 04194,0.892522,-0.911531,0,0.362162,0.892522,14.7
BTB 04231,0.983454,0.717707,0,0.478272,0.983454,5.05
BTB 04275,0.955231,0.201163,0,0.843012,0.955231,8.27
BTB 04463,0.114343,-14.8314,0,7.00649e-44,0.114343,99
BTB 04719,0.828411,-2.03,0,0.0827882,0.828411,22.3
BTB 04953,0.895203,-0.870156,0,0.392654,0.895203,15.36
BTB 05020,0.612585,-5.91973,0,1.6242e-08,0.612585,45.82
BTB 05066,0.982533,0.698474,0,0.486436,0.982533,6.49
BTB 05122,0.891632,-0.937035,0,0.366096,0.891632,16.31
BTB 05144,0.943407,-0.0175728,0,0.707182,0.943407,10.85
BTB 05336,0.988454,0.795043,0,0.431492,0.988454,6.06
BTB 05340,0.33906,-10.8001,0,1.44834e-25,0.33906,75.21
BTB 05419,0.940799,-0.0474047,0,0.960972,0.940799,11.17
BTB 05486,0.116066,-14.7841,0,0,0.116066,98.96
BTB 05499,0.771486,-3.03106,0,0.0203378,0.771486,29.21
BTB 05661,0.584358,-6.36117,0,1.15729e-07,0.584358,49.14
BTB 05727,0.346851,-10.7328,0,9.87362e-18,0.346851,74.52
BTB 06084,0.924517,-0.349641,0,0.734732,0.924517,13.32
BTB 06237,0.998236,0.947499,0,0.454002,0.998236,5.74
BTB 06387,1.03137,1.56101,0,0.121956,1.03137,2.35
BTB 06428,0.830774,-2.01736,0,0.0455682,0.830774,23.52
BTB 06691,0.935845,-0.146909,0,0.817032,0.935845,12.24
BTB 06791,0.479949,-8.346,0,6.62148e-11,0.479949,60.38
BTB 07002,0.16969,-13.7836,0,2.80557e-40,0.16969,93.14
BTB 07082,0.491958,-8.12525,0,9.47504e-11,0.491958,58.53
BTB 07328,0.974714,0.54479,0,0.600048,0.974714,6.12
BTB 07385,0.299512,-11.3866,0,8.64378e-19,0.299512,78.79
BTB 07880,0.775482,-3.00944,0,0.0036733,0.775482,27.11
BTB 08239,0.51242,-7.67134,0,3.8814e-13,0.51242,55.59
BTB 08317,0.929668,-0.251992,0,0.802104,0.929668,10.08
BTB 08363,0.949861,0.0965859,0,0.690306,0.949861,7.66
BTB 08370,0.910981,-0.581241,0,0.561078,0.910981,11.64
BTB 08512,1.00247,1.06665,0,0.324522,1.00247,1.34
BTB 08537,0.979423,0.645689,0,0.523332,0.979423,3.61
BTB 08545,0.953221,0.176585,0,0.860674,0.953221,6.24
BTB 08601,0.909264,-0.60728,0,0.54643,0.909264,10.86
BTB 09041,0.867861,-1.35789,0,0.18212,0.867861,15.22
BTB 10282,0.802922,-2.5023,0,0.0135877,0.802922,22.32
BTB 10320,0.179851,-13.6713,0,5.67464e-36,0.179851,91.31
BTB 10323,0.800895,-2.57008,0,0.0272054,0.800895,22.52
BTB 10396,0.982164,0.711734,0,0.547868,0.982164,2.66
BTB 10539,0.969636,0.474486,0,0.644682,0.969636,4.08
BTB 10705,0.0937926,-15.1863,0,0,0.0937926,100.93
XBX 00150,0.214646,-13.0327,0,5.60316e-35,0.214646,87.55
BTB 11052,0.936899,-0.117145,0,0.906838,0.936899,7.67
BTB 11704,0.99223,0.868823,0,0.385014,0.99223,1.49
BTB 11781,0.911379,-0.582017,0,0.568334,0.911379,10.36
BTB 11850,0.875755,-1.20892,0,0.226776,0.875755,14.27
BTB 12055,0.945043,0.0349339,0,0.827818,0.945043,6.54
BTB 12761,0.785531,-2.81459,0,0.00517522,0.785531,24.17
BTB 12931,0.0939041,-15.1859,0,0,0.0939041,100.87
BTB 13088,0.991746,0.862493,0,0.389782,0.991746,1.13
BTB 13588,0.899584,-0.778301,0,0.442184,0.899584,3.68
BTB 13702,0.762053,-3.20759,0,0.0075068,0.762053,20.74
BTB 13761,0.910097,-0.596074,0,0.551242,0.910097,4.1
BTB 13763,0.936402,-0.121311,0,0.87032,0.936402,1.86
BTB 13765,0.948766,0.0965877,0,0.923366,0.948766,1.28
BTB 13845,0.938158,-0.0921079,0,0.91242,0.938158,3.33
BTB 14058,0.973675,0.539104,0,0.590278,0.973675,0.11
BTB 14154,0.226884,-12.793,0,1.23715e-36,0.226884,85.36
BTB 14688,0.119563,-14.7137,0,0,0.119563,97.6
BTB 14851,0.841089,-1.82421,0,0.0694468,0.841089,17.33
BTB 14852,0.835778,-1.92172,0,0.0547368,0.835778,18.63
BTB 14910,0.928727,-0.263484,0,0.792274,0.928727,9.17
BTBG 00025,0.496561,-7.72821,1,0.0705544,0.496561,56.98
CD 00707,0.961677,0.332331,0,0.746448,0.961677,7.04
CD 00752,1,1.00742,0,0.313802,1,3.35
CD 00756,0.77731,-2.97224,0,0.00334308,0.77731,27.52
CD 00758,0.808794,-2.42198,0,0.0264962,0.808794,24.19
CD 00759,0.815449,-2.2745,0,0.0283248,0.815449,23.44
CD 00823,0.201972,-13.2387,0,6.1174e-39,0.201972,89.31
CD 00995,0.944804,0.0229554,0,0.98169,0.944804,9.23
CD 01737,0.842513,-1.78644,0,0.0986788,0.842513,20.02
CD 01803,0.526637,-7.46855,0,1.18479e-11,0.526637,53.95
CD 01912,0.994545,0.907958,0,0.364244,0.994545,2.82
CD 02044,0.904738,-0.707964,0,0.511428,0.904738,12.13
CD 02158,0.762416,-3.25273,0,0.00340828,0.762416,27.25
CD 02448,0.953571,0.185344,0,0.855146,0.953571,5.69
CD 02452,0.936508,-0.113123,0,0.74709,0.936508,7.09
CD 02506,0.922312,-0.368882,0,0.721396,0.922312,8.33
CD 02717,0.725499,-3.92169,0,0.000913518,0.725499,30.09
CD 02744,0.924078,-0.348043,0,0.727822,0.924078,7.88
CD 02745,0.949539,0.107919,0,0.91411,0.949539,5
CD 02761,0.986412,0.761105,0,0.448148,0.986412,0.83
CD 02830,0.935039,-0.130565,0,0.58723,0.935039,6.55
CD 02841,0.920305,-0.40615,0,0.691978,0.920305,8.16
CD 02860,0.600514,-6.08738,0,7.0094e-08,0.600514,43.92
CD 02966,0.711637,-4.11845,0,0.000140126,0.711637,31.48
CD 03254,0.337521,-10.9127,0,3.99514e-17,0.337521,73.23
CD 03308,0.918132,-0.454972,0,0.649304,0.918132,8.53
CD 03678,0.805261,-2.48177,0,0.0195396,0.805261,21.25
CD 04032,0.968796,0.455112,0,0.65167,0.968796,3.23
CD 04236,0.933291,-0.176525,0,0.861904,0.933291,7.4
CD 04254,0.933135,-0.181897,0,0.856458,0.933135,7.64
CD 04583,0.878803,-1.14689,0,0.26215,0.878803,13.86
CD 04975,0.194433,-13.3367,0,5.74262e-37,0.194433,89.6
CD 05071,0.92453,-0.334442,0,0.740176,0.92453,9.34
CD 05259,0.186846,-13.5208,0,8.92172e-39,0.186846,90.56
CD 05404,1.00782,1.15019,0,0.252408,1.00782,1.23
CD 05753,0.779169,-2.86971,0,0.102373,0.779169,26.71
CD 06082,0.98266,0.708987,0,0.497016,0.98266,5.34
CD 06608,0.842409,-1.80549,0,0.0710854,0.842409,21
CD 06678,0.108486,-14.9208,0,0,0.108486,99.5
CD 06681,0.983713,0.719982,0,0.473574,0.983713,7.06
CD 06828,0.862398,-1.41641,0,0.282742,0.862398,20.31
CD 06834,0.830943,-2.03559,0,0.09015,0.830943,23.69
CD 06872,0.740336,-3.67227,0,0.00656784,0.740336,33.24
CD 06919,0.900096,-0.787078,0,0.451066,0.900096,16.56
CD 07342,0.687273,-4.56753,0,5.6429e-06,0.687273,38.86
CD 08368,0.939656,-0.0540828,0,0.691206,0.939656,12.17
CD 08396,0.534218,-7.2231,0,9.6378e-08,0.534218,54.91
CD 08635,0.862246,-1.45619,0,0.149328,0.862246,19.6
CD 09291,0.949598,0.11724,0,0.808136,0.949598,9.82
CD 09658,0.749883,-3.42229,0,0.00484714,0.749883,30.65
CD 09661,0.911643,-0.555108,0,0.603332,0.911643,12.46
CD 09821,0.968928,0.449397,0,0.65413,0.968928,5.37
