supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.976787,-0.0195657,0,0.803982,0.976787,1.18
AW 00421,0.981865,0.251831,0,0.801176,0.981865,0.67
AW 00430,0.942421,-1.80792,0,0.075129,0.942421,5.11
AW 00475,0.877109,-5.23379,0,2.40678e-07,0.877109,12.42
AW 00480,0.950076,-1.41645,0,0.165986,0.950076,4.38
AW 00519,0.982591,0.28905,0,0.772718,0.982591,0.84
AW 00564,0.972531,-0.239604,0,0.812304,0.972531,2.02
AW 00594,0.978197,0.0632097,0,0.89122,0.978197,1.46
AW 00603,0.990439,0.701071,0,0.483332,0.990439,0.17
AW 00637,0.989435,0.640357,0,0.544146,0.989435,0.34
AW 00845,0.958893,-0.951972,0,0.342592,0.958893,3.76
BR 00082,0.975539,-0.0841341,0,0.828594,0.975539,1.97
BTB 00693,0.957014,-1.05095,0,0.296038,0.957014,4.04
BTB 00803,0.975808,-0.067567,0,0.912438,0.975808,1.97
BTB 01259,0.963928,-0.691558,0,0.498714,0.963928,3.26
BTB 01345,0.952475,-1.29021,0,0.204324,0.952475,4.49
BTB 01397,0.993303,0.855126,0,0.401766,0.993303,-0.06
BTB 01431,0.959792,-0.903097,0,0.366474,0.959792,3.6
BTB 01473,0.958182,-0.994345,0,0.34154,0.958182,3.71
BTB 01480,0.971224,-0.321671,0,0.494216,0.971224,2.19
BTB 01594,0.928913,-2.51419,0,0.0137144,0.928913,6.8
BTB 02800,0.986554,0.495824,0,0.620736,0.986554,0.34
BTB 02837,0.976875,-0.0130158,0,0.86799,0.976875,1.35
BTB 03305,0.980533,0.178828,0,0.85957,0.980533,0.9
BTB 03433,0.986889,0.508951,0,0.622158,0.986889,0.17
BTB 03574,0.974591,-0.122025,0,0.776942,0.974591,1.52
BTB 03608,0.980702,0.19107,0,0.848472,0.980702,0.84
BTB 03925,0.981327,0.23007,0,0.793614,0.981327,0.79
BTB 04194,0.979146,0.1174,0,0.743124,0.979146,1.07
BTB 04231,0.978818,0.090069,0,0.916286,0.978818,1.18
BTB 04275,0.958916,-0.943834,0,0.356574,0.958916,3.48
BTB 04463,0.101579,-45.842,0,0,0.101579,98.48
BTB 04719,0.923064,-2.83524,0,0.0088167,0.923064,7.75
BTB 04953,0.967425,-0.50888,0,0.619656,0.967425,3.03
BTB 05020,0.917509,-3.11579,0,0.00183472,0.917509,8.71
BTB 05066,0.991484,0.756168,0,0.44986,0.991484,0.73
BTB 05122,0.988084,0.574487,0,0.568604,0.988084,1.24
BTB 05144,0.986911,0.516275,0,0.605684,0.986911,1.46
BTB 05336,0.96045,-0.882857,0,0.45995,0.96045,4.44
BTB 05340,0.920369,-2.97272,0,0.00416654,0.920369,8.88
BTB 05419,0.967313,-0.503033,0,0.628452,0.967313,3.76
BTB 05486,0.178853,-41.8964,0,0,0.178853,90.17
BTB 05499,0.921145,-2.90086,0,0.032362,0.921145,8.88
BTB 05661,0.941125,-1.87399,0,0.0692792,0.941125,6.74
BTB 05727,0.978742,0.0610835,0,0.239886,0.978742,2.7
BTB 06084,0.974539,-0.124859,0,0.781606,0.974539,3.2
BTB 06237,0.99859,1.12994,0,0.261928,0.99859,0.62
BTB 06387,0.991405,0.757028,0,0.463084,0.991405,1.4
BTB 06428,0.922621,-2.84635,0,0.00454546,0.922621,8.88
BTB 06691,0.963472,-0.711748,0,0.477226,0.963472,4.33
BTB 06791,0.971643,-0.278623,0,0.784188,0.971643,3.31
BTB 07002,0.091199,-46.378,0,0,0.091199,99.72
BTB 07082,0.964551,-0.658008,0,0.51656,0.964551,3.88
BTB 07328,0.962729,-0.753107,0,0.457036,0.962729,3.99
BTB 07385,0.476011,-26.2426,0,0,0.476011,57.42
BTB 07880,0.964727,-0.64898,0,0.522912,0.964727,3.65
BTB 08239,0.945461,-1.65494,0,0.0991078,0.945461,5.73
BTB 08317,0.997773,1.08204,0,0.281724,0.997773,-0.06
BTB 08363,0.992251,0.796355,0,0.426162,0.992251,0.51
BTB 08370,0.983564,0.347616,0,0.738804,0.983564,1.4
BTB 08512,1.0035,1.38944,0,0.1768,1.0035,-0.84
BTB 08537,0.976535,-0.0279568,0,0.96621,0.976535,2.08
BTB 08545,0.95867,-0.966705,0,0.34427,0.95867,3.99
BTB 08601,0.953842,-1.20808,0,0.244036,0.953842,4.44
BTB 09041,0.973042,-0.198595,0,0.639894,0.973042,2.25
BTB 10282,0.883041,-4.91158,0,2.4177e-06,0.883041,12.13
BTB 10320,0.747895,-11.9807,0,5.07486e-31,0.747895,27.02
BTB 10323,0.965744,-0.5953,0,0.556624,0.965744,2.92
BTB 10396,0.937518,-2.06835,0,0.0386238,0.937518,5.96
BTB 10539,1.00487,1.45025,0,0.157774,1.00487,-1.57
BTB 10705,0.0841262,-46.7497,0,0,0.0841262,100.39
XBX 00150,0.623876,-18.5461,0,0,0.623876,40.56
BTB 11052,0.975725,-0.0749814,0,0.808478,0.975725,1.4
BTB 11704,1.00826,1.62984,0,0.106299,1.00826,-2.3
BTB 11781,0.979045,0.103801,0,0.917352,0.979045,0.84
BTB 11850,0.954902,-1.15691,0,0.249136,0.954902,3.43
BTB 12055,0.981743,0.245729,0,0.805896,0.981743,0.34
BTB 12761,0.982882,0.289977,0,0.532042,0.982882,0.11
BTB 12931,0.0815348,-46.8886,0,0,0.0815348,100.62
BTB 13088,0.972825,-0.218059,0,0.828812,0.972825,1.01
BTB 13588,0.961782,-0.813388,0,0.499086,0.961782,1.44
BTB 13702,0.936926,-2.09757,0,0.0366682,0.936926,4.47
BTB 13761,0.977093,0.00560599,0,0.885,0.977093,0.18
BTB 13763,0.987585,0.550632,0,0.58204,0.987585,-0.77
BTB 13765,1.04289,3.44357,0,0.000590212,1.04289,-6.74
BTB 13845,0.984944,0.414262,0,0.679054,0.984944,-0.05
BTB 14058,0.974234,-0.144556,0,0.885888,0.974234,1.35
BTB 14154,0.711225,-13.891,0,2.55816e-39,0.711225,30.81
BTB 14688,0.625334,-18.2269,0,1.42657e-26,0.625334,40.53
