supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.976266,0.0667329,0,0.931914,0.976266,1.25
AW 00421,0.972224,-0.152001,0,0.64047,0.972224,1.84
AW 00430,0.960933,-0.747652,0,0.37935,0.960933,3.24
AW 00475,0.881653,-4.72098,0,2.66498e-06,0.881653,12.26
AW 00480,0.951751,-1.17292,0,0.241884,0.951751,4.51
AW 00519,0.991856,0.863428,0,0.391826,0.991856,0.14
AW 00564,0.974795,-0.00217799,0,0.949012,0.974795,2.18
AW 00594,0.982662,0.412595,0,0.633506,0.982662,1.42
AW 00603,0.978018,0.158543,0,0.874028,0.978018,2.07
AW 00637,0.985838,0.543672,0,0.601624,0.985838,1.31
AW 00845,0.951267,-1.20997,0,0.264186,0.951267,5.27
BR 00082,0.960521,-0.747343,0,0.52119,0.960521,4.34
BTB 00693,0.96447,-0.522083,0,0.604762,0.96447,3.99
BTB 00803,0.980026,0.259336,0,0.795424,0.980026,2.3
BTB 01259,0.958766,-0.837965,0,0.483462,0.958766,4.69
BTB 01345,0.947796,-1.367,0,0.173593,0.947796,5.91
BTB 01397,0.985494,0.521434,0,0.632396,0.985494,1.72
BTB 01431,0.955437,-0.990504,0,0.329502,0.955437,5.04
BTB 01473,0.953535,-1.08992,0,0.29235,0.953535,5.21
BTB 01480,0.986574,0.587392,0,0.559282,0.986574,1.49
BTB 01594,0.925323,-2.50233,0,0.0132286,0.925323,8.24
BTB 02800,0.994886,1.00558,0,0.321912,0.994886,0.44
BTB 02837,0.969328,-0.277914,0,0.781882,0.969328,3.23
BTB 03305,0.978988,0.208041,0,0.835208,0.978988,2.12
BTB 03433,0.980956,0.307288,0,0.758624,0.980956,1.89
BTB 03574,0.97418,-0.0550445,0,0.598852,0.97418,2.65
BTB 03608,0.980982,0.307418,0,0.758624,0.980982,1.89
BTB 03925,0.969147,-0.299545,0,0.771628,0.969147,3.23
BTB 04194,0.976297,0.0629439,0,0.817822,0.976297,2.48
BTB 04231,0.970116,-0.249755,0,0.807876,0.970116,3.23
BTB 04275,0.972054,-0.138439,0,0.89081,0.972054,3.11
BTB 04463,0.122049,-43.1865,0,0,0.122049,97.72
BTB 04719,0.933415,-2.11455,0,0.0528,0.933415,7.72
BTB 04953,0.973387,-0.0829224,0,0.84596,0.973387,3.47
BTB 05020,0.921276,-2.72642,0,0.0104793,0.921276,9.41
BTB 05066,0.984746,0.506252,0,0.6196,0.984746,2.53
BTB 05122,0.999527,1.24101,0,0.220224,0.999527,1.02
BTB 05144,0.994474,0.979877,0,0.349468,0.994474,1.66
BTB 05336,0.971738,-0.15438,0,0.878344,0.971738,4.22
BTB 05340,0.937858,-1.87781,0,0.0622736,0.937858,8.01
BTB 05419,0.964165,-0.540796,0,0.58898,0.964165,5.15
