supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.897111,-0.408439,0,0.682952,0.897111,10.23
AW 00421,0.887104,-0.549991,0,0.582392,0.887104,11.37
AW 00430,0.891028,-0.51543,0,0.622552,0.891028,10.95
AW 00475,0.588959,-4.73753,0,3.0706e-06,0.588959,45.35
AW 00480,0.868312,-0.811161,0,0.417294,0.868312,13.51
AW 00519,1.00467,1.09673,0,0.272832,1.00467,-2.02
AW 00564,0.949901,0.318649,0,0.753492,0.949901,4.23
AW 00594,0.951344,0.367383,0,0.72039,0.951344,4.03
AW 00603,0.964131,0.530941,0,0.595482,0.964131,2.59
AW 00637,0.935322,0.126879,0,0.899036,0.935322,5.88
AW 00845,0.86233,-0.906093,0,0.369998,0.86233,14.2
BR 00082,0.246722,-9.66872,0,2.10452e-14,0.246722,84.51
BTB 00693,0.488861,-6.15707,0,5.1565e-09,0.488861,56.77
BTB 00803,0.942392,0.227665,0,0.819974,0.942392,5.07
BTB 01259,0.75999,-2.34538,0,0.0221968,0.75999,25.87
BTB 01345,0.175365,-10.5668,0,2.8083e-23,0.175365,92.51
BTB 01397,0.968232,0.586942,0,0.55726,0.968232,2.13
BTB 01431,0.784104,-2.00628,0,0.049585,0.784104,23.12
BTB 01473,0.145401,-10.9847,0,3.11628e-25,0.145401,95.92
BTB 01480,0.900629,-0.360055,0,0.718824,0.900629,9.83
BTB 01594,0.188352,-10.3791,0,8.08562e-23,0.188352,91.02
BTB 02800,0.938962,0.190002,0,0.851516,0.938962,5.45
BTB 02837,0.931947,0.0959153,0,0.818048,0.931947,6.24
BTB 03305,0.246103,-9.55489,0,2.74488e-20,0.246103,84.42
BTB 03433,0.961151,0.484816,0,0.628242,0.961151,2.94
BTB 03574,0.925887,-0.00839604,0,0.967478,0.925887,6.95
BTB 03608,0.564889,-5.07127,0,4.97906e-07,0.564889,48.09
BTB 03925,0.893415,-0.478261,0,0.643086,0.893415,10.67
BTB 04194,0.827833,-1.43231,0,0.261694,0.827833,18.19
BTB 04231,0.982318,0.781815,0,0.434744,0.982318,0.53
BTB 04275,0.882958,-0.611351,0,0.541816,0.882958,11.85
BTB 04463,0.114128,-11.4353,0,1.73004e-26,0.114128,99.5
BTB 04719,0.7833,-2.0407,0,0.0710056,0.7833,23.24
BTB 04953,0.889524,-0.508802,0,0.61213,0.889524,11.09
BTB 05020,0.700623,-3.17636,0,0.00190858,0.700623,32.63
BTB 05066,0.958248,0.44807,0,0.654106,0.958248,3.26
BTB 05122,0.797651,-1.81366,0,0.0737816,0.797651,21.57
BTB 05144,0.898803,-0.392287,0,0.696432,0.898803,10.04
BTB 05336,0.945328,0.268431,0,0.78842,0.945328,4.73
BTB 05340,0.19883,-10.2433,0,1.34789e-21,0.19883,89.84
BTB 05419,0.822887,-1.46468,0,0.153781,0.822887,18.7
BTB 05486,0.10002,-11.6329,0,2.04698e-27,0.10002,101.1
BTB 05499,0.708582,-3.09384,0,0.00692922,0.708582,31.76
BTB 05661,0.294753,-8.82576,0,5.76628e-18,0.294753,78.82
BTB 05727,0.463845,-6.35379,1,1.78261e-06,0.463845,59.43
BTB 06084,0.979382,0.741049,0,0.458986,0.979382,0.86
BTB 06237,0.97361,0.671576,0,0.504986,0.97361,1.5
BTB 06387,0.993534,0.943961,0,0.345378,0.993534,-0.76
BTB 06428,0.835729,-1.29443,0,0.225172,0.835729,17.25
BTB 06691,0.936937,0.133651,0,0.82844,0.936937,5.71
BTB 06791,0.535636,-5.52893,0,1.17492e-06,0.535636,51.48
BTB 07002,0.116986,-11.404,0,8.70156e-26,0.116986,99.18
BTB 07082,0.394558,-7.50446,0,1.03331e-11,0.394558,67.55
BTB 07328,0.965219,0.536796,0,0.594078,0.965219,2.48
BTB 07385,0.116997,-11.4026,0,7.41128e-26,0.116997,99.18
BTB 07880,0.859088,-0.920977,0,0.375732,0.859088,14.53
BTB 08239,0.633019,-4.12336,0,5.53244e-05,0.633019,40.33
BTB 08317,0.886466,-0.564308,0,0.574236,0.886466,11.45
BTB 08363,0.883862,-0.564875,0,0.603012,0.883862,11.7
BTB 08370,0.910481,-0.237263,0,0.817012,0.910481,8.73
BTB 08512,1,1.03445,0,0.301102,1,-1.49
BTB 08537,1.00702,1.12854,0,0.259324,1.00702,-2.29
BTB 08545,0.974698,0.677431,0,0.498154,0.974698,1.39
BTB 08601,0.90109,-0.367178,0,0.718994,0.90109,9.79
BTB 09041,0.897671,-0.403501,0,0.686814,0.897671,10.17
BTB 10282,0.704425,-3.15654,0,0.00689004,0.704425,32.24
BTB 10320,0.189429,-10.3746,0,3.59196e-22,0.189429,90.91
BTB 10323,0.589047,-4.72681,0,2.35214e-06,0.589047,45.33
BTB 10396,0.900047,-0.367673,0,0.71312,0.900047,9.89
BTB 10539,0.901489,-0.318939,0,0.707196,0.901489,9.69
BTB 10705,0.112324,-11.4649,0,2.39422e-26,0.112324,99.71
XBX 00150,0.201711,-10.2093,0,4.29918e-21,0.201711,89.52
BTB 11052,0.93177,0.0744759,0,0.940666,0.93177,6.28
BTB 11704,1.01298,1.22079,0,0.2241,1.01298,-2.98
BTB 11781,0.920148,-0.0738484,0,0.866946,0.920148,7.59
BTB 11850,0.885278,-0.582222,0,0.562864,0.885278,11.59
BTB 12055,0.931165,0.0641787,0,0.948918,0.931165,6.35
BTB 12761,0.699316,-3.33448,1,0.123859,0.699316,32.95
BTB 12931,0.102923,-11.5961,0,5.50848e-27,0.102923,100.78
BTB 13088,0.988784,0.872304,0,0.383496,0.988784,-0.21
BTB 13588,0.916338,-0.154191,0,0.8361,0.916338,-1.47
BTB 13702,0.809334,-1.65869,0,0.111334,0.809334,12.46
BTB 13761,0.937012,0.156547,0,0.876068,0.937012,-2.23
BTB 13763,0.939607,0.181431,0,0.856412,0.939607,-1.62
BTB 13765,0.963175,0.518048,0,0.604484,0.963175,-3.53
BTB 13845,0.941067,0.207566,0,0.835572,0.941067,0
BTB 14058,0.978228,0.723277,0,0.470316,0.978228,-3.45
BTB 14154,0.161597,-10.7545,0,2.04752e-24,0.161597,92.35
BTB 14688,0.22458,-9.91267,0,1.34455e-18,0.22458,85.32
BTB 14851,0.904343,-0.328094,0,0.75321,0.904343,7.76
BTB 14852,0.894608,-0.450556,0,0.653862,0.894608,9.69
BTB 14910,0.950001,0.323218,0,0.748474,0.950001,4.34
BTBG 00025,0.476421,-5.98762,1,0.053601,0.476421,57.43
CD 00707,0.976879,0.701445,0,0.485274,0.976879,3.09
CD 00752,0.957451,0.448989,0,0.658278,0.957451,5.8
CD 00756,0.87302,-0.733312,0,0.470274,0.87302,15.4
CD 00758,0.752157,-2.47341,0,0.0249798,0.752157,28.83
CD 00759,0.844435,-1.17114,0,0.269576,0.844435,18.68
CD 00823,0.133593,-11.1586,0,1.75083e-25,0.133593,96.49
CD 00995,0.953316,0.369287,0,0.71428,0.953316,6.36
CD 01737,0.784561,-1.97074,0,0.0531528,0.784561,24.61
CD 01803,0.50324,-5.95239,0,1.30309e-08,0.50324,55.47
CD 01912,0.989062,0.887247,0,0.377878,0.989062,1.23
CD 02044,0.841667,-1.16597,0,0.260212,0.841667,17.08
CD 02158,0.850858,-1.07857,0,0.303756,0.850858,15.6
CD 02448,0.987458,0.844216,0,0.405876,0.987458,-0.36
CD 02452,0.96903,0.580052,0,0.575084,0.96903,1.16
CD 02506,0.955597,0.392481,0,0.7039,0.955597,2.2
CD 02717,0.286414,-9.02651,0,2.34318e-16,0.286414,78.41
CD 02744,0.909122,-0.241332,0,0.809318,0.909122,6.93
CD 02745,0.970177,0.614626,0,0.538804,0.970177,-0.19
CD 02761,0.982565,0.789904,0,0.429696,0.982565,-1.69
CD 02830,0.946268,0.269275,0,0.790022,0.946268,2.45
