supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.982069,0.302026,0,0.771502,0.982069,2.01
AW 00421,0.981383,0.275751,0,0.784466,0.981383,2.12
AW 00430,0.942199,-1.63468,0,0.12682,0.942199,6.48
AW 00475,0.887569,-4.28605,0,6.7788e-05,0.887569,12.54
AW 00480,0.955194,-1.0056,0,0.351426,0.955194,5.12
AW 00519,0.984811,0.445272,0,0.656602,0.984811,1.9
AW 00564,0.973331,-0.124643,0,0.72811,0.973331,3.19
AW 00594,0.978759,0.159664,0,0.873946,0.978759,2.64
AW 00603,0.970777,-0.202647,0,0.526102,0.970777,3.56
AW 00637,0.996274,0.983833,0,0.367266,0.996274,0.76
AW 00845,0.954229,-1.04635,0,0.311982,0.954229,5.41
BR 00082,0.969273,-0.342291,0,0.445604,0.969273,3.75
BTB 00693,0.957387,-0.886232,0,0.378324,0.957387,5.07
BTB 00803,0.97604,-0.00475799,0,0.549058,0.97604,2.96
BTB 01259,0.965755,-0.51009,0,0.508966,0.965755,4.04
BTB 01345,0.953844,-1.06122,0,0.296428,0.953844,5.29
BTB 01397,0.987062,0.567394,0,0.580542,0.987062,1.56
BTB 01431,0.961638,-0.68821,0,0.508464,0.961638,4.27
BTB 01473,0.961174,-0.689855,0,0.496582,0.961174,4.23
BTB 01480,0.985796,0.490833,0,0.625314,0.985796,1.39
BTB 01594,0.926988,-2.36689,0,0.022263,0.926988,7.79
BTB 02800,0.991076,0.751354,0,0.45244,0.991076,0.6
BTB 02837,0.970055,-0.288704,0,0.654822,0.970055,2.86
BTB 03305,0.981466,0.274502,0,0.78983,0.981466,1.56
BTB 03433,0.9865,0.531846,0,0.595272,0.9865,1
BTB 03574,0.969334,-0.313293,0,0.76085,0.969334,2.92
BTB 03608,0.980337,0.217324,0,0.77216,0.980337,1.73
BTB 03925,0.981112,0.283576,0,0.75253,0.981112,1.68
BTB 04194,0.983717,0.389794,0,0.698366,0.983717,1.45
BTB 04231,0.980309,0.229178,0,0.818738,0.980309,1.9
