supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.991272,0.565161,0,0.478504,0.991272,24.08
AW 00421,0.892593,-0.48907,0,0.53935,0.892593,36.34
AW 00430,0.900816,-0.433061,0,0.667732,0.900816,35.15
AW 00475,0.566486,-4.03985,0,8.3296e-05,0.566486,76.47
AW 00480,0.905314,-0.385653,0,0.660652,0.905314,34.58
AW 00519,1.08846,1.57,0,0.208648,1.08846,11.83
AW 00564,1.01088,0.734068,0,0.528832,1.01088,21.43
AW 00594,0.989213,0.538259,0,0.493262,0.989213,24.31
AW 00603,1.05334,1.20859,0,0.3548,1.05334,16.27
AW 00637,1.00285,0.687761,0,0.505264,1.00285,22.64
AW 00845,0.920301,-0.194035,0,0.478788,0.920301,32.89
BR 00082,0.437756,-5.40477,0,2.1951e-07,0.437756,92.52
BTB 00693,0.549031,-4.177,0,3.16012e-05,0.549031,78.91
BTB 00803,0.993995,0.574422,0,0.55848,0.993995,23.64
BTB 01259,0.754045,-1.99004,0,0.059943,0.754045,53.43
BTB 01345,0.228831,-7.58423,0,1.21338e-13,0.228831,118.75
BTB 01397,1.02155,0.836382,0,0.457052,1.02155,20.04
BTB 01431,0.816682,-1.3433,0,0.195121,0.816682,45.53
BTB 01473,0.20777,-7.82591,0,5.99564e-14,0.20777,121.27
BTB 01480,0.958292,0.18391,0,0.573714,0.958292,28.02
BTB 01594,0.253755,-7.35248,0,3.03396e-12,0.253755,115.47
BTB 02800,0.980638,0.413675,0,0.621024,0.980638,25.2
BTB 02837,0.971696,0.347082,0,0.488446,0.971696,26.47
BTB 03305,0.492809,-4.37458,1,0.073983,0.492809,88.08
BTB 03433,1.00773,0.728775,0,0.554982,1.00773,21.97
BTB 03574,0.950919,0.0941648,0,0.631022,0.950919,28.88
BTB 03608,0.688746,-2.59202,0,0.0504358,0.688746,62.06
BTB 03925,0.848225,-0.983219,0,0.379726,0.848225,41.74
BTB 04194,0.875292,-0.771313,0,0.44087,0.875292,37.96
BTB 04231,0.997629,0.60397,0,0.600972,0.997629,23.14
BTB 04275,0.946517,0.0516073,0,0.611464,0.946517,29.45
BTB 04463,0.155781,-8.44773,0,3.5536e-14,0.155781,127.37
BTB 04719,0.77883,-1.73977,0,0.0935996,0.77883,50.28
BTB 04953,0.920398,-0.189184,0,0.461606,0.920398,32.9
BTB 05020,0.456323,-5.21183,0,6.33948e-07,0.456323,90.18
BTB 05066,0.979062,0.411029,0,0.556836,0.979062,25.47
BTB 05122,0.949012,0.100338,0,0.503698,0.949012,29.26
BTB 05144,0.920005,-0.234387,0,0.660104,0.920005,32.73
BTB 05336,0.989821,0.492396,0,0.65066,0.989821,23.95
BTB 05340,0.259152,-7.33639,0,2.54e-11,0.259152,114.57
BTB 05419,0.861092,-0.872526,0,0.40494,0.861092,40
BTB 05486,0.117632,-8.88454,0,9.45218e-15,0.117632,131.95
BTB 05499,0.684415,-2.73292,0,0.00805652,0.684415,62.08
BTB 05661,0.131942,-8.72688,0,2.09958e-14,0.131942,130.2
BTB 05727,0.174548,-8.21928,0,3.55362e-14,0.174548,125.19
BTB 06084,0.9947,0.53341,0,0.61417,0.9947,23.29
BTB 06237,1.03677,0.98853,0,0.367548,1.03677,18.1
BTB 06387,1.05295,1.18919,0,0.330592,1.05295,16.24
BTB 06428,0.827973,-1.23525,0,0.22556,0.827973,44.06
BTB 06691,0.997291,0.586992,0,0.608918,0.997291,23.11
BTB 06791,0.46364,-5.15031,0,1.4674e-06,0.46364,89.18
BTB 07002,0.155062,-8.45831,0,3.87758e-14,0.155062,127.44
BTB 07082,0.46695,-5.08614,0,7.42372e-07,0.46695,88.93
BTB 07328,1.00964,0.722602,0,0.537862,1.00964,21.59
BTB 07385,0.167687,-8.35974,0,5.00312e-13,0.167687,125.68
BTB 07880,0.768603,-1.79446,0,0.134926,0.768603,51.84
BTB 08239,0.255862,-7.32316,0,2.58492e-12,0.255862,115.24
BTB 08317,0.914746,-0.269006,0,0.562204,0.914746,33.5
BTB 08363,1.0093,0.705623,0,0.527624,1.0093,21.56
BTB 08370,0.879008,-0.610348,0,0.48041,0.879008,38.16
BTB 08512,1.04467,1.10496,0,0.372316,1.04467,17.29
BTB 08537,1.01044,0.68644,0,0.50569,1.01044,21.25
BTB 08545,1.00097,0.618965,0,0.58059,1.00097,22.61
BTB 08601,0.857174,-0.890828,0,0.424152,0.857174,40.61
BTB 09041,0.910434,-0.332511,0,0.657456,0.910434,33.94
BTB 10282,0.707957,-2.49411,0,0.0144002,0.707957,59.09
BTB 10320,0.196874,-8.06691,0,7.88844e-12,0.196874,121.95
BTB 10323,0.78234,-1.6401,0,0.190712,0.78234,50.18
BTB 10396,0.884157,-0.632176,0,0.54491,0.884157,37.1
BTB 10539,0.943698,0.0374947,0,0.535098,0.943698,29.89
BTB 10705,0.109161,-8.97848,0,6.03962e-15,0.109161,132.98
XBX 00150,0.283039,-7.0548,0,3.72808e-11,0.283039,111.75
BTB 11052,0.97757,0.361637,0,0.711718,0.97757,25.48
BTB 11704,1.11396,1.83086,0,0.129262,1.11396,8.6
BTB 11781,0.923252,-0.224243,0,0.785806,0.923252,32.19
BTB 11850,0.885269,-0.576389,0,0.601644,0.885269,37.2
BTB 12055,0.947948,0.0469773,0,0.71434,0.947948,29.16
BTB 12761,0.794923,-1.51816,0,0.20982,0.794923,48.55
BTB 12931,0.112367,-8.94496,0,7.90482e-15,0.112367,132.58
BTB 13088,1.01113,0.771994,0,0.53846,1.01113,21.59
BTB 13588,1.06566,1.17175,0,0.284076,1.06566,10.33
BTB 13702,0.861032,-0.984595,0,0.382846,0.861032,37.13
BTB 13761,1.00277,0.517773,0,0.631136,1.00277,19.5
BTB 13763,1.05863,1.14297,0,0.255738,1.05863,12.84
BTB 13765,1.05134,1.05422,0,0.300922,1.05134,14.41
BTB 13845,1.02495,0.781825,0,0.440344,1.02495,18.32
BTB 14058,1.08341,1.40939,0,0.159465,1.08341,11.54
BTB 14154,0.241433,-7.55848,0,3.31968e-11,0.241433,117.56
BTB 14688,0.136092,-8.69405,0,4.87046e-14,0.136092,130.85
BTB 14851,0.941188,-0.104733,0,0.827876,0.941188,31.04
BTB 14852,0.919797,-0.288826,0,0.77331,0.919797,34.2
BTB 14910,1.01667,0.743704,0,0.46514,1.01667,22.87
BTBG 00025,0.595374,-3.17182,1,0.250358,0.595374,75.11
CD 00707,1.06889,1.35198,0,0.258284,1.06889,17.66
CD 00752,1.05433,1.15713,0,0.271498,1.05433,19.75
CD 00756,0.820895,-1.30299,0,0.205708,0.820895,48.26
CD 00758,0.783591,-1.72578,0,0.0844286,0.783591,52.77
CD 00759,0.788039,-1.64425,0,0.112368,0.788039,52.18
CD 00823,0.132899,-8.69966,0,9.89802e-15,0.132899,131.68
CD 00995,0.989404,0.446973,0,0.65696,0.989404,27.31
CD 01737,0.695961,-2.63597,0,0.00861436,0.695961,62.87
CD 01803,0.654827,-3.02714,0,0.00433958,0.654827,67.64
CD 01912,1.09799,1.61036,0,0.121811,1.09799,12.9
CD 02044,0.967102,0.212662,0,0.83261,0.967102,28.46
CD 02158,0.91582,-0.35093,0,0.726362,0.91582,34.18
CD 02448,1.0613,1.16756,0,0.247004,1.0613,15.42
CD 02452,1.02854,0.80398,0,0.43865,1.02854,18.83
CD 02506,1.03552,0.892919,0,0.378082,1.03552,17.35
CD 02717,0.586924,-3.7735,0,0.000181835,0.586924,73.32
CD 02744,0.988132,0.421704,0,0.673354,0.988132,22.59
CD 02745,1.09195,1.48207,0,0.144877,1.09195,9.46
CD 02761,1.10028,1.57955,0,0.116379,1.10028,8.35
CD 02830,1.04576,0.970628,0,0.365186,1.04576,15.4
CD 02841,1.04477,0.980104,0,0.340016,1.04477,15.59
CD 02860,0.318279,-6.50959,0,3.6826e-09,0.318279,106.9
CD 02966,0.552562,-4.16439,0,3.3554e-05,0.552562,77.82
CD 03254,0.244981,-7.33727,0,1.00859e-12,0.244981,116.48
CD 03308,0.912782,-0.411382,0,0.692486,0.912782,33.13
CD 03678,0.577759,-3.89289,0,0.000100232,0.577759,75.27
CD 04032,1.09916,1.60688,0,0.113427,1.09916,10.53
CD 04236,1.01578,0.68392,0,0.500582,1.01578,21.39
CD 04254,0.979585,0.303974,0,0.764718,0.979585,26.26
CD 04583,0.977371,0.269199,0,0.794656,0.977371,26.87
CD 04975,0.185437,-8.17946,0,2.47314e-12,0.185437,124.93
CD 05071,0.995134,0.469774,0,0.642628,0.995134,25.2
CD 05259,0.151062,-8.53725,0,1.60082e-13,0.151062,129.25
CD 05404,1.04686,1.04657,0,0.297258,1.04686,19.41
CD 05753,0.571074,-4.06815,0,0.00054135,0.571074,77.96
CD 06082,1.09371,1.5719,0,0.136286,1.09371,14.41
CD 06608,0.934098,-0.185173,0,0.796428,0.934098,34.18
CD 06678,0.13214,-8.74606,0,5.85832e-14,0.13214,131.79
CD 06681,1.06059,1.20985,0,0.238432,1.06059,19.48
CD 06828,0.758856,-1.9408,0,0.0658736,0.758856,56.26
CD 06834,0.917446,-0.2705,0,0.710588,0.917446,37.25
CD 06872,0.898605,-0.437253,0,0.579634,0.898605,39.69
CD 06919,1.0163,0.780248,0,0.48643,1.0163,25.51
CD 07342,0.757336,-2.05123,0,0.0523188,0.757336,56.6
CD 08368,0.952663,0.00952303,0,0.792482,0.952663,32.96
CD 08396,0.28055,-6.96299,0,1.45766e-11,0.28055,114.2
CD 08635,0.855289,-0.894092,0,0.449816,0.855289,44.56
CD 09291,0.977454,0.297598,0,0.766426,0.977454,29.42
CD 09658,0.892092,-0.600644,0,0.549342,0.892092,39.49
CD 09661,0.956454,0.0928284,0,0.92614,0.956454,31.37
CD 09821,1.08745,1.49175,0,0.146084,1.08745,15.11
CD 10699,1.07685,1.33542,0,0.183799,1.07685,16.17
CD 10742,1.03969,0.953487,0,0.340722,1.03969,20.58
CD 10788,1.01437,0.735264,0,0.482466,1.01437,23.6
CD 11359,0.988028,0.41457,0,0.6785,0.988028,26.82
DFP 00056,0.829415,-1.29512,0,0.221772,0.829415,46.48
DFP 00315,1.0388,0.964144,0,0.337654,1.0388,21.23
DP 00330,1.13866,2.03884,0,0.0507632,1.13866,9.44
DP 00453,1.18376,2.55849,0,0.0280606,1.18376,4.38
DP 00477,0.190543,-8.07622,0,3.93132e-13,0.190543,124.83
DP 00750,0.810484,-1.41993,0,0.1629,0.810484,50.23
DP 00881,0.130089,-8.76516,0,4.4399e-14,0.130089,132.19
DP 01415,0.829148,-1.28664,0,0.213846,0.829148,48.54
DP 01417,1.06771,1.32779,0,0.246826,1.06771,20.55
DP 01887,0.430301,-5.20467,1,0.000200926,0.430301,97.49
DP 01888,0.958046,0.262831,0,0.261218,0.958046,34.79
DP 02004,0.784106,-1.62365,0,0.191861,0.784106,55.73
DSHS 00540,1.0428,0.920129,0,0.418888,1.0428,12.34
EN 00070,0.926501,-0.311634,0,0.566846,0.926501,27.62
EN 00220,0.903343,-0.539864,0,0.632364,0.903343,30.69
FM 00211,0.917412,-0.318703,0,0.75013,0.917412,28.57
FM 00217,0.734523,-2.29597,0,0.031664,0.734523,52.6
FM 00281,1.06452,1.16611,0,0.278012,1.06452,10.47
GK 00584,0.970177,0.183359,0,0.741898,0.970177,22.68
GK 00860,0.30941,-6.62224,0,7.8592e-10,0.30941,106.42
GK 00898,0.997183,0.455408,0,0.676134,0.997183,19.61
GK 01359,0.829402,-1.32825,0,0.25668,0.829402,41.29
GK 01594,0.880522,-0.794794,0,0.505894,0.880522,34.9
GK 02006,0.878497,-0.758012,0,0.456264,0.878497,34.89
GK 02221,1.01576,0.644744,0,0.560784,1.01576,17.75
GK 02386,0.836363,-1.18284,0,0.237756,0.836363,40.3
GK 02445,1.012,0.622685,0,0.55537,1.012,18.32
GK 02598,1.03211,0.807532,0,0.479174,1.03211,15.98
GK 02688,0.995612,0.420237,0,0.613014,0.995612,20.59
GK 02714,0.895062,-0.605751,0,0.567648,0.895062,33.03
GK 02719,0.986652,0.350913,0,0.72556,0.986652,21.15
GK 03380,0.917964,-0.393243,0,0.614766,0.917964,29.73
HAN 00069,0.916319,-0.354949,0,0.72526,0.916319,29.23
HAN 00102,0.807554,-1.50275,0,0.139835,0.807554,42.89
HAN 00332,1.05692,1.05979,0,0.365796,1.05692,10.81
HAN 00369,0.291562,-6.84351,0,3.9306e-11,0.291562,108.61
HAN 00373,0.814736,-1.49021,0,0.215168,0.814736,41.7
HAN 00388,0.971518,0.17093,0,0.603618,0.971518,21.15
HR 00030,0.976919,0.263696,0,0.797728,0.976919,20.09
HTS 00002,0.148395,-8.57131,0,1.72382e-13,0.148395,128.4
HTS 00332,0.926729,-0.263495,0,0.794432,0.926729,26.24
HTS 00945,0.635363,-3.32431,0,0.00138233,0.635363,64
HTS 01021,1.01876,0.680842,0,0.533254,1.01876,13.87
HTS 01155,1.0409,0.926733,0,0.379,1.0409,10.72
HTS 01365,0.927594,-0.241834,0,0.811874,0.927594,25.35
