supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.953737,0.140583,0,0.888676,0.953737,1.89
AW 00421,0.915409,-0.623489,0,0.533746,0.915409,6.51
AW 00430,0.906977,-0.801796,0,0.433812,0.906977,7.72
AW 00475,0.681695,-5.29821,0,1.44199e-07,0.681695,33.71
AW 00480,0.917504,-0.581656,0,0.561558,0.917504,6.97
AW 00519,0.993828,0.939619,0,0.351382,0.993828,-1.46
AW 00564,0.968318,0.425444,0,0.676576,0.968318,1.71
AW 00594,0.970997,0.483512,0,0.631424,0.970997,1.66
AW 00603,0.978674,0.643001,0,0.52038,0.978674,1.02
AW 00637,0.947891,0.0328042,0,0.95756,0.947891,4.72
AW 00845,0.89575,-1.02555,0,0.315686,0.89575,10.84
BR 00082,0.676616,-5.41107,0,1.72518e-07,0.676616,35.67
BTB 00693,0.652158,-5.91948,0,5.96818e-08,0.652158,38.6
BTB 00803,0.977109,0.604988,0,0.548918,0.977109,2.29
BTB 01259,0.841047,-2.09017,0,0.0426374,0.841047,17.67
BTB 01345,0.308477,-12.7866,0,1.87422e-34,0.308477,77.35
BTB 01397,0.976855,0.592266,0,0.56688,0.976855,3.09
BTB 01431,0.819525,-2.57087,0,0.02327,0.819525,20.87
BTB 01473,0.289449,-13.1626,0,7.25532e-37,0.289449,79.72
BTB 01480,0.946845,-0.0128776,0,0.728726,0.946845,7.13
BTB 01594,0.348147,-12.0466,0,1.63601e-26,0.348147,73.39
BTB 02800,0.971928,0.496921,0,0.62685,0.971928,4.48
BTB 02837,0.966668,0.393748,0,0.698342,0.966668,5.11
BTB 03305,0.941111,-0.139632,0,0.590524,0.941111,8.05
BTB 03433,0.977654,0.621815,0,0.534398,0.977654,4.08
BTB 03574,0.959395,0.242113,0,0.785954,0.959395,6.21
BTB 03608,0.851217,-1.90559,0,0.0570022,0.851217,18.17
BTB 03925,0.944438,-0.0451481,0,0.927416,0.944438,8.01
BTB 04194,0.905613,-0.806933,0,0.424084,0.905613,12.29
BTB 04231,1.00337,1.1407,0,0.254338,1.00337,1.6
BTB 04275,0.93907,-0.147841,0,0.882484,0.93907,8.7
BTB 04463,0.120444,-16.573,0,0,0.120444,98.59
BTB 04719,0.871071,-1.52718,0,0.149284,0.871071,16.32
BTB 04953,0.923726,-0.467272,0,0.648548,0.923726,10.6
BTB 05020,0.74216,-4.08456,0,4.47854e-05,0.74216,30.48
BTB 05066,0.979841,0.667089,0,0.504764,0.979841,4.43
BTB 05122,0.935551,-0.222531,0,0.824564,0.935551,9.17
BTB 05144,0.969652,0.461896,0,0.644428,0.969652,5.24
BTB 05336,0.996273,0.991296,0,0.323208,0.996273,2.12
BTB 05340,0.261436,-13.7571,0,4.68144e-37,0.261436,82.99
BTB 05419,0.897574,-0.981154,0,0.32813,0.897574,12.69
BTB 05486,0.109543,-16.7871,0,0,0.109543,99.69
BTB 05499,0.88361,-1.25597,0,0.209166,0.88361,14.08
BTB 05661,0.583517,-7.25986,0,5.38488e-13,0.583517,47.22
BTB 05727,0.469861,-9.63212,0,1.56206e-15,0.469861,59.98
BTB 06084,0.989988,0.863531,0,0.391122,0.989988,2.47
BTB 06237,0.998019,1.0334,0,0.301688,0.998019,1.66
BTB 06387,1.0266,1.58956,0,0.119876,1.0266,-1.41
