supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.972901,-0.158726,0,0.873884,0.972901,2.28
AW 00421,0.984322,0.454013,0,0.654882,0.984322,1.08
AW 00430,0.9462,-1.5947,0,0.121335,0.9462,5.35
AW 00475,0.882578,-5.03551,0,5.81972e-07,0.882578,12.42
AW 00480,0.9504,-1.3735,0,0.169738,0.9504,5.01
AW 00519,0.983581,0.41758,0,0.676256,0.983581,1.42
AW 00564,0.976874,0.0554236,0,0.955804,0.976874,2.22
AW 00594,0.977366,0.0797529,0,0.90401,0.977366,2.22
AW 00603,0.978915,0.17135,0,0.786728,0.978915,2.1
AW 00637,0.990148,0.768254,0,0.449996,0.990148,0.91
AW 00845,0.951566,-1.3121,0,0.19171,0.951566,5.19
BR 00082,0.960115,-0.853862,0,0.40833,0.960115,4.28
BTB 00693,0.946348,-1.59094,0,0.111842,0.946348,5.81
BTB 00803,0.973991,-0.104005,0,0.840912,0.973991,2.74
BTB 01259,0.959427,-0.889709,0,0.382426,0.959427,4.28
BTB 01345,0.948944,-1.44497,0,0.169864,0.948944,5.35
BTB 01397,0.991511,0.846647,0,0.397908,0.991511,0.57
BTB 01431,0.96029,-0.840257,0,0.401308,0.96029,3.87
BTB 01473,0.964565,-0.607763,0,0.543664,0.964565,3.25
BTB 01480,0.97227,-0.191826,0,0.84805,0.97227,2.22
BTB 01594,0.926377,-2.66759,0,0.00786912,0.926377,7.12
BTB 02800,0.987591,0.62973,0,0.538114,0.987591,0.17
BTB 02837,0.972459,-0.180005,0,0.858276,0.972459,1.71
BTB 03305,0.974591,-0.0670324,0,0.94657,0.974591,1.37
BTB 03433,0.986835,0.591391,0,0.55583,0.986835,-0.06
BTB 03574,0.972252,-0.194721,0,0.845786,0.972252,1.54
BTB 03608,0.983544,0.417351,0,0.677572,0.983544,0.28
BTB 03925,0.987337,0.620605,0,0.534912,0.987337,-0.11
BTB 04194,0.980609,0.256363,0,0.797852,0.980609,0.69
BTB 04231,0.976744,0.0505889,0,0.92281,0.976744,1.2
BTB 04275,0.960818,-0.81083,0,0.417466,0.960818,3.08
BTB 04463,0.0988055,-47.3466,0,0,0.0988055,98.66
BTB 04719,0.915389,-3.26449,0,0.00117143,0.915389,8.43
BTB 04953,0.96834,-0.404477,0,0.685918,0.96834,2.79
BTB 05020,0.923246,-2.83841,0,0.00453434,0.923246,7.98
BTB 05066,0.983684,0.430553,0,0.687072,0.983684,1.54
BTB 05122,0.982615,0.365884,0,0.714504,0.982615,1.83
BTB 05144,0.983383,0.411693,0,0.688786,0.983383,1.88
BTB 05336,0.968636,-0.392323,0,0.69893,0.968636,3.59
BTB 05340,0.925098,-2.73568,0,0.0066847,0.925098,8.43
BTB 05419,0.969276,-0.352304,0,0.72597,0.969276,3.65
BTB 05486,0.0912723,-47.7502,0,0,0.0912723,99.63
BTB 05499,0.927074,-2.62434,0,0.0133916,0.927074,8.31
BTB 05661,0.952741,-1.24356,0,0.218996,0.952741,5.53
BTB 05727,0.95914,-0.949892,1,0.0732072,0.95914,4.82
BTB 06084,0.9687,-0.376422,0,0.676744,0.9687,3.81
BTB 06237,1.00088,1.3519,0,0.176773,1.00088,0.29
BTB 06387,0.993198,0.940323,0,0.355194,0.993198,1.08
BTB 06428,0.924589,-2.76587,0,0.00567714,0.924589,8.49
BTB 06691,0.955094,-1.12078,0,0.263066,0.955094,5.02
BTB 06791,0.966033,-0.530461,0,0.59634,0.966033,3.65
BTB 07002,0.104091,-47.0787,0,0,0.104091,98.16
BTB 07082,0.968076,-0.416338,0,0.680072,0.968076,3.08
BTB 07328,0.964025,-0.637026,0,0.524348,0.964025,3.36
BTB 07385,0.367819,-32.7885,0,0,0.367819,69.02
BTB 07880,0.970404,-0.29241,0,0.7703,0.970404,2.39
