supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.932086,-0.0376906,0,0.804512,0.932086,6.19
AW 00421,0.904448,-0.50575,0,0.617092,0.904448,9.43
AW 00430,0.888253,-0.784163,0,0.439836,0.888253,11.42
AW 00475,0.64793,-4.92971,0,1.54842e-05,0.64793,38.25
AW 00480,0.901343,-0.567629,0,0.58912,0.901343,10.41
AW 00519,0.987444,0.913308,0,0.369302,0.987444,1.13
AW 00564,0.966049,0.552388,0,0.582046,0.966049,3.68
AW 00594,0.97035,0.606202,0,0.584802,0.97035,3.47
AW 00603,0.970849,0.642028,0,0.521508,0.970849,3.57
AW 00637,0.920109,-0.237944,0,0.814194,0.920109,9.32
AW 00845,0.87999,-0.929713,0,0.367492,0.87999,13.88
BR 00082,0.456369,-8.04047,0,9.34658e-09,0.456369,59.9
BTB 00693,0.665022,-4.58814,0,5.76894e-06,0.665022,37.53
BTB 00803,0.949981,0.281035,0,0.778706,0.949981,6.76
BTB 01259,0.834098,-1.70767,0,0.0894644,0.834098,19.46
BTB 01345,0.29955,-10.8631,0,6.46112e-27,0.29955,77.38
BTB 01397,0.96758,0.579093,0,0.563634,0.96758,5.35
BTB 01431,0.820904,-1.90886,0,0.0723376,0.820904,21.32
BTB 01473,0.277276,-11.2409,0,5.13426e-29,0.277276,79.94
BTB 01480,0.946658,0.21522,0,0.832378,0.946658,7.97
BTB 01594,0.458963,-8.13913,0,1.95757e-15,0.458963,60.43
BTB 02800,0.961141,0.473219,0,0.636066,0.961141,6.43
BTB 02837,0.945919,0.227708,0,0.776576,0.945919,8.06
BTB 03305,0.909129,-0.400058,0,0.704766,0.909129,12.04
BTB 03433,0.945308,0.189856,0,0.824892,0.945308,8.2
BTB 03574,0.942181,0.133332,0,0.780006,0.942181,8.6
BTB 03608,0.822866,-1.88585,0,0.0626018,0.822866,21.5
BTB 03925,0.921688,-0.217048,0,0.789596,0.921688,10.99
BTB 04194,0.878524,-0.91984,0,0.396628,0.878524,15.74
BTB 04231,0.978227,0.765835,0,0.443792,0.978227,5.18
BTB 04275,0.942413,0.170075,0,0.740386,0.942413,9.15
BTB 04463,0.102823,-14.2722,0,9.83964e-41,0.102823,98.81
BTB 04719,0.854768,-1.33686,0,0.191211,0.854768,18.77
BTB 04953,0.893254,-0.695679,0,0.489722,0.893254,14.8
BTB 05020,0.744625,-3.24288,0,0.00138295,0.744625,30.74
BTB 05066,0.974451,0.712893,0,0.487392,0.974451,6.49
BTB 05122,0.909164,-0.431981,0,0.678094,0.909164,13.45
BTB 05144,0.919194,-0.220007,0,0.64217,0.919194,12.51
BTB 05336,0.996845,1.08903,0,0.2782,0.996845,4.27
BTB 05340,0.246929,-11.7847,0,1.83236e-29,0.246929,83.66
BTB 05419,0.863522,-1.19392,0,0.234132,0.863522,18.44
BTB 05486,0.100287,-14.297,0,5.96953e-43,0.100287,99.19
BTB 05499,0.742111,-3.27684,0,0.00104977,0.742111,31.3
BTB 05661,0.746453,-3.20312,0,0.00136043,0.746453,30.85
BTB 05727,0.226374,-12.1698,0,2.66014e-28,0.226374,85.79
BTB 06084,0.969808,0.62321,0,0.533428,0.969808,7.29
BTB 06237,0.979755,0.80496,0,0.435532,0.979755,6.32
BTB 06387,1.01166,1.35022,0,0.188755,1.01166,2.96
BTB 06428,0.823098,-1.89601,0,0.059365,0.823098,22.83
BTB 06691,0.95291,0.325385,0,0.746774,0.95291,9.01
BTB 06791,0.60921,-5.43916,1,0.000466312,0.60921,45.48
BTB 07002,0.182076,-12.8394,0,1.97909e-35,0.182076,90.55
BTB 07082,0.477742,-7.80827,0,7.81428e-15,0.477742,59.01
BTB 07328,0.961847,0.48408,0,0.628376,0.961847,7.35
BTB 07385,0.369574,-9.4497,0,1.15334e-08,0.369574,70.6
BTB 07880,0.819627,-1.94727,0,0.0517708,0.819627,22.36
BTB 08239,0.520516,-6.99666,0,1.04397e-08,0.520516,54.33
BTB 08317,0.913344,-0.355448,0,0.726986,0.913344,12.3
BTB 08363,0.940716,0.125998,0,0.899872,0.940716,9.33
BTB 08370,0.944903,0.170091,0,0.645102,0.944903,8.79
BTB 08512,1.01478,1.3942,0,0.163917,1.01478,1.25
BTB 08537,0.975862,0.718292,0,0.475982,0.975862,5.36
BTB 08545,0.969125,0.607992,0,0.543366,0.969125,6.03
BTB 08601,0.905657,-0.513568,0,0.544722,0.905657,12.78
BTB 09041,0.890322,-0.741975,0,0.458576,0.890322,14.4
BTB 10282,0.694761,-4.13765,0,0.000706878,0.694761,35.32
