supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,1.02987,0.582222,0,0.571464,1.02987,6.31
AW 00421,0.929984,-0.831574,0,0.442374,0.929984,16.53
AW 00430,0.938173,-0.747851,0,0.52156,0.938173,15.86
AW 00475,0.908704,-1.16538,0,0.328038,0.908704,18.96
AW 00480,1.01899,0.394192,0,0.683486,1.01899,7.98
AW 00519,1.08309,1.31089,0,0.207762,1.08309,1.67
AW 00564,1.05837,1.00477,0,0.31689,1.05837,4.26
AW 00594,0.974134,-0.2108,0,0.730644,0.974134,12.87
AW 00603,1.05109,0.902674,0,0.368866,1.05109,5.26
AW 00637,1.01367,0.343937,0,0.743346,1.01367,9.15
AW 00845,0.932225,-0.842749,0,0.486274,0.932225,17.41
BR 00082,0.444783,-7.29528,0,1.47726e-10,0.444783,65.93
BTB 00693,0.744469,-3.42915,0,0.0020385,0.744469,36.28
BTB 00803,1.03152,0.634844,0,0.526772,1.03152,7.66
BTB 01259,0.840112,-2.0875,0,0.05733,0.840112,26.83
BTB 01345,0.368274,-8.69052,0,1.80347e-15,0.368274,73.9
BTB 01397,1.04726,0.834545,0,0.411286,1.04726,6.4
BTB 01431,0.811262,-2.61148,0,0.069936,0.811262,30.03
BTB 01473,0.302978,-9.64897,0,7.0581e-18,0.302978,80.53
BTB 01480,1.02662,0.536183,0,0.602724,1.02662,8.63
BTB 01594,0.389653,-8.57973,0,7.24762e-12,0.389653,71.96
BTB 02800,1.04235,0.757225,0,0.460484,1.04235,6.94
BTB 02837,1.0358,0.645988,0,0.541642,1.0358,7.53
BTB 03305,0.757378,-3.69315,1,0.228844,0.757378,35.43
BTB 03433,1.02578,0.531242,0,0.603156,1.02578,8.5
BTB 03574,0.999088,0.151567,0,0.795946,0.999088,11.19
BTB 03608,0.860753,-1.70604,0,0.088506,0.860753,24.95
BTB 03925,0.967423,-0.315579,0,0.692232,0.967423,14.42
BTB 04194,0.960614,-0.403553,0,0.707422,0.960614,15.12
BTB 04231,1.05079,0.916004,0,0.359664,1.05079,6.14
BTB 04275,0.984028,-0.0457833,0,0.841194,0.984028,12.82
BTB 04463,0.110006,-12.5764,0,3.24074e-24,0.110006,99.79
BTB 04719,0.87847,-1.59284,0,0.187543,0.87847,23.43
BTB 04953,0.962365,-0.389199,0,0.686504,0.962365,15.19
