supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.973966,-0.292459,0,0.770278,0.973966,1.83
AW 00421,0.979623,0.00395831,0,0.873234,0.979623,1.27
AW 00430,0.94561,-1.77634,0,0.0891524,0.94561,5.1
AW 00475,0.876921,-5.37276,0,9.35186e-08,0.876921,12.77
AW 00480,0.952783,-1.40138,0,0.162573,0.952783,4.43
AW 00519,0.986441,0.361019,0,0.724744,0.986441,0.76
AW 00564,0.972686,-0.359226,0,0.722852,0.972686,2.34
AW 00594,0.974215,-0.278114,0,0.57549,0.974215,2.23
AW 00603,0.98073,0.0614763,0,0.950982,0.98073,1.55
AW 00637,0.985713,0.322929,0,0.752858,0.985713,1.04
AW 00845,0.947198,-1.69399,0,0.0902776,0.947198,5.33
BR 00082,0.963778,-0.825723,0,0.411164,0.963778,3.52
BTB 00693,0.945572,-1.77857,0,0.0807408,0.945572,5.55
BTB 00803,0.971685,-0.4118,0,0.68164,0.971685,2.62
BTB 01259,0.961343,-0.953726,0,0.342908,0.961343,3.69
BTB 01345,0.942233,-1.95363,0,0.0519462,0.942233,5.72
BTB 01397,0.992779,0.693158,0,0.51509,0.992779,0.03
BTB 01431,0.96157,-0.941675,0,0.346978,0.96157,3.35
BTB 01473,0.96025,-1.00974,0,0.346128,0.96025,3.35
BTB 01480,0.967945,-0.605262,0,0.393038,0.967945,2.34
BTB 01594,0.912711,-3.49849,0,0.00091051,0.912711,8.31
BTB 02800,0.983681,0.216752,0,0.770526,0.983681,0.25
BTB 02837,0.96981,-0.510581,0,0.61408,0.96981,1.66
BTB 03305,0.976017,-0.185272,0,0.853016,0.976017,0.87
BTB 03433,0.990655,0.581599,0,0.569782,0.990655,-0.82
BTB 03574,0.968297,-0.588469,0,0.582298,0.968297,1.66
BTB 03608,0.975429,-0.215896,0,0.829356,0.975429,0.87
BTB 03925,0.987863,0.435356,0,0.668002,0.987863,-0.48
BTB 04194,0.977825,-0.0903367,0,0.92417,0.977825,0.7
BTB 04231,0.978637,-0.0483844,0,0.910028,0.978637,0.7
BTB 04275,0.964094,-0.808714,0,0.436594,0.964094,2.45
BTB 04463,0.091684,-46.4812,0,0,0.091684,99.69
BTB 04719,0.923489,-2.93464,0,0.00401522,0.923489,7.3
BTB 04953,0.960231,-1.0115,0,0.313092,0.960231,3.41
BTB 05020,0.912019,-3.53548,0,0.00041426,0.912019,8.93
BTB 05066,0.971049,-0.444972,0,0.659262,0.971049,2.56
BTB 05122,0.987501,0.416656,0,0.689166,0.987501,0.87
BTB 05144,0.981143,0.0829608,0,0.93397,0.981143,1.66
BTB 05336,0.966346,-0.691292,0,0.491208,0.966346,3.35
BTB 05340,0.920107,-3.1122,0,0.00185769,0.920107,8.48
BTB 05419,0.963707,-0.829929,0,0.408376,0.963707,3.69
BTB 05486,0.0982225,-46.1379,0,0,0.0982225,99.07
BTB 05499,0.92081,-3.07553,0,0.00212336,0.92081,8.43
BTB 05661,0.946495,-1.73018,0,0.0916406,0.946495,5.61
BTB 05727,1.00192,1.17147,0,0.25482,1.00192,-0.48
BTB 06084,0.967818,-0.613394,0,0.57454,0.967818,3.3
BTB 06237,0.994459,0.78024,0,0.43525,0.994459,0.37
BTB 06387,0.988569,0.472908,0,0.663148,0.988569,0.99
BTB 06428,0.91987,-3.12528,0,0.00249834,0.91987,8.48
BTB 06691,0.956171,-1.22464,0,0.227848,0.956171,4.37
BTB 06791,0.964113,-0.808436,0,0.418844,0.964113,3.35
BTB 07002,0.116643,-45.1759,0,0,0.116643,96.98
BTB 07082,0.961707,-0.933692,0,0.36963,0.961707,3.35
