supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.95525,0.37315,0,0.709092,0.95525,5.66
AW 00421,0.976889,0.62463,0,0.532214,0.976889,3.51
AW 00430,0.944498,0.245381,0,0.806752,0.944498,6.73
AW 00475,0.347772,-6.6642,0,3.69754e-11,0.347772,65.8
AW 00480,0.732329,-2.20373,0,0.027661,0.732329,27.72
AW 00519,0.988834,0.763713,0,0.445074,0.988834,2.33
AW 00564,0.94626,0.272182,0,0.785606,0.94626,6.54
AW 00594,0.970308,0.555068,0,0.581356,0.970308,4.15
AW 00603,1.00155,0.9004,0,0.375128,1.00155,1.09
AW 00637,0.970006,0.551571,0,0.583732,0.970006,4.18
AW 00845,0.913463,-0.124752,0,0.786912,0.913463,9.82
BR 00082,0.0601725,-10.0218,0,3.17878e-21,0.0601725,94.32
BTB 00693,0.620747,-3.48223,0,0.000745456,0.620747,38.74
BTB 00803,0.939732,0.199744,0,0.84231,0.939732,7.18
BTB 01259,0.869789,-0.609324,0,0.544272,0.869789,14.11
BTB 01345,0.220522,-8.12785,0,4.55902e-16,0.220522,78.38
BTB 01397,0.987753,0.752913,0,0.451918,0.987753,2.43
BTB 01431,0.777955,-1.70938,0,0.136659,0.777955,23.26
BTB 01473,0.154479,-8.93054,0,5.75054e-17,0.154479,84.99
BTB 01480,0.867632,-0.654517,0,0.52681,0.867632,14.35
BTB 01594,0.165909,-8.7866,0,3.40314e-17,0.165909,83.83
BTB 02800,0.901777,-0.251357,0,0.802908,0.901777,10.96
BTB 02837,0.886429,-0.410778,0,0.687436,0.886429,12.45
BTB 03305,0.470795,-5.24575,0,2.79508e-07,0.470795,53.63
BTB 03433,0.990353,0.777167,0,0.437902,0.990353,2.19
BTB 03574,0.91128,-0.138511,0,0.890092,0.91128,10.01
BTB 03608,0.785076,-1.58614,0,0.117557,0.785076,22.49
BTB 03925,0.941643,0.221727,0,0.825184,0.941643,6.99
BTB 04194,0.731292,-2.21033,0,0.0284754,0.731292,27.81
BTB 04231,0.951458,0.337473,0,0.73775,0.951458,6.02
BTB 04275,0.941013,0.226225,0,0.772676,0.941013,7.04
BTB 04463,0.020999,-10.4896,0,4.06046e-22,0.020999,98.22
BTB 04719,0.881265,-0.487886,0,0.627468,0.881265,12.99
BTB 04953,0.898031,-0.276236,0,0.786926,0.898031,11.3
BTB 05020,0.704486,-2.5254,0,0.0116588,0.704486,30.47
BTB 05066,0.945044,0.26544,0,0.793416,0.945044,6.65
BTB 05122,0.913819,-0.0909483,0,0.800556,0.913819,9.73
BTB 05144,0.952977,0.364277,0,0.726774,0.952977,5.85
BTB 05336,0.964785,0.497555,0,0.627866,0.964785,4.69
BTB 05340,0.39076,-6.14545,0,1.92641e-09,0.39076,61.51
BTB 05419,0.790037,-1.52787,0,0.132626,0.790037,21.99
BTB 05486,0.0019451,-10.696,0,4.36056e-24,0.0019451,100.08
BTB 05499,0.663124,-2.94007,0,0.0396584,0.663124,34.46
BTB 05661,0.00245821,-10.6907,0,5.22246e-24,0.00245821,100.04
BTB 05727,0.153011,-8.85364,0,2.3974e-15,0.153011,84.97
BTB 06084,1.01075,1.00991,0,0.316022,1.01075,0.17
BTB 06237,0.911206,-0.13117,0,0.895946,0.911206,10.01
BTB 06387,0.967581,0.521088,0,0.603252,0.967581,4.43
BTB 06428,0.864001,-0.67899,0,0.497708,0.864001,14.68
BTB 06691,0.987124,0.740683,0,0.459338,0.987124,2.5
BTB 06791,0.615202,-3.54187,0,0.000756522,0.615202,39.28
BTB 07002,0.000717959,-10.7121,0,5.22246e-24,0.000717959,100.21
BTB 07082,0.359261,-6.55344,0,8.0929e-10,0.359261,64.7
BTB 07328,0.952957,0.348743,0,0.727324,0.952957,5.88
BTB 07385,0.0145722,-10.5542,0,3.97492e-23,0.0145722,98.84
BTB 07880,0.862119,-0.689252,0,0.504624,0.862119,14.85
BTB 08239,0.7817,-1.63791,0,0.102074,0.7817,22.84
BTB 08317,0.888153,-0.398534,0,0.6909,0.888153,12.29
BTB 08363,0.957091,0.408959,0,0.690876,0.957091,5.45
BTB 08370,0.95703,0.405622,0,0.690364,0.95703,5.46
BTB 08512,0.990816,0.798462,0,0.435888,0.990816,2.11
BTB 08537,0.995066,0.832383,0,0.40575,0.995066,1.72
BTB 08545,1.00352,0.922667,0,0.364182,1.00352,0.89
BTB 08601,1.01848,1.12298,0,0.28227,1.01848,-0.63
BTB 09041,0.994282,0.821973,0,0.41232,0.994282,1.8
BTB 10282,0.521714,-4.65132,0,3.99438e-06,0.521714,48.58
BTB 10320,0.13161,-9.15471,0,6.83178e-20,0.13161,87.18
BTB 10323,0.640355,-3.2296,0,0.00615944,0.640355,36.76
BTB 10396,0.923645,0.0208225,0,0.826878,0.923645,8.76
BTB 10539,0.753123,-1.91947,0,0.137015,0.753123,25.59
BTB 10705,-0.00346655,-10.7596,0,2.7119e-24,-0.00346655,100.62
XBX 00150,0.150713,-8.96092,0,6.01822e-18,0.150713,85.34
BTB 11052,0.939325,0.212026,0,0.702176,0.939325,7.19
BTB 11704,1.00052,0.907209,0,0.370364,1.00052,1.16
BTB 11781,0.742902,-2.06957,0,0.0444768,0.742902,26.65
BTB 11850,0.935996,0.164351,0,0.821312,0.935996,7.54
BTB 12055,0.871801,-0.576258,0,0.57859,0.871801,13.89
BTB 12761,0.448372,-5.48432,0,5.6052e-08,0.448372,55.82
BTB 12931,0.00460225,-10.6615,0,3.17786e-24,0.00460225,99.82
BTB 13088,0.948735,0.309978,0,0.761098,0.948735,6.28
BTB 13588,1.00639,0.964238,0,0.335232,1.00639,-1.72
BTB 13702,0.820398,-1.20113,0,0.24509,0.820398,17.05
BTB 13761,0.960551,0.427102,0,0.672848,0.960551,2.9
BTB 13763,0.998811,0.877524,0,0.38027,0.998811,-0.96
BTB 13765,1.00099,0.902974,0,0.366582,1.00099,-1.18
BTB 13845,0.985479,0.730943,0,0.468014,0.985479,0.39
BTB 14058,0.984885,0.712412,0,0.477858,0.984885,0.45
BTB 14154,0.0710179,-9.88275,0,1.21064e-21,0.0710179,92.69
BTB 14688,0.0741897,-9.82988,0,1.39354e-22,0.0741897,92.38
BTB 14851,0.898156,-0.288401,0,0.773158,0.898156,9.2
BTB 14852,0.905392,-0.208021,0,0.835906,0.905392,8.47
BTB 14910,0.94945,0.302747,0,0.762784,0.94945,4.03
BTBG 00025,0.504956,-5.02021,1,0.0370754,0.504956,48.85
CD 00707,0.995143,0.839097,0,0.402108,0.995143,-0.58
CD 00752,0.847507,-0.85255,0,0.423598,0.847507,14.32
CD 00756,0.576767,-3.99993,0,7.06988e-05,0.576767,41.65
CD 00758,0.668253,-2.9533,0,0.0032988,0.668253,32.41
CD 00759,0.518585,-4.70832,0,1.31361e-05,0.518585,47.51
