supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.953611,0.419319,0,0.678826,0.953611,7.79
AW 00421,0.911601,-0.217909,0,0.831228,0.911601,11.82
AW 00430,0.863353,-0.936467,0,0.372366,0.863353,16.53
AW 00475,0.817748,-1.62452,0,0.109645,0.817748,20.92
AW 00480,0.945108,0.292524,0,0.776276,0.945108,8.62
AW 00519,1.01142,1.28747,0,0.198305,1.01142,2.19
AW 00564,0.981551,0.837636,0,0.402276,0.981551,5.08
AW 00594,0.898404,-0.416543,0,0.684126,0.898404,13.09
AW 00603,0.952289,0.400446,0,0.69668,0.952289,7.92
AW 00637,0.926375,0.00913474,0,0.896748,0.926375,10.42
AW 00845,0.804163,-1.83154,0,0.067037,0.804163,22.22
BR 00082,0.201461,-10.8857,0,1.61069e-23,0.201461,80.54
BTB 00693,0.479496,-6.72827,0,2.401e-09,0.479496,53.51
BTB 00803,0.949833,0.362439,0,0.720318,0.949833,8.15
BTB 01259,0.750194,-2.65024,0,0.0163105,0.750194,27.39
BTB 01345,0.165812,-11.4409,0,1.03909e-28,0.165812,83.86
BTB 01397,0.974367,0.732501,0,0.474962,0.974367,5.79
BTB 01431,0.664274,-3.9243,0,0.00101323,0.664274,35.81
BTB 01473,0.117544,-12.165,0,4.42834e-33,0.117544,88.54
BTB 01480,0.916587,-0.140457,0,0.888372,0.916587,11.35
BTB 01594,0.131106,-11.9659,0,2.77182e-30,0.131106,87.2
BTB 02800,0.938567,0.193796,0,0.830858,0.938567,9.25
BTB 02837,0.929049,0.0455618,0,0.88695,0.929049,10.14
BTB 03305,0.755181,-2.56916,0,0.0103331,0.755181,26.94
BTB 03433,0.971812,0.693769,0,0.496754,0.971812,6.04
BTB 03574,0.901513,-0.361783,0,0.733886,0.901513,12.84
BTB 03608,0.762811,-2.45113,0,0.0156673,0.762811,26.23
BTB 03925,0.857413,-1.03076,0,0.302996,0.857413,17.07
BTB 04194,0.853736,-1.08111,0,0.303508,0.853736,17.46
BTB 04231,0.963979,0.576334,0,0.574808,0.963979,6.8
