supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.982371,0.323489,0,0.746602,0.982371,1.14
AW 00421,0.982362,0.333856,0,0.744352,0.982362,1.2
AW 00430,0.956642,-0.960025,0,0.393186,0.956642,4.11
AW 00475,0.884876,-4.43217,0,1.9296e-05,0.884876,12.13
AW 00480,0.952478,-1.14469,0,0.26349,0.952478,4.69
AW 00519,0.977261,0.0704985,0,0.943822,0.977261,2
AW 00564,0.972072,-0.165265,0,0.825368,0.972072,2.64
AW 00594,0.981359,0.291492,0,0.762166,0.981359,1.67
AW 00603,0.989173,0.620132,0,0.579892,0.989173,0.84
AW 00637,0.998864,1.11413,0,0.268172,0.998864,-0.18
AW 00845,0.957267,-0.915174,0,0.376738,0.957267,4.46
BR 00082,0.971935,-0.178703,0,0.859136,0.971935,2.86
BTB 00693,0.947238,-1.42149,0,0.220258,0.947238,5.59
BTB 00803,0.980934,0.235418,0,0.815276,0.980934,1.83
BTB 01259,0.961694,-0.683856,0,0.494078,0.961694,3.89
BTB 01345,0.936793,-1.89346,0,0.0583372,0.936793,6.58
BTB 01397,0.994069,0.898944,0,0.375184,0.994069,0.18
BTB 01431,0.962912,-0.619065,0,0.537216,0.962912,3.55
BTB 01473,0.948729,-1.31185,0,0.189623,0.948729,5.04
BTB 01480,0.990167,0.701663,0,0.48328,0.990167,0.35
BTB 01594,0.913575,-3.0491,0,0.0050899,0.913575,8.75
BTB 02800,0.99339,0.864068,0,0.391866,0.99339,-0.22
BTB 02837,0.971104,-0.255398,0,0.661374,0.971104,2.17
BTB 03305,0.977144,0.0611716,0,0.93077,0.977144,1.44
BTB 03433,0.985611,0.473909,0,0.636184,0.985611,0.46
BTB 03574,0.976304,0.0357805,0,0.877142,0.976304,1.5
BTB 03608,0.981162,0.267313,0,0.79,0.981162,0.98
BTB 03925,0.980961,0.278395,0,0.690608,0.980961,1.05
BTB 04194,0.985772,0.494012,0,0.624312,0.985772,0.58
BTB 04231,0.975337,-0.0232578,0,0.972216,0.975337,1.84
BTB 04275,0.962901,-0.596285,0,0.589124,0.962901,3.34
BTB 04463,0.111983,-42.1156,0,0,0.111983,97.83
BTB 04719,0.92623,-2.43733,0,0.0282978,0.92623,7.72
BTB 04953,0.97186,-0.21268,0,0.726004,0.97186,2.86
BTB 05020,0.923725,-2.54058,0,0.0129812,0.923725,8.36
BTB 05066,0.987669,0.558795,0,0.592728,0.987669,1.49
BTB 05122,0.986881,0.543987,0,0.587394,0.986881,1.72
BTB 05144,0.993316,0.829214,0,0.435888,0.993316,1.14
BTB 05336,0.978547,0.113704,0,0.742336,0.978547,2.86
BTB 05340,0.934738,-1.99231,0,0.0463382,0.934738,7.73
BTB 05419,0.970086,-0.262036,0,0.79807,0.970086,3.9
BTB 05486,0.520246,-22.0049,0,0,0.520246,53.24
BTB 05499,0.930833,-2.15496,0,0.0463056,0.930833,8.26
BTB 05661,0.947302,-1.3613,0,0.19605,0.947302,6.48
BTB 05727,1.00088,1.25428,0,0.277212,1.00088,0.65
BTB 06084,0.963713,-0.592543,0,0.55599,0.963713,4.75
BTB 06237,0.996261,1.00515,0,0.321142,0.996261,1.21
BTB 06387,0.979451,0.175866,0,0.860536,0.979451,3.04
BTB 06428,0.923015,-2.57853,0,0.0127185,0.923015,9.16
BTB 06691,0.962796,-0.638101,0,0.526864,0.962796,4.7
BTB 06791,0.976142,0.0179931,0,0.985644,0.976142,3.1
BTB 07002,0.132746,-40.9798,0,0,0.132746,95.65
BTB 07082,0.97419,-0.0762856,0,0.939194,0.97419,3.04
