supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.561855,-11.9331,0,1.78564e-19,0.561855,47.86
AW 00421,0.647479,-9.43772,0,7.01028e-20,0.647479,39.36
AW 00430,0.574939,-11.4837,0,9.7443e-23,0.574939,48
AW 00475,0.358265,-17.2686,0,0,0.358265,72.03
AW 00480,0.616841,-10.2841,0,6.64386e-22,0.616841,45.23
AW 00519,0.903006,-2.60713,0,0.0122696,0.903006,16.31
AW 00564,0.711956,-7.73262,0,4.66744e-13,0.711956,37.26
AW 00594,0.624949,-10.0918,0,6.89908e-20,0.624949,47.09
AW 00603,0.841555,-4.29331,0,0.000296968,0.841555,26.31
AW 00637,0.863903,-3.67554,0,0.00105195,0.863903,25.2
AW 00845,0.760404,-6.42949,0,1.31232e-09,0.760404,36.31
BR 00082,0.178539,-22.1619,0,0,0.178539,93.28
BTB 00693,0.321803,-18.3216,0,0,0.321803,79.92
BTB 00803,0.808433,-5.20401,0,2.92338e-05,0.808433,34.52
BTB 01259,0.561749,-11.7662,0,6.19544e-28,0.561749,58.11
BTB 01345,0.135068,-23.2405,0,0,0.135068,97.93
BTB 01397,0.970494,-0.8692,0,0.435368,0.970494,21.45
BTB 01431,0.673551,-8.7652,0,3.10578e-16,0.673551,48.71
BTB 01473,0.117673,-23.7363,0,0,0.117673,99.61
BTB 01480,0.838745,-4.37029,0,0.000244038,0.838745,32.56
BTB 01594,0.212627,-21.1941,0,0,0.212627,90.44
BTB 02800,0.802239,-5.29682,0,2.78044e-07,0.802239,33.74
BTB 02837,0.711058,-7.82654,0,9.79406e-11,0.711058,41.49
BTB 03305,0.567376,-11.5945,0,2.19024e-28,0.567376,54.56
BTB 03433,0.910757,-2.48041,0,0.11791,0.910757,19.97
BTB 03574,0.783994,-5.82437,0,2.32366e-07,0.783994,31.67
BTB 03608,0.29035,-19.2905,0,0,0.29035,81.19
BTB 03925,0.751738,-6.70216,0,5.53686e-09,0.751738,33.35
BTB 04194,0.630401,-9.81866,0,9.26786e-21,0.630401,45.17
BTB 04231,0.822038,-4.81116,0,3.25602e-05,0.822038,25.2
