supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.978557,0.132159,0,0.895028,0.978557,2.25
AW 00421,0.985511,0.467324,0,0.640268,0.985511,1.51
AW 00430,0.952136,-1.11802,0,0.269722,0.952136,5.22
AW 00475,0.876913,-4.71943,0,2.36544e-06,0.876913,13.54
AW 00480,0.95376,-1.04941,0,0.293996,0.95376,5.1
AW 00519,0.992377,0.792669,0,0.428532,0.992377,0.88
AW 00564,0.978201,0.122617,0,0.902734,0.978201,2.48
AW 00594,0.979611,0.166881,0,0.7327,0.979611,2.36
AW 00603,0.984056,0.385969,0,0.706438,0.984056,1.9
AW 00637,0.998848,1.09523,0,0.280346,0.998848,0.31
AW 00845,0.965401,-0.499072,0,0.619846,0.965401,4.02
BR 00082,0.970747,-0.226111,0,0.825204,0.970747,3.45
BTB 00693,0.963151,-0.617155,0,0.555938,0.963151,4.3
BTB 00803,0.988494,0.603892,0,0.548372,0.988494,1.51
BTB 01259,0.975369,-0.0150435,0,0.970544,0.975369,2.93
BTB 01345,0.95601,-0.967589,0,0.386876,0.95601,5.04
BTB 01397,0.987282,0.574308,0,0.597802,0.987282,1.57
BTB 01431,0.962605,-0.619734,0,0.538794,0.962605,4.25
BTB 01473,0.96277,-0.645327,0,0.566738,0.96277,4.18
BTB 01480,0.974854,-0.095901,0,0.316328,0.974854,2.81
BTB 01594,0.928999,-2.27059,0,0.0618134,0.928999,7.83
BTB 02800,0.99649,0.995478,0,0.320632,0.99649,0.37
BTB 02837,0.981893,0.301785,0,0.764874,0.981893,1.97
BTB 03305,0.976769,0.0403984,0,0.861406,0.976769,2.53
BTB 03433,0.991876,0.781262,0,0.442316,0.991876,0.88
BTB 03574,0.977035,0.0662968,0,0.944684,0.977035,2.53
BTB 03608,0.983389,0.36761,0,0.713284,0.983389,1.85
BTB 03925,0.98825,0.593317,0,0.554604,0.98825,1.34
BTB 04194,0.978261,0.103715,0,0.748406,0.978261,2.47
BTB 04231,0.97313,-0.122385,0,0.902636,0.97313,3.1
BTB 04275,0.958981,-0.804304,0,0.422854,0.958981,4.76
BTB 04463,0.0949648,-42.1835,0,0,0.0949648,99.8
BTB 04719,0.936498,-1.87007,0,0.062049,0.936498,7.5
BTB 04953,0.975867,0.011863,0,0.92468,0.975867,3.33
BTB 05020,0.915675,-2.85172,0,0.00624168,0.915675,10.07
BTB 05066,0.987158,0.560094,0,0.588196,0.987158,2.37
BTB 05122,1.00051,1.19172,0,0.238268,1.00051,1
BTB 05144,0.987494,0.565355,0,0.572532,0.987494,2.48
BTB 05336,0.97423,-0.0567051,0,0.784874,0.97423,3.96
BTB 05340,0.923166,-2.5107,0,0.0120502,0.923166,9.55
BTB 05419,0.955093,-0.980347,0,0.329096,0.955093,6.07
BTB 05486,0.100875,-41.8868,0,0,0.100875,99.23
BTB 05499,0.915003,-2.87734,0,0.00758988,0.915003,10.47
BTB 05661,0.929931,-2.19187,0,0.0289608,0.929931,8.86
BTB 05727,0.9925,0.803848,0,0.422042,0.9925,2.08
BTB 06084,0.97031,-0.246276,0,0.810434,0.97031,4.53
BTB 06237,0.990899,0.730877,0,0.467762,0.990899,2.31
BTB 06387,0.978696,0.161764,0,0.715932,0.978696,3.62
BTB 06428,0.923748,-2.49947,0,0.0168205,0.923748,9.54
BTB 06691,0.975089,-0.0401242,0,0.856936,0.975089,3.84
BTB 06791,0.975485,-0.0223559,0,0.840724,0.975485,3.67
BTB 07002,0.100587,-41.8896,0,0,0.100587,99.24
BTB 07082,0.963987,-0.570019,0,0.574426,0.963987,4.7
BTB 07328,0.971086,-0.231105,0,0.81999,0.971086,3.84
BTB 07385,0.410529,-26.5239,0,0,0.410529,65.31
BTB 07880,0.975554,-0.0245044,0,0.762384,0.975554,3.27
BTB 08239,0.934312,-1.96608,0,0.054901,0.934312,7.78
BTB 08317,0.993502,0.853051,0,0.394914,0.993502,1.28
BTB 08363,0.990814,0.733542,0,0.47581,0.990814,1.57
BTB 08370,0.990206,0.683851,0,0.498544,0.990206,1.62
BTB 08512,0.99683,1.02064,0,0.320528,0.99683,0.88
BTB 08537,0.976401,0.0292837,0,0.95584,0.976401,3.1
BTB 08545,0.965746,-0.484651,0,0.631662,0.965746,4.24
BTB 08601,0.949273,-1.25179,0,0.221258,0.949273,6.02
BTB 09041,0.969211,-0.328845,0,0.7553,0.969211,3.78
BTB 10282,0.880098,-4.5804,0,7.79622e-06,0.880098,13.54
BTB 10320,0.707664,-12.6264,0,4.74626e-21,0.707664,32.46
BTB 10323,0.968477,-0.365761,0,0.731924,0.968477,3.73
BTB 10396,0.942492,-1.60271,0,0.123354,0.942492,6.47
BTB 10539,1.01812,1.9865,0,0.10475,1.01812,-1.98
BTB 10705,0.0863134,-42.6116,0,0,0.0863134,100.71
XBX 00150,0.638299,-16.0554,0,0,0.638299,39.73
BTB 11052,0.980175,0.219888,0,0.827546,0.980175,1.85
BTB 11704,1.0063,1.4824,0,0.170713,1.0063,-1.17
BTB 11781,0.981434,0.283047,0,0.781136,0.981434,1.45
