supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.99493,0.0778627,0,0.674364,0.99493,7.26
AW 00421,0.920135,-1.02015,0,0.316922,0.920135,15.13
AW 00430,0.89284,-1.41854,0,0.159845,0.89284,18.03
AW 00475,0.861777,-1.89422,0,0.0607588,0.861777,21.34
AW 00480,0.989234,-0.0387701,0,0.925462,0.989234,8.16
AW 00519,1.05462,0.903094,0,0.369938,1.05462,1.45
AW 00564,1.01652,0.36456,0,0.720902,1.01652,5.48
AW 00594,0.97413,-0.249647,0,0.805028,0.97413,9.95
AW 00603,1.01316,0.310484,0,0.758738,1.01316,5.96
AW 00637,0.980922,-0.167313,0,0.867128,0.980922,9.35
AW 00845,0.919384,-1.0456,0,0.296564,0.919384,15.76
BR 00082,0.437532,-8.13008,0,1.6024e-11,0.437532,65.67
BTB 00693,0.691432,-4.23957,0,0.000298462,0.691432,39.41
BTB 00803,1.00585,0.213133,0,0.83062,1.00585,6.82
BTB 01259,0.785778,-2.93456,0,0.00523424,0.785778,29.57
BTB 01345,0.295832,-10.0135,0,1.65422e-23,0.295832,80.31
BTB 01397,1.00284,0.156413,0,0.876226,1.00284,7.01
BTB 01431,0.8494,-2.04622,0,0.0417316,0.8494,22.91
BTB 01473,0.273349,-10.3111,0,1.85489e-24,0.273349,82.63
BTB 01480,1.00403,0.195661,0,0.768592,1.00403,6.85
BTB 01594,0.370064,-8.86925,0,1.18793e-16,0.370064,72.56
BTB 02800,1.02079,0.428131,0,0.67619,1.02079,5.01
BTB 02837,0.98964,-0.0238762,0,0.858046,0.98964,8.2
BTB 03305,0.699279,-4.50695,0,0.0411594,0.699279,38.38
BTB 03433,1.00979,0.296617,0,0.651968,1.00979,6.05
BTB 03574,0.968028,-0.297472,0,0.615554,0.968028,10.37
BTB 03608,0.784081,-2.95178,0,0.00582596,0.784081,29.48
BTB 03925,0.913656,-1.08072,0,0.33809,0.913656,16.05
BTB 04194,0.913637,-1.16139,0,0.260654,0.913637,16.11
BTB 04231,1.01706,0.391599,0,0.71588,1.01706,5.44
BTB 04275,0.94028,-0.689745,0,0.559058,0.94028,13.49
BTB 04463,0.113462,-12.7663,0,1.35427e-30,0.113462,99.22
BTB 04719,0.870909,-1.72069,0,0.0955434,0.870909,20.86
BTB 04953,0.937309,-0.76428,0,0.462674,0.937309,14.09
BTB 05020,0.679864,-4.50245,0,7.50162e-06,0.679864,40.78
BTB 05066,1.01218,0.32489,0,0.693748,1.01218,6.55
BTB 05122,0.935544,-0.765858,0,0.499392,0.935544,14.51
BTB 05144,0.968903,-0.30183,0,0.726852,0.968903,11.08
BTB 05336,1.00484,0.196841,0,0.842542,1.00484,7.36
BTB 05340,0.274828,-10.4464,0,3.04052e-20,0.274828,82.63
BTB 05419,0.955746,-0.496494,0,0.636184,0.955746,12.42
BTB 05486,0.10139,-12.9503,0,5.09798e-31,0.10139,100.52
BTB 05499,0.821717,-2.42908,0,0.0180369,0.821717,26.25
BTB 05661,0.712176,-3.94978,0,0.000643088,0.712176,37.58
BTB 05727,0.594653,-5.23038,1,0.251346,0.594653,49.88
BTB 06084,0.959892,-0.434894,0,0.680502,0.959892,12.13
BTB 06237,1.00072,0.18924,0,0.499348,1.00072,8
BTB 06387,1.03928,0.726901,0,0.527504,1.03928,4.05
BTB 06428,0.870791,-1.70752,0,0.112541,0.870791,21.36
BTB 06691,0.974334,-0.194479,0,0.528782,0.974334,10.61
BTB 06791,0.613518,-5.24706,0,0.000346074,0.613518,47.73
BTB 07002,0.103508,-12.938,0,4.19606e-30,0.103508,100.27
BTB 07082,0.427782,-8.18795,0,4.08686e-14,0.427782,66.64
BTB 07328,0.990691,0.00305861,0,0.77157,0.990691,8.12
BTB 07385,0.119384,-12.6695,0,1.15133e-30,0.119384,98.56
BTB 07880,0.831106,-2.24641,0,0.0612022,0.831106,24.5
BTB 08239,0.674241,-4.46723,0,0.000250496,0.674241,40.79
BTB 08317,0.964215,-0.362094,0,0.685698,0.964215,10.68
BTB 08363,0.991498,0.0528559,0,0.516372,0.991498,7.86
BTB 08370,0.961497,-0.404091,0,0.709492,0.961497,10.98
BTB 08512,1.03274,0.630187,0,0.579114,1.03274,3.55
BTB 08537,1.00937,0.281459,0,0.710826,1.00937,5.95
BTB 08545,0.988572,-0.0293105,0,0.785688,0.988572,8.06
BTB 08601,0.909127,-1.19367,0,0.233212,0.909127,16.26
BTB 09041,0.920895,-0.981136,0,0.376032,0.920895,14.95
BTB 10282,0.785411,-3.0024,0,0.00353954,0.785411,29.05
BTB 10320,0.209478,-11.3357,0,4.58032e-26,0.209478,89.1
BTB 10323,0.823387,-2.39053,0,0.024749,0.823387,25.09
BTB 10396,0.957621,-0.476409,0,0.644014,0.957621,11.12
BTB 10539,1.00128,0.169924,0,0.672378,1.00128,6.57
BTB 10705,0.0969748,-13.0128,0,2.24626e-31,0.0969748,100.86
XBX 00150,0.204345,-11.4534,0,1.00372e-24,0.204345,89.66
BTB 11052,0.971878,-0.238954,0,0.589496,0.971878,9.54
BTB 11704,1.05626,0.941052,0,0.362404,1.05626,0.7
BTB 11781,0.97467,-0.234277,0,0.819194,0.97467,9.15
BTB 11850,0.877303,-1.58447,0,0.193207,0.877303,19.22
BTB 12055,0.976688,-0.206877,0,0.839358,0.976688,8.8
BTB 12761,0.797416,-2.81285,0,0.00508472,0.797416,27.5
BTB 12931,0.108158,-12.8516,0,1.35427e-30,0.108158,99.64
BTB 13088,1.01574,0.365388,0,0.728016,1.01574,4.49
BTB 13588,1.00581,0.155592,0,0.754404,1.00581,1.94
