supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.983078,0.326827,0,0.745122,0.983078,0.82
AW 00421,0.974831,-0.0185102,0,0.918998,0.974831,1.8
AW 00430,0.937008,-1.62982,0,0.127712,0.937008,6.13
AW 00475,0.865304,-4.62687,0,8.04596e-06,0.865304,14.29
AW 00480,0.943484,-1.35289,0,0.198028,0.943484,5.5
AW 00519,0.984304,0.378127,0,0.70686,0.984304,0.93
AW 00564,0.978101,0.114507,0,0.886786,0.978101,1.69
AW 00594,0.975534,-0.0267794,0,0.620752,0.975534,2.02
AW 00603,0.981443,0.254231,0,0.801406,0.981443,1.4
AW 00637,0.995094,0.818666,0,0.424694,0.995094,-0.11
AW 00845,0.954929,-0.909035,0,0.468838,0.954929,4.44
BR 00082,0.93899,-1.51786,0,0.130175,0.93899,6.26
BTB 00693,0.953973,-0.916134,0,0.388178,0.953973,4.57
BTB 00803,0.980872,0.212545,0,0.745864,0.980872,1.5
BTB 01259,0.960056,-0.664123,0,0.53616,0.960056,3.82
BTB 01345,0.912723,-2.53021,0,0.0461618,0.912723,9.14
BTB 01397,0.991482,0.674191,0,0.50522,0.991482,0.18
BTB 01431,0.953571,-0.931012,0,0.377244,0.953571,4.4
BTB 01473,0.958761,-0.659875,0,0.52055,0.958761,3.73
BTB 01480,0.985552,0.432145,0,0.666806,0.985552,0.59
BTB 01594,0.921517,-2.32784,0,0.0757104,0.921517,7.73
BTB 02800,0.992777,0.728768,0,0.471148,0.992777,-0.45
BTB 02837,0.967562,-0.342213,0,0.74363,0.967562,2.32
BTB 03305,0.969627,-0.254924,0,0.776694,0.969627,2.04
BTB 03433,0.9832,0.314501,0,0.76268,0.9832,0.47
BTB 03574,0.967862,-0.309295,0,0.75803,0.967862,2.22
BTB 03608,0.98072,0.231172,0,0.817632,0.98072,0.77
BTB 03925,0.984266,0.315346,0,0.479672,0.984266,0.4
BTB 04194,0.978823,0.130075,0,0.76904,0.978823,1.05
BTB 04231,0.972091,-0.119572,0,0.904904,0.972091,1.88
BTB 04275,0.955571,-0.823834,0,0.4117,0.955571,3.84
BTB 04463,0.101547,-36.9541,0,0,0.101547,100.65
BTB 04719,0.905996,-2.99314,0,0.025735,0.905996,9.7
BTB 04953,0.964898,-0.448792,0,0.663424,0.964898,3.19
BTB 05020,0.900096,-3.15719,0,0.00187113,0.900096,10.66
BTB 05066,0.977901,0.0981308,0,0.821448,0.977901,2.03
BTB 05122,0.981584,0.260481,0,0.796528,0.981584,1.75
BTB 05144,0.988712,0.545275,0,0.600782,0.988712,1.05
BTB 05336,0.968368,-0.332302,0,0.602642,0.968368,3.41
BTB 05340,0.873775,-4.07837,1,0.00909124,0.873775,14.09
BTB 05419,0.960211,-0.603237,0,0.553452,0.960211,4.42
BTB 05486,0.106161,-36.769,0,0,0.106161,100.24
BTB 05499,0.893607,-3.32513,0,0.00779084,0.893607,11.98
BTB 05661,0.939819,-1.47533,0,0.140128,0.939819,6.85
BTB 05727,0.997702,0.956663,0,0.340076,0.997702,0.43
BTB 06084,0.956522,-0.794587,0,0.435568,0.956522,5.1
BTB 06237,0.999748,1.04744,0,0.298796,0.999748,0.32
BTB 06387,0.980144,0.234552,0,0.818746,0.980144,2.52
BTB 06428,0.905533,-2.94671,0,0.00529604,0.905533,10.83
BTB 06691,0.957521,-0.782878,0,0.490334,0.957521,4.92
BTB 06791,0.966615,-0.383787,0,0.715438,0.966615,3.77
BTB 07002,0.105715,-36.8251,0,0,0.105715,100.29
BTB 07082,0.96711,-0.336368,0,0.736826,0.96711,3.44
BTB 07328,0.957436,-0.768843,0,0.465688,0.957436,4.41
BTB 07385,0.566691,-18.7819,1,0.089181,0.566691,48.45
BTB 07880,0.966871,-0.395329,0,0.608834,0.966871,3.19
BTB 08239,0.916588,-2.39391,0,0.0360032,0.916588,8.79
BTB 08317,0.982598,0.327057,0,0.745072,0.982598,1.31
BTB 08363,1.00075,1.0677,0,0.288018,1.00075,-0.79
BTB 08370,0.983371,0.340157,0,0.734836,0.983371,1.12
BTB 08512,1.00334,1.18717,0,0.235214,1.00334,-1.19
BTB 08537,0.980837,0.235582,0,0.814288,0.980837,1.3
BTB 08545,0.954655,-0.860898,0,0.390474,0.954655,4.19
BTB 08601,0.907966,-2.80655,0,0.00504228,0.907966,9.4
BTB 09041,0.962739,-0.51957,0,0.603706,0.962739,3.15
BTB 10282,0.852566,-5.13896,0,2.9858e-07,0.852566,15.59
BTB 10320,0.604324,-14.5413,1,1.31888e-05,0.604324,43.58
BTB 10323,0.966001,-0.400991,0,0.696284,0.966001,2.74
BTB 10396,0.944433,-1.27618,0,0.202846,0.944433,5.12
BTB 10539,0.995035,0.737837,0,0.418062,0.995035,-0.65
