supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.933953,-0.0869702,0,0.826362,0.933953,2.8
AW 00421,0.898282,-0.794109,0,0.427132,0.898282,7.15
AW 00430,0.88338,-1.03879,0,0.351226,0.88338,9.1
AW 00475,0.640796,-5.76782,0,1.08688e-08,0.640796,37.34
AW 00480,0.893022,-0.887438,0,0.37669,0.893022,8.46
AW 00519,0.989461,0.969715,0,0.333588,0.989461,-2.38
AW 00564,0.972622,0.646287,0,0.519696,0.972622,-0.17
AW 00594,0.946761,0.141313,0,0.887632,0.946761,3.04
AW 00603,0.974464,0.692513,0,0.497922,0.974464,0.12
AW 00637,0.923656,-0.294315,0,0.770134,0.923656,6.13
AW 00845,0.879866,-1.13562,0,0.261282,0.879866,11.31
BR 00082,0.652018,-5.60556,0,5.84822e-07,0.652018,37.36
BTB 00693,0.580157,-7.11445,0,3.2106e-07,0.580157,45.67
BTB 00803,0.958957,0.373727,0,0.708644,0.958957,2.92
BTB 01259,0.823348,-2.27873,0,0.0374474,0.823348,18.42
BTB 01345,0.273914,-13.0047,0,2.21216e-28,0.273914,80.5
BTB 01397,0.967723,0.58638,0,0.59973,0.967723,2.67
BTB 01431,0.835224,-2.01044,0,0.0444132,0.835224,17.81
BTB 01473,0.256858,-13.3168,0,7.91966e-31,0.256858,82.63
BTB 01480,0.93524,-0.0727232,0,0.918914,0.93524,6.91
BTB 01594,0.358868,-11.3933,0,4.99534e-20,0.358868,71.28
BTB 02800,0.957446,0.351492,0,0.725708,0.957446,4.35
BTB 02837,0.953206,0.259883,0,0.795204,0.953206,4.77
BTB 03305,0.930259,-0.174969,0,0.861174,0.930259,7.33
BTB 03433,0.947143,0.178589,0,0.732076,0.947143,5.47
BTB 03574,0.927512,-0.197018,0,0.711108,0.927512,7.74
BTB 03608,0.834943,-2.00221,0,0.0472722,0.834943,18.16
BTB 03925,0.934081,-0.0893307,0,0.868686,0.934081,7.21
BTB 04194,0.899592,-0.735884,0,0.491254,0.899592,11.13
BTB 04231,1.0072,1.32267,0,0.194837,1.0072,-0.77
BTB 04275,0.962329,0.41056,0,0.697504,0.962329,4.3
BTB 04463,0.109364,-16.1005,0,0,0.109364,99.16
BTB 04719,0.852926,-1.6573,0,0.0998154,0.852926,16.61
BTB 04953,0.889178,-0.951988,0,0.35019,0.889178,12.68
BTB 05020,0.73458,-3.94213,0,8.38752e-05,0.73458,29.89
BTB 05066,0.966373,0.54307,0,0.60149,0.966373,4.22
BTB 05122,0.919597,-0.406308,0,0.694316,0.919597,9.36
BTB 05144,0.948577,0.176983,0,0.859552,0.948577,6.02
BTB 05336,0.989136,0.947754,0,0.345654,0.989136,1.38
BTB 05340,0.234922,-13.6873,0,8.04414e-36,0.234922,85.18
BTB 05419,0.879102,-1.15964,0,0.246646,0.879102,13.34
BTB 05486,0.137686,-15.5636,0,0,0.137686,95.95
BTB 05499,0.707884,-4.46811,0,8.20474e-06,0.707884,32.21
BTB 05661,0.645112,-5.8407,0,3.86322e-05,0.645112,39.29
BTB 05727,0.43514,-9.4678,0,1.31849e-11,0.43514,62.37
BTB 06084,0.95769,0.352399,0,0.724584,0.95769,4.29
BTB 06237,0.994088,1.06056,0,0.291062,0.994088,0.29
BTB 06387,1.00929,1.34194,0,0.179872,1.00929,-1.37
BTB 06428,0.82136,-2.28748,0,0.0232524,0.82136,19.53
BTB 06691,0.943403,0.0905514,0,0.866282,0.943403,5.71
BTB 06791,0.704719,-4.52663,0,6.06674e-06,0.704719,32.21
BTB 07002,0.181695,-14.8678,0,7.0641e-33,0.181695,91
BTB 07082,0.525242,-7.92349,0,1.80038e-13,0.525242,51.95
BTB 07328,0.95917,0.391185,0,0.69823,0.95917,2.86
BTB 07385,0.430042,-10.2299,0,1.09482e-08,0.430042,62.84
BTB 07880,0.826732,-2.19215,0,0.0321852,0.826732,17.63
BTB 08239,0.610012,-6.40339,0,3.55738e-09,0.610012,42.17
BTB 08317,0.916475,-0.431871,0,0.668446,0.916475,7.38
BTB 08363,0.95567,0.337495,0,0.746048,0.95567,2.85
BTB 08370,0.933821,-0.0983757,0,0.904304,0.933821,5.24
BTB 08512,0.999207,1.15808,0,0.248438,0.999207,-2.26
BTB 08537,0.966429,0.533086,0,0.598448,0.966429,1.43
BTB 08545,0.967209,0.555758,0,0.58934,0.967209,1.31
BTB 08601,0.902547,-0.701104,0,0.48635,0.902547,8.63
BTB 09041,0.891989,-0.920802,0,0.358098,0.891989,9.83
BTB 10282,0.691171,-4.77775,0,1.89957e-06,0.691171,32.69
BTB 10320,0.162493,-15.0842,0,9.52883e-44,0.162493,92.86
BTB 10323,0.79831,-2.77173,0,0.0144852,0.79831,20.8
BTB 10396,0.950866,0.24104,0,0.812698,0.950866,3.69
BTB 10539,0.938681,-0.0342299,0,0.834114,0.938681,5.25
BTB 10705,0.0891832,-16.509,0,0,0.0891832,101.25
XBX 00150,0.189654,-14.5541,0,4.7305e-41,0.189654,89.94
BTB 11052,0.942265,0.0796812,0,0.770274,0.942265,5.17
BTB 11704,1.00966,1.3866,0,0.196651,1.00966,-2.33
BTB 11781,0.909176,-0.564081,0,0.582178,0.909176,9.05
BTB 11850,0.904936,-0.649295,0,0.523206,0.904936,9.58
BTB 12055,0.927686,-0.207599,0,0.828378,0.927686,7.08
BTB 12761,0.853398,-1.67525,0,0.0994588,0.853398,15.49
BTB 12931,0.0917989,-16.4602,0,0,0.0917989,101.02
BTB 13088,0.992191,1.04935,0,0.327862,0.992191,-0.01
BTB 13588,0.939712,-0.0144961,0,0.832864,0.939712,1.01
BTB 13702,0.812378,-2.52263,0,0.0449716,0.812378,16.32
BTB 13761,0.946198,0.0934479,0,0.689124,0.946198,1.37
BTB 13763,0.95085,0.195932,0,0.800242,0.95085,1.36
BTB 13765,0.958958,0.361323,0,0.721096,0.958958,0.96
BTB 13845,0.954633,0.279244,0,0.782184,0.954633,1.97
BTB 14058,0.97466,0.68834,0,0.494288,0.97466,0.21
