supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.977492,-0.0209423,0,0.851484,0.977492,0.88
AW 00421,0.979734,0.101221,0,0.919448,0.979734,0.77
AW 00430,0.949127,-1.54588,0,0.146841,0.949127,4.33
AW 00475,0.879433,-5.28401,0,1.48998e-07,0.879433,12.29
AW 00480,0.951511,-1.41428,0,0.158505,0.951511,4.34
AW 00519,0.983594,0.30525,0,0.77024,0.983594,0.88
AW 00564,0.971918,-0.32018,0,0.75321,0.971918,2.33
AW 00594,0.984956,0.383387,0,0.702838,0.984956,1.01
AW 00603,0.986603,0.464194,0,0.649706,0.986603,0.94
AW 00637,0.991795,0.747498,0,0.458988,0.991795,0.49
AW 00845,0.950816,-1.4512,0,0.147155,0.950816,5.15
BR 00082,0.961511,-0.878999,0,0.388962,0.961511,4.05
BTB 00693,0.949832,-1.507,0,0.147434,0.949832,5.43
BTB 00803,0.973242,-0.247917,0,0.80507,0.973242,2.85
BTB 01259,0.96117,-0.897304,0,0.379206,0.96117,4.17
BTB 01345,0.938577,-2.11081,0,0.0407626,0.938577,6.65
BTB 01397,0.988356,0.572366,0,0.599128,0.988356,1.08
BTB 01431,0.961322,-0.890779,0,0.398466,0.961322,4
BTB 01473,0.947957,-1.60363,0,0.109044,0.947957,5.39
BTB 01480,0.985594,0.417202,0,0.67718,0.985594,1.07
BTB 01594,0.913037,-3.47772,0,0.000523524,0.913037,9.02
BTB 02800,0.986037,0.438521,0,0.66372,0.986037,0.72
BTB 02837,0.973491,-0.233837,0,0.815232,0.973491,1.99
BTB 03305,0.978757,0.0460521,0,0.793398,0.978757,1.29
BTB 03433,0.983785,0.314225,0,0.703016,0.983785,0.66
BTB 03574,0.975139,-0.14507,0,0.88467,0.975139,1.59
BTB 03608,0.978552,0.0378639,0,0.969816,0.978552,1.18
BTB 03925,0.976008,-0.100354,0,0.866552,0.976008,1.47
BTB 04194,0.979825,0.109182,0,0.842992,0.979825,1.07
BTB 04231,0.982397,0.245965,0,0.806622,0.982397,0.84
BTB 04275,0.962618,-0.81929,0,0.419962,0.962618,3.14
BTB 04463,0.110214,-46.5826,0,0,0.110214,98.52
BTB 04719,0.921705,-3.02114,0,0.00828414,0.921705,7.96
BTB 04953,0.969563,-0.44532,0,0.657314,0.969563,2.79
BTB 05020,0.915679,-3.34129,0,0.00151116,0.915679,8.95
BTB 05066,0.982102,0.228465,0,0.819388,0.982102,1.7
BTB 05122,0.988741,0.581161,0,0.581786,0.988741,1.06
BTB 05144,0.984692,0.364244,0,0.727276,0.984692,1.58
BTB 05336,0.974228,-0.19923,0,0.671334,0.974228,2.78
BTB 05340,0.926741,-2.74657,0,0.00809608,0.926741,8.08
BTB 05419,0.971553,-0.337029,0,0.73619,0.971553,3.14
BTB 05486,0.55888,-22.7772,1,0.492372,0.55888,48.49
BTB 05499,0.923972,-2.89492,0,0.00502348,0.923972,8.43
BTB 05661,0.943873,-1.8229,0,0.068469,0.943873,6.25
BTB 05727,0.999734,1.17448,0,0.241538,0.999734,0.09
BTB 06084,0.972955,-0.258371,0,0.773808,0.972955,3.09
