supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.988265,0.671472,0,0.502358,0.988265,0.74
AW 00421,0.975252,0.128503,0,0.72669,0.975252,2.29
AW 00430,0.928142,-1.85309,0,0.0638698,0.928142,7.65
AW 00475,0.856762,-4.85312,0,2.24624e-06,0.856762,15.7
AW 00480,0.938707,-1.41193,0,0.174699,0.938707,6.68
AW 00519,0.982374,0.423368,0,0.674416,0.982374,1.92
AW 00564,0.975839,0.148796,0,0.882832,0.975839,2.74
AW 00594,0.974748,0.106891,0,0.766056,0.974748,2.94
AW 00603,0.975914,0.154044,0,0.878136,0.975914,2.9
AW 00637,0.995686,0.985774,0,0.339124,0.995686,0.77
AW 00845,0.949691,-0.944844,0,0.376246,0.949691,5.92
BR 00082,0.950232,-0.919038,0,0.470718,0.950232,5.9
BTB 00693,0.950471,-0.917565,0,0.37355,0.950471,5.91
BTB 00803,0.97057,-0.0726647,0,0.872454,0.97057,3.62
BTB 01259,0.951329,-0.88075,0,0.384654,0.951329,5.67
BTB 01345,0.842495,-5.48562,1,0.0684978,0.842495,17.73
BTB 01397,0.993679,0.899768,0,0.368948,0.993679,0.79
BTB 01431,0.955328,-0.708292,0,0.504444,0.955328,4.93
BTB 01473,0.929349,-1.80901,0,0.148252,0.929349,7.7
BTB 01480,0.986216,0.586267,0,0.55813,0.986216,1.2
BTB 01594,0.910535,-2.5915,0,0.0100755,0.910535,9.46
BTB 02800,0.994904,0.95128,0,0.34245,0.994904,-0.15
BTB 02837,0.969592,-0.114074,0,0.845786,0.969592,2.51
BTB 03305,0.966413,-0.24396,0,0.811352,0.966413,2.71
BTB 03433,0.983605,0.475059,0,0.637494,0.983605,0.69
BTB 03574,0.960731,-0.484774,0,0.628024,0.960731,3.2
BTB 03608,0.978616,0.269046,0,0.795256,0.978616,1.19
BTB 03925,0.980318,0.344964,0,0.469088,0.980318,1.04
BTB 04194,0.978573,0.266315,0,0.792682,0.978573,1.32
BTB 04231,0.975191,0.122731,0,0.902326,0.975191,1.8
BTB 04275,0.976178,0.162243,0,0.82222,0.976178,1.81
BTB 04463,0.481761,-20.7455,1,6.13952e-06,0.481761,57.39
BTB 04719,0.911715,-2.54357,0,0.0111395,0.911715,9.31
BTB 04953,0.961951,-0.43308,0,0.664994,0.961951,3.85
BTB 05020,0.89435,-3.27168,0,0.00109804,0.89435,11.52
BTB 05066,0.976704,0.186274,0,0.852236,0.976704,2.5
BTB 05122,0.965717,-0.275599,0,0.783214,0.965717,3.85
