supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.987504,0.508589,0,0.611368,0.987504,1.17
AW 00421,0.988913,0.579246,0,0.563346,0.988913,1.11
AW 00430,0.950624,-1.31459,0,0.223322,0.950624,5.51
AW 00475,0.876869,-4.86603,0,5.5807e-06,0.876869,13.89
AW 00480,0.955849,-1.01825,0,0.308582,0.955849,5.13
AW 00519,0.988977,0.588898,0,0.559012,0.988977,1.52
AW 00564,0.977169,-0.0116003,0,0.8724,0.977169,2.94
AW 00594,0.989734,0.642395,0,0.535876,0.989734,1.64
AW 00603,0.986013,0.452587,0,0.655934,0.986013,2.15
AW 00637,1.00019,1.13592,0,0.265,1.00019,0.66
AW 00845,0.959919,-0.845403,0,0.407712,0.959919,5.23
BR 00082,0.966621,-0.479152,0,0.637088,0.966621,4.57
BTB 00693,0.95927,-0.775587,0,0.53053,0.95927,5.46
BTB 00803,0.982393,0.26686,0,0.790168,0.982393,2.89
BTB 01259,0.961459,-0.747807,0,0.454578,0.961459,5.24
BTB 01345,0.974529,-0.155884,0,0.758842,0.974529,3.79
BTB 01397,0.991903,0.712891,0,0.47598,0.991903,1.85
BTB 01431,0.966911,-0.488859,0,0.625068,0.966911,4.61
BTB 01473,0.962358,-0.725564,0,0.475404,0.962358,5.06
BTB 01480,0.989383,0.613981,0,0.545286,0.989383,1.98
BTB 01594,0.937248,-1.91847,0,0.0555944,0.937248,7.71
BTB 02800,0.988838,0.586034,0,0.562746,0.988838,1.86
BTB 02837,0.970213,-0.321031,0,0.748518,0.970213,3.86
BTB 03305,0.976728,0.0605033,0,0.521706,0.976728,3.1
BTB 03433,0.997573,0.973078,0,0.33412,0.997573,0.69
BTB 03574,0.97571,-0.0724593,0,0.935396,0.97571,3.11
BTB 03608,0.987717,0.505875,0,0.613774,0.987717,1.73
BTB 03925,0.984494,0.309054,0,0.682182,0.984494,2.05
BTB 04194,0.983846,0.28131,0,0.700292,0.983846,2.11
BTB 04231,0.973551,-0.142883,0,0.83904,0.973551,3.3
BTB 04275,0.979597,0.155431,0,0.787674,0.979597,2.67
BTB 04463,0.532698,-19.1641,1,0.343944,0.532698,53.56
BTB 04719,0.927066,-2.48998,0,0.0437428,0.927066,8.69
BTB 04953,0.976186,-0.0486008,0,0.94199,0.976186,3.33
BTB 05020,0.910295,-3.1834,0,0.00175247,0.910295,10.82
BTB 05066,0.984852,0.404395,0,0.694552,0.984852,2.61
BTB 05122,0.989327,0.601292,0,0.549158,0.989327,2.19
BTB 05144,0.989974,0.626838,0,0.531084,0.989974,2.19
BTB 05336,0.972347,-0.192008,0,0.78343,0.972347,4.22
BTB 05340,0.932312,-2.0387,0,0.137138,0.932312,8.74
BTB 05419,0.964367,-0.609544,0,0.542204,0.964367,5.17
BTB 05486,0.558522,-18.1358,1,0.115222,0.558522,51.07
BTB 05499,0.888182,-4.27405,0,1.97184e-05,0.888182,13.73
BTB 05661,0.911327,-3.37809,0,0.0711438,0.911327,11.13
BTB 05727,0.995848,0.906703,0,0.364654,0.995848,1.89
BTB 06084,0.963886,-0.655598,0,0.521404,0.963886,5.5
BTB 06237,0.989582,0.610149,0,0.542446,0.989582,2.7
BTB 06387,0.986505,0.461818,0,0.644686,0.986505,3.04
BTB 06428,0.908574,-3.34524,0,0.0022173,0.908574,11.63
BTB 06691,0.961742,-0.809954,0,0.509472,0.961742,5.64
BTB 06791,0.971623,-0.248671,0,0.804422,0.971623,4.48
