supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.989372,0.663488,0,0.514664,0.989372,-0.31
AW 00421,0.973969,-0.0171236,0,0.951886,0.973969,1.52
AW 00430,0.926026,-2.1299,0,0.0427628,0.926026,7.01
AW 00475,0.78586,-8.29355,0,1.31591e-16,0.78586,22.86
AW 00480,0.927504,-2.05962,0,0.0413906,0.927504,7.01
AW 00519,0.982504,0.36096,0,0.72172,0.982504,0.91
AW 00564,0.961512,-0.568338,0,0.590174,0.961512,3.36
AW 00594,0.983941,0.418776,0,0.690884,0.983941,0.92
AW 00603,0.984583,0.457689,0,0.568964,0.984583,0.9
AW 00637,0.974278,-0.00126808,0,0.88562,0.974278,2.13
AW 00845,0.925758,-2.14477,0,0.064515,0.925758,7.63
BR 00082,0.958785,-0.685896,0,0.495548,0.958785,3.96
BTB 00693,0.958969,-0.683272,0,0.566482,0.958969,3.97
BTB 00803,0.958636,-0.687286,0,0.51804,0.958636,3.95
BTB 01259,0.963686,-0.467807,0,0.641794,0.963686,3.35
BTB 01345,0.952382,-0.970752,0,0.36703,0.952382,4.58
BTB 01397,0.99536,0.925991,0,0.356898,0.99536,-0.31
BTB 01431,0.951153,-1.01967,0,0.309206,0.951153,4.57
BTB 01473,0.776401,-8.69999,0,4.63626e-15,0.776401,24.07
BTB 01480,0.981533,0.317194,0,0.751702,0.981533,0.91
BTB 01594,0.909761,-2.84427,0,0.00527842,0.909761,8.84
BTB 02800,0.984239,0.433482,0,0.669668,0.984239,0.3
BTB 02837,0.950744,-1.04068,0,0.30724,0.950744,3.96
BTB 03305,0.966209,-0.357451,0,0.72103,0.966209,2.13
BTB 03433,0.982011,0.340673,0,0.743816,0.982011,0.3
BTB 03574,0.976537,0.102389,0,0.602008,0.976537,0.9
BTB 03608,0.960558,-0.608814,0,0.550228,0.960558,2.74
BTB 03925,0.98243,0.353804,0,0.728058,0.98243,0.3
BTB 04194,0.977339,0.132417,0,0.894788,0.977339,0.91
BTB 04231,0.988548,0.625769,0,0.53216,0.988548,-0.31
BTB 04275,0.972974,-0.0622576,0,0.857548,0.972974,1.52
BTB 04463,0.108183,-38.1166,0,0,0.108183,99.08
BTB 04719,0.931669,-1.8799,0,0.0642158,0.931669,6.4
BTB 04953,0.943763,-1.34757,0,0.183718,0.943763,5.18
BTB 05020,0.879846,-4.16052,0,4.20828e-05,0.879846,12.5
BTB 05066,0.962379,-0.525419,0,0.600992,0.962379,3.35
BTB 05122,1.00119,1.18,0,0.241246,1.00119,-0.92
BTB 05144,0.974341,0.00122065,0,0.90632,0.974341,2.13
BTB 05336,0.979875,0.242206,0,0.809794,0.979875,1.52
BTB 05340,0.800062,-7.6474,0,6.7562e-09,0.800062,21.61
BTB 05419,0.941249,-1.45495,0,0.148729,0.941249,5.79
BTB 05486,0.929972,-1.95122,0,0.0528034,0.929972,7.01
BTB 05499,0.913375,-2.6789,0,0.0114396,0.913375,8.83
BTB 05661,0.554493,-18.661,1,0.0175511,0.554493,49.34
BTB 05727,0.99509,0.91508,0,0.368342,0.99509,-0.31
BTB 06084,0.973744,-0.0242964,0,0.854724,0.973744,2.13
BTB 06237,0.990442,0.707983,0,0.47937,0.990442,0.3
BTB 06387,0.985119,0.471017,0,0.651106,0.985119,0.92
BTB 06428,0.89239,-3.60214,0,0.000674724,0.89239,11.27
BTB 06691,0.957135,-0.757995,0,0.449454,0.957135,3.96
BTB 06791,0.978203,0.169214,0,0.865854,0.978203,1.52
BTB 07002,0.114057,-37.8606,0,0,0.114057,98.47
BTB 07082,0.95014,-1.06863,0,0.30896,0.95014,4.58
BTB 07328,0.955544,-0.828158,0,0.409026,0.955544,3.96
BTB 07385,0.602785,-16.1799,1,0.182882,0.602785,43.36
BTB 07880,0.961366,-0.569396,0,0.573488,0.961366,3.35
BTB 08239,0.956083,-0.799326,0,0.456204,0.956083,3.95
