supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.507183,-19.1595,0,0,0.507183,41.42
AW 00421,0.45758,-22.0727,0,6.71606e-40,0.45758,48.3
AW 00430,0.496582,-19.4911,0,0,0.496582,46.03
AW 00475,0.516711,-18.82,0,0,0.516711,44.81
AW 00480,0.715735,-10.9301,0,1.9075e-27,0.715735,21.58
AW 00519,0.777091,-8.58432,0,9.46344e-18,0.777091,16.05
AW 00564,0.543771,-17.9279,0,0,0.543771,45.8
AW 00594,0.181202,-32.1107,0,0,0.181202,89.45
AW 00603,0.259086,-28.9995,0,0,0.259086,81.02
AW 00637,0.686211,-12.0217,0,5.05378e-31,0.686211,33.94
AW 00845,0.688637,-12.0493,0,1.60735e-31,0.688637,35.34
BR 00082,0.111245,-34.7866,0,0,0.111245,98.67
BTB 00693,0.40413,-23.2183,0,0,0.40413,68.51
BTB 00803,0.427108,-22.4249,0,0,0.427108,66.75
BTB 01259,0.611044,-15.243,0,1.38759e-40,0.611044,48.25
BTB 01345,0.151913,-33.2011,0,0,0.151913,94.97
BTB 01397,0.803905,-7.77402,0,8.35242e-10,0.803905,27.14
BTB 01431,0.702852,-11.6431,0,2.1147e-24,0.702852,35.83
BTB 01473,0.122577,-34.3624,0,0,0.122577,97.12
BTB 01480,0.75084,-9.75044,0,6.30034e-18,0.75084,26.05
BTB 01594,0.268535,-28.6182,0,0,0.268535,79.57
BTB 02800,0.525978,-18.6817,0,0,0.525978,48.94
BTB 02837,0.38292,-24.2178,0,0,0.38292,65.22
BTB 03305,0.628407,-14.4635,0,6.33975e-41,0.628407,35.87
BTB 03433,0.582224,-16.2722,0,0,0.582224,41.6
BTB 03574,0.777138,-8.68235,0,1.54084e-15,0.777138,19.24
BTB 03608,0.600963,-15.6322,0,7.2307e-43,0.600963,40.68
BTB 03925,0.684603,-12.3791,0,1.22314e-26,0.684603,31.91
BTB 04194,0.648048,-14.0903,0,5.68666e-24,0.648048,37.3
BTB 04231,0.688935,-12.2287,0,2.32544e-25,0.688935,33.77
BTB 04275,0.485335,-20.0419,0,0,0.485335,57.53
BTB 04463,0.124022,-34.3239,0,0,0.124022,97.43
BTB 04719,0.153893,-33.1582,0,0,0.153893,94.93
BTB 04953,0.465986,-20.8413,0,0,0.465986,65.48
