supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.180918,-37.2045,0,0,0.180918,93.56
AW 00421,0.750319,-11.2857,0,1.71494e-28,0.750319,40.42
AW 00430,0.193937,-36.6151,0,0,0.193937,91.91
AW 00475,0.348554,-29.5772,0,0,0.348554,76.92
AW 00480,0.754294,-11.1091,0,6.03206e-23,0.754294,37.29
AW 00519,0.992832,-0.253545,0,0.156121,0.992832,12.97
AW 00564,0.261281,-33.5466,0,0,0.261281,84.18
AW 00594,0.153056,-38.4724,0,0,0.153056,94.7
AW 00603,0.184603,-37.0357,0,0,0.184603,91.27
AW 00637,0.879675,-5.40316,0,2.8923e-05,0.879675,19.23
AW 00845,0.612246,-17.5859,0,2.86538e-41,0.612246,46.06
BR 00082,0.130135,-39.5144,0,0,0.130135,96.34
BTB 00693,0.451083,-24.913,0,0,0.451083,62.12
BTB 00803,0.219987,-35.4282,0,0,0.219987,86.62
BTB 01259,0.619309,-17.2465,0,0,0.619309,43.74
BTB 01345,0.166055,-37.8834,0,0,0.166055,92.07
BTB 01397,0.834188,-7.47207,0,8.03014e-11,0.834188,18.19
BTB 01431,0.627227,-16.896,0,0,0.627227,39.49
BTB 01473,0.159006,-38.203,0,0,0.159006,91.8
BTB 01480,0.727123,-12.3451,0,2.32224e-29,0.727123,25.01
BTB 01594,0.310122,-31.3289,0,0,0.310122,73.35
BTB 02800,0.180087,-37.244,0,0,0.180087,88.64
BTB 02837,0.205397,-36.0879,0,0,0.205397,85.66
BTB 03305,0.620684,-17.1985,0,8.96831e-44,0.620684,37.02
BTB 03433,0.731157,-12.1619,0,5.20082e-28,0.731157,25.34
BTB 03574,0.510855,-22.1849,0,0,0.510855,51.97
BTB 03608,0.589506,-18.6019,0,0,0.589506,44.35
BTB 03925,0.68026,-14.4844,0,2.90756e-32,0.68026,35.62
BTB 04194,0.12574,-39.7135,0,0,0.12574,96.56
BTB 04231,0.66095,-15.3463,0,8.40779e-45,0.66095,40.27
BTB 04275,0.55342,-20.2671,0,0,0.55342,52.91
BTB 04463,0.10639,-40.5932,0,0,0.10639,99.46
