supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00178,0.835652,-1.12401,0,0.269714,0.835652,29.44
AW 00227,0.851605,-1.00209,0,0.316696,0.851605,27.85
AW 00264,0.983476,-0.102843,0,0.918486,0.983476,15.02
AW 00294,0.950512,-0.338229,0,0.73639,0.950512,18.25
AW 00751,0.991627,-0.0571983,0,0.946298,0.991627,14.25
AW 00786,1.04169,0.28933,0,0.772538,1.04169,9.36
AW 00837,1.01754,0.122925,0,0.902166,1.01754,11.72
AW 00846,0.873039,-0.864996,0,0.389672,0.873039,25.79
AW 01237,1.00787,0.0565956,0,0.95487,1.00787,12.66
BR 00076,0.130411,-5.9152,0,5.91964e-09,0.130411,98.03
BR 00079,0.106404,-6.08548,0,4.18722e-09,0.106404,100.38
BR 00087,0.113066,-6.04033,0,5.5314e-09,0.113066,99.74
BTB 00551,0.904404,-0.647973,0,0.517298,0.904404,22.73
BTB 00807,0.678828,-2.20912,0,0.0496788,0.678828,44.74
BTB 00808,0.163097,-5.69303,0,2.12908e-08,0.163097,94.85
BTB 01249,0.667325,-2.26628,0,0.0254768,0.667325,45.81
BTB 01592,0.117809,-6.00465,0,4.9101e-09,0.117809,99.27
BTB 02045,0.894139,-0.718618,0,0.473004,0.894139,23.73
BTB 02100,0.110062,-6.06152,0,5.26606e-09,0.110062,100.03
BTB 02101,0.115472,-6.02346,0,5.8062e-09,0.115472,99.5
BTB 02102,0.156712,-5.72496,0,1.0346e-08,0.156712,95.44
BTB 02152,0.117308,-6.01168,0,6.64932e-09,0.117308,99.32
BTB 02153,0.108281,-6.07485,0,5.49566e-09,0.108281,100.21
BTB 02162,0.150593,-5.78519,0,2.36282e-08,0.150593,96.09
BTB 02163,0.0968065,-6.15374,0,3.78018e-09,0.0968065,101.32
BTB 02164,0.100423,-6.12863,0,4.15504e-09,0.100423,100.97
BTB 02167,0.745438,-1.73636,0,0.0876564,0.745438,38.21
BTB 02215,0.102815,-6.11137,0,4.16582e-09,0.102815,100.74
BTB 02216,0.609366,-2.68637,0,0.0199927,0.609366,51.51
BTB 02223,0.106487,-6.0878,0,5.48586e-09,0.106487,100.38
BTB 02227,0.125612,-5.94933,0,5.52016e-09,0.125612,98.5
BTB 02332,0.990389,-0.0646671,0,0.948506,0.990389,14.37
BTB 02708,0.800128,-1.37201,0,0.189887,0.800128,32.91
BTB 02880,0.901844,-0.660589,0,0.509286,0.901844,22.96
BTB 02908,0.786636,-1.45765,0,0.153206,0.786636,34.21
BTB 02925,0.96794,-0.215418,0,0.82948,0.96794,16.55
BTB 02990,0.1113,-6.05405,0,6.0326e-09,0.1113,99.91
BTB 03006,0.115445,-6.02269,0,5.31766e-09,0.115445,99.5
BTB 03156,0.119144,-5.99989,0,7.61334e-09,0.119144,99.15
XBX 00259,0.978636,-0.135814,0,0.892476,0.978636,15.49
BTB 03252,0.539905,-3.10076,0,0.00334462,0.539905,58.12
BTB 03261,0.108921,-6.0717,0,6.29514e-09,0.108921,100.15
BTB 03767,0.652762,-2.36403,0,0.0194007,0.652762,47.22
BTB 03984,0.949858,-0.340996,0,0.733708,0.949858,18.31
BTB 04176,0.49178,-3.45917,0,0.000654524,0.49178,62.88
BTB 04424,0.105875,-6.09173,0,5.24034e-09,0.105875,100.44
BTB 04426,0.129979,-5.92416,0,9.65806e-09,0.129979,98.09
BTB 04487,0.363469,-4.31079,0,2.0717e-05,0.363469,75.31
BTB 04902,0.107044,-6.08232,0,4.79472e-09,0.107044,100.32
BTB 04959,0.102843,-6.11214,0,4.5611e-09,0.102843,100.74
BTB 04965,0.432889,-3.85333,0,0.000122006,0.432889,68.59
BTB 04980,0.11308,-6.04072,0,5.7828e-09,0.11308,99.74
BTB 05015,0.986633,-0.0859124,0,0.931552,0.986633,14.72
BTB 05019,0.702849,-2.01828,0,0.0439006,0.702849,42.33
BTB 05131,0.6825,-2.1646,0,0.0335962,0.6825,44.33
BTB 05159,0.984881,-0.100018,0,0.92034,0.984881,14.9
BTB 05178,0.100437,-6.12901,0,4.34866e-09,0.100437,100.97
BTB 05299,0.145404,-5.82945,0,4.28636e-08,0.145404,96.61
BTB 05304,0.669078,-2.25217,0,0.0255834,0.669078,45.63
BTB 05335,0.939329,-0.404287,0,0.686782,0.939329,19.31
BTB 05411,0.134875,-5.89274,0,1.37663e-08,0.134875,97.62
BTB 05413,0.122051,-5.976,0,5.90424e-09,0.122051,98.85
BTB 05417,0.119659,-5.99326,0,5.86168e-09,0.119659,99.09
BTB 05434,0.716312,-1.91091,0,0.0617396,0.716312,40.99
BTB 05488,0.138422,-5.86569,0,1.22069e-08,0.138422,97.26
BTB 05562,0.894486,-0.707337,0,0.481524,0.894486,23.67
BTB 05678,0.737955,-1.80058,0,0.0960042,0.737955,38.97
BTB 06086,0.499722,-3.40772,0,0.000861264,0.499722,62.11
BTB 06196,0.791894,-1.41533,0,0.158654,0.791894,33.68
BTB 06254,0.119172,-6.00067,0,8.319e-09,0.119172,99.15
BTB 06263,0.608796,-2.67051,0,0.0100841,0.608796,51.51
BTB 06536,0.837752,-1.09862,0,0.271934,0.837752,29.2
BTB 06587,0.104067,-6.10428,0,4.99994e-09,0.104067,100.62
BTB 06669,0.217759,-5.32791,0,2.60294e-07,0.217759,89.55
BTB 06671,0.143151,-5.82962,0,1.06051e-08,0.143151,96.79
BTB 06776,0.905266,-0.651012,0,0.52256,0.905266,22.67
BTB 06877,0.604415,-2.69529,0,0.00818152,0.604415,51.93
BTB 06908,0.816944,-1.25313,0,0.221778,0.816944,31.26
BTB 06938,0.118491,-6.00266,0,6.37684e-09,0.118491,99.21
BTB 07090,0.882191,-0.805303,0,0.4257,0.882191,24.9
BTB 07221,0.848885,-1.03371,0,0.309472,0.848885,29.69
BTB 07256,0.532174,-3.19046,0,0.00204216,0.532174,60.72
BTB 07373,0.107622,-6.0802,0,5.80166e-09,0.107622,101.72
BTB 07554,0.862618,-0.939443,0,0.354272,0.862618,29.74
BTB 07887,0.594312,-2.77002,0,0.0078875,0.594312,55.64
BTB 08347,0.127693,-5.94254,0,1.13784e-08,0.127693,99.97
BTB 08378,1.09809,0.668537,0,0.503918,1.09809,8.64
BTB 08441,0.995407,-0.0299245,0,0.967954,0.995407,18.55
BTB 08717,1.05004,0.345728,0,0.729726,1.05004,13.54
BTB 09155,0.274074,-4.94274,0,1.49951e-06,0.274074,86.33
BTB 09198,0.168995,-5.66242,0,5.74554e-08,0.168995,96.18
BTB 10339,0.134575,-5.89505,0,1.39339e-08,0.134575,99.39
BTB 10696,0.684346,-2.15001,0,0.0337452,0.684346,47.65
BTB 10821,0.117283,-6.01421,0,8.23312e-09,0.117283,101.02
BTB 11033,0.997555,-0.0124814,0,0.990042,0.997555,18.44
BTB 11084,0.699485,-2.04734,0,0.0433018,0.699485,46.37
BTB 11110,0.535937,-3.16935,0,0.0026334,0.535937,61.52
BTB 11228,0.934984,-0.439505,0,0.660396,0.934984,23.33
BTB 11385,0.630756,-2.51734,0,0.0138295,0.630756,51.61
BTB 11831,0.642962,-2.45282,0,0.0287592,0.642962,49.55
BTB 11835,0.848437,-1.02959,0,0.304136,0.848437,28.29
BTB 11841,0.118462,-6.00441,0,7.33106e-09,0.118462,100.21
BTB 11866,0.103121,-6.11058,0,4.75566e-09,0.103121,101.66
BTB 12233,0.91321,-0.581204,0,0.562396,0.91321,19.73
BTB 12258,0.821216,-1.22186,0,0.229894,0.821216,28.98
BTB 12669,0.632709,-2.51678,0,0.0202232,0.632709,48.27
BTB 12794,0.891623,-0.738032,0,0.462434,0.891623,22.75
BTB 12851,0.11725,-6.01466,0,8.39236e-09,0.11725,100.38
BTB 12860,0.107784,-6.07993,0,6.30502e-09,0.107784,101.37
BTB 13385,0.93888,-0.415043,0,0.678646,0.93888,19.14
BTB 13421,0.917064,-0.56882,0,0.574084,0.917064,21.05
BTB 13657,0.117418,-6.01369,0,8.58584e-09,0.117418,100.32
BTB 13756,0.881849,-0.802791,0,0.423076,0.881849,23.28
BTB 13762,0.79427,-1.40154,0,0.16461,0.79427,31.5
BTB 13764,0.732105,-1.83228,0,0.0772416,0.732105,37.38
BTB 13766,0.106284,-6.08933,0,5.52112e-09,0.106284,101.14
BTB 14690,0.114665,-6.03239,0,7.70028e-09,0.114665,100.2
BTB 14806,0.470744,-3.59018,0,0.00033195,0.470744,63.08
BTB 14847,0.926352,-0.506607,0,0.617532,0.926352,15.81
BTB 14887,0.879378,-0.82395,0,0.414532,0.879378,20.95
BTB 14906,0.520694,-3.27925,0,0.00250078,0.520694,58.6
BTB 15057,0.664458,-2.2932,0,0.0278178,0.664458,44.5
BTBG 00139,0.920534,-0.546029,0,0.590324,0.920534,19.6
BTBG 00201,0.521892,-3.25258,0,0.0012794,0.521892,60.32
BTBT 00050,0.622241,-2.55443,0,0.0113932,0.622241,51.3
