supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00178,0.37734,-18.0168,0,3.83423e-41,0.37734,33.67
AW 00227,0.327312,-19.3549,0,0,0.327312,46.36
AW 00264,0.458455,-15.7183,0,7.01142e-31,0.458455,23.48
AW 00294,0.475105,-15.2883,0,2.22412e-28,0.475105,23.81
AW 00751,0.506648,-14.4218,0,1.30285e-24,0.506648,21.7
AW 00786,0.553846,-13.1083,0,1.06843e-19,0.553846,17.33
AW 00837,0.561067,-12.8917,0,3.57174e-19,0.561067,20.15
AW 00846,0.532719,-13.7468,0,3.22426e-21,0.532719,28.68
AW 01237,0.612888,-11.2193,0,7.48196e-17,0.612888,20.23
BR 00076,0.102001,-26.083,0,0,0.102001,97.99
BR 00079,0.093254,-26.1944,0,0,0.093254,99.84
BR 00087,0.11451,-25.649,0,0,0.11451,97.85
BTB 00551,0.723671,-8.04362,0,3.6328e-09,0.723671,25.64
BTB 00807,0.748624,-7.44957,0,5.3865e-07,0.748624,29.17
BTB 00808,0.279908,-21.1857,0,0,0.279908,83.82
BTB 01249,0.630632,-10.7392,0,3.67114e-15,0.630632,52.44
BTB 01592,0.213644,-22.9896,0,0,0.213644,93.68
BTB 02045,0.98841,-0.223974,0,0.754894,0.98841,30.24
BTB 02100,0.150335,-24.5228,0,0,0.150335,100.65
BTB 02101,0.162389,-24.1096,0,0,0.162389,100.21
BTB 02102,0.161247,-24.1693,0,0,0.161247,100.71
BTB 02152,0.177811,-23.6839,0,0,0.177811,99.83
BTB 02153,0.705968,-9.37139,0,7.04672e-05,0.705968,63.3
BTB 02162,0.491273,-15.0363,0,6.62422e-24,0.491273,78.01
BTB 02163,0.165487,-24.0347,0,0,0.165487,100.45
BTB 02164,0.144269,-24.7505,0,0,0.144269,101.47
BTB 02167,0.476552,-14.542,0,6.68034e-39,0.476552,73.06
BTB 02215,0.123516,-25.358,0,0,0.123516,101.78
BTB 02216,0.830356,-5.26615,0,0.00477612,0.830356,36.48
BTB 02223,0.118775,-25.4834,0,0,0.118775,101.22
BTB 02227,0.11673,-25.5389,0,0,0.11673,101.15
BTB 02332,0.941142,-2.11588,0,0.481878,0.941142,20.01
BTB 02708,0.606247,-11.4551,0,6.50112e-17,0.606247,52.41
BTB 02880,0.793381,-6.2081,0,8.56154e-05,0.793381,33.2
BTB 02908,0.72229,-8.23056,0,3.53908e-08,0.72229,40.15
BTB 02925,0.866196,-4.17796,0,0.0245518,0.866196,26.19
BTB 02990,0.1197,-25.4687,0,0,0.1197,100.78
BTB 03006,0.128237,-25.1867,0,0,0.128237,100.27
BTB 03156,0.136575,-24.9939,0,0,0.136575,100.09
XBX 00259,0.866877,-4.09406,0,0.0162269,0.866877,26.24
BTB 03252,0.26716,-21.2841,0,0,0.26716,89.63
BTB 03261,0.147855,-24.675,0,0,0.147855,100.72
BTB 03767,0.617613,-10.7849,0,9.71836e-20,0.617613,66.2
BTB 03984,1.21655,5.84722,0,5.2704e-09,1.21655,27.29
BTB 04176,0.464847,-15.538,0,3.98384e-30,0.464847,80.91
BTB 04424,0.187327,-23.5321,0,0,0.187327,99.84
BTB 04426,0.21783,-22.7276,0,0,0.21783,97.53
BTB 04487,0.464305,-15.3876,0,1.27328e-32,0.464305,79.13
BTB 04902,0.168619,-24.1195,0,0,0.168619,100.03
BTB 04959,0.163443,-24.1914,0,0,0.163443,99.9
BTB 04965,0.250618,-21.4339,0,0,0.250618,92.41
BTB 04980,0.176417,-23.8246,0,0,0.176417,98.27
BTB 05015,1.10557,2.74076,0,0.0122025,1.10557,21.99
BTB 05019,0.69067,-9.09336,0,2.47034e-10,0.69067,55.06
BTB 05131,0.642954,-10.2782,0,2.7435e-15,0.642954,57.67
BTB 05159,1.04245,1.03952,0,0.345732,1.04245,20.68
BTB 05178,0.116056,-25.5707,0,0,0.116056,101.91
