supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00178,0.366561,-18.0383,0,0,0.366561,32.4
AW 00227,0.342677,-18.7663,0,0,0.342677,40.52
AW 00264,0.426558,-16.3465,0,0,0.426558,26.58
AW 00294,0.462813,-15.3029,0,1.31722e-42,0.462813,23.28
AW 00751,0.460582,-15.4178,0,1.63246e-40,0.460582,27.64
AW 00786,0.511115,-13.9742,0,1.4287e-33,0.511115,22.7
AW 00837,0.522438,-13.662,0,1.19886e-31,0.522438,25.14
AW 00846,0.424131,-16.4101,0,0,0.424131,45.2
AW 01237,0.630605,-10.5407,0,1.65228e-20,0.630605,17.56
BR 00076,0.102395,-25.6071,0,0,0.102395,98.13
BR 00079,0.0902399,-25.9638,0,0,0.0902399,100.63
BR 00087,0.112237,-25.2788,0,0,0.112237,98.63
BTB 00551,0.693112,-8.77288,0,2.9232e-14,0.693112,32.46
BTB 00807,0.632908,-10.2519,0,6.02608e-22,0.632908,45.41
BTB 00808,0.259509,-20.8158,0,0,0.259509,87.36
BTB 01249,0.580018,-12.0957,0,4.75034e-22,0.580018,61.75
BTB 01592,0.229826,-22.0197,0,0,0.229826,94.22
BTB 02045,1.10659,2.84817,0,0.081498,1.10659,29.97
BTB 02100,0.170293,-23.7253,0,0,0.170293,100.74
BTB 02101,0.162505,-23.9213,0,0,0.162505,101.76
BTB 02102,0.171761,-23.624,0,0,0.171761,101.47
BTB 02152,0.191233,-23.0878,0,0,0.191233,100.45
BTB 02153,0.278832,-20.4325,0,0,0.278832,94.78
BTB 02162,0.233796,-21.8729,0,0,0.233796,97.5
BTB 02163,0.162665,-23.8977,0,0,0.162665,101.64
BTB 02164,0.170352,-23.6638,0,0,0.170352,100.27
BTB 02167,0.537618,-13.1463,0,4.2017e-33,0.537618,70.14
BTB 02215,0.142703,-24.4868,0,0,0.142703,100.55
BTB 02216,0.852692,-4.24431,0,0.00048029,0.852692,35
BTB 02223,0.122033,-25.0887,0,0,0.122033,101.04
BTB 02227,0.121912,-25.081,0,0,0.121912,100.61
BTB 02332,0.894394,-3.00901,0,0.00474708,0.894394,21.42
BTB 02708,0.591145,-11.6276,0,3.6949e-26,0.591145,51.12
BTB 02880,0.725384,-7.75435,0,3.58482e-14,0.725384,34.61
BTB 02908,0.659052,-9.71204,0,3.06096e-18,0.659052,41.18
BTB 02925,0.736851,-7.49555,0,1.48343e-11,0.736851,32.84
BTB 02990,0.105494,-25.525,0,0,0.105494,101.45
BTB 03006,0.113461,-25.3141,0,0,0.113461,100.93
BTB 03156,0.127161,-24.9219,0,0,0.127161,100.05
XBX 00259,0.801108,-5.70025,0,1.14265e-06,0.801108,27.71
BTB 03252,0.312098,-19.777,0,0,0.312098,83.37
BTB 03261,0.13428,-24.7053,0,0,0.13428,100.88
BTB 03767,0.699051,-8.50486,0,1.74802e-16,0.699051,55
BTB 03984,1.08066,2.17498,0,0.108992,1.08066,28.31
BTB 04176,0.511888,-13.8599,0,1.75414e-37,0.511888,73.8
BTB 04424,0.165185,-23.8129,0,0,0.165185,100.21
BTB 04426,0.189644,-23.1297,0,0,0.189644,98.13
BTB 04487,0.347932,-18.4976,0,0,0.347932,85.12
BTB 04902,0.158328,-24.0266,0,0,0.158328,99.82
BTB 04959,0.143433,-24.4397,0,0,0.143433,100.7
BTB 04965,0.315351,-19.42,0,0,0.315351,85.76
BTB 04980,0.175293,-23.5335,0,0,0.175293,97.69
BTB 05015,1.00615,0.162077,0,0.867956,1.00615,26.23
BTB 05019,0.660572,-9.59926,0,2.82842e-20,0.660572,55.65
BTB 05131,0.614424,-11.1654,0,5.04342e-17,0.614424,59.18
BTB 05159,1.01724,0.404676,0,0.460372,1.01724,21.89
BTB 05178,0.117628,-25.2104,0,0,0.117628,101.92
BTB 05299,0.129376,-24.8747,0,0,0.129376,100.48
BTB 05304,0.501962,-14.1661,0,7.67736e-38,0.501962,63.94
BTB 05335,0.861417,-4.06005,0,0.00520286,0.861417,27.74
BTB 05411,0.136894,-24.6572,0,0,0.136894,99.1
BTB 05413,0.169623,-23.6298,0,0,0.169623,95.75
BTB 05417,0.135148,-24.7046,0,0,0.135148,99.36
BTB 05434,0.616776,-10.7941,0,6.13434e-27,0.616776,52.21
BTB 05488,0.165803,-23.8209,0,0,0.165803,96.68
BTB 05562,0.848619,-4.40796,0,0.00125363,0.848619,30.74
BTB 05678,0.556298,-12.7177,0,1.21471e-26,0.556298,58.6
BTB 06086,0.387892,-17.4828,0,0,0.387892,74.43
BTB 06196,0.583875,-11.9084,0,2.58552e-24,0.583875,53.85
BTB 06254,0.130609,-24.8295,0,0,0.130609,99.24
BTB 06263,0.496593,-13.958,0,7.76456e-34,0.496593,59.71
BTB 06536,0.663121,-9.67296,0,1.30198e-15,0.663121,40.63
BTB 06587,0.0975738,-25.767,0,0,0.0975738,101.87
BTB 06669,0.179556,-23.4265,0,0,0.179556,92.28
BTB 06671,0.159846,-24.0439,0,0,0.159846,94.15
BTB 06776,0.67982,-9.14248,0,1.15673e-15,0.67982,31.89
BTB 06877,0.447909,-15.7588,0,2.2701e-43,0.447909,58.35
BTB 06908,0.530254,-13.402,0,3.64982e-32,0.530254,47.01
BTB 06938,0.10922,-25.4371,0,0,0.10922,98.91
BTB 07090,0.70582,-8.3637,0,1.91208e-14,0.70582,21.5
BTB 07221,0.747653,-7.2363,0,1.09696e-09,0.747653,43.05
BTB 07256,0.470235,-15.3135,0,1.08398e-31,0.470235,68.35
