supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00178,0.835667,-3.92332,0,0.000539902,0.835667,26.58
AW 00227,0.662015,-8.09542,0,3.23886e-10,0.662015,49.06
AW 00264,0.970288,-0.720014,0,0.478552,0.970288,9.16
AW 00294,0.953277,-1.1926,0,0.247404,0.953277,11.38
AW 00751,0.96741,-0.819855,0,0.412332,0.96741,9.54
AW 00786,1.01012,0.194092,0,0.79472,1.01012,4.02
AW 00837,1.01203,0.189225,0,0.850016,1.01203,3.78
AW 00846,0.918412,-1.85234,0,0.0797628,0.918412,15.86
AW 01237,0.977444,-0.563831,0,0.577512,0.977444,8.24
BR 00076,0.1234,-20.6505,0,0,0.1234,118.72
BR 00079,0.0990067,-21.2024,0,0,0.0990067,121.87
BR 00087,0.119075,-20.6903,0,0,0.119075,119.27
BTB 00551,0.827956,-4.32144,0,0.00467516,0.827956,27.62
BTB 00807,0.594927,-10.0953,0,2.56686e-09,0.594927,57.82
BTB 00808,0.353271,-15.3116,0,4.86772e-34,0.353271,88.99
BTB 01249,0.765543,-5.53963,0,1.28914e-06,0.765543,35.65
BTB 01592,0.163634,-19.6593,0,0,0.163634,113.5
BTB 02045,0.924054,-1.82852,0,0.070426,0.924054,15.15
BTB 02100,0.0961604,-21.3132,0,0,0.0961604,122.25
BTB 02101,0.0943715,-21.3522,0,0,0.0943715,122.48
BTB 02102,0.0925989,-21.3968,0,0,0.0925989,122.71
BTB 02152,0.115805,-20.8727,0,0,0.115805,119.71
BTB 02153,0.111675,-20.9785,0,0,0.111675,120.24
BTB 02162,0.122197,-20.6728,0,0,0.122197,118.87
BTB 02163,0.110927,-20.9402,0,0,0.110927,120.33
BTB 02164,0.105674,-21.0958,0,0,0.105674,121.02
BTB 02167,0.66951,-8.05451,0,1.60496e-08,0.66951,48.12
BTB 02215,0.0991202,-21.2408,0,0,0.0991202,121.86
BTB 02216,0.279611,-17.6654,0,3.79894e-29,0.279611,98.64
BTB 02223,0.104519,-21.1346,0,0,0.104519,121.17
BTB 02227,0.106877,-21.0734,0,0,0.106877,120.86
BTB 02332,1.02365,0.555654,0,0.62987,1.02365,2.26
BTB 02708,0.729375,-6.40309,0,4.95834e-08,0.729375,40.33
BTB 02880,0.874665,-2.94355,0,0.00367332,0.874665,21.53
BTB 02908,0.848027,-3.59511,0,0.000765212,0.848027,24.98
BTB 02925,0.913288,-2.05182,0,0.04051,0.913288,16.54
BTB 02990,0.0950056,-21.352,0,0,0.0950056,122.4
BTB 03006,0.115236,-20.8949,0,0,0.115236,119.78
BTB 03156,0.112228,-20.9508,0,0,0.112228,120.17
XBX 00259,0.939536,-1.4828,0,0.143098,0.939536,13.15
BTB 03252,0.410923,-13.7708,0,4.66874e-32,0.410923,81.5
BTB 03261,0.105072,-21.107,0,0,0.105072,121.09
BTB 03767,0.614755,-9.28668,0,6.89992e-12,0.614755,55.19
BTB 03984,0.924574,-1.78989,0,0.0735218,0.924574,15.08
BTB 04176,0.451546,-12.9114,0,1.37036e-26,0.451546,76.27
BTB 04424,0.113334,-20.8955,0,0,0.113334,120.02
BTB 04426,0.184612,-19.2403,0,0,0.184612,110.8
BTB 04487,0.270054,-17.4377,0,4.47434e-39,0.270054,99.79
BTB 04902,0.165113,-19.7302,0,0,0.165113,113.33
BTB 04959,0.116294,-20.8231,0,0,0.116294,119.64
BTB 04965,0.309526,-16.1886,0,8.51709e-42,0.309526,94.62
BTB 04980,0.156933,-19.9692,0,0,0.156933,114.4
BTB 05015,0.963702,-0.854033,0,0.40725,0.963702,10.01
BTB 05019,0.820527,-4.17002,0,4.29444e-05,0.820527,28.52
BTB 05131,0.391187,-13.5355,0,2.52952e-35,0.391187,83.92
BTB 05159,1.0041,0.082237,0,0.707128,1.0041,4.79
BTB 05178,0.129711,-20.4231,0,0,0.129711,117.89
BTB 05299,0.152982,-19.921,0,0,0.152982,114.88
BTB 05304,0.566669,-10.198,0,1.1014e-17,0.566669,61.37
BTB 05335,0.944902,-1.36567,0,0.178671,0.944902,12.46
BTB 05411,0.136589,-20.3879,0,0,0.136589,117.02
BTB 05413,0.12649,-20.622,0,0,0.12649,118.33
BTB 05417,0.119985,-20.7834,0,0,0.119985,119.17
BTB 05434,0.711908,-6.93627,0,1.02902e-07,0.711908,42.61
BTB 05488,0.176302,-19.4354,0,0,0.176302,111.88
BTB 05562,0.8873,-2.70866,0,0.0114335,0.8873,19.91
BTB 05678,0.737292,-6.5049,0,2.08516e-05,0.737292,39.36
BTB 06086,0.458359,-12.8542,0,2.95784e-24,0.458359,75.4
BTB 06196,0.777334,-5.23358,0,2.21834e-06,0.777334,34.12
BTB 06254,0.127612,-20.5722,0,0,0.127612,118.18
BTB 06263,0.737817,-6.0377,0,3.52698e-09,0.737817,39.21
BTB 06536,0.833082,-3.90768,0,0.00016846,0.833082,26.91
BTB 06587,0.104584,-21.1566,0,0,0.104584,121.16
BTB 06669,0.284073,-17.0265,0,2.48744e-39,0.284073,97.96
BTB 06671,0.174286,-19.3976,0,0,0.174286,112.12
BTB 06776,0.915468,-1.93023,0,0.0635716,0.915468,16.24
BTB 06877,0.671644,-7.70217,0,1.72725e-11,0.671644,47.79
BTB 06908,0.707564,-7.18494,0,1.15497e-06,0.707564,43.2
BTB 06938,0.113544,-20.9669,0,0,0.113544,120.01
BTB 07090,0.898668,-2.47417,0,0.0257328,0.898668,18.44
BTB 07221,0.765972,-5.59841,0,4.6046e-06,0.765972,29.38
BTB 07256,0.627859,-8.62597,0,2.2393e-15,0.627859,48.95
BTB 07373,0.0941358,-21.3311,0,0,0.0941358,120.11
BTB 07554,0.853112,-3.40344,0,0.000674514,0.853112,20.59
BTB 07887,0.618989,-9.15888,0,5.72086e-12,0.618989,51.82
BTB 08347,0.129001,-20.5219,0,0,0.129001,115.89
BTB 08378,1.03029,0.724169,0,0.549754,1.03029,0.53
BTB 08441,0.782739,-5.62595,0,0.00560384,0.782739,33
BTB 08717,0.993605,-0.216628,0,0.829012,0.993605,7.12
BTB 09155,0.361373,-15.0751,0,3.7269e-34,0.361373,87.24
BTB 09198,0.539097,-10.9488,0,3.59522e-18,0.539097,65.39
BTB 10339,0.113249,-20.9643,0,0,0.113249,118.55
BTB 10696,0.787249,-5.16261,0,7.37674e-05,0.787249,35.62
BTB 10821,0.0949639,-21.356,0,0,0.0949639,120.93
BTB 11033,1.01661,0.228207,0,0.794482,1.01661,8.68
BTB 11084,0.339148,-15.9137,0,3.49074e-30,0.339148,91.74
BTB 11110,0.279121,-17.0699,0,1.86513e-41,0.279121,98.86
BTB 11228,0.904598,-2.60154,0,0.195247,0.904598,23.84
BTB 11385,0.76147,-5.70509,0,3.15292e-06,0.76147,40.89
BTB 11831,0.634804,-8.86487,0,2.84002e-10,0.634804,56.2
BTB 11835,0.90502,-2.3867,0,0.05329,0.90502,22.89
BTB 11841,0.143168,-20.0631,0,0,0.143168,114.94
BTB 11866,0.100252,-21.2404,0,0,0.100252,120.26
BTB 12233,0.973416,-0.775939,0,0.477216,0.973416,12.15
BTB 12258,0.889912,-2.74806,0,0.0301798,0.889912,21.7
BTB 12669,0.248529,-18.3804,0,2.34098e-32,0.248529,101.63
BTB 12794,0.910481,-2.11267,0,0.0348196,0.910481,18.01
BTB 12851,0.138281,-20.2172,0,0,0.138281,115.08
BTB 12860,0.0976448,-21.2774,0,0,0.0976448,120.18
BTB 13385,0.954674,-1.05537,0,0.306726,0.954674,11.04
BTB 13421,0.993349,-0.0661268,0,0.412228,0.993349,5.2
BTB 13657,0.239597,-17.9427,0,0,0.239597,101.52
BTB 13756,0.894435,-2.32472,0,0.0496748,0.894435,15.71
BTB 13762,0.824469,-4.05667,0,5.3226e-05,0.824469,23.85
BTB 13764,0.85209,-3.30743,0,0.00271784,0.85209,19.56
BTB 13766,0.133537,-20.4951,0,0,0.133537,114.62
BTB 14690,0.181939,-19.2158,0,0,0.181939,108.27
BTB 14806,0.685658,-7.18923,0,9.9124e-13,0.685658,40.89
BTB 14847,0.944593,-1.06453,0,0.419952,0.944593,6.38
BTB 14887,0.915872,-1.73071,0,0.297732,0.915872,10.75
BTB 14906,0.577336,-10.5025,0,2.9011e-10,0.577336,55.5
BTB 15057,0.756487,-5.55049,0,3.14382e-08,0.756487,33.33
BTBG 00139,0.925729,-1.65671,0,0.137829,0.925729,11.93
BTBG 00201,0.650166,-7.96404,0,1.69395e-15,0.650166,48.52
BTBT 00050,0.233016,-18.2433,0,1.4013e-44,0.233016,102.55
CD 00352,0.757007,-5.81681,0,2.39576e-06,0.757007,35.91
CD 00749,0.208747,-18.8497,0,0,0.208747,106.1
CD 00754,0.868442,-3.14719,0,0.00384602,0.868442,23.26
CD 00755,0.510832,-11.6411,0,8.1356e-20,0.510832,68.72
