supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00178,0.774386,-4.22922,0,0.175705,0.774386,46.05
AW 00227,0.547105,-7.97697,0,0.00936744,0.547105,79.39
AW 00264,0.972283,-0.523857,0,0.642858,0.972283,16.98
AW 00294,0.921713,-1.51344,0,0.412938,0.921713,24.42
AW 00751,0.966071,-0.75568,0,0.549296,0.966071,17.91
AW 00786,1.02522,0.258396,0,0.797358,1.02522,9.23
AW 00837,1.00986,0.0986944,0,0.915806,1.00986,11.47
AW 00846,0.791815,-3.49726,0,0.123862,0.791815,43.46
AW 01237,0.98828,-0.304026,0,0.695842,0.98828,14.64
BR 00076,0.13292,-13.9712,0,1.33367e-08,0.13292,140.09
BR 00079,0.11881,-14.0667,0,4.38822e-09,0.11881,142.14
BR 00087,0.138465,-13.8779,0,1.61227e-08,0.138465,139.27
BTB 00551,0.750138,-3.67862,0,0.0363414,0.750138,49.53
BTB 00807,0.482787,-9.67361,1,0.0114205,0.482787,88.88
BTB 00808,0.198229,-12.8485,0,1.05952e-07,0.198229,130.5
BTB 01249,0.754391,-3.75034,0,0.048251,0.754391,48.92
BTB 01592,0.161959,-13.2724,0,1.46656e-08,0.161959,135.81
BTB 02045,0.881681,-2.16378,0,0.314332,0.881681,30.29
BTB 02100,0.108362,-14.182,0,2.30466e-09,0.108362,143.67
BTB 02101,0.111448,-14.1164,0,2.42268e-09,0.111448,143.22
BTB 02102,0.11327,-14.1488,0,3.43006e-09,0.11327,142.96
BTB 02152,0.120682,-13.9758,0,3.60378e-09,0.120682,141.87
BTB 02153,0.123132,-13.9704,0,4.60892e-09,0.123132,141.51
BTB 02162,0.12804,-13.9373,0,6.80814e-09,0.12804,140.79
BTB 02163,0.106522,-14.1944,0,1.9832e-09,0.106522,143.94
BTB 02164,0.107762,-14.1525,0,1.88609e-09,0.107762,143.76
BTB 02167,0.515776,-8.28933,0,0.0034746,0.515776,83.97
BTB 02215,0.105904,-14.2098,0,1.9832e-09,0.105904,144.03
BTB 02216,0.597067,-5.47302,0,0.000489134,0.597067,71.93
BTB 02223,0.110212,-14.1471,0,2.42268e-09,0.110212,143.4
BTB 02227,0.11512,-14.1139,0,3.60378e-09,0.11512,142.68
BTB 02332,1.00494,0.0543074,0,0.926378,1.00494,12.19
BTB 02708,0.717258,-4.7942,0,0.0581168,0.717258,54.4
BTB 02880,0.860785,-2.39441,0,0.242136,0.860785,33.34
BTB 02908,0.816473,-3.04021,0,0.149234,0.816473,39.84
BTB 02925,0.906339,-1.70673,0,0.357742,0.906339,26.67
BTB 02990,0.115124,-14.1028,0,3.43006e-09,0.115124,142.68
BTB 03006,0.119432,-14.0401,0,4.17782e-09,0.119432,142.05
BTB 03156,0.125004,-13.8796,0,3.78604e-09,0.125004,141.23
XBX 00259,0.917455,-1.45291,0,0.3681,0.917455,25.03
BTB 03252,0.171116,-13.3221,0,4.70044e-08,0.171116,134.48
BTB 03261,0.110839,-14.1094,0,2.19226e-09,0.110839,143.31
BTB 03767,0.666924,-5.20158,0,0.0138537,0.666924,61.75
BTB 03984,0.894046,-1.84569,0,0.31202,0.894046,28.46
BTB 04176,0.283078,-11.8169,0,5.83394e-06,0.283078,118.08
BTB 04424,0.112689,-14.0746,0,2.30466e-09,0.112689,143.04
BTB 04426,0.12125,-14.0837,0,6.17798e-09,0.12125,141.79
BTB 04487,0.143391,-13.7999,0,1.94697e-08,0.143391,138.55
BTB 04902,0.136733,-13.6217,0,4.38822e-09,0.136733,139.5
BTB 04959,0.119423,-14.0625,0,4.60892e-09,0.119423,142.06
BTB 04965,0.149544,-13.7137,0,2.57852e-08,0.149544,137.65
BTB 04980,0.14335,-13.9007,0,2.96472e-08,0.14335,138.56
BTB 05015,0.969757,-0.719591,0,0.536584,0.969757,17.37
BTB 05019,0.770883,-3.81746,0,0.0959034,0.770883,46.53
BTB 05131,0.517898,-9.09005,1,0.0196828,0.517898,83.73
BTB 05159,1,-0.0684523,0,0.829928,1,12.92
BTB 05178,0.118787,-14.1226,0,5.60462e-09,0.118787,142.15
BTB 05299,0.135506,-13.63,0,3.97724e-09,0.135506,139.68
BTB 05304,0.261578,-12.0293,0,1.879e-06,0.261578,121.23
BTB 05335,0.917418,-1.54248,0,0.390514,0.917418,25.04
BTB 05411,0.132416,-13.7067,0,3.97724e-09,0.132416,140.14
BTB 05413,0.212143,-13.2345,0,1.73421e-06,0.212143,128.51
BTB 05417,0.146495,-13.6896,0,1.69029e-08,0.146495,138.09
BTB 05434,0.46815,-8.05313,0,8.4491e-05,0.46815,90.88
BTB 05488,0.145872,-13.7162,0,1.77197e-08,0.145872,138.18
BTB 05562,0.792955,-3.70169,0,0.163138,0.792955,43.31
BTB 05678,0.706074,-5.21596,0,0.071746,0.706074,56.06
BTB 06086,0.299751,-11.4362,0,6.53858e-06,0.299751,115.63
BTB 06196,0.743143,-4.32885,0,0.0752146,0.743143,50.6
BTB 06254,0.121877,-14.0459,0,5.60462e-09,0.121877,141.7
BTB 06263,0.186499,-13.1065,0,9.26684e-08,0.186499,132.23
BTB 06536,0.793151,-3.22026,0,0.090376,0.793151,43.24
BTB 06587,0.118814,-14.0555,0,4.17782e-09,0.118814,142.14
BTB 06669,0.235688,-12.5058,0,1.02313e-06,0.235688,125.03
BTB 06671,0.231893,-12.8106,0,2.2041e-06,0.231893,125.6
BTB 06776,0.889088,-2.00203,0,0.320386,0.889088,29.2
BTB 06877,0.528882,-7.65359,0,0.00168608,0.528882,82.02
