supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00178,0.920865,-0.672209,0,0.519672,0.920865,8.9
AW 00227,0.853048,-1.2336,0,0.248406,0.853048,16.5
AW 00264,0.961486,-0.3302,0,0.743422,0.961486,4.33
AW 00294,0.927326,-0.61354,0,0.546184,0.927326,8.16
AW 00751,0.985969,-0.124043,0,0.901338,0.985969,1.58
AW 00786,1.00344,0.0186872,0,0.957734,1.00344,-0.37
AW 00837,0.99931,-0.0114503,0,0.980294,0.99931,0.08
AW 00846,0.955542,-0.372764,0,0.709326,0.955542,4.97
AW 01237,0.949842,-0.429048,0,0.673782,0.949842,5.65
BR 00076,0.10001,-7.42804,0,1.19108e-12,0.10001,100.63
BR 00079,0.0989569,-7.43808,0,1.3533e-12,0.0989569,100.75
BR 00087,0.10118,-7.41932,0,1.4431e-12,0.10118,100.5
BTB 00551,0.879031,-1.00051,0,0.317206,0.879031,13.51
BTB 00807,0.610303,-3.21993,0,0.00150177,0.610303,43.57
BTB 00808,0.615454,-3.1684,0,0.00153427,0.615454,42.96
BTB 01249,0.856352,-1.18316,0,0.239194,0.856352,16.03
BTB 01592,0.106131,-7.3765,0,1.44504e-12,0.106131,99.94
BTB 02045,0.863653,-1.13398,0,0.26012,0.863653,15.26
BTB 02100,0.102304,-7.41006,0,1.53844e-12,0.102304,100.37
BTB 02101,0.248969,-6.14858,0,2.41328e-08,0.248969,83.76
BTB 02102,0.0972367,-7.45156,0,1.1165e-12,0.0972367,100.94
BTB 02152,0.119436,-7.27446,0,8.38696e-12,0.119436,98.48
BTB 02153,0.457027,-4.45062,0,2.95156e-05,0.457027,60.57
BTB 02162,0.211309,-6.54598,0,2.44168e-08,0.211309,88.33
BTB 02163,0.089876,-7.51103,0,6.24114e-13,0.089876,101.76
BTB 02164,0.0996003,-7.43438,0,1.74679e-12,0.0996003,100.68
BTB 02167,0.827266,-1.45799,0,0.220336,0.827266,19.43
BTB 02215,0.0926963,-7.48804,0,7.58236e-13,0.0926963,101.44
BTB 02216,0.26248,-6.07082,0,1.27713e-09,0.26248,82.39
BTB 02223,0.247136,-6.21564,0,2.46736e-09,0.247136,84.18
BTB 02227,0.093843,-7.47905,0,8.62818e-13,0.093843,101.32
BTB 02332,1.01809,0.138422,0,0.89016,1.01809,-2
BTB 02708,0.825819,-1.44164,0,0.14988,0.825819,19.47
BTB 02880,0.912768,-0.734329,0,0.471968,0.912768,9.79
BTB 02908,0.830932,-1.40067,0,0.162348,0.830932,18.9
BTB 02925,0.954675,-0.384915,0,0.701902,0.954675,5.09
BTB 02990,0.129303,-7.17748,0,1.81435e-12,0.129303,97.31
BTB 03006,0.0949898,-7.47006,0,9.81542e-13,0.0949898,101.19
BTB 03156,0.102304,-7.41006,0,1.53844e-12,0.102304,100.37
XBX 00259,0.946928,-0.450989,0,0.65584,0.946928,5.96
BTB 03252,0.702439,-2.45053,0,0.0144769,0.702439,33.23
BTB 03261,0.0944164,-7.47456,0,9.20302e-13,0.0944164,101.25
BTB 03767,0.803803,-1.64275,0,0.135616,0.803803,22.01
BTB 03984,0.936817,-0.534248,0,0.597676,0.936817,7.09
BTB 04176,0.630395,-3.06292,0,0.00356496,0.630395,41.36
BTB 04424,0.101661,-7.41377,0,1.19163e-12,0.101661,100.44
BTB 04426,0.137704,-7.11879,0,1.14292e-11,0.137704,96.42
BTB 04487,0.47891,-4.35771,1,0.00126412,0.47891,58.49
BTB 04902,0.208695,-6.51645,0,7.66548e-11,0.208695,88.41
BTB 04959,0.184982,-6.73131,0,1.77003e-10,0.184982,91.14
BTB 04965,0.415047,-4.89794,1,0.000569736,0.415047,65.69
BTB 04980,0.398452,-5.03961,1,0.000501716,0.398452,67.56
BTB 05015,0.982948,-0.15575,0,0.863886,0.982948,1.94
BTB 05019,0.83964,-1.3235,0,0.186071,0.83964,17.91
BTB 05131,0.482627,-4.35582,1,0.00743012,0.482627,58.19
BTB 05159,1.01142,0.0821257,0,0.922656,1.01142,-1.25
BTB 05178,0.375988,-5.10402,0,5.14778e-06,0.375988,69.57
BTB 05299,0.138194,-7.12433,0,4.06924e-11,0.138194,96.4
BTB 05304,0.61573,-3.19347,0,0.00410088,0.61573,43.04
BTB 05335,0.918842,-0.682263,0,0.500618,0.918842,9.1
BTB 05411,0.143108,-7.09207,0,1.48522e-10,0.143108,95.89
BTB 05413,0.251732,-6.11398,0,1.09942e-07,0.251732,83.4
BTB 05417,0.0949665,-7.4698,0,9.2041e-13,0.0949665,101.19
BTB 05434,0.719408,-2.31309,0,0.0207538,0.719408,31.34
BTB 05488,0.665806,-2.78273,0,0.0136178,0.665806,37.45
BTB 05562,0.898713,-0.849834,0,0.405036,0.898713,11.36
BTB 05678,0.891505,-0.900067,0,0.368172,0.891505,12.13
BTB 06086,0.638973,-2.99525,0,0.00504044,0.638973,40.42
BTB 06196,0.914851,-0.713982,0,0.479462,0.914851,9.54
BTB 06254,0.111795,-7.33077,0,2.25614e-12,0.111795,99.31
BTB 06263,0.70057,-2.52815,1,0.0918026,0.70057,33.7
BTB 06536,0.897426,-0.85724,0,0.39581,0.897426,11.49
BTB 06587,0.0988869,-7.43729,0,1.1169e-12,0.0988869,100.75
BTB 06669,0.361847,-5.25146,0,1.58769e-07,0.361847,71.28
