supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00178,0.937454,-2.47041,0,0.0221016,0.937454,7.93
AW 00227,0.877074,-4.88164,0,5.36e-06,0.877074,14.62
AW 00264,0.947835,-2.07081,0,0.0427858,0.947835,6.78
AW 00294,0.933439,-2.68393,0,0.00960814,0.933439,8.37
AW 00751,0.993787,-0.284043,0,0.652324,0.993787,1.68
AW 00786,1.01312,0.526325,0,0.598718,1.01312,-0.45
AW 00837,1.00326,0.139395,0,0.88988,1.00326,0.64
AW 00846,0.971861,-1.15019,0,0.274476,0.971861,4.11
AW 01237,0.970838,-1.16797,0,0.242892,0.970838,4.23
BR 00076,0.095679,-36.3457,0,0,0.095679,101.12
BR 00079,0.0862885,-36.7389,0,0,0.0862885,102.16
BR 00087,0.0928608,-36.4809,0,0,0.0928608,101.43
BTB 00551,0.877129,-5.03163,0,0.000234534,0.877129,14.59
BTB 00807,0.626608,-14.5957,0,3.671e-24,0.626608,42.42
BTB 00808,0.627545,-14.946,0,0,0.627545,42.24
BTB 01249,0.899849,-4.05824,0,0.000368256,0.899849,12.08
BTB 01592,0.10112,-36.1433,0,0,0.10112,100.52
BTB 02045,0.905975,-3.78647,0,0.000292062,0.905975,11.41
BTB 02100,0.0884648,-36.6579,0,0,0.0884648,101.92
BTB 02101,0.260129,-30.0166,0,0,0.260129,82.86
BTB 02102,0.0972568,-36.3039,0,0,0.0972568,100.94
BTB 02152,0.104917,-36.0055,0,0,0.104917,100.09
BTB 02153,0.642474,-14.4854,0,6.9388e-34,0.642474,40.56
BTB 02162,0.181032,-33.0226,0,0,0.181032,91.65
BTB 02163,0.0961578,-36.3482,0,0,0.0961578,101.06
BTB 02164,0.0983776,-36.2521,0,0,0.0983776,100.82
BTB 02167,0.795323,-8.135,0,5.42654e-14,0.795323,23.68
BTB 02215,0.0928825,-36.4734,0,0,0.0928825,101.43
BTB 02216,0.454923,-21.4136,0,0,0.454923,61.44
BTB 02223,0.25237,-30.1801,0,0,0.25237,83.75
BTB 02227,0.100021,-36.1876,0,0,0.100021,100.64
BTB 02332,1.00832,0.378254,0,0.577522,1.00832,0.09
BTB 02708,0.853266,-5.8955,0,1.35834e-08,0.853266,17.25
BTB 02880,0.916943,-3.35151,0,0.00157598,0.916943,10.2
BTB 02908,0.837739,-6.56422,0,1.0577e-08,0.837739,18.96
BTB 02925,0.958129,-1.70147,0,0.108225,0.958129,5.63
