supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00178,0.311669,-25.0161,0,0,0.311669,80.96
AW 00227,0.0998539,-32.6666,0,0,0.0998539,100.5
AW 00264,0.959503,-1.42483,0,0.381896,0.959503,17.42
AW 00294,0.110876,-32.2674,0,0,0.110876,99.4
AW 00751,0.989174,-0.343085,0,0.555156,0.989174,13.92
AW 00786,1.04897,1.82676,0,0.246646,1.04897,7.85
AW 00837,1.0154,0.609456,0,0.555796,1.0154,10.77
AW 00846,0.107325,-32.3923,0,0,0.107325,99.55
AW 01237,0.901678,-3.52079,0,0.00059997,0.901678,21.33
BR 00076,0.113257,-32.1745,0,0,0.113257,98.88
BR 00079,0.0965493,-32.7847,0,0,0.0965493,100.55
BR 00087,0.100262,-32.649,0,0,0.100262,100.16
BTB 00551,0.625171,-13.6069,0,3.23756e-16,0.625171,48.61
BTB 00807,0.833364,-6.01895,0,0.000198555,0.833364,27.97
BTB 00808,0.278562,-26.1987,0,0,0.278562,83
BTB 01249,0.155221,-30.6502,0,0,0.155221,94.85
BTB 01592,0.129128,-31.6034,0,0,0.129128,97.46
BTB 02045,0.880526,-4.2924,0,0.000137867,0.880526,23.68
BTB 02100,0.0973743,-32.755,0,0,0.0973743,100.55
BTB 02101,0.0996388,-32.6716,0,0,0.0996388,100.33
BTB 02102,0.100958,-32.6227,0,0,0.100958,100.22
BTB 02152,0.0965869,-32.7832,0,0,0.0965869,100.66
BTB 02153,0.128983,-31.614,0,0,0.128983,97.48
BTB 02162,0.109849,-32.2981,0,0,0.109849,99.49
BTB 02163,0.101369,-32.6091,0,0,0.101369,100.33
BTB 02164,0.0994196,-32.6814,0,0,0.0994196,100.5
BTB 02167,0.217731,-28.3673,0,0,0.217731,89.07
BTB 02215,0.099458,-32.6798,0,0,0.099458,100.39
BTB 02216,0.745421,-9.19791,0,6.43042e-20,0.745421,36.69
BTB 02223,0.102841,-32.5577,0,0,0.102841,99.95
BTB 02227,0.104136,-32.5088,0,0,0.104136,99.84
BTB 02332,0.953447,-1.62037,1,0.180083,0.953447,15.9
BTB 02708,0.0956274,-32.8192,0,0,0.0956274,100.67
BTB 02880,0.843421,-5.62911,0,3.24204e-06,0.843421,26.93
BTB 02908,0.196981,-29.1346,0,0,0.196981,90.71
BTB 02925,0.156804,-30.5957,0,0,0.156804,94.7
BTB 02990,0.0998482,-32.6645,0,0,0.0998482,100.33
BTB 03006,0.10002,-32.6588,0,0,0.10002,100.33
BTB 03156,0.11286,-32.1901,0,0,0.11286,99.11
XBX 00259,0.903212,-3.45252,0,0.0327014,0.903212,20.95
BTB 03252,0.0959638,-32.8083,0,0,0.0959638,100.78
BTB 03261,0.111492,-32.2397,0,0,0.111492,99.33
BTB 03767,0.476977,-19.0493,0,7.84716e-08,0.476977,64.24
BTB 03984,0.903139,-3.46618,0,0.000528744,0.903139,23.56
BTB 04176,0.112834,-32.193,0,0,0.112834,99.34
BTB 04424,0.100758,-32.6333,0,0,0.100758,100.5
BTB 04426,0.10354,-32.5321,0,0,0.10354,100.22
BTB 04487,0.105624,-32.4564,0,0,0.105624,100
BTB 04902,0.104671,-32.4897,0,0,0.104671,100.05
BTB 04959,0.107118,-32.4003,0,0,0.107118,99.78
BTB 04965,0.104376,-32.5002,0,0,0.104376,100
BTB 04980,0.199822,-29.0321,0,0,0.199822,90.65
BTB 05015,0.982584,-0.577156,0,0.570362,0.982584,13.87
BTB 05019,0.64891,-12.7139,0,1.07061e-31,0.64891,46.26
BTB 05131,0.115711,-32.0903,0,0,0.115711,98.68
BTB 05159,1,0.0535272,0,0.870284,1,10.68
BTB 05178,0.0913405,-32.9758,0,0,0.0913405,101
BTB 05299,0.114755,-32.1232,0,0,0.114755,98.62
BTB 05304,0.0996612,-32.672,0,0,0.0996612,100.11
BTB 05335,0.116667,-32.0557,0,0,0.116667,98.4
BTB 05411,0.111793,-32.2309,0,0,0.111793,98.89
BTB 05413,0.123589,-31.8056,0,0,0.123589,97.74
BTB 05417,0.108825,-32.3395,0,0,0.108825,99.23
BTB 05434,0.0984209,-32.7174,0,0,0.0984209,100.28
BTB 05488,0.0994461,-32.6797,0,0,0.0994461,100.16
BTB 05562,0.135635,-31.3643,0,0,0.135635,96.51
BTB 05678,0.543699,-16.5426,0,0,0.543699,55.55
BTB 06086,0.100548,-32.6399,0,0,0.100548,99.94
BTB 06196,0.649826,-12.6828,0,7.38372e-30,0.649826,43.98
BTB 06254,0.103664,-32.5273,0,0,0.103664,99.45
BTB 06263,0.107465,-32.3889,0,0,0.107465,98.95
BTB 06536,0.108271,-32.358,0,0,0.108271,98.72
BTB 06587,0.0953387,-32.8287,0,0,0.0953387,99.99
BTB 06669,0.0940763,-32.8753,0,0,0.0940763,100.05
BTB 06671,0.112473,-32.2057,0,0,0.112473,97.94
BTB 06776,0.153167,-30.7369,0,0,0.153167,93.72
BTB 06877,0.108336,-32.3584,0,0,0.108336,98.23
BTB 06908,0.120739,-31.9025,0,0,0.120739,96.55
BTB 06938,0.0874906,-33.1165,0,0,0.0874906,100.33
BTB 07090,0.12539,-31.7382,0,0,0.12539,95.9
BTB 07221,0.764885,-8.50274,0,4.92178e-12,0.764885,40.8
BTB 07256,0.159393,-30.5071,0,0,0.159393,95.7
