supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,0.952492,-1.88569,0,0.0616798,0.952492,0
LOPAC 00362,0.980536,-0.674417,0,0.501148,0.980536,0
LOPAC 00557,1.00464,0.147832,0,0.848846,1.00464,0
LOPAC 00565,1.01459,0.589566,0,0.5489,1.01459,0
LOPAC 00574,1.01121,0.451162,0,0.65318,1.01121,0
LOPAC 00581,0.972908,-0.875631,0,0.381262,0.972908,0
LOPAC 00592,1.0139,0.597791,0,0.550594,1.0139,0
LOPAC 00662,1.01035,0.376461,0,0.64787,1.01035,0
LOPAC 00001,1.008,0.280651,0,0.702914,1.008,0
LOPAC 00057,0.999573,-0.0213879,0,0.842448,0.999573,0
LOPAC 00164,1.01323,0.428072,0,0.6686,1.01323,0
LOPAC 00167,1.00469,0.204677,0,0.837908,1.00469,0
LOPAC 00235,1.01272,0.570087,0,0.587836,1.01272,0
LOPAC 00332,1.00218,0.107178,0,0.761816,1.00218,0
LOPAC 00612,0.978285,-0.698538,0,0.33293,0.978285,0
LOPAC 00644,0.97176,-0.967846,0,0.278698,0.97176,0
LOPAC 00023,0.991549,-0.3702,0,0.615508,0.991549,0
LOPAC 00087,1.01349,0.463984,0,0.646416,1.01349,0
LOPAC 00645,1.00563,0.204319,0,0.676378,1.00563,0
LOPAC 00646,1.0046,0.149307,0,0.762632,1.0046,0
LOPAC 00647,1.01159,0.382078,0,0.702444,1.01159,0
LOPAC 00648,1.00824,0.262102,0,0.793666,1.00824,0
LOPAC 00649,0.992641,-0.235344,0,0.50933,0.992641,0
LOPAC 00663,0.982259,-0.452008,0,0.276446,0.982259,0
LOPAC 00018,1.00711,0.264497,0,0.602638,1.00711,0
LOPAC 00243,0.976992,-0.780318,0,0.436188,0.976992,0
LOPAC 00324,1.00745,0.30727,0,0.630982,1.00745,0
LOPAC 00621,0.996404,-0.122401,0,0.695614,0.996404,0
LOPAC 00650,1.01333,0.690585,0,0.490926,1.01333,0
LOPAC 00651,1.01408,0.53214,0,0.594628,1.01408,0
LOPAC 00664,0.99771,-0.110706,0,0.641376,0.99771,0
LOPAC 01302,0.988383,-0.616855,0,0.386636,0.988383,0
LOPAC 00171,0.980973,-0.601316,0,0.53138,0.980973,0
LOPAC 00568,0.994569,-0.240217,0,0.810178,0.994569,0
LOPAC 00598,0.98291,-0.461964,0,0.497458,0.98291,0
LOPAC 00652,1.00656,0.209891,0,0.69637,1.00656,0
LOPAC 00653,0.992215,-0.373689,0,0.7152,0.992215,0
LOPAC 00665,1.02042,0.683085,0,0.495468,1.02042,0
LOPAC 00666,1.00308,0.0861127,0,0.761408,1.00308,0
LOPAC 00349,1.00945,0.326823,0,0.744434,1.00945,0
LOPAC 00564,1.01168,0.414272,0,0.64613,1.01168,0
LOPAC 00654,0.974997,-0.714388,0,0.303252,0.974997,0
LOPAC 00655,0.998083,-0.102677,0,0.856976,0.998083,0
LOPAC 00656,1.01503,0.492076,0,0.511862,1.01503,0
LOPAC 00667,1.00185,0.0653728,0,0.700228,1.00185,0
LOPAC 00668,1.0036,0.126457,0,0.72825,1.0036,0
LOPAC 01342,0.973741,-0.990554,0,0.322,0.973741,0
LOPAC 00326,1.01137,0.382477,0,0.702352,1.01137,0
LOPAC 00409,0.995253,-0.135695,0,0.716614,0.995253,0
LOPAC 00485,1.00874,0.299907,0,0.661256,1.00874,0
LOPAC 00490,1.00535,0.175841,0,0.743944,1.00535,0
LOPAC 00657,1.0006,0.0367796,0,0.830634,1.0006,0
LOPAC 00658,1.00338,0.121623,0,0.863764,1.00338,0
LOPAC 00669,0.984685,-0.540649,0,0.521754,0.984685,0
LOPAC 00670,1.06814,2.13859,1,0.035201,1.06814,0
LOPAC 00017,1.01047,0.400614,0,0.543178,1.01047,0
LOPAC 00327,0.995898,-0.188548,0,0.813252,0.995898,0
LOPAC 00364,0.982202,-0.589038,0,0.477636,0.982202,0
LOPAC 00659,1.00084,0.0241366,0,0.738318,1.00084,0
LOPAC 00660,1.01037,0.494674,0,0.621184,1.01037,0
LOPAC 00661,0.998784,-0.0481906,0,0.748248,0.998784,0
LOPAC 00671,1.00597,0.232399,0,0.419998,1.00597,0
LOPAC 00672,0.991593,-0.284734,0,0.743888,0.991593,0
LOPAC 00170,0.959338,-1.54608,0,0.12218,0.959338,0
LOPAC 00178,1.00078,0.0338622,0,0.728468,1.00078,0
LOPAC 00569,0.996999,-0.1522,0,0.755488,0.996999,0
LOPAC 00602,0.98176,-0.685209,0,0.493704,0.98176,0
LOPAC 00673,0.993977,-0.182725,0,0.68923,0.993977,0
LOPAC 00674,1.00914,0.280586,0,0.660416,1.00914,0
LOPAC 01303,0.994349,-0.191001,0,0.77167,0.994349,0
LOPAC 01318,1.0071,0.176761,0,0.697726,1.0071,0
LOPAC 00084,1.00947,0.469786,0,0.638748,1.00947,0
LOPAC 00408,1.0094,0.362085,0,0.718,1.0094,0
LOPAC 00675,0.982028,-0.520222,0,0.341724,0.982028,0
LOPAC 00676,0.969988,-1.13175,0,0.257912,0.969988,0
LOPAC 00677,1.00726,0.259165,0,0.78597,1.00726,0
LOPAC 00679,1.00427,0.124411,0,0.736768,1.00427,0
LOPAC 00680,0.989374,-0.361499,0,0.717788,0.989374,0
LOPAC 01304,1.01651,0.6369,0,0.52933,1.01651,0
