supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,1.01256,0.412958,0,0.638512,1.01256,0
LOPAC 00362,0.982269,-0.553444,0,0.580918,0.982269,0
LOPAC 00557,0.975358,-0.76047,0,0.44889,0.975358,0
LOPAC 00565,0.994033,-0.188688,0,0.850782,0.994033,0
LOPAC 00574,0.99052,-0.281315,0,0.78585,0.99052,0
LOPAC 00581,0.999842,0.0079117,0,0.77838,0.999842,0
LOPAC 00592,1.0122,0.355436,0,0.634014,1.0122,0
LOPAC 00662,0.993928,-0.200089,0,0.801198,0.993928,0
LOPAC 00001,0.992665,-0.211792,0,0.733752,0.992665,0
LOPAC 00057,1.04424,1.36574,0,0.177177,1.04424,0
LOPAC 00164,1.01128,0.357488,0,0.724228,1.01128,0
LOPAC 00167,1.01386,0.421387,0,0.678856,1.01386,0
LOPAC 00235,1.01412,0.393596,0,0.36285,1.01412,0
LOPAC 00332,0.983964,-0.518854,0,0.641482,0.983964,0
LOPAC 00612,1.01073,0.335047,0,0.737848,1.01073,0
LOPAC 00644,0.985516,-0.454028,0,0.651472,0.985516,0
LOPAC 00023,0.99099,-0.284855,0,0.777214,0.99099,0
LOPAC 00087,0.998355,-0.0467352,0,0.924802,0.998355,0
LOPAC 00645,1.00871,0.289127,0,0.6913,1.00871,0
LOPAC 00646,0.998379,-0.0560053,0,0.900082,0.998379,0
LOPAC 00647,1.00469,0.13367,0,0.793628,1.00469,0
LOPAC 00648,0.990542,-0.291644,0,0.770742,0.990542,0
LOPAC 00649,1.00102,0.0246454,0,0.875364,1.00102,0
LOPAC 00663,1.01189,0.365258,0,0.715864,1.01189,0
LOPAC 00018,0.994931,-0.12209,0,0.442452,0.994931,0
LOPAC 00243,1.04181,1.30148,0,0.195025,1.04181,0
LOPAC 00324,0.988193,-0.382683,0,0.719676,0.988193,0
LOPAC 00621,1.00192,0.0791111,0,0.670796,1.00192,0
LOPAC 00650,1.02795,0.85038,0,0.426702,1.02795,0
LOPAC 00651,0.971443,-0.873256,0,0.401332,0.971443,0
LOPAC 00664,0.999102,-0.0291813,0,0.97673,0.999102,0
LOPAC 01302,1.01636,0.458674,0,0.330692,1.01636,0
LOPAC 00171,0.96543,-1.03241,0,0.469274,0.96543,0
LOPAC 00568,0.991072,-0.250322,0,0.569318,0.991072,0
LOPAC 00598,1.0165,0.513499,0,0.607794,1.0165,0
LOPAC 00652,0.994428,-0.15649,0,0.7218,0.994428,0
LOPAC 00653,0.997701,-0.114977,0,0.340724,0.997701,0
LOPAC 00665,0.988991,-0.348422,0,0.730434,0.988991,0
LOPAC 00666,1.01119,0.324405,0,0.632202,1.01119,0
LOPAC 00349,1.02212,0.700381,0,0.503894,1.02212,0
LOPAC 00564,0.958552,-1.26086,0,0.275062,0.958552,0
LOPAC 00654,1.04919,1.50586,0,0.170435,1.04919,0
LOPAC 00655,0.988074,-0.352255,0,0.712912,0.988074,0
LOPAC 00656,0.991058,-0.349452,0,0.135571,0.991058,0
LOPAC 00667,0.992505,-0.247847,0,0.744566,0.992505,0
LOPAC 00668,1.00271,0.0848177,0,0.932416,1.00271,0
LOPAC 01342,0.823408,-5.5336,0,6.86242e-06,0.823408,0
LOPAC 00326,0.997858,-0.112771,0,0.311808,0.997858,0
LOPAC 00409,0.950202,-1.56419,0,0.149333,0.950202,0
LOPAC 00485,1.00722,0.272473,0,0.303432,1.00722,0
LOPAC 00490,1.0606,1.8541,0,0.108581,1.0606,0
LOPAC 00657,1.00037,0.0381095,0,0.560828,1.00037,0
LOPAC 00658,1.00009,0.0305251,0,0.54319,1.00009,0
LOPAC 00669,1.01038,0.340572,0,0.70075,1.01038,0
LOPAC 00670,0.97393,-0.821394,0,0.428672,0.97393,0
LOPAC 00017,1.01128,0.369572,0,0.685834,1.01128,0
LOPAC 00327,1.09133,2.80525,0,0.0151869,1.09133,0
LOPAC 00364,1.03428,1.05282,0,0.305846,1.03428,0
LOPAC 00659,0.975992,-0.743058,0,0.457846,0.975992,0
LOPAC 00660,0.978212,-0.66064,0,0.532652,0.978212,0
LOPAC 00661,0.984412,-0.533116,0,0.34271,0.984412,0
LOPAC 00671,0.924755,-2.3183,0,0.0289854,0.924755,0
LOPAC 00672,0.978577,-0.705132,0,0.483184,0.978577,0
LOPAC 00170,1.04511,1.44964,0,0.367072,1.04511,0
LOPAC 00178,1.00276,0.0900348,0,0.924112,1.00276,0
LOPAC 00569,0.972067,-0.812051,0,0.370044,0.972067,0
LOPAC 00602,0.965148,-1.08527,0,0.279496,0.965148,0
LOPAC 00673,1.05956,1.81775,0,0.131914,1.05956,0
LOPAC 00674,1.02023,0.673126,0,0.419494,1.02023,0
LOPAC 01303,0.942412,-1.78983,0,0.0740542,0.942412,0
LOPAC 01318,0.973982,-0.79452,0,0.444992,0.973982,0
LOPAC 00084,0.994043,-0.183276,0,0.854668,0.994043,0
LOPAC 00408,1.02635,0.800851,0,0.454288,1.02635,0
LOPAC 00675,1.05543,1.722,0,0.0853886,1.05543,0
LOPAC 00676,1.00308,0.0683055,0,0.551076,1.00308,0
LOPAC 00677,1.0574,1.80972,0,0.125692,1.0574,0
LOPAC 00679,0.98091,-0.589793,0,0.55597,0.98091,0
LOPAC 00680,0.955994,-1.34683,0,0.214014,0.955994,0
LOPAC 01304,1.04219,1.31828,0,0.196361,1.04219,0
LOPAC 00083,0.995782,-0.134494,0,0.893346,0.995782,0
LOPAC 00165,0.998654,-0.0482581,0,0.886768,0.998654,0
LOPAC 00353,1.03433,1.05595,0,0.300902,1.03433,0
LOPAC 00439,0.972518,-0.847659,0,0.399596,0.972518,0
LOPAC 00681,1.01918,0.602843,0,0.552406,1.01918,0
LOPAC 00682,0.989016,-0.325999,0,0.757202,0.989016,0
LOPAC 00683,0.987159,-0.41617,0,0.699584,0.987159,0
LOPAC 00684,0.961973,-1.17441,0,0.243744,0.961973,0
LOPAC 00082,0.973174,-0.822338,0,0.422284,0.973174,0
