supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,0.986225,-0.593362,0,0.604964,0.986225,0
LOPAC 00362,1.0164,0.75791,0,0.449932,1.0164,0
LOPAC 00557,0.991723,-0.400627,0,0.70402,0.991723,0
LOPAC 00565,1.01877,0.882505,0,0.402968,1.01877,0
LOPAC 00574,0.982733,-0.76507,0,0.485718,0.982733,0
LOPAC 00581,1.0177,0.779848,0,0.493816,1.0177,0
LOPAC 00592,1.0072,0.262253,0,0.297352,1.0072,0
LOPAC 00662,0.983253,-0.735569,0,0.520038,0.983253,0
LOPAC 00001,1.01122,0.550431,0,0.628938,1.01122,0
LOPAC 00057,0.995494,-0.174282,0,0.61279,0.995494,0
LOPAC 00164,1.00582,0.250291,0,0.795254,1.00582,0
LOPAC 00167,1.00301,0.104318,0,0.595534,1.00301,0
LOPAC 00235,0.980791,-0.924181,0,0.454908,0.980791,0
LOPAC 00332,0.992265,-0.394787,0,0.561796,0.992265,0
LOPAC 00612,1.00773,0.364535,0,0.7186,1.00773,0
LOPAC 00644,0.98768,-0.568837,0,0.569996,0.98768,0
LOPAC 00023,0.999309,-0.0483565,0,0.793206,0.999309,0
LOPAC 00087,0.998126,-0.0835105,0,0.933498,0.998126,0
LOPAC 00645,0.989379,-0.434433,0,0.444756,0.989379,0
LOPAC 00646,1.01175,0.514968,0,0.632724,1.01175,0
LOPAC 00647,1.00123,0.0392006,0,0.783532,1.00123,0
LOPAC 00648,1.0005,0.0361786,0,0.837092,1.0005,0
LOPAC 00649,1.00229,0.0991852,0,0.921346,1.00229,0
LOPAC 00663,0.99144,-0.375644,0,0.71738,0.99144,0
LOPAC 00018,1.01827,0.821781,0,0.427938,1.01827,0
LOPAC 00243,0.993521,-0.292203,0,0.77088,0.993521,0
LOPAC 00324,0.991643,-0.398606,0,0.698292,0.991643,0
LOPAC 00621,1.01158,0.535668,0,0.59288,1.01158,0
LOPAC 00650,1.01769,0.818898,0,0.415696,1.01769,0
LOPAC 00651,0.973678,-1.1788,0,0.28785,0.973678,0
LOPAC 00664,0.995839,-0.1778,0,0.837516,0.995839,0
LOPAC 01302,1.01643,0.675475,0,0.313594,1.01643,0
LOPAC 00171,1.01394,0.658592,0,0.528258,1.01394,0
LOPAC 00568,1.01935,0.952265,0,0.500738,1.01935,0
LOPAC 00598,0.984908,-0.66864,0,0.53374,0.984908,0
LOPAC 00652,1.00175,0.0605691,0,0.757182,1.00175,0
LOPAC 00653,1.00083,0.0253194,0,0.839102,1.00083,0
LOPAC 00665,0.970476,-1.37427,0,0.188364,0.970476,0
LOPAC 00666,1.01311,0.576475,0,0.593958,1.01311,0
LOPAC 00349,0.991252,-0.396366,0,0.692816,0.991252,0
LOPAC 00564,1.01518,0.648693,0,0.534194,1.01518,0
LOPAC 00654,0.994274,-0.238185,0,0.705208,0.994274,0
LOPAC 00655,0.993959,-0.253522,0,0.716326,0.993959,0
LOPAC 00656,1.00001,-0.00410731,0,0.939742,1.00001,0
LOPAC 00667,1.03959,1.67696,0,0.29484,1.03959,0
LOPAC 00668,1.01534,0.695068,0,0.49155,1.01534,0
LOPAC 01342,0.349771,-30.0312,0,0,0.349771,0
LOPAC 00326,0.996651,-0.141234,0,0.84522,0.996651,0
LOPAC 00409,1.01982,0.863883,0,0.501606,1.01982,0
LOPAC 00485,0.989823,-0.430792,0,0.600256,0.989823,0
LOPAC 00490,0.990332,-0.448741,0,0.654608,0.990332,0
LOPAC 00657,1.00576,0.253349,0,0.803034,1.00576,0
LOPAC 00658,1.01332,0.604892,0,0.547252,1.01332,0
LOPAC 00669,1.00271,0.151204,0,0.675604,1.00271,0
LOPAC 00670,0.983761,-0.781641,0,0.504792,0.983761,0
LOPAC 00017,0.994618,-0.210916,0,0.576882,0.994618,0
LOPAC 00327,1.00004,0.0202859,0,0.771966,1.00004,0
LOPAC 00364,1.00514,0.20858,0,0.674162,1.00514,0
LOPAC 00659,0.99459,-0.243743,0,0.807926,0.99459,0
LOPAC 00660,1.00739,0.312721,0,0.690806,1.00739,0
LOPAC 00661,0.984631,-0.703306,0,0.482126,0.984631,0
LOPAC 00671,0.956982,-2.03156,0,0.130038,0.956982,0
LOPAC 00672,1.01348,0.561387,0,0.436426,1.01348,0
LOPAC 00170,0.989158,-0.476071,0,0.653232,0.989158,0
LOPAC 00178,1.01236,0.581561,0,0.57042,1.01236,0
LOPAC 00569,1.00605,0.260696,0,0.796226,1.00605,0
LOPAC 00602,1.00951,0.428348,0,0.67091,1.00951,0
LOPAC 00673,1.02107,0.962119,0,0.337488,1.02107,0
LOPAC 00674,1.00934,0.463649,0,0.622666,1.00934,0
LOPAC 01303,0.990594,-0.406845,0,0.706422,0.990594,0
LOPAC 01318,0.997024,-0.182312,0,0.478046,0.997024,0
LOPAC 00084,0.996647,-0.147097,0,0.883724,0.996647,0
LOPAC 00408,1.01417,0.664751,0,0.517204,1.01417,0
LOPAC 00675,0.987229,-0.575927,0,0.569778,0.987229,0
LOPAC 00676,1.00095,0.056282,0,0.843378,1.00095,0
LOPAC 00677,1.0026,0.165447,0,0.474958,1.0026,0
LOPAC 00679,1.00089,0.00425455,0,0.565676,1.00089,0
LOPAC 00680,0.999449,-0.0515128,0,0.679316,0.999449,0
LOPAC 01304,0.987684,-0.556192,0,0.582026,0.987684,0
LOPAC 00083,0.994927,-0.230708,0,0.817646,0.994927,0
LOPAC 00165,1.02135,0.99418,0,0.33206,1.02135,0
LOPAC 00353,0.987658,-0.57125,0,0.568898,0.987658,0
LOPAC 00439,1.00961,0.437509,0,0.662254,1.00961,0
LOPAC 00681,1.01014,0.440455,0,0.68316,1.01014,0
LOPAC 00682,1.00276,0.14473,0,0.780456,1.00276,0
LOPAC 00683,1.06451,2.94974,0,0.00368196,1.06451,0
LOPAC 00684,0.987904,-0.559624,0,0.576632,0.987904,0
LOPAC 00082,1.00132,0.0541257,0,0.91813,1.00132,0
LOPAC 00166,0.991365,-0.39323,0,0.69451,0.991365,0
LOPAC 00484,0.980615,-0.913576,0,0.393798,0.980615,0
LOPAC 00566,0.996999,-0.124672,0,0.837398,0.996999,0
LOPAC 00685,0.993564,-0.314706,0,0.763808,0.993564,0
LOPAC 00686,1.00097,0.0690609,0,0.701768,1.00097,0
LOPAC 00687,1.0304,1.40099,0,0.16268,1.0304,0
LOPAC 00688,1.00725,0.343917,0,0.734974,1.00725,0
LOPAC 00011,0.999627,-0.0066623,0,0.868864,0.999627,0
LOPAC 00053,0.989611,-0.48181,0,0.630958,0.989611,0
LOPAC 00325,1.00505,0.22453,0,0.823508,1.00505,0
LOPAC 00689,0.985368,-0.669648,0,0.503298,0.985368,0
LOPAC 00690,1.01513,0.695591,0,0.486762,1.01513,0
LOPAC 00691,0.99524,-0.211208,0,0.833816,0.99524,0
LOPAC 00692,0.991551,-0.381816,0,0.703886,0.991551,0
LOPAC 00693,1.00003,0.0035524,0,0.970824,1.00003,0
LOPAC 00130,1.02294,1.03894,0,0.310814,1.02294,0
LOPAC 00328,1.01742,0.774039,0,0.475384,1.01742,0
LOPAC 00567,0.998017,-0.107417,0,0.796866,0.998017,0
LOPAC 00694,0.987463,-0.543063,0,0.63331,0.987463,0
LOPAC 00695,0.931011,-3.13952,0,0.00356426,0.931011,0
LOPAC 00696,0.991164,-0.446558,0,0.558258,0.991164,0
LOPAC 00697,1.02657,1.20951,0,0.232396,1.02657,0
LOPAC 00698,0.970895,-1.36813,0,0.224908,0.970895,0
LOPAC 00002,0.994187,-0.247765,0,0.770438,0.994187,0
LOPAC 00009,1.00623,0.303803,0,0.770182,1.00623,0
LOPAC 00015,1.01418,0.61574,0,0.597126,1.01418,0
LOPAC 00060,0.998563,-0.0800905,0,0.824178,0.998563,0
