supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,1.0189,0.809236,0,0.420374,1.0189,0
LOPAC 00362,0.971378,-1.21113,0,0.267336,0.971378,0
LOPAC 00557,0.999965,-0.0124357,0,0.665616,0.999965,0
LOPAC 00565,1.0128,0.545571,0,0.58555,1.0128,0
LOPAC 00574,0.996735,-0.13566,0,0.883946,0.996735,0
LOPAC 00581,0.985238,-0.637722,0,0.541436,0.985238,0
LOPAC 00592,0.997992,-0.0792538,0,0.799526,0.997992,0
LOPAC 00662,0.988787,-0.47278,0,0.645502,0.988787,0
LOPAC 00001,1.01878,0.801284,0,0.423048,1.01878,0
LOPAC 00057,1.0161,0.688626,0,0.491472,1.0161,0
LOPAC 00164,1.01266,0.542801,0,0.588588,1.01266,0
LOPAC 00167,1.01891,0.806234,0,0.420694,1.01891,0
LOPAC 00235,0.991776,-0.349742,0,0.726912,0.991776,0
LOPAC 00332,1.00051,0.0214321,0,0.982902,1.00051,0
LOPAC 00612,0.982874,-0.738694,0,0.47949,0.982874,0
LOPAC 00644,0.980443,-0.83073,0,0.41266,0.980443,0
LOPAC 00023,0.988573,-0.487722,0,0.625752,0.988573,0
LOPAC 00087,0.991702,-0.358365,0,0.723538,0.991702,0
LOPAC 00645,1.00851,0.354675,0,0.738042,1.00851,0
LOPAC 00646,1.00105,0.0524896,0,0.764412,1.00105,0
LOPAC 00647,1.00184,0.0791379,0,0.936936,1.00184,0
LOPAC 00648,0.996961,-0.121297,0,0.74134,0.996961,0
LOPAC 00649,0.985039,-0.640605,0,0.522908,0.985039,0
LOPAC 00663,0.997145,-0.116686,0,0.838322,0.997145,0
LOPAC 00018,1.01391,0.589235,0,0.562188,1.01391,0
LOPAC 00243,0.998925,-0.0507687,0,0.848342,0.998925,0
LOPAC 00324,0.985761,-0.615663,0,0.556792,0.985761,0
LOPAC 00621,1.01218,0.521986,0,0.603,1.01218,0
LOPAC 00650,1.02374,1.00351,0,0.353036,1.02374,0
LOPAC 00651,0.930106,-2.99711,0,0.00675414,0.930106,0
LOPAC 00664,1.00635,0.277891,0,0.788386,1.00635,0
LOPAC 01302,0.989881,-0.425727,0,0.67974,0.989881,0
LOPAC 00171,0.995775,-0.198493,0,0.483476,0.995775,0
LOPAC 00568,1.01102,0.46241,0,0.660084,1.01102,0
LOPAC 00598,0.990169,-0.417166,0,0.678096,0.990169,0
LOPAC 00652,1.00181,0.075184,0,0.932174,1.00181,0
LOPAC 00653,1.00139,0.0654237,0,0.811376,1.00139,0
LOPAC 00665,0.99264,-0.314207,0,0.753364,0.99264,0
LOPAC 00666,1.01666,0.72539,0,0.533266,1.01666,0
LOPAC 00349,0.990295,-0.417345,0,0.678574,0.990295,0
LOPAC 00564,1.0187,0.811379,0,0.475316,1.0187,0
LOPAC 00654,0.994112,-0.248134,0,0.805608,0.994112,0
LOPAC 00655,1.00576,0.246149,0,0.805568,1.00576,0
LOPAC 00656,0.989727,-0.43699,0,0.662738,0.989727,0
LOPAC 00667,1.01239,0.539809,0,0.621532,1.01239,0
LOPAC 00668,1.01883,0.785702,0,0.539622,1.01883,0
LOPAC 01342,0.426031,-24.4962,0,0,0.426031,0
LOPAC 00326,1.01044,0.453741,0,0.66614,1.01044,0
LOPAC 00409,0.983672,-0.697128,0,0.485724,0.983672,0
LOPAC 00485,1.00851,0.368693,0,0.71829,1.00851,0
LOPAC 00490,0.987919,-0.523687,0,0.617796,0.987919,0
LOPAC 00657,0.99682,-0.145102,0,0.715232,0.99682,0
LOPAC 00658,1.0245,1.06068,0,0.367202,1.0245,0
LOPAC 00669,0.99772,-0.0925194,0,0.850082,0.99772,0
LOPAC 00670,0.98548,-0.611392,0,0.563218,0.98548,0
LOPAC 00017,1.01252,0.536751,0,0.592736,1.01252,0
LOPAC 00327,1.0001,-0.004699,0,0.723144,1.0001,0
LOPAC 00364,0.996984,-0.137232,0,0.740692,0.996984,0
LOPAC 00659,0.987566,-0.533239,0,0.595476,0.987566,0
LOPAC 00660,1.00194,0.0863424,0,0.895632,1.00194,0
LOPAC 00661,1.02047,0.907557,0,0.353882,1.02047,0
LOPAC 00671,0.936092,-2.72237,0,0.0080646,0.936092,0
LOPAC 00672,0.990745,-0.381469,0,0.615806,0.990745,0
LOPAC 00170,0.992685,-0.309153,0,0.759018,0.992685,0
LOPAC 00178,1.01266,0.555831,0,0.600294,1.01266,0
LOPAC 00569,0.98355,-0.707381,0,0.488084,0.98355,0
LOPAC 00602,0.991252,-0.416545,0,0.117414,0.991252,0
LOPAC 00673,0.993185,-0.321707,0,0.248934,0.993185,0
LOPAC 00674,1.00636,0.263309,0,0.750142,1.00636,0
LOPAC 01303,0.968135,-1.35482,0,0.186057,0.968135,0
