supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,1.00767,0.262451,0,0.793096,1.00767,0
LOPAC 00362,1.01986,0.689422,0,0.52238,1.01986,0
LOPAC 00557,0.985595,-0.482624,0,0.617332,0.985595,0
LOPAC 00565,0.989729,-0.358715,0,0.732092,0.989729,0
LOPAC 00574,0.988676,-0.387589,0,0.6986,0.988676,0
LOPAC 00581,1.00625,0.209165,0,0.80202,1.00625,0
LOPAC 00592,0.991015,-0.311783,0,0.758632,0.991015,0
LOPAC 00662,1.01676,0.581256,0,0.578728,1.01676,0
LOPAC 00001,0.999783,-0.00714656,0,0.988112,0.999783,0
LOPAC 00057,1.00401,0.141735,0,0.848286,1.00401,0
LOPAC 00164,1.00954,0.324998,0,0.746808,1.00954,0
LOPAC 00167,0.99285,-0.253604,0,0.697932,0.99285,0
LOPAC 00235,0.975862,-0.84361,0,0.517596,0.975862,0
LOPAC 00332,0.989196,-0.374132,0,0.712156,0.989196,0
LOPAC 00612,0.999748,-0.00148074,0,0.72924,0.999748,0
LOPAC 00644,1.00846,0.290591,0,0.771372,1.00846,0
LOPAC 00023,1.00746,0.253287,0,0.801812,1.00746,0
LOPAC 00087,1.00832,0.276978,0,0.695884,1.00832,0
LOPAC 00645,1.00605,0.214191,0,0.7495,1.00605,0
LOPAC 00646,0.996039,-0.133858,0,0.894024,0.996039,0
LOPAC 00647,0.992888,-0.245254,0,0.806608,0.992888,0
LOPAC 00648,1.00397,0.139978,0,0.852354,1.00397,0
LOPAC 00649,1.01657,0.554026,0,0.551412,1.01657,0
LOPAC 00663,1.0098,0.341203,0,0.74066,1.0098,0
LOPAC 00018,0.994221,-0.189129,0,0.66352,0.994221,0
LOPAC 00243,1.01215,0.425433,0,0.696464,1.01215,0
LOPAC 00324,0.997139,-0.102638,0,0.829248,0.997139,0
LOPAC 00621,0.988565,-0.400342,0,0.710254,0.988565,0
LOPAC 00650,0.998615,-0.0537511,0,0.763126,0.998615,0
LOPAC 00651,0.960932,-1.34227,0,0.181321,0.960932,0
