supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,0.941389,-2.75223,0,0.00994632,0.941389,0
LOPAC 00362,0.966391,-1.537,0,0.138064,0.966391,0
LOPAC 00557,0.989759,-0.420589,0,0.547132,0.989759,0
LOPAC 00565,1.00205,0.0984612,0,0.92163,1.00205,0
LOPAC 00574,1.0334,1.54453,0,0.123247,1.0334,0
LOPAC 00581,0.984255,-0.758403,0,0.473012,0.984255,0
LOPAC 00592,1.0239,1.15833,0,0.325824,1.0239,0
LOPAC 00662,1.00889,0.412943,0,0.679652,1.00889,0
LOPAC 00001,0.99645,-0.149826,0,0.859452,0.99645,0
LOPAC 00057,1.00327,0.150581,0,0.88032,1.00327,0
LOPAC 00164,1.0258,1.23548,0,0.263922,1.0258,0
LOPAC 00167,1.01008,0.411743,0,0.536948,1.01008,0
LOPAC 00235,0.998915,-0.0489173,0,0.960992,0.998915,0
LOPAC 00332,1.00471,0.277829,0,0.491554,1.00471,0
LOPAC 00612,1.01628,0.662894,0,0.362996,1.01628,0
LOPAC 00644,0.981052,-0.886334,0,0.377172,0.981052,0
LOPAC 00023,0.998416,-0.0505972,0,0.783166,0.998416,0
LOPAC 00087,1.00196,0.0814798,0,0.908292,1.00196,0
LOPAC 00645,1.0103,0.497982,0,0.628438,1.0103,0
LOPAC 00646,0.997793,-0.0893885,0,0.875964,0.997793,0
LOPAC 00647,1.02248,1.03555,0,0.302304,1.02248,0
LOPAC 00648,1.02127,1.04088,0,0.393306,1.02127,0
LOPAC 00649,0.990367,-0.44517,0,0.656272,0.990367,0
LOPAC 00663,0.992243,-0.438206,0,0.391438,0.992243,0
LOPAC 00018,0.992671,-0.358407,0,0.72649,0.992671,0
LOPAC 00243,0.993456,-0.306513,0,0.759352,0.993456,0
LOPAC 00324,1.02411,1.14486,0,0.275206,1.02411,0
LOPAC 00621,0.993478,-0.344628,0,0.633924,0.993478,0
LOPAC 00650,0.992615,-0.319282,0,0.75894,0.992615,0
LOPAC 00651,1.02269,1.02754,0,0.326172,1.02269,0
LOPAC 00664,0.989465,-0.51709,0,0.625382,0.989465,0
LOPAC 01302,1.02315,1.07669,0,0.281856,1.02315,0
LOPAC 00171,0.981096,-0.868194,0,0.388076,0.981096,0
LOPAC 00568,0.990209,-0.434472,0,0.672838,0.990209,0
LOPAC 00598,0.99264,-0.35033,0,0.72757,0.99264,0
LOPAC 00652,0.997143,-0.109983,0,0.787072,0.997143,0
LOPAC 00653,0.986817,-0.648171,0,0.55553,0.986817,0
LOPAC 00665,1.03934,1.87248,0,0.102924,1.03934,0
LOPAC 00666,1.03789,1.78449,0,0.0886006,1.03789,0
LOPAC 00349,0.997006,-0.107818,0,0.70978,0.997006,0
LOPAC 00564,0.996769,-0.193206,0,0.609358,0.996769,0
LOPAC 00654,0.992193,-0.33075,0,0.71974,0.992193,0
LOPAC 00655,0.996053,-0.203431,0,0.811276,0.996053,0
LOPAC 00656,1.01039,0.465231,0,0.648468,1.01039,0
LOPAC 00667,0.987952,-0.562602,0,0.574056,0.987952,0
LOPAC 00668,1.00636,0.293323,0,0.769322,1.00636,0
LOPAC 01342,0.981927,-0.845562,0,0.399432,0.981927,0
LOPAC 00326,1.03017,1.41307,0,0.162718,1.03017,0
LOPAC 00409,1.01263,0.540718,0,0.635288,1.01263,0
LOPAC 00485,0.995435,-0.170803,0,0.626642,0.995435,0
LOPAC 00490,0.993027,-0.34033,0,0.738762,0.993027,0
LOPAC 00657,1.0129,0.617774,0,0.547612,1.0129,0
LOPAC 00658,1.02181,1.05489,0,0.352692,1.02181,0
LOPAC 00669,0.997378,-0.123433,0,0.901786,0.997378,0
LOPAC 00670,1.11022,5.0879,0,9.75132e-07,1.11022,0
LOPAC 00017,1.00287,0.120221,0,0.876094,1.00287,0
LOPAC 00327,0.993065,-0.277875,0,0.611176,0.993065,0
LOPAC 00364,0.973369,-1.24068,0,0.21553,0.973369,0
LOPAC 00659,0.988435,-0.547062,0,0.587272,0.988435,0
LOPAC 00660,1.0438,2.06038,0,0.0506496,1.0438,0
LOPAC 00661,0.994988,-0.239479,0,0.81137,0.994988,0
LOPAC 00671,1.0423,2.01492,0,0.0866812,1.0423,0
LOPAC 00672,0.985902,-0.657454,0,0.511216,0.985902,0
LOPAC 00170,0.96876,-1.47244,0,0.155772,0.96876,0
LOPAC 00178,0.985929,-0.63039,0,0.54333,0.985929,0
LOPAC 00569,1.03299,1.54955,0,0.130731,1.03299,0
LOPAC 00602,1.01704,0.711173,0,0.449548,1.01704,0
LOPAC 00673,0.982949,-0.795385,0,0.426968,0.982949,0
LOPAC 00674,0.996773,-0.121731,0,0.738042,0.996773,0
LOPAC 01303,0.996828,-0.11366,0,0.688774,0.996828,0
LOPAC 01318,1.03972,1.87949,0,0.0851224,1.03972,0
LOPAC 00084,1.02667,1.27028,0,0.238664,1.02667,0
LOPAC 00408,1.02999,1.4134,0,0.171998,1.02999,0
LOPAC 00675,0.970644,-1.40217,0,0.208256,0.970644,0
LOPAC 00676,0.970958,-1.37392,0,0.190584,0.970958,0
LOPAC 00677,1.00014,0.00519802,0,0.98581,1.00014,0
LOPAC 00679,0.996634,-0.178842,0,0.788428,0.996634,0
LOPAC 00680,0.980777,-0.905994,0,0.3717,0.980777,0
LOPAC 01304,1.00473,0.263919,0,0.604222,1.00473,0
LOPAC 00083,1.02776,1.26205,0,0.22876,1.02776,0
LOPAC 00165,1.00483,0.241036,0,0.813296,1.00483,0
LOPAC 00353,0.994217,-0.323091,0,0.532014,0.994217,0
LOPAC 00439,0.98774,-0.515287,0,0.571322,0.98774,0
LOPAC 00681,0.981096,-0.86875,0,0.387424,0.981096,0
LOPAC 00682,1.00476,0.252043,0,0.716582,1.00476,0
LOPAC 00683,1.00474,0.235017,0,0.817112,1.00474,0
LOPAC 00684,1.00548,0.196282,0,0.494564,1.00548,0
LOPAC 00082,0.974824,-1.12966,0,0.308262,0.974824,0
LOPAC 00166,1.00532,0.136544,0,0.188351,1.00532,0
LOPAC 00484,1.01007,0.480087,0,0.635326,1.01007,0
LOPAC 00566,0.999563,-0.0198074,0,0.984198,0.999563,0
LOPAC 00685,0.99182,-0.36844,0,0.715,0.99182,0
LOPAC 00686,0.996321,-0.156137,0,0.862308,0.996321,0
LOPAC 00687,1.01739,0.83857,0,0.435196,1.01739,0
LOPAC 00688,1.0145,0.680982,0,0.49793,1.0145,0
LOPAC 00011,1.0095,0.411539,0,0.69886,1.0095,0
LOPAC 00053,1.00624,0.267311,0,0.796456,1.00624,0
LOPAC 00325,1.00549,0.24368,0,0.809116,1.00549,0
LOPAC 00689,0.994696,-0.247871,0,0.804278,0.994696,0
LOPAC 00690,1.00196,0.130914,0,0.633672,1.00196,0
LOPAC 00691,0.995119,-0.203146,0,0.783104,0.995119,0
LOPAC 00692,0.997782,-0.107893,0,0.914232,0.997782,0
LOPAC 00693,0.9743,-1.16473,0,0.27016,0.9743,0
LOPAC 00130,0.99931,-0.0175566,0,0.86211,0.99931,0
LOPAC 00328,1.01273,0.550441,0,0.62391,1.01273,0
LOPAC 00567,0.976848,-0.985035,0,0.484518,0.976848,0
LOPAC 00694,1.00874,0.401157,0,0.688744,1.00874,0
LOPAC 00695,1.0205,0.988715,0,0.370426,1.0205,0
LOPAC 00696,0.990318,-0.432124,0,0.672264,0.990318,0
LOPAC 00697,1.0212,0.892508,0,0.442366,1.0212,0
LOPAC 00698,0.989416,-0.490675,0,0.623662,0.989416,0
LOPAC 00002,1.03566,1.63563,0,0.110952,1.03566,0
LOPAC 00009,1.00793,0.353698,0,0.727412,1.00793,0
LOPAC 00015,0.997926,-0.110022,0,0.869094,0.997926,0
LOPAC 00060,0.997038,-0.141987,0,0.887258,0.997038,0
LOPAC 00101,0.999372,-0.0601625,0,0.7096,0.999372,0
LOPAC 00334,1.00142,0.0862576,0,0.808932,1.00142,0
