supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
LOPAC 00228,0.993808,-0.381923,0,0.702856,0.993808,0
LOPAC 00362,1.0171,1.04116,0,0.298788,1.0171,0
LOPAC 00557,1.00923,0.544013,0,0.603144,1.00923,0
LOPAC 00565,1.00225,0.145439,0,0.88513,1.00225,0
LOPAC 00574,0.991021,-0.580958,0,0.602776,0.991021,0
LOPAC 00581,0.995536,-0.248985,0,0.731498,0.995536,0
LOPAC 00592,0.999406,-0.0323949,0,0.954,0.999406,0
LOPAC 00662,1.01339,0.817799,0,0.41351,1.01339,0
LOPAC 00001,1.01536,0.932676,0,0.353266,1.01536,0
LOPAC 00057,0.993625,-0.369553,0,0.723702,0.993625,0
LOPAC 00164,1.00311,0.196359,0,0.844964,1.00311,0
LOPAC 00167,0.994935,-0.297637,0,0.76955,0.994935,0
LOPAC 00235,0.994923,-0.346313,0,0.617738,0.994923,0
LOPAC 00332,1.01414,0.883552,0,0.395982,1.01414,0
LOPAC 00612,0.989558,-0.642462,0,0.521294,0.989558,0
LOPAC 00644,1.01343,0.820601,0,0.411904,1.01343,0
LOPAC 00023,1.01302,0.787485,0,0.434728,1.01302,0
LOPAC 00087,0.987962,-0.708853,0,0.512626,0.987962,0
LOPAC 00645,0.987809,-0.737586,0,0.463746,0.987809,0
LOPAC 00646,0.990245,-0.593829,0,0.55292,0.990245,0
LOPAC 00647,1.00184,0.101489,0,0.874252,1.00184,0
LOPAC 00648,1.01029,0.621873,0,0.536426,1.01029,0
LOPAC 00649,1.015,0.90016,0,0.38248,1.015,0
LOPAC 00663,0.989169,-0.656377,0,0.513138,0.989169,0
LOPAC 00018,0.994576,-0.36135,0,0.681276,0.994576,0
LOPAC 00243,0.992137,-0.476334,0,0.634566,0.992137,0
LOPAC 00324,1.00825,0.511642,0,0.610912,1.00825,0
LOPAC 00621,1.00041,0.038051,0,0.85169,1.00041,0
LOPAC 00650,1.00573,0.351624,0,0.725192,1.00573,0
LOPAC 00651,0.970381,-1.85227,0,0.113934,0.970381,0
LOPAC 00664,0.992676,-0.481188,0,0.660404,0.992676,0
LOPAC 01302,1.03102,1.90059,0,0.0577664,1.03102,0
LOPAC 00171,0.997274,-0.162665,0,0.871008,0.997274,0
LOPAC 00568,0.993486,-0.393758,0,0.694406,0.993486,0
LOPAC 00598,0.990727,-0.567324,0,0.5705,0.990727,0
LOPAC 00652,0.998258,-0.0960571,0,0.877628,0.998258,0
LOPAC 00653,1.00325,0.186706,0,0.854258,1.00325,0
LOPAC 00665,0.997146,-0.20074,0,0.704454,0.997146,0
LOPAC 00666,1.0211,1.30082,0,0.198939,1.0211,0
LOPAC 00349,0.998188,-0.0873793,0,0.730412,0.998188,0
LOPAC 00564,0.999492,-0.016687,0,0.831708,0.999492,0
LOPAC 00654,0.982631,-1.07417,0,0.290496,0.982631,0
LOPAC 00655,0.997423,-0.17097,0,0.845304,0.997423,0
LOPAC 00656,1.01863,1.16067,0,0.269714,1.01863,0
LOPAC 00667,1.01274,0.809403,0,0.463966,1.01274,0
LOPAC 00668,1.01241,0.752513,0,0.45374,1.01241,0
LOPAC 01342,0.559979,-27.0042,0,0,0.559979,0
LOPAC 00326,1.00821,0.496078,0,0.621118,1.00821,0
LOPAC 00409,1.02513,1.51486,0,0.14892,1.02513,0
LOPAC 00485,0.999364,-0.0509759,0,0.858774,0.999364,0
LOPAC 00490,0.995128,-0.318026,0,0.760888,0.995128,0
LOPAC 00657,0.982343,-1.10376,0,0.299542,0.982343,0
LOPAC 00658,1.00371,0.226521,0,0.820796,1.00371,0
LOPAC 00669,0.982469,-1.06313,0,0.291752,0.982469,0
LOPAC 00670,1.01202,0.719394,0,0.483636,1.01202,0
LOPAC 00017,0.990702,-0.578992,0,0.567244,0.990702,0
LOPAC 00327,0.991855,-0.48999,0,0.626556,0.991855,0
